a	<i>romanization</i><br><ol><li>Romanization of 𒀀 (a)</li></ol>
szu2	<i>romanization</i><br><ol><li>Romanization of 𒋙 (šu₂)</li></ol>
szu4	<i>romanization</i><br><ol><li>Romanization of 𒌋 (šu₄)</li></ol>
szub	<i>romanization</i><br><ol><li>Romanization of 𒊒 (šub)</li></ol>
szub5	<i>romanization</i><br><ol><li>Romanization of 𒍤𒆸 (šub₅)</li></ol>
szubur	<i>romanization</i><br><ol><li>Romanization of 𒋚 (šubur)</li></ol>
szud3	<i>romanization</i><br><ol><li>Romanization of 𒅤 (šud₃)</li><li>Romanization of 𒆃 (šud₃)</li></ol>
szudu3	<i>romanization</i><br><ol><li>Romanization of 𒆃 (šudu₃)</li></ol>
szuku	<i>romanization</i><br><ol><li>Romanization of 𒉻 (šuku)</li></ol>
szukur2	<i>romanization</i><br><ol><li>Romanization of 𒉻 (šukur₂)</li></ol>
szul	<i>romanization</i><br><ol><li>Romanization of 𒂄 (šul)</li></ol>
szum2	
szur	<i>romanization</i><br><ol><li>Romanization of 𒋩 (šur)</li></ol>
szurum	<i>romanization</i><br><ol><li>Romanization of 𒇇 (šurum)</li></ol>
szurum3	<i>romanization</i><br><ol><li>Romanization of 𒇆 (šurum₃)</li></ol>
szurum6	<i>romanization</i><br><ol><li>Romanization of 𒋺 (šurum₆)</li></ol>
szurum7	<i>romanization</i><br><ol><li>Romanization of 𒉔 (šurum₇)</li></ol>
szurun2	<i>romanization</i><br><ol><li>Romanization of 𒇣 (šurun₂)</li></ol>
szusz	<i>romanization</i><br><ol><li>Romanization of 𒌋 (šuš)</li></ol>
szusz2	<i>romanization</i><br><ol><li>Romanization of 𒋙 (šuš₂)</li></ol>
szusz3	<i>romanization</i><br><ol><li>Romanization of 𒅖 (šuš₃)</li></ol>
szuszurum	<i>romanization</i><br><ol><li>Romanization of 𒉕 (šušurum)</li></ol>
ta	<i>romanization</i><br><ol><li>Romanization of 𒋫 (ta)</li></ol>
tab	<i>romanization</i><br><ol><li>Romanization of 𒋰 (tab)</li></ol>
tag	<i>romanization</i><br><ol><li>Romanization of 𒋳 (tag)</li></ol>
tag4	<i>romanization</i><br><ol><li>Romanization of 𒋺 (tag₄)</li></ol>
tah	<i>romanization</i><br><ol><li>Romanization of 𒈭 (taḫ)</li></ol>
tah3	<i>romanization</i><br><ol><li>Romanization of 𒈬 (taḫ₃)</li></ol>
tak4	<i>romanization</i><br><ol><li>Romanization of 𒋺 (tak₄)</li></ol>
taka4	<i>romanization</i><br><ol><li>Romanization of 𒋺 (taka₄)</li></ol>
takaX	<i>romanization</i><br><ol><li>Romanization of 𒁆 (takaₓ(BALAG))</li><li>Romanization of 𒓼 (takaₓ(LAK492))</li><li>Romanization of 𒋗 (takaₓ(ŠU))</li></ol>
tar	<i>romanization</i><br><ol><li>Romanization of 𒋻 (tar)</li></ol>
tar2	<i>romanization</i><br><ol><li>Romanization of 𒁯 (tar₂)</li></ol>
te	<i>romanization</i><br><ol><li>Romanization of 𒋼 (te)</li></ol>
tej3	
tej4	<i>romanization</i><br><ol><li>Romanization of 𒋾 (teg̃₄)</li></ol>
temen	<i>romanization</i><br><ol><li>Romanization of 𒋼 (temen)</li></ol>
ten	<i>romanization</i><br><ol><li>Romanization of 𒋼 (ten)</li></ol>
ten2	<i>romanization</i><br><ol><li>Romanization of 𒁷 (ten₂)</li></ol>
ter	<i>romanization</i><br><ol><li>Romanization of 𒌁 (ter)</li></ol>
tesz2	<i>romanization</i><br><ol><li>Romanization of 𒌨 (teš₂)</li></ol>
ti	<i>romanization</i><br><ol><li>Romanization of 𒋾 (ti)</li></ol>
ti8	<i>romanization</i><br><ol><li>Romanization of 𒀉 (ti₈)</li></ol>
tibir	<i>romanization</i><br><ol><li>Romanization of 𒋳 (tibir)</li></ol>
tibir2	<i>romanization</i><br><ol><li>Romanization of 𒋷 (tibir₂)</li></ol>
tibir3	<i>romanization</i><br><ol><li>Romanization of 𒋹 (tibir₃)</li></ol>
tibir4	<i>romanization</i><br><ol><li>Romanization of 𒋸 (tibir₄)</li></ol>
tibir5	<i>romanization</i><br><ol><li>Romanization of 𒋵 (tibir₅)</li></ol>
tibira	<i>romanization</i><br><ol><li>Romanization of 𒁾𒉄 (tibira)</li></ol>
tij4	<i>romanization</i><br><ol><li>Romanization of 𒋾 (tig̃₄)</li></ol>
til3	<i>romanization</i><br><ol><li>Romanization of 𒋾 (til₃)</li></ol>
tin	<i>romanization</i><br><ol><li>Romanization of 𒁷 (tin)</li></ol>
tir	<i>romanization</i><br><ol><li>Romanization of 𒌁 (tir)</li></ol>
tu15	<i>romanization</i><br><ol><li>Romanization of 𒅎 (tu₁₅)</li></ol>
tu17	<i>romanization</i><br><ol><li>Romanization of 𒀀𒋗𒉀 (tu₁₇)</li></ol>
tu18	<i>romanization</i><br><ol><li>Romanization of 𒂅 (tu₁₈)</li></ol>
tu2	<i>romanization</i><br><ol><li>Romanization of 𒌓 (tu₂)</li></ol>
tu22	<i>romanization</i><br><ol><li>Romanization of 𒉀 (tu₂₂)</li></ol>
tu5	<i>romanization</i><br><ol><li>Romanization of 𒋗𒉀 (tu₅)</li></ol>
tu6	<i>romanization</i><br><ol><li>Romanization of 𒅲 (tu₆)</li></ol>
tu7	<i>romanization</i><br><ol><li>Romanization of 𒄰 (tu₇)</li><li>Romanization of 𒄱 (tu₇(ḪI×DIŠ))</li><li>Romanization of 𒄶 (tu₇(ḪI×U))</li><li>Romanization of 𒄮 (tu₇(ḪI×AŠ))</li></ol>
tud	<i>romanization</i><br><ol><li>Romanization of 𒌅 (tud)</li></ol>
tug2	<i>romanization</i><br><ol><li>Romanization of 𒌆 (tug₂)</li><li>Romanization of 𒉇 (tug₂)</li></ol>
tuk	<i>romanization</i><br><ol><li>Romanization of 𒌇 (tuk)</li></ol>
tuk8	<i>romanization</i><br><ol><li>Romanization of 𒅎𒆑 (tuk₈)</li></ol>
tuku	<i>romanization</i><br><ol><li>Romanization of 𒌇 (tuku)</li></ol>
tuku4	<i>romanization</i><br><ol><li>Romanization of 𒇧 (tuku₄)</li></ol>
tuku5	<i>romanization</i><br><ol><li>Romanization of 𒋳 (tuku₅)</li></ol>
tukul	<i>romanization</i><br><ol><li>Romanization of 𒆪 (tukul)</li></ol>
tukum	<i>romanization</i><br><ol><li>Romanization of 𒋗𒃻𒌉𒇲 (tukum)</li></ol>
tukumX	<i>romanization</i><br><ol><li>Romanization of 𒋗𒃻 (tukumₓ(ŠU.GAR))</li><li>Romanization of 𒋗𒃻𒌉 (tukumₓ(ŠU.GAR.TUR))</li><li>Romanization of 𒋗𒃻𒌉𒇲𒂠 (tukumₓ(ŠU.GAR.TUR.LAL.EŠ₂))</li><li>Romanization of 𒋗𒇲𒌉 (tukumₓ(ŠU.LAL.TUR))</li><li>Romanization of 𒋗𒌉 (tukumₓ(ŠU.TUR))</li></ol>
tukun	<i>romanization</i><br><ol><li>Romanization of 𒋗𒃻𒌉𒇲 (tukun)</li></ol>
tukur	<i>romanization</i><br><ol><li>Romanization of 𒆸 (tukur)</li></ol>
tukur2	<i>romanization</i><br><ol><li>Romanization of 𒆁 (tukur₂)</li></ol>
tukur3	<i>romanization</i><br><ol><li>Romanization of 𒆈 (tukur₃)</li></ol>
tum	<i>romanization</i><br><ol><li>Romanization of 𒌈 (tum)</li></ol>
tum2	
tum3	<i>romanization</i><br><ol><li>Romanization of 𒉐 (tum₃)</li></ol>
tumu	<i>romanization</i><br><ol><li>Romanization of 𒉎 (tumu)</li></ol>
tun3	<i>romanization</i><br><ol><li>Romanization of 𒂅 (tun₃)</li></ol>
tur	<i>romanization</i><br><ol><li>Romanization of 𒌉 (tur)</li></ol>
tur3	<i>romanization</i><br><ol><li>Romanization of 𒉣𒇬 (tur₃)</li></ol>
tur5	<i>romanization</i><br><ol><li>Romanization of 𒌅 (tur₅)</li></ol>
turX	<i>romanization</i><br><ol><li>Romanization of 𒉦 (turₓ(NUN.LAGAR×SAL))</li><li>Romanization of 𒉥 (turₓ(NUN.LAGAR×MAŠ))</li></ol>
tusz	<i>romanization</i><br><ol><li>Romanization of 𒆪 (tuš)</li></ol>
u	<i>romanization</i><br><ol><li>Romanization of 𒌋 (u)</li></ol>
u18	<i>romanization</i><br><ol><li>Romanization of 𒍇 (u₁₈)</li></ol>
u19	<i>romanization</i><br><ol><li>Romanization of 𒌷 (u₁₉)</li></ol>
u2	<i>romanization</i><br><ol><li>Romanization of 𒌑 (u₂)</li></ol>
u22	<i>romanization</i><br><ol><li>Romanization of 𒌗 (u₂₂)</li></ol>
u3	<i>romanization</i><br><ol><li>Romanization of 𒅇 (u₃)</li></ol>
u4	<i>romanization</i><br><ol><li>Romanization of 𒌓 (u₄)</li></ol>
u5	<i>romanization</i><br><ol><li>Romanization of 𒄷𒋛 (u₅)</li></ol>
u6	<i>romanization</i><br><ol><li>Romanization of 𒅆𒂍 (u₆)</li></ol>
u8	<i>romanization</i><br><ol><li>Romanization of 𒇇 (u₈)</li></ol>
ub2	<i>romanization</i><br><ol><li>Romanization of 𒂠 (ub₂)</li></ol>
ub3	<i>romanization</i><br><ol><li>Romanization of 𒀚 (ub₃)</li></ol>
ub4	<i>romanization</i><br><ol><li>Romanization of 𒇥 (ub₄)</li></ol>
ub5	<i>romanization</i><br><ol><li>Romanization of 𒀛 (ub₅)</li></ol>
ub6	<i>romanization</i><br><ol><li>Romanization of 𒀙 (ub₆)</li></ol>
ub7	<i>romanization</i><br><ol><li>Romanization of 𒀘 (ub₇)</li></ol>
ubX	<i>romanization</i><br><ol><li>Romanization of 𒀖𒊮 (ubₓ(AB₂.ŠA₃))</li></ol>
ubiszaga	<i>romanization</i><br><ol><li>Romanization of 𒋱 (ubišaga)</li></ol>
ubur	<i>romanization</i><br><ol><li>Romanization of 𒁛 (ubur)</li></ol>
ubur2	<i>romanization</i><br><ol><li>Romanization of 𒁥 (ubur₂)</li></ol>
ubur3	<i>romanization</i><br><ol><li>Romanization of 𒁡 (ubur₃)</li></ol>
ud	<i>romanization</i><br><ol><li>Romanization of 𒌓 (ud)</li></ol>
ud2	<i>romanization</i><br><ol><li>Romanization of 𒀾 (ud₂)</li></ol>
ud5	<i>romanization</i><br><ol><li>Romanization of 𒍚 (ud₅)</li></ol>
udu	<i>romanization</i><br><ol><li>Romanization of 𒇻 (udu)</li></ol>
udug	<i>romanization</i><br><ol><li>Romanization of 𒌜 (udug)</li></ol>
udug2	<i>romanization</i><br><ol><li>Romanization of 𒂷𒄑 (udug₂)</li></ol>
ug	<i>romanization</i><br><ol><li>Romanization of 𒊌 (ug)</li></ol>
ug2	<i>romanization</i><br><ol><li>Romanization of 𒊊 (ug₂)</li></ol>
ug5	<i>romanization</i><br><ol><li>Romanization of 𒂦 (ug₅)</li></ol>
ug7	<i>romanization</i><br><ol><li>Romanization of 𒁁 (ug₇)</li><li>Romanization of 𒌀 (ug₇)</li></ol>
ugu	<i>romanization</i><br><ol><li>Romanization of 𒌋𒅗 (ugu)</li></ol>
ugu2	<i>romanization</i><br><ol><li>Romanization of 𒀀𒅗 (ugu₂)</li></ol>
ugu3	<i>romanization</i><br><ol><li>Romanization of 𒀀𒊕 (ugu₃)</li></ol>
uguX	<i>romanization</i><br><ol><li>Romanization of 𒀀𒌋𒅗 (uguₓ(A.U.KA))</li><li>Romanization of 𒌋𒊕 (uguₓ(U.SAG))</li></ol>
uh	<i>romanization</i><br><ol><li>Romanization of 𒄴 (uḫ)</li></ol>
uj3	<i>romanization</i><br><ol><li>Romanization of 𒌦 (ug̃₃)</li></ol>
ukken	<i>romanization</i><br><ol><li>Romanization of 𒌺 (ukken)</li></ol>
ukkin	<i>romanization</i><br><ol><li>Romanization of 𒌺 (ukkin)</li></ol>
ul3	<i>romanization</i><br><ol><li>Romanization of 𒄒 (ul₃)</li></ol>
ul4	<i>romanization</i><br><ol><li>Romanization of 𒄉 (ul₄)</li></ol>
ulu3	<i>romanization</i><br><ol><li>Romanization of 𒍇 (ulu₃)</li></ol>
umbin	<i>romanization</i><br><ol><li>Romanization of 𒌢 (umbin)</li></ol>
umbisaj	<i>romanization</i><br><ol><li>Romanization of 𒋃 (umbisag̃)</li></ol>
umbisaj2	<i>romanization</i><br><ol><li>Romanization of 𒋄 (umbisag̃₂)</li></ol>
umma	<i>romanization</i><br><ol><li>Romanization of 𒄑𒆵 (umma)</li></ol>
umme	<i>romanization</i><br><ol><li>Romanization of 𒌝𒈨 (umme)</li></ol>
ummu3	<i>romanization</i><br><ol><li>Romanization of 𒀀𒂔𒇲 (ummu₃)</li></ol>
ummud	<i>romanization</i><br><ol><li>Romanization of 𒀀𒂔𒇲 (ummud)</li></ol>
umum	<i>romanization</i><br><ol><li>Romanization of 𒌣 (umum)</li></ol>
umun2	<i>romanization</i><br><ol><li>Romanization of 𒌣 (umun₂)</li></ol>
umun8	<i>romanization</i><br><ol><li>Romanization of 𒐅 (umun₈)</li></ol>
umusz	<i>romanization</i><br><ol><li>Romanization of 𒌆 (umuš)</li></ol>
un	<i>romanization</i><br><ol><li>Romanization of 𒌦 (un)</li></ol>
unken	<i>romanization</i><br><ol><li>Romanization of 𒌺 (unken)</li></ol>
unkin	<i>romanization</i><br><ol><li>Romanization of 𒌺 (unkin)</li></ol>
unug	<i>romanization</i><br><ol><li>Romanization of 𒀕 (unug)</li></ol>
ur	<i>romanization</i><br><ol><li>Romanization of 𒌨 (ur)</li></ol>
ur2	<i>romanization</i><br><ol><li>Romanization of 𒌫 (ur₂)</li></ol>
ur3	<i>romanization</i><br><ol><li>Romanization of 𒃡 (ur₃)</li></ol>
ur4	<i>romanization</i><br><ol><li>Romanization of 𒌴 (ur₄)</li></ol>
ur5	<i>romanization</i><br><ol><li>Romanization of 𒄯 (ur₅)</li></ol>
urX	<i>romanization</i><br><ol><li>Romanization of 𒄵 (urₓ(ḪI×ŠE))</li></ol>
uri	<i>romanization</i><br><ol><li>Romanization of 𒌵 (uri)</li></ol>
uri3	<i>romanization</i><br><ol><li>Romanization of 𒌶 (uri₃)</li></ol>
uri5	<i>romanization</i><br><ol><li>Romanization of 𒋀𒀊 (uri₅)</li></ol>
urim2	<i>romanization</i><br><ol><li>Romanization of 𒋀𒀕 (urim₂)</li></ol>
urim5	<i>romanization</i><br><ol><li>Romanization of 𒋀𒀊 (urim₅)</li></ol>
urin	<i>romanization</i><br><ol><li>Romanization of 𒌶 (urin)</li></ol>
urta	<i>romanization</i><br><ol><li>Romanization of 𒅁 (urta)</li></ol>
uru	<i>romanization</i><br><ol><li>Romanization of 𒌷 (uru)</li></ol>
uru16	<i>romanization</i><br><ol><li>Romanization of 𒂗 (uru₁₆)</li></ol>
uru2	<i>romanization</i><br><ol><li>Romanization of 𒍍 (uru₂)</li></ol>
uru4	<i>romanization</i><br><ol><li>Romanization of 𒀳 (uru₄)</li></ol>
uru5	<i>romanization</i><br><ol><li>Romanization of 𒋽 (uru₅)</li></ol>
uru6	<i>romanization</i><br><ol><li>Romanization of 𒉞 (uru₆)</li></ol>
uru8	<i>romanization</i><br><ol><li>Romanization of 𒌫 (uru₈)</li></ol>
urub	<i>romanization</i><br><ol><li>Romanization of 𒌾 (urub)</li></ol>
urud	<i>romanization</i><br><ol><li>Romanization of 𒍏 (urud)</li></ol>
urugal	<i>romanization</i><br><ol><li>Romanization of 𒀍 (urugal)</li></ol>
urugal2	<i>romanization</i><br><ol><li>Romanization of 𒀕 (urugal₂)</li></ol>
urugalX	<i>romanization</i><br><ol><li>Romanization of 𒀔 (urugalₓ(AB×(U.U.U)))</li></ol>
us2	<i>romanization</i><br><ol><li>Romanization of 𒍑 (us₂)</li></ol>
usan	<i>romanization</i><br><ol><li>Romanization of 𒄛 (usan)</li></ol>
usan3	<i>romanization</i><br><ol><li>Romanization of 𒉮 (usan₃)</li></ol>
ussu	<i>romanization</i><br><ol><li>Romanization of 𒐍 (ussu)</li></ol>
ussu2	<i>romanization</i><br><ol><li>Romanization of 𒐆 (ussu₂)</li></ol>
usz	<i>romanization</i><br><ol><li>Romanization of 𒍑 (uš)</li></ol>
usz11	<i>romanization</i><br><ol><li>Romanization of 𒅜 (uš₁₁)</li></ol>
usz2	<i>romanization</i><br><ol><li>Romanization of 𒁁 (uš₂)</li><li>Romanization of 𒌀 (uš₂)</li></ol>
uszX	<i>romanization</i><br><ol><li>Romanization of 𒍖 (ušₓ(MUNSUB))</li><li>Romanization of 𒍖 (ušₓ(UŠX))</li></ol>
uszu3	<i>romanization</i><br><ol><li>Romanization of 𒌍 (ušu₃)</li></ol>
uszum	<i>romanization</i><br><ol><li>Romanization of 𒁔 (ušum)</li></ol>
uszumgal	<i>romanization</i><br><ol><li>Romanization of 𒃲𒁔 (ušumgal)</li></ol>
utu	<i>romanization</i><br><ol><li>Romanization of 𒌓 (utu)</li></ol>
uz3	<i>romanization</i><br><ol><li>Romanization of 𒍚 (uz₃)</li></ol>
uzu	<i>romanization</i><br><ol><li>Romanization of 𒍜 (uzu)</li></ol>
uzud	<i>romanization</i><br><ol><li>Romanization of 𒍚 (uzud)</li></ol>
wa	<i>romanization</i><br><ol><li>Romanization of 𒉿 (wa)</li></ol>
za	<i>romanization</i><br><ol><li>Romanization of 𒍝 (za)</li></ol>
za2	<i>romanization</i><br><ol><li>Romanization of 𒎎 (za₂)</li></ol>
za3	<i>romanization</i><br><ol><li>Romanization of 𒍠 (za₃)</li></ol>
zabar	<i>romanization</i><br><ol><li>Romanization of 𒌓𒅗𒁇 (zabar)</li></ol>
zabar3	<i>romanization</i><br><ol><li>Romanization of 𒆉𒁇 (zabar₃)</li></ol>
zadim	<i>romanization</i><br><ol><li>Romanization of 𒈯 (zadim)</li></ol>
zag	<i>romanization</i><br><ol><li>Romanization of 𒍠 (zag)</li></ol>
zah2	<i>romanization</i><br><ol><li>Romanization of 𒄩𒀀 (zaḫ₂)</li></ol>
zah3	<i>romanization</i><br><ol><li>Romanization of 𒀄 (zaḫ₃)</li></ol>
zahX	<i>romanization</i><br><ol><li>Romanization of 𒀀𒄩 (zaḫₓ(A.ḪA))</li></ol>
zal	<i>romanization</i><br><ol><li>Romanization of 𒉌 (zal)</li></ol>
zalag	<i>romanization</i><br><ol><li>Romanization of 𒌓 (zalag)</li></ol>
zalag2	<i>romanization</i><br><ol><li>Romanization of 𒂟 (zalag₂)</li></ol>
zalag3	<i>romanization</i><br><ol><li>Romanization of 𒈜 (zalag₃)</li></ol>
zarah	<i>romanization</i><br><ol><li>Romanization of 𒊕𒉺𒆸 (zaraḫ)</li></ol>
ze2	<i>romanization</i><br><ol><li>Romanization of 𒍢 (ze₂)</li></ol>
zi	<i>romanization</i><br><ol><li>Romanization of 𒍣 (zi)</li></ol>
zi2	<i>romanization</i><br><ol><li>Romanization of 𒍢 (zi₂)</li></ol>
zi3	<i>romanization</i><br><ol><li>Romanization of 𒍥 (zi₃)</li></ol>
zib	<i>romanization</i><br><ol><li>Romanization of 𒍦 (zib)</li></ol>
zib2	<i>romanization</i><br><ol><li>Romanization of 𒍨 (zib₂)</li></ol>
zid	<i>romanization</i><br><ol><li>Romanization of 𒍣 (zid)</li></ol>
zid2	<i>romanization</i><br><ol><li>Romanization of 𒍥 (zid₂)</li></ol>
zidX	<i>romanization</i><br><ol><li>Romanization of 𒋦 (zidₓ(SUḪUR))</li></ol>
zig3	<i>romanization</i><br><ol><li>Romanization of 𒍣 (zig₃)</li></ol>
ziz	<i>romanization</i><br><ol><li>Romanization of 𒁁 (ziz)</li></ol>
ziz2	<i>romanization</i><br><ol><li>Romanization of 𒍩 (ziz₂)</li></ol>
ziz3	<i>romanization</i><br><ol><li>Romanization of 𒄮 (ziz₃)</li></ol>
ziz4	<i>romanization</i><br><ol><li>Romanization of 𒄓 (ziz₄)</li></ol>
zu	<i>romanization</i><br><ol><li>Romanization of 𒍪 (zu)</li></ol>
zu2	<i>romanization</i><br><ol><li>Romanization of 𒅗 (zu₂)</li></ol>
zu5	<i>romanization</i><br><ol><li>Romanization of 𒍫 (zu₅)</li></ol>
zuen	<i>romanization</i><br><ol><li>Romanization of 𒂗𒍪 (zuen)</li></ol>
zuh	<i>romanization</i><br><ol><li>Romanization of 𒅗 (zuḫ)</li></ol>
𒀀|a-a|e₄|𒀀𒀀|aya₂|â|a	<i>noun</i><br><ol><li>water, fluid</li><li>semen, sperm, seed</li><li>offspring, child</li><li>watercourse</li></ol>
𒀀𒀀|a-a|aya₂|â|𒀀|aya	<i>noun</i><br><ol><li>father</li></ol>
𒀀𒀀𒈝|a-a-lum|ayalum|aya-lum	<i>noun</i><br><ol><li>stag, deer</li></ol>
𒀀𒀊𒁀|a'abak|a-ab-ba	<i>noun</i><br><ol><li>seawater, sea</li></ol>
𒀀𒁀|abâ|a-ba|𒀀𒁀𒀀|a-ba-a|aba	<i>pron</i><br><ol><li>(interrogative) who</li><li>(relative) who, whoever, whom, whose</li></ol>
𒀀𒂵𒄠|a-ga-am|𒀂|agam	<i>noun</i><br><ol><li>an artificial pond for disposing of flood waters</li></ol>
𒀀𒂵𒉈𒆠|agade|a-ga-de₃ᵏⁱ	<i>name</i><br><ol><li>Akkad</li></ol>
𒀀𒃼|𒅊|a-gar₃|𒇋|agar₄|agar|agar₂	<i>noun</i><br><ol><li>field, arable land, irrigation district</li><li>meadow</li></ol>
𒀀𒄄|a gi₄|𒀀⫽𒄄|a gi	<i>verb</i><br><ol><li>to deflower</li></ol>
𒀀𒇉|i₇|id₂|id	<i>noun</i><br><ol><li>river, watercourse</li><li>canal, channel</li></ol>
𒀀𒇉𒈦𒄘𒃼|𒄘𒃼|idigna	<i>name</i><br><ol><li>Tigris</li></ol>
𒀀𒇉𒌓𒄒𒉣	<i>name</i><br><ol><li>Euphrates</li></ol>
𒀀𒈝|a-lum|aslum	<i>noun</i><br><ol><li>a type of sheep</li></ol>
𒀀𒈠𒊒|amaruk|a-ma-ru	<i>noun</i><br><ol><li>devastating flood, the mythical Deluge</li><li>emergency, urgent situation</li></ol>
𒀀𒈾|a-na|ana	<i>pron</i><br><ol><li>(interrogative) what</li></ol>
𒀀𒉈|a-ne|anē	<i>pron</i><br><ol><li>he, she (third-person singular personal pronoun)</li></ol>
𒀀𒉈𒉈|a-ne-ne|anēnē	<i>pron</i><br><ol><li>they (third-person plural personal pronoun)</li><li>(enclitic) their (third-person plural possessive pronoun)</li></ol>
𒀀𒉌|a-ni|ane|a-ne₂	<i>pron</i><br><ol><li>(enclitic) his/her (third-person human possessive pronoun)</li></ol>
𒀀𒊏𒍪|arazu|a-ra-zu	<i>noun</i><br><ol><li>supplication</li><li>a large frog</li></ol>
𒀀𒊒|a ru|𒀀⫽𒊒	<i>verb</i><br><ol><li>to dedicate</li></ol>
𒀀𒊮|a-šag₄|𒃷|ašag	<i>noun</i><br><ol><li>field</li><li>(mathematics) surface</li><li>volume</li></ol>
𒀀𒋗𒉀|a tu₅|a tu|𒀀⫽𒋗𒉀	<i>verb</i><br><ol><li>to wash, bathe</li></ol>
𒀁|eduru	<i>noun</i><br><ol><li>heir</li></ol>
𒀄|zaḫ|zaḫ₃	<i>verb</i><br><ol><li>to disappear, flee, run away, escape</li></ol>
𒀉|a|a₂	<i>noun</i><br><ol><li>arm</li><li>wing</li><li>side, edge (of a knife)</li><li>strength, force, military force</li><li>labor, work force</li><li>work period/unit (measured in days)</li><li>(point in) time</li><li>wage, hire, fee, payment, expenditure</li><li>horn, antler</li></ol>
𒀉𒀾	<i>noun</i><br><ol><li>wish, desire</li></ol>
𒀉𒁍𒁕|a₂-gid₂-da|agida	<i>noun</i><br><ol><li>spear</li></ol>
𒀉𒃻|a g̃ar|a₂ g̃ar|𒀉⫽𒃻	<i>verb</i><br><ol><li>to defeat</li></ol>
𒀉𒉺|a₂-sag₃|asag	<i>noun</i><br><ol><li>a demon</li></ol>
𒀊|ab	<i>noun</i><br><ol><li>sea</li><li>hole, opening</li><li>window</li><li>roof vent</li><li>elder</li></ol>
𒀊𒁀|𒀋|abba|abba₂|ab-ba	<i>noun</i><br><ol><li>old man, elder, wise man</li><li>father</li><li>witness</li></ol>
𒀊𒋭|𒇦|𒆼|ab-lal₃|ablal₃|ablal	<i>noun</i><br><ol><li>window, opening, cranny</li><li>nest, nook</li></ol>
𒀊𒍪|𒍪𒀊|ab-zu|zu-ab|abzu	<i>noun</i><br><ol><li>The "sentient sea", the personification of the sea as a god.</li><li>Mythological underground fresh water ocean, home of the god Enki.</li><li>A water-basin shrine in many Mesopotamian temples.</li></ol>
𒀍|urugal|irigal	<i>noun</i><br><ol><li>earth, land</li><li>underworld</li><li>(poetic) grave, tomb</li></ol>
𒀕𒆠|𒀕|unug|unugᵏⁱ|Unug	<i>name</i><br><ol><li>Uruk (city in southern Mesopotamia, cult center of Anu and Inanak; אֶרֶךְ (ʾérek̠) in the Bible, modern وَرْكاء (warkāʾ), in Iraq)</li></ol>
𒀖|ab|ab₂	<i>noun</i><br><ol><li>cow</li></ol>
𒀚|lipiš	<i>noun</i><br><ol><li>inner body, heart</li><li>strong, emotion, anger, rage, courage</li><li>innards</li></ol>
𒀜𒁕|ad|𒀜|ad-da|adda	<i>noun</i><br><ol><li>father</li></ol>
𒀝|a₅|ak	<i>verb</i><br><ol><li>to do, perform, act</li><li>to make, construct</li><li>to treat, make into, make like</li></ol>
𒀞|me|me₃	<i>noun</i><br><ol><li>battle</li></ol>
𒀠|maḫ₂|al|𒄑𒀠|maḫ	<i>noun</i><br><ol><li>mattock, hoe, pickaxe</li></ol>
𒀠𒀝|𒀠⫽𒀝|al ak	<i>verb</i><br><ol><li>to perform a type of hoeing</li></ol>
𒀠𒅗|al dug₄|𒀠⫽𒅗|al dug	<i>verb</i><br><ol><li>to desire</li></ol>
𒀠𒆕|𒀠⫽𒆕|al du|al du₃	<i>verb</i><br><ol><li>to dig, perform a type of hoeing</li></ol>
𒀩|alam/|alan	<i>noun</i><br><ol><li>figure, form, image</li><li>statue, figurine</li></ol>
𒀫|amar	<i>noun</i><br><ol><li>calf</li><li>young, youngster, chick</li><li>son, descendant</li></ol>
𒀬𒀬|𒀬|siškur|siskur₂|sizkur₂|sizkur|siskur|siškur₂	<i>noun</i><br><ol><li>a kind of prayer</li></ol>
𒀭|am₆|ān|dig̃ir|am|an	<i>verb</i><br><ol><li>(Old Sumerian) Alternative form of 𒀀𒀭 (am₃ /am/)</li></ol><br><i>noun</i><br><ol><li>sky, heaven</li><li>the sky god Ān</li><li>deity, god/goddess</li></ol>
𒀭𒀀𒆷𒆷|ᵈa-la-la|Alala	<i>name</i><br><ol><li>Alala (Primordial god)</li></ol>
𒀭𒀀𒇉|Id|ᵈ	<i>name</i><br><ol><li>River, river god (a river personified or deified)</li></ol>
𒀭𒀫𒌓|ᵈamar-utu|Marduk|ᵈmarduk	<i>name</i><br><ol><li>Marduk (patron deity of Babylon)</li></ol>
𒀭𒀭𒉀|ᵈnanibgal|Nanibgal	<i>name</i><br><ol><li>Nanibgal (epithet of the goddess Nisaba)</li></ol>
𒀭𒁀𒌑|ᵈba-u₂|Bau	<i>name</i><br><ol><li>Bau (healing and fertility goddess, daughter of Anu, wife of Ning̃irsuk)</li></ol>
𒀭𒁁𒇷𒇷|ᵈbe-li-li|Belili	<i>name</i><br><ol><li>Belili (primordial god)</li></ol>
𒀭𒁇|anbar|an-bar	<i>noun</i><br><ol><li>iron</li></ol>
𒀭𒁇𒋤|an-bar-sug₄|anbarsug	<i>noun</i><br><ol><li>iron</li></ol>
𒀭𒂗𒆤|ᵈen-lil₂|Enlil	<i>name</i><br><ol><li>Enlil (the king of the gods of the Sumerian pantheon)</li></ol>
𒀭𒄑𒉋𒂵𒎌|Gilgameš|ᵈgilgameš₂	<i>name</i><br><ol><li>Gilgamesh</li></ol>
