'di ba|diba|dibá	<i>phrase</i><br><ol><li>Contraction of hindi ba: isn't it; isn't that</li></ol>
sumagadsad|sagadsad|sasagadsad|sumasagadsad|actor|sumagadsád|kakasagadsad|kasasagadsad	<i>verb</i><br><ol><li>to skid; to slide along (of wheels of a vehicle when hitting the break)</li><li>to run aground (of a ship)</li><li>(figuratively) to suffer defeat; to be overpowered</li><li>complete aspect of sumagadsad</li></ol>
sumagitsit|sagitsit|sumasagitsit|actor|sumagitsít|kasasagitsit|sasagitsit|kakasagitsit	<i>verb</i><br><ol><li>to sizzle; to hiss (when in contact with heat)</li><li>to rush with a whizzing sound; to speed away with a hiss</li><li>complete aspect of sumagitsit</li></ol>
sumagot|ikasagot|nakikipagpasagot|masagot|sinasagot|ikakasagot|sinagutan|ipinagpapasagot|nagpapasagot|pinagpasagutan|ikakapagpasagot|papapagsagutan|inasagot|pinagsasagutan|sagután|pinasagot|papasagutin|pagsasagutan|kapapasagot|kasasagot|ikasasagot|pagsagutan|sagutin|pinapagsagutan|pagpapasasagutan|ikapagpapasagot|ipapasagot|pasasagutan|ikinakapagpasagot|sagutín|sumagót|makikisagot|pasagutin|pinapasagutan|ikinasagot|ikinakasagot|ipinansagot|ipasagót|sasagot|isinagot|asagutin|pinasasagot|ipagpapasagot|nagpasagot|isasagot|magpapasagot|ipinagpasagot|papagpasagutan|ikinapagpasagot|sagutan|isagot|ipapansagot|papasagutan|sasagutin|pasasagutin|ipasasagot|makipagpasagot|pinasasagutan|kapagpapasagot|sumasagot|pasagutan|ipagpasagot|ikinapagpapasagot|nakisagot|ipinapansagot|pinapagpasagutan|pinapasagot|nasagot|ikapagpasagot|sagot|ipinasagot|ipansagot|ikinasasagot|pinasagutan|magpasagot|nakipagpasagot|pinapapagsagutan|ipapagpasagot|pinagsagutan|ipinasasagot|pagpasagutan|inasagutan|kakapasagot|ipinapagpasagot|papagsagutan|ipasagot|sumagot|⁠kapasasagot|makisagot|pinagpapasasagutan|sasagutan|nakikisagot|kakasagot|makikipagpasagot|ipinapasagot|isinasagot|sinasagutan|asagutan|sinagot	<i>verb</i><br><ol><li>to reply; to respond</li><li>to solve; to answer</li><li>to assume a responsibility; to be responsible for</li><li>to be a guarantor for; to stand as a guarantor for</li><li>complete aspect of sumagot</li></ol>
sumailalim|sailalim|kakasailalim|sumasailalim|actor|kasasailalim|sasailalim	<i>verb</i><br><ol><li>to undergo something (usually followed by sa)</li><li>to be under the control or authority of (usually followed by sa)</li><li>complete aspect of sumailalim</li></ol>
sumakabilang-buhay|kasasakabilang-buhay|sakabilang-buhay|kakasakabilang-buhay|actor|sumakabiláng-buhay|sasakabilang-buhay|sumasakabilang-buhay	<i>verb</i><br><ol><li>(idiomatic) to die</li><li>complete aspect of sumakabilang-buhay</li></ol><br><i>noun</i><br><ol><li>(idiomatic) the dead</li></ol>
sumakay|sumakáy|sakay|sasakay|actor|kakasakay|kasasakay|sumasakay	<i>verb</i><br><ol><li>to ride; to board (a train, bus, ship, car, etc.)</li><li>(figuratively, colloquial) to go along with; to play along (with a joke, etc.)</li><li>complete aspect of sumakay</li></ol>
sumakit|kakasakit|sakit|sasakit|actor|sumasakit|sumakít|kasasakit	<i>verb</i><br><ol><li>(intransitive) to become painful; to hurt</li><li>to hurt; to cause injury to</li><li>complete aspect of sumakit</li></ol>
sumalangit|kakasalangit|sumasalangit|kasasalangit|actor|salangit|sasalangit	<i>verb</i><br><ol><li>to be in heaven</li><li>(euphemistic) to pass away; to die</li><li>complete aspect of sumalangit</li></ol>
sumalapang|sumalapáng|sasalapang|salapang|sumasalapang|actor|kakasalapang|kasasalapang|ᜐᜓᜋᜎᜉᜅ᜔	<i>verb</i><br><ol><li>to harpoon; to strike with a harpoon</li><li>complete aspect of sumalapang</li></ol>
sumalapaw|sasalapaw|kasasalapaw|kakasalapaw|actor|salapaw|sumasalapaw	<i>verb</i><br><ol><li>to spread over (of vines on tall grasses or over a trellis)</li><li>complete aspect of sumalapaw</li></ol><br><i>noun</i><br><ol><li>mullet (Mugilidae)</li><li>estuary stonefish (Synanceia horrida)</li></ol>
sumalisi|sasalisi|kasasalisi|kakasalisi|actor|salisi|sumalisí|sumasalisi	<i>verb</i><br><ol><li>to alternate in work (with someone)</li><li>to sneak into a place furtively</li><li>to arrange alternately (different kinds of things)</li><li>(colloquial) to steal stealthily (something)</li><li>complete aspect of sumalisi</li></ol>
sumama|sama|sumamâ|sumasama|kasasama|sumama|actor|kakasama|sasama	<i>verb</i><br><ol><li>to go with; to join; to come along; to accompany</li><li>to participate; to take part</li><li>(intransitive) to combine; to mix with</li><li>complete aspect of sumama</li><li>to deteriorate; to become worse</li><li>to become evil; to become morally bad</li></ol>
sumampalataya|sampalataya|sasampalataya|kakasampalataya|kasasampalataya|sumasampalataya|actor	<i>verb</i><br><ol><li>to believe; to have faith in</li><li>to worship; to adore</li><li>complete aspect of sumampalataya</li></ol>
suman	<i>noun</i><br><ol><li>suman (Filipino rice cake cooked in coconut milk, often wrapped in leaves)</li></ol>
sumang-ayon|kakasang-ayon|sasangayon|sangayon|kasasangayon|sang-ayon|actor|sasang-ayon|kakasangayon|sumasang-ayon|sumangayon|sumasangayon|kasasang-ayon	<i>verb</i><br><ol><li>to be in favor; to support; to approve; to agree</li><li>complete aspect of sumang-ayon</li></ol>
sumangayon|sangayon|sumasangayon|kasasangayon|actor|kakasangayon|sasangayon	<i>verb</i><br><ol><li>complete aspect of sumangayon</li></ol>
sumasampalataya	<i>verb</i><br><ol><li>progressive aspect of sampalataya</li></ol>
sumaya|sumayá|sumasaya|saya|kasasaya|actor|kakasaya|sasaya	<i>verb</i><br><ol><li>to become happy; to become cheerful</li><li>to become noisily merry (as in a party or celebration)</li><li>complete aspect of sumaya</li></ol>
sumayaw|kasasayaw|sasayaw|kakasayaw|sumayáw|sumasayaw|actor|sayaw	<i>verb</i><br><ol><li>to dance; to perform a dance</li><li>complete aspect of sumayaw</li></ol>
sumbali|ᜐᜓᜋ᜔ᜊᜎᜒ	<i>noun</i><br><ol><li>(obsolete) cutting of the throat (like a pig)</li></ol>
sumbi|sumbî	<i>noun</i><br><ol><li>(Batangas) punch; box; blow (with one's fist on the face, nose, etc.)</li><li>(Batangas) fist</li></ol>
sumbo|sumbó	<i>noun</i><br><ol><li>light of a candle or lamp</li></ol>
sumbong|sumbóng	<i>noun</i><br><ol><li>act of snitching or telling on (someone)</li><li>accusation made by someone telling on someone else</li><li>act of accusing someone (of wrongdoing, etc.)</li><li>(law) act of charging someone in court</li><li>accusation; complaint; charge (against someone)</li></ol>
sumeksi|kakaseksi|sumeseksi|seksi|actor|seseksi|kaseseksi	<i>verb</i><br><ol><li>(informal) to become sexy; to become physically attractive (especially of a woman)</li><li>complete aspect of sumeksi</li></ol>
sumemplang|semplang|kasesemplang|sesemplang|actor|sumesemplang|kakasemplang	<i>verb</i><br><ol><li>to fall suddenly on one's face (on the ground, etc.)</li><li>complete aspect of sumemplang</li></ol>
sumigwa|sumisigwa|kasisigwa|actor|kakasigwa|sumigwá|sisigwa|sigwa	<i>verb</i><br><ol><li>to have continuous, heavy rain; to have a downpour</li><li>complete aspect of sumigwa</li></ol>
sumikat|sikat|sisikat|sumisikat|kakasikat|actor|kasisikat	<i>verb</i><br><ol><li>to become famous; to become well-known</li><li>to shine; to rise (of the sun, moon, stars, etc.)</li><li>(figuratively) to shine; to excel; to do well</li></ol>
sumikip|sumikíp|sisikip|kakasikip|sumisikip|actor|kasisikip|sikip	<i>verb</i><br><ol><li>to become tight; to become tight-fitting (of clothing, shoes, etc.)</li><li>to become crowded; to become overcrowded (with people, of a room, etc.)</li></ol>
sumilang|kasisilang|silang|sisilang|actor|kakasilang|sumisilang	<i>verb</i><br><ol><li>to be born</li><li>to rise; to shine (of the sun, moon, stars, etc.)</li></ol>
sumilip|ikinasilip|ipinapasilip|ipinansilip|isisilip|papagsilipan|ipapasilip|sinisilip|ipapagpasilip|pinapagpasilipan|nakikisilip|ikakapagpasilip|pinagsilipan|sisilipin|ipasilip|pinagsisilipan|sumisilip|pasilipin|ipinagpasilip|magpasilip|ikinakasilip|asilipan|pagpapasisilipan|asilipin|pinasisilipan|makikisilip|sisilipan|masilip|pagpasilipan|ikinakapagpasilip|ipinasilip|nakisilip|pasilipan|kakasilip|pinapapagsilipan|sinilipan|pinasisilip|kapagpapasilip|ikapagpapasilip|ikapagpasilip|silipan|ikasisilip|ipapansilip|pinasilipan|pinasilip|pagsisilipan|kasisilip|isinilip|ipasisilip|ikinasisilip|makisilip|sinilip|pagsilipan|pinagpasilipan|nakikipagpasilip|ipinasisilip|ikinapagpasilip|sinisilipan|kapapasilip|ipinapansilip|isilip|nagpasilip|ikasilip|pinapasilipan|ipagpapasilip|papapagsilipan|isinisilip|⁠kapasisilip|nasilip|inasilip|inasilipan|papagpasilipan|ipinagpapasilip|nakipagpasilip|pinapagsilipan|makipagpasilip|sisilip|ikakasilip|ikinapagpapasilip|ipansilip|pinagpapasisilipan|kakapasilip|papasilipan|magpapasilip|ipagpasilip|makikipagpasilip|silip|pinapasilip|pasisilipan|ipinapagpasilip|pasisilipin|papasilipin|nagpapasilip|silipin	<i>verb</i><br><ol><li>to peep (into a small hole or opening)</li><li>complete aspect of sumilip</li></ol>
sumimangot|simangot|sisimangot|sumisimangot|actor|kasisimangot|kakasimangot	<i>verb</i><br><ol><li>to frown; to scowl</li><li>complete aspect of simangot</li></ol>
suminga|sumingá|kakasinga|actor|sisinga|sumisinga|kasisinga|singa	<i>verb</i><br><ol><li>to blow one's nose</li><li>complete aspect of suminga</li></ol>
sumingaw|sisingaw|kakasingaw|kasisingaw|sumisingaw|actor|sumingáw|singaw	<i>verb</i><br><ol><li>to leak out (of gas, etc.)</li><li>to give out malodorous fume or vapor</li><li>to evaporate; to give off vapor</li><li>to break out; to erupt (of rashes and other skin diseases)</li><li>(figuratively) to be divulged; to leak out (of a secret, etc.)</li><li>complete aspect of sumingaw</li></ol>
suminta|sinta|sisinta|sumisinta|actor|kakasinta|kasisinta|sumintá	<i>verb</i><br><ol><li>(literary) to love; to fall in love</li><li>to stand on one's hind legs (of dogs, horses, etc.)</li></ol>
sumisid|pasisisirin|makisisid|ikinakapagpasisid|ipinasisid|pinasisid|ipinansisid|asisirin|nakisisid|papasisirin|pagpasisiran|pinasisisid|ipinapagpasisid|papagpasisiran|ikasisid|sinisisid|ipasisisid|nakipagpasisid|ipinapansisid|pagsisisiran|isinisid|magpasisid|pinapasisid|pinapapagsisiran|nakikipagpasisid|makipagpasisid|ikinapagpapasisid|ipasisid|ikinapagpasisid|ipinagpasisid|kapapasisid|pagsisiran|ikinakasisid|pinagsisisiran|kakapasisid|isinisisid|pinagpapasisisiran|ipapansisid|ikakasisid|ipagpapasisid|makikipagpasisid|sinisid|ipapagpasisid|ipinagpapasisid|nakikisisid|pinagpasisiran|⁠kapasisisid|sisisirin|kapagpapasisid|sisid|ipapasisid|nasisid|sumisisid|sisisid|pinagsisiran|nagpapasisid|isisisid|pinapagpasisiran|inasisid|ikapagpapasisid|ikinasisisid|magpapasisid|ikakapagpasisid|ikapagpasisid|ipinapasisid|isisid|ikasisisid|pagpapasisisiran|papagsisiran|masisid|ipansisid|nagpasisid|kasisisid|ipinasisisid|pasisirin|sisirin|ikinasisid|pinapagsisiran|kakasisid|papapagsisiran|makikisisid|ipagpasisid	<i>verb</i><br><ol><li>to dive</li><li>to swim underwater</li><li>complete aspect of sumisid</li></ol>
sumite|sumité|ᜐᜓᜋᜒᜆᜒ	<i>noun</i><br><ol><li>act of submission (of requirements for approval)</li></ol>
sumpa|sumpâ	<i>noun</i><br><ol><li>curse; wishing of evil (on someone)</li><li>oath</li><li>vow; solemn promise</li><li>a type of climbing vine (used as an antidote for poison by infusing its bark)</li></ol>
sumpak|sumpák	<i>noun</i><br><ol><li>blowgun; popgun</li><li>improvised shotgun</li></ol>
sumpit|sumpít	<i>noun</i><br><ol><li>blowgun; popgun</li><li>enema apparatus</li><li>shooting with a blowgun or popgun</li></ol>
sumpong|sumpóng	<i>noun</i><br><ol><li>fit; attack (of cough, disease, pain, etc.)</li><li>whim; caprice; vagary; sudden change of mind without any reason</li><li>tantrum; moodiness (especially of a child)</li><li>accidental discovery; accidental finding</li></ol>
sumuka|sumusuka|kasusuka|susuka|actor|kakasuka|suka	<i>verb</i><br><ol><li>to vomit; to throw up</li><li>complete aspect of sumuka</li></ol>
sumulat|kakasulat|sumusulat|susulat|actor|sulat|kasusulat	<i>verb</i><br><ol><li>to write (a story, novel, essay, etc.)</li><li>to write a letter</li><li>complete aspect of sumulat</li></ol>
sumulong|sumusulong|susulong|kasusulong|sulong|actor|kakasulong	<i>verb</i><br><ol><li>to go ahead; to move forward; to advance</li><li>to make progress; to develop</li><li>complete aspect of sumulong</li></ol>
sumulsol|ikinapagpasulsol|sinusulsulan|nasulsol|nagpapasulsol|pinapasulsol|makikisulsol|pagpapasusulsulan|sulsulan|kapagpapasulsol|inasulsulan|pasulsulan|ikinapagpapasulsol|papapagsulsulan|pinasusulsol|ikapagpasulsol|pinagsusulsulan|sulsol|nakikisulsol|makipagpasulsol|sumusulsol|ipinapagpasulsol|pinapagpasulsulan|susulsulan|pasusulsulin|ikinasusulsol|ipinagpasulsol|⁠kapasusulsol|asulsulan|papasulsulin|ipinansulsol|pagpasulsulan|isusulsol|pinapapagsulsulan|ipinagpapasulsol|pinasulsulan|ikakasulsol|kapapasulsol|kasusulsol|pinasulsol|nakikipagpasulsol|pagsulsulan|makisulsol|nakisulsol|magpasulsol|ikinakasulsol|ipagpapasulsol|pinagpasulsulan|pinapagsulsulan|nakipagpasulsol|pagsusulsulan|ikapagpapasulsol|pinagsulsulan|ikinakapagpasulsol|nagpasulsol|sinulsulan|ipagpasulsol|sumulsól|pasulsulin|isulsol|magpapasulsol|ipapagpasulsol|kakapasulsol|ipinapansulsol|susulsol|pinasusulsulan|papagsulsulan|makikipagpasulsol|pinapasulsulan|papasulsulan|ikasusulsol|ikakapagpasulsol|ipansulsol|masulsol|pasusulsulan|pinagpapasusulsulan|papagpasulsulan|ipapansulsol|kakasulsol|isinulsol|ikasulsol|isinusulsol|ikinasulsol	<i>verb</i><br><ol><li>to instigate; to stir up; to foment; to cause trouble</li><li>complete aspect of sumulsol</li></ol>
sumunod|kasusunod|makikisunod|nakipagpasunod|papasundin|ikinakapagpasunod|pagpasundan|ipapagpasunod|nasunod|ikinakasunod|susunód|susunod|ikinapagpasunod|papagsundan|sinusunuran|papapagsundan|susunuran|susundin|kakasunod|pagsusundan|ikasunod|pinasusundan|sunuran|ikapagpasunod|sundin|ipinansunod|ikakasunod|nagpapasunod|pinagsusundan|sinundan|susundan|asunuran|makikipagpasunod|pasusundan|pasundin|ikasusunod|magpasunod|sinunod|pinasunod|ikakapagpasunod|ipinapasunod|ikapagpapasunod|pinapasunod|isusunod|sinunuran|nakikisunod|inasunod|sunod|ipinapansunod|ipagpasunod|isunod|sumunod|pinapagsundan|nagpasunod|sundan|pinasundan|pinagpasundan|ikinapagpapasunod|nakikipagpasunod|kapapasunod|sumunód|pagsundan|isinusunod|pasusundin|pinapasundan|pinagsundan|ipapasunod|pinagpapasusundan|⁠kapasusunod|makipagpasunod|ipagpapasunod|sumusunod|kakapasunod|inasunuran|kapagpapasunod|pinapapagsundan|ipasunod|makisunod|sundín|ipansunod|ipinasusunod|ipapansunod|ipinagpasunod|asundin|ipasusunod|ipinapagpasunod|sunuri|pasundan|pinasusunod|papagpasundan|sinusundan|sundán|asundan|magpapasunod|pinapagpasundan|ikinasunod|pagpapasusundan|papasundan|inasundan|isinunod|masunod|ikinasusunod|ipinasunod|sinusunod|ipinagpapasunod|sunurán|nakisunod	<i>verb</i><br><ol><li>to follow; to obey (a command, order, rule, law, etc.)</li><li>to go after another; to follow</li><li>to be next; to follow one immediately ahead</li><li>complete aspect of sumunod</li></ol>
sumuong|kakasuong|susuong|sumusuong|kasusuong|actor|suong|sumuóng	<i>verb</i><br><ol><li>to involve oneself needlessly; to risk oneself (against danger, odds, difficulties, etc.)</li><li>complete aspect of sumuong</li></ol>
sumusulat	<i>verb</i><br><ol><li>progressive of sumulat</li></ol>
sumuway|kasusuway|susuway|actor|sumuwáy|suway|kakasuway|sumusuway	<i>verb</i><br><ol><li>to disobey (someone)</li><li>to violate; to disobey (an order, rule, law, etc.)</li><li>complete aspect of sumuway</li></ol>
sundalo	<i>noun</i><br><ol><li>soldier</li><li>(colloquial, figuratively) one's male child</li><li>(colloquial, figuratively) follower</li></ol>
sundan|kasusunod|makikisunod|nakipagpasunod|papasundin|ikinakapagpasunod|pagpasundan|ipapagpasunod|nasunod|ikinakasunod|susunód|susunod|ikinapagpasunod|papagsundan|sinusunuran|papapagsundan|susunuran|susundin|kakasunod|pagsusundan|ikasunod|pinasusundan|sunuran|ikapagpasunod|sundin|ipinansunod|ikakasunod|nagpapasunod|pinagsusundan|sinundan|susundan|asunuran|makikipagpasunod|pasusundan|pasundin|ikasusunod|magpasunod|sinunod|pinasunod|ikakapagpasunod|ipinapasunod|ikapagpapasunod|pinapasunod|isusunod|sinunuran|nakikisunod|inasunod|sunod|ipinapansunod|ipagpasunod|isunod|sumunod|pinapagsundan|nagpasunod|sundan|pinasundan|pinagpasundan|ikinapagpapasunod|nakikipagpasunod|kapapasunod|sumunód|pasusundin|pagsundan|isinusunod|pinapasundan|pinagsundan|ipapasunod|pinagpapasusundan|⁠kapasusunod|makipagpasunod|ipagpapasunod|sumusunod|kakapasunod|inasunuran|kapagpapasunod|pinapapagsundan|ipasunod|makisunod|sundín|ipansunod|ipinasusunod|ipapansunod|ipinagpasunod|asundin|ipasusunod|ipinapagpasunod|sunuri|pasundan|pinasusunod|papagpasundan|sinusundan|sundán|asundan|magpapasunod|pinapagpasundan|ikinasunod|pagpapasusundan|papasundan|inasundan|isinunod|masunod|ikinasusunod|ipinasunod|sinusunod|ipinagpapasunod|sunurán|nakisunod	<i>verb</i><br><ol><li>to follow; to trail</li><li>to be followed by another (as in a succession)</li><li>to pursue; to run after</li></ol>
sundang|sundáng	<i>noun</i><br><ol><li>dagger; short machete; heavy knife</li><li>short, broad kitchen knife</li></ol>
sunday|sundáy	<i>adj</i><br><ol><li>inclined; tilted</li></ol><br><i>noun</i><br><ol><li>inclination; tilt</li></ol>
sundin|kasusunod|makikisunod|nakipagpasunod|papasundin|ikinakapagpasunod|pagpasundan|ipapagpasunod|nasunod|ikinakasunod|susunód|susunod|ikinapagpasunod|papagsundan|sinusunuran|papapagsundan|susunuran|susundin|kakasunod|pagsusundan|ikasunod|pinasusundan|sunuran|ikapagpasunod|sundin|ipinansunod|ikakasunod|nagpapasunod|pinagsusundan|sinundan|susundan|asunuran|makikipagpasunod|pasusundan|pasundin|ikasusunod|magpasunod|sinunod|pinasunod|ikakapagpasunod|ipinapasunod|ikapagpapasunod|pinapasunod|isusunod|sinunuran|nakikisunod|inasunod|sunod|ipinapansunod|ipagpasunod|isunod|sumunod|pinapagsundan|nagpasunod|sundan|pinasundan|pinagpasundan|ikinapagpapasunod|nakikipagpasunod|kapapasunod|sumunód|pagsundan|isinusunod|pasusundin|pinapasundan|pinagsundan|ipapasunod|pinagpapasusundan|⁠kapasusunod|makipagpasunod|ipagpapasunod|sumusunod|kakapasunod|inasunuran|kapagpapasunod|pinapapagsundan|ipasunod|sundín|makisunod|ipansunod|ipinasusunod|ipapansunod|ipinagpasunod|asundin|ipasusunod|ipinapagpasunod|sunuri|pasundan|pinasusunod|papagpasundan|sinusundan|sundán|asundan|magpapasunod|pinapagpasundan|ikinasunod|pagpapasusundan|papasundan|inasundan|isinunod|masunod|ikinasusunod|ipinasunod|sinusunod|ipinagpapasunod|sunurán|nakisunod	<i>verb</i><br><ol><li>to obey; to follow (a command, order, rule, law, etc.)</li><li>to do what is being asked to perform</li></ol>
sundo|sundô	<i>noun</i><br><ol><li>act of fetching someone (from a certain place)</li><li>fetching time</li><li>fetcher (person who fetches someone)</li><li>following up on a task or project (till its completion)</li></ol>
sundong|sundóng	<i>noun</i><br><ol><li>forked pole</li></ol>
sundot|sundót	<i>noun</i><br><ol><li>poking; piercing; pricking (with one's finger, pencil, stick, thorn, needle, etc.)</li><li>small hole; small puncture (made by such a prick)</li></ol>
sung-al	<i>noun</i><br><ol><li>digging with the snout (of some animals)</li></ol>
sungal|sung-al|sungál	<i>noun</i><br><ol><li>light push of the tongue against the teeth</li><li>tap or chuck; upward push of the hand (on the chin, mouth, or nose)</li><li>position of the upper teeth or lip being more prominent than the lower</li><li>moving, raising or pushing of a bit (as with a screwdriver)</li><li>(figuratively) act of contradicting someone (usually in a reproachful manner with no valid reason)</li></ol><br><i>adj</i><br><ol><li>having the upper teeth or lip more prominent than the lower</li></ol>
sungaw|sungáw	<i>adj</i><br><ol><li>uncircumcised</li></ol><br><i>noun</i><br><ol><li>showing of oneself through an opening (a hole, door, window, etc.)</li><li>looking out of a window</li></ol>
sungay	<i>noun</i><br><ol><li>horn (of an animal)</li></ol><br><i>adj</i><br><ol><li>made of horn (of an animal)</li></ol>
sunggab|sunggáb	<i>noun</i><br><ol><li>snatching; seizing suddenly (from someone)</li><li>snatching with one's mouth</li><li>sudden arrest (as of a wanted criminal)</li><li>(figuratively) sudden grabbing; sudden acceptance (of an offer, opportunity, etc.)</li></ol>
sunggo|sunggô|sunggó	<i>noun</i><br><ol><li>light bump or knock</li></ol>
sungi|sungî|sungì	<i>adj</i><br><ol><li>harelipped; having a harelip</li></ol><br><i>noun</i><br><ol><li>harelip</li></ol>
sungit	<i>noun</i><br><ol><li>standoffishness with grumpiness; aloofness with grouchiness</li><li>strictness (of a person or order)</li><li>harshness; inclemency (of weather)</li></ol>
sungka|sungkâ	<i>noun</i><br><ol><li>(board games) sungka; congkak (especially the Philippine variety)</li></ol>
sungki|sungkî	<i>adj</i><br><ol><li>uneven; irregular (of the growth of teeth)</li></ol><br><i>noun</i><br><ol><li>acute-angled corner</li><li>uneven or irregular growth of teeth</li></ol>
sungkit|sungkít	<i>noun</i><br><ol><li>hook attached to a pole (used to get something from a high place or picking fruit)</li><li>act of getting something with such an instrument</li><li>act of picking fruit with such an instrument</li></ol>
sungko|sungkô	<i>noun</i><br><ol><li>recruit; draftee; conscript</li><li>invitation for a gratuitous work</li><li>person invited for a gratuitous work</li></ol>
sungkol|sungkól	<i>noun</i><br><ol><li>sudden stroke, blow, or knock with the knuckles, the point of the elbow, or the end or corner of something</li></ol>
sungo|sungó	<i>adj</i><br><ol><li>dejected; crestfallen</li></ol>
sungsong|sungsóng	<i>noun</i><br><ol><li>act of going against the current or wind (such as when sailing)</li><li>(archaic) north of the monsoon</li></ol><br><i>adj</i><br><ol><li>(archaic) Chinese; of Chinese origin (only used in certain expressions)</li></ol>
sunod|sunód	<i>adj</i><br><ol><li>following another; next; subsequent (of someone or something)</li><li>based from (used with sa)</li></ol><br><i>noun</i><br><ol><li>one that follows another; the next</li><li>act of obeying; act of following (orders, instructions, etc.)</li><li>act of following someone</li><li>act of following a model or plan (in making something)</li></ol>
sunod-sunod|tl|sunód{l|sunod}}	<i>adj</i><br><ol><li>consecutive; in succession; one after another</li></ol><br><i>adv</i><br><ol><li>consecutively; in succession</li></ol>
sunod-sunuran|sunúd-sunúran|sunód-sunúran|sunud-sunuran	<i>adj</i><br><ol><li>docile; compliant; submissive; obedient</li><li>flexible; pliant; easily bent or twisted</li></ol><br><i>noun</i><br><ol><li>(usually derogatory) subordinate; slave</li></ol>
sunog|sunóg	<i>noun</i><br><ol><li>fire; conflagration (especially uncontrolled and destructive)</li><li>act of burning something</li></ol><br><i>intj</i><br><ol><li>fire!</li></ol><br><i>adj</i><br><ol><li>burnt completely; burnt to ashes</li><li>sunburned</li></ol>
sunok|sunók	<i>noun</i><br><ol><li>loss of interest in one's food due to having eaten too much; surfeit</li></ol>
suntok|suntók	<i>noun</i><br><ol><li>punch; box; blow with a fist</li><li>punching; boxing; striking with fist</li></ol>
suntok sa buwan|suntók sa buwán	<i>noun</i><br><ol><li>(idiomatic) act which expects no good outcome; seemingly impossible task</li></ol>
suntukan|súntúkan	<i>noun</i><br><ol><li>fistfight; fisticuffs</li></ol>
suntukin|manununtok|sinusuntok|ikinakapagpapanuntok|papanuntukan|ipansuntok|makikipagpasuntok|nagpasuntok|ikapanununtok|pinapanuntukan|ipapanuntok|ikakapagpapanuntok|suntok|pinapapanuntukan|sinuntok|kakapasuntok|kapanununtok|ikinapanununtok|nanuntok|nakikipagpasuntok|nanununtok|makikipanuntok|makipagpasuntok|nakipagpasuntok|nagpapasuntok|asuntukin|papanuntukin|ipinapanuntok|ipapagpasuntok|ipapapanuntok|nakikipanuntok|makipanuntok|manuntok|magpasuntok|⁠kapasusuntok|papapanuntukan|ipinanuntok|ipinasuntok|kakapanuntok|pinanuntukan|ipinagpapasuntok|pinanununtukan|ikapanuntok|ipanuntok|ikinapagpapanuntok|ikapagpapapanuntok|ipinagpasuntok|pinapapanuntok|ikinakapanuntok|suntukín|ipinapansuntok|magpapasuntok|manuntók|ipapansuntok|ikinapanuntok|papapanuntukin|ipinasusuntok|inasuntok|ipapasuntok|ipinapapanuntok|panuntukan|ikapagpapanuntok|ipinapasuntok|ikinapagpapapanuntok|ipasusuntok|ipasuntok|ipinapagpasuntok|ikakapanuntok|pinapanuntok|ipagpasuntok|ipagpapasuntok|kapapasuntok|nakipanuntok|susuntukin|panununtukan|kapagpapasuntok|kapapanuntok|ipinansuntok	<i>verb</i><br><ol><li>to punch; to box (with one's fist)</li></ol>
sunuran|sunuri|susunuran|inasunuran|sunod|sunurán|sinunuran|asunuran|súnúran|sinusunuran	<i>noun</i><br><ol><li>act of doing what others did (of a number of people)</li><li>simultaneous obedience to the command of someone in authority</li></ol>
suob|suób	<i>noun</i><br><ol><li>fumigation; exposure to smoke or fumes</li></ol>
suong|suóng	<i>noun</i><br><ol><li>determined effort in undertaking (something risky, dangerous, etc.)</li><li>(Batangas) wrestling</li></ol>
suot|suót	<i>noun</i><br><ol><li>clothing; clothes; what one is wearing</li><li>entry into somewhere extremely tight or narrow (such as a hole, small opening, thick forest, etc.)</li><li>insertion into a hole (as into the eye of a needle)</li><li>wearing of clothes, footwear, eyeglasses, etc.</li></ol><br><i>adj</i><br><ol><li>presently worn (of clothes)</li></ol>
superyoridad|superyoridád	<i>noun</i><br><ol><li>superiority</li></ol>
supil|supíl	<i>noun</i><br><ol><li>subjugation; domination; act of overpowering</li><li>disciplining; act of bringing under control (from being wild, stubborn, etc.)</li><li>(Bulacan) headband</li></ol><br><i>adj</i><br><ol><li>dominated; subjugated</li><li>controlled; disciplined</li></ol>
suplado|suplada	<i>adj</i><br><ol><li>conceited; snobbish; puffed up (in manners)</li></ol>
suplay|supláy	<i>noun</i><br><ol><li>supply</li></ol>
suplete	<i>noun</i><br><ol><li>blowtorch; blowlamp; blowpipe</li></ol>
supling|suplíng|sopling|soplíng	<i>noun</i><br><ol><li>progeny; offspring; scion</li><li>offshoot; bud; sprout (of a plant)</li><li>development of new growth (as from a branch or cutting)</li></ol>
supok|supók	<i>adj</i><br><ol><li>burnt to cinders; turned to charcoal; carbonized</li></ol><br><i>noun</i><br><ol><li>condition of being burned to charcoal</li><li>total burning; carbonization</li></ol>
suporta	<i>noun</i><br><ol><li>support; prop</li><li>financial support</li><li>help; aid (given to someone)</li><li>support for someone's stand or proposition</li></ol>
suportado	<i>adj</i><br><ol><li>supported; held up (with a prop or support)</li><li>supported financially</li><li>being aided or helped</li><li>supported (of a stand or proposition)</li></ol>
