Lebubînî|Lébúbînî́	<i>noun</i><br><ol><li>Tuesday</li></ol>
sibono|tíbónó|síbónó	<i>noun</i><br><ol><li>view</li></ol>
sibunu|tíbunu|síbunu	<i>noun</i><br><ol><li>anus</li><li>buttock</li></ol>
sidla	<i>verb</i><br><ol><li>to skin an animal</li></ol>
sidlalî|sídlálî|tídlálî	<i>noun</i><br><ol><li>professional player</li></ol>
sidlo|tídló|sídló	<i>noun</i><br><ol><li>dish</li></ol>
sidudu|sídudu	<i>noun</i><br><ol><li>alcoholic drink (fermented from porridge)</li></ol>
sidvuna|sídvúna	<i>noun</i><br><ol><li>masculinity</li></ol>
sidza	<i>verb</i><br><ol><li>to smear mud/cow dung on the floor</li></ol>
sidzaka|sídzaka	<i>noun</i><br><ol><li>clay</li></ol>
sidzela	<i>verb</i><br><ol><li>to trespass, to sin</li></ol>
sidzwa	<i>verb</i><br><ol><li>to not to know, to be unsure</li></ol>
sidîya|sídîya|tídîya	<i>noun</i><br><ol><li>dress</li></ol>
sifahleho|tífáhleho|sífáhleho	<i>noun</i><br><ol><li>face</li></ol>
sifako|sífako	<i>noun</i><br><ol><li>hail</li></ol>
sifapano|sífápáno|tífápáno	<i>noun</i><br><ol><li>cross, crucifix</li></ol>
sifela|sífela|tífela	<i>noun</i><br><ol><li>hymn religious song</li></ol>
sififo|sífífó	<i>noun</i><br><ol><li>storm</li></ol>
sifofû|sífofû|tífofû	<i>noun</i><br><ol><li>blind person</li></ol>
sigodzî|sígodzî́|tígodzî́	<i>noun</i><br><ol><li>palm (of hand)</li></ol>
sihalalelo|tihalalelo	<i>noun</i><br><ol><li>sanctuary, holy place</li></ol>
sihluhlulu|síhlúhlulu|tíhlúhlulu	<i>noun</i><br><ol><li>roof</li></ol>
sihole|síhólé|tíhólé	<i>noun</i><br><ol><li>cripple</li></ol>
sikepe|tíképé|síképé	<i>noun</i><br><ol><li>ship</li></ol>
sikgwabha|síkgwábhá|tíkgwábhá	<i>noun</i><br><ol><li>dried meat</li></ol>
sikhotî|síkhótî́	<i>noun</i><br><ol><li>group of friends</li></ol>
sikhulumî|tíkhúlúmî|síkhúlúmî	<i>noun</i><br><ol><li>speaker, spokesman</li></ol>
sikolo|síkólo|tíkólo	<i>noun</i><br><ol><li>school</li></ol>
sikotlo|tíkotlo|síkotlo	<i>noun</i><br><ol><li>nape of neck</li></ol>
sikotlolo|tíkótlolo|síkótlolo	<i>noun</i><br><ol><li>dish</li></ol>
sikwayelo|tíkwáyelo|síkwáyelo	<i>noun</i><br><ol><li>lid</li></ol>
silambha|tíláḿbha|síláḿbha	<i>noun</i><br><ol><li>lumber jacket</li></ol>
silepe|tílépé|sílépé	<i>noun</i><br><ol><li>axe</li></ol>
siligani|sílígani	<i>noun</i><br><ol><li>group of friends</li></ol>
silimo|tílimo|sílimo	<i>noun</i><br><ol><li>year</li></ol>
simûmû|símû́mû́|tímû́mû́	<i>noun</i><br><ol><li>cripple</li></ol>
sinya	<i>verb</i><br><ol><li>to waste, to destroy</li></ol>
sinyeka	<i>verb</i><br><ol><li>to suffer injuries</li></ol>
siphadze|síphadzé|típhadzé	<i>noun</i><br><ol><li>tree</li></ol>
siphaga|síphaga|típhaga	<i>noun</i><br><ol><li>arm</li></ol>
siphalî|síphálî|típhálî	<i>noun</i><br><ol><li>whip (sjambok)</li></ol>
siqu|síqu|tíqu	<i>noun</i><br><ol><li>maize cob</li></ol>
sira|síra|tíra	<i>noun</i><br><ol><li>enemy</li></ol>
sirapa|tírapá|sírapá	<i>noun</i><br><ol><li>garden</li></ol>
sirethe|tíréthé|síréthé	<i>noun</i><br><ol><li>heel</li></ol>
sirogî|tírógî|sírógî	<i>noun</i><br><ol><li>praise singer (i.e. by trade, not just chancing to sing)</li></ol>
sirubhi|sírubhi|tírubhi	<i>noun</i><br><ol><li>thigh</li></ol>
sirûrûbëlë|tírû́rû́bë́lë|sírû́rû́bë́lë	<i>noun</i><br><ol><li>butterfly</li></ol>
sisu|sísu|tísu	<i>noun</i><br><ol><li>stomach</li></ol>
sisî|sísî́	<i>noun</i><br><ol><li>large amount of smoke</li></ol>
sita	<i>verb</i><br><ol><li>to help</li></ol>
sitfuti|títfutí|sítfutí	<i>noun</i><br><ol><li>shadow</li></ol>
sithûnya|síthû́nya|títhû́nya	<i>noun</i><br><ol><li>gun</li></ol>
sitiriki|sítiríki|títiríki	<i>noun</i><br><ol><li>district</li></ol>
sitjhaba|títjhaba|sítjhaba	<i>noun</i><br><ol><li>tribe</li></ol>
sitshetela	<i>verb</i><br><ol><li>to protect</li></ol>
sitshetshana|títshétshana|sítshétshana	<i>noun</i><br><ol><li>garden</li></ol>
sitshwantsho|sítshwántsho|títshwántsho	<i>noun</i><br><ol><li>picture</li></ol>
sitsû|títsû́|sítsû́	<i>noun</i><br><ol><li>elbow</li></ol>
sixankxani|síxáńkxani|tíxáńkxani	<i>noun</i><br><ol><li>frog</li></ol>
siyeda|tíyedá|síyedá	<i>noun</i><br><ol><li>shoe</li></ol>
sogulla	<i>verb</i><br><ol><li>to convert</li><li>to convert someone, to change someone's heart</li></ol>
sola	<i>verb</i><br><ol><li>to blame</li></ol>
sona|soná	<i>pron</i><br><ol><li>he, she, him, her, it; class 7 absolute pronoun.</li></ol>
suduka	<i>verb</i><br><ol><li>to move aside, to give way</li></ol>
suka	<i>verb</i><br><ol><li>to go away, to leave</li></ol>
susa	<i>verb</i><br><ol><li>to remove</li></ol>
sutsha	<i>verb</i><br><ol><li>to be satiated</li></ol>
swaba	<i>verb</i><br><ol><li>to become embarrassed</li><li>to embarrass</li></ol>
sîla	<i>verb</i><br><ol><li>to grind</li></ol>
sîlafala	<i>verb</i><br><ol><li>to become dirty</li></ol>
sîtsa	<i>verb</i><br><ol><li>to give, to grant favors with</li></ol>
sûbha	<i>verb</i><br><ol><li>to point to</li></ol>
sûbhîye|tisûbhîye|lasûbhîye|isûbhîye|lesûbhîye|letisûbhîye|lobusûbhîye|sisûbhîye|asûbhîye|busûbhîye|basûbhîye|lesisûbhîye|kusûbhîye|legisûbhîye|lisûbhîye|lokusûbhîye|labasûbhîye|lelisûbhîye|usûbhîye|gisûbhîye|losûbhîye	<i>conj</i><br><ol><li>seven</li></ol>
ta	<i>verb</i><br><ol><li>to come</li></ol>
tabula	<i>verb</i><br><ol><li>to yawn</li></ol>
tala	<i>verb</i><br><ol><li>to become full</li><li>to bear</li></ol>
tamisa	<i>verb</i><br><ol><li>to stir (e.g. coffee)</li></ol>
tankisa	<i>verb</i><br><ol><li>to thank</li></ol>
tantela	<i>verb</i><br><ol><li>to tie up, to tie around</li></ol>
tata	<i>verb</i><br><ol><li>to hurry</li></ol>
tatsa	<i>verb</i><br><ol><li>to fill up</li></ol>
te|lesite|lelite|lete|letite|lobute|site|labate|bute|lite|legite|tite|ute|gite|kute|ate|té|lokute|late|bate|lote|ite	<i>conj</i><br><ol><li>just, only, however</li><li>naked</li></ol>
teka	<i>verb</i><br><ol><li>to marry</li><li>to lay (the table)</li></ol>
teketsa	<i>verb</i><br><ol><li>to twitch</li></ol>
tepella	<i>verb</i><br><ol><li>to be very tired</li></ol>
tepelletsa	<i>verb</i><br><ol><li>to do something slowly</li></ol>
tepellisa	<i>verb</i><br><ol><li>to do something slowly</li></ol>
tfoga	<i>verb</i><br><ol><li>to insult</li></ol>
tfuga	<i>verb</i><br><ol><li>to sew</li></ol>
tfuka	<i>verb</i><br><ol><li>to get a fright</li></ol>
tfukulla	<i>verb</i><br><ol><li>to free</li><li>to deliver</li><li>(transitive) to set free</li><li>(intransitive) to take off</li></ol>
tfukulleka	<i>verb</i><br><ol><li>to be free</li></ol>
tfula	<i>verb</i><br><ol><li>to be quiet</li></ol>
tfuma	<i>verb</i><br><ol><li>to send</li></ol>
tfwala	<i>verb</i><br><ol><li>to carry</li></ol>
tfwatsha	<i>verb</i><br><ol><li>to carry on the head</li></ol>
thakghîsa	<i>verb</i><br><ol><li>to nail, to crucify</li></ol>
thatafala	<i>verb</i><br><ol><li>to become hard, to become difficult</li></ol>
thewuka	<i>verb</i><br><ol><li>to descend</li></ol>
thewusela	<i>verb</i><br><ol><li>to descend</li></ol>
thowuka	<i>verb</i><br><ol><li>to get down, to travel down</li></ol>
thînya	<i>verb</i><br><ol><li>to turn</li></ol>
thûda	<i>verb</i><br><ol><li>to teach</li></ol>
thûnya	<i>verb</i><br><ol><li>to shoot</li></ol>
thûsa	<i>verb</i><br><ol><li>to help</li></ol>
tigcegca|tígcegca	<i>noun</i><br><ol><li>mouth-watering</li></ol>
tjha|lesibatjha|lesitjha|lhitjha|ssitjha|sibatjha|ttitjha|mhutjha|bhutjha|lobutjha|lelitjha|lokutjha|libatjha|legimutjha|letjha|kkutjha|lamutjha|yhitjha|letitjha|lomutjha|lamatjha|labatjha|lelibatjha|mhatjha|gimutjha|lemitjha|bhatjha|mhitjha|umutjha	<i>adj</i><br><ol><li>new</li></ol><br><i>verb</i><br><ol><li>to burn</li></ol>
tjhanisa	<i>verb</i><br><ol><li>to smash</li></ol>
tjhaya	<i>verb</i><br><ol><li>to hit</li></ol>
tjhee|tjheé	<i>intj</i><br><ol><li>no, well...</li></ol>
tjhetjha	<i>verb</i><br><ol><li>to move (always backwards)</li></ol>
tjhetjhella	<i>verb</i><br><ol><li>to move in the direction of (always backwards)</li></ol>
tjheya	<i>verb</i><br><ol><li>to fish</li></ol>
tjhiga	<i>verb</i><br><ol><li>to dig</li></ol>
tjhika	<i>verb</i><br><ol><li>to dig up</li></ol>
tjhisa	<i>verb</i><br><ol><li>to become hot</li></ol>
tjho	<i>verb</i><br><ol><li>to say so</li></ol>
tjhopola	<i>verb</i><br><ol><li>to pull away</li></ol>
tjhubela	<i>verb</i><br><ol><li>to set (of the sun)</li></ol>
tjhwatleka	<i>verb</i><br><ol><li>to become shattered</li></ol>
tjukutjela	<i>verb</i><br><ol><li>to throw at someone unaware</li></ol>
tlalehela	<i>verb</i><br><ol><li>to tell</li></ol>
tlama	<i>verb</i><br><ol><li>to tie up</li></ol>
tlamulla	<i>verb</i><br><ol><li>to untie (e.g. shoelace)</li></ol>
tlhutlhura	<i>verb</i><br><ol><li>to shake out</li></ol>
tlontlulla	<i>verb</i><br><ol><li>to disgrace someone</li></ol>
tlula	<i>verb</i><br><ol><li>to jump over</li></ol>
tlwayela	<i>verb</i><br><ol><li>to be accustomed to</li></ol>
tona|toná	<i>pron</i><br><ol><li>they, them; class 8 absolute pronoun.</li><li>they, them; class 10 absolute pronoun.</li></ol>
towûta	<i>verb</i><br><ol><li>to think deeply, to meditate, to be pensive</li></ol>
tsala	<i>verb</i><br><ol><li>to pull</li></ol>
tshaba	<i>verb</i><br><ol><li>to be happy</li></ol>
tshabha	<i>verb</i><br><ol><li>to be soft</li><li>to be happy</li></ol>
tshadza	<i>verb</i><br><ol><li>(transitive) to love, to like</li></ol>
tshanyela	<i>verb</i><br><ol><li>to sweep</li></ol>
tshatfu|ssitshatfu|kkutshatfu|lemitshatfu|lelibatshatfu|lamatshatfu|mhatshatfu|gimutshatfu|mhutshatfu|lesitshatfu|sibatshatfu|labatshatfu|lesibatshatfu|letitshatfu|letshatfu|ttitshatfu|lokutshatfu|lamutshatfu|bhutshatfu|legimutshatfu|lelitshatfu|lobutshatfu|bhatshatfu|yhitshatfu|umutshatfu|lomutshatfu|libatshatfu|mhitshatfu|lhitshatfu	<i>adj</i><br><ol><li>three</li></ol>
tshebha	<i>verb</i><br><ol><li>to hope</li><li>to believe</li></ol>
tshebhakala	<i>verb</i><br><ol><li>to be trustworthy</li></ol>
tshega	<i>verb</i><br><ol><li>to buy, to purchase</li></ol>
tshegisa	<i>verb</i><br><ol><li>to sell</li></ol>
tshehetsa	<i>verb</i><br><ol><li>to hold tightly</li></ol>
tshela	<i>verb</i><br><ol><li>to pour in (till full)</li></ol>
tshetsha	<i>verb</i><br><ol><li>to speak</li><li>to be harsh</li></ol>
tshi	<i>verb</i><br><ol><li>to say</li></ol>
tshilela	<i>verb</i><br><ol><li>to cross over</li></ol>
tshilele|latshilele|lokutshilele|lotshilele|utshilele|labatshilele|sitshilele|batshilele|legitshilele|titshilele|litshilele|letitshilele|butshilele|lelitshilele|kutshilele|lobutshilele|gitshilele|letshilele|itshilele|atshilele|lesitshilele	<i>conj</i><br><ol><li>six</li></ol>
tshine|tshiné	<i>pron</i><br><ol><li>we, us; first-person plural absolute pronoun.</li></ol>
tshiriyana	<i>verb</i><br><ol><li>to be a fool</li></ol>
tshitleka	<i>verb</i><br><ol><li>to depend on something</li></ol>
tshwantsha	<i>verb</i><br><ol><li>to draw (a picture)</li></ol>
tshwarela	<i>verb</i><br><ol><li>to forgive</li></ol>
tshwewû|butshwewû|letshwewû|legitshwewû|latshwewû|utshwewû|sitshwewû|itshwewû|lobutshwewû|gitshwewû|labatshwewû|lelitshwewû|lesitshwewû|atshwewû|letitshwewû|batshwewû|litshwewû|lotshwewû|kutshwewû|lokutshwewû|titshwewû	<i>conj</i><br><ol><li>white</li></ol>
tsuma	<i>verb</i><br><ol><li>to hunt big animals</li></ol>
tsîpa	<i>verb</i><br><ol><li>to pinch</li></ol>
tsûbha	<i>verb</i><br><ol><li>to smoke (cigarette, etc.)</li></ol>
tsûkûnya	<i>verb</i><br><ol><li>to rinse (mouth)</li></ol>
tëjhë|të́jhë	<i>adv</i><br><ol><li>just, only</li></ol>
tîla	<i>verb</i><br><ol><li>to mourn</li></ol>
tîma	<i>verb</i><br><ol><li>to refuse, to deprive, to hold back, to give very little</li></ol>
tîmela	<i>verb</i><br><ol><li>to be difficult for</li></ol>
tîsa	<i>verb</i><br><ol><li>to bring</li></ol>
ufati|ébáfátí|mufati|úfátí|múfátí	<i>noun</i><br><ol><li>woman</li></ol>
ufo|úfó|ébáfó	<i>noun</i><br><ol><li>man</li></ol>
ufwana|úfwana|ébáfwana	<i>noun</i><br><ol><li>(derogatory) young man</li></ol>
unna|bónna|únna	<i>noun</i><br><ol><li>his/her mother</li></ol>
unyogo|únyogo|bónyogo	<i>noun</i><br><ol><li>your mother</li></ol>
va	<i>verb</i><br><ol><li>to understand</li></ol>
vala	<i>verb</i><br><ol><li>to shut, to close</li></ol>
valella	<i>verb</i><br><ol><li>to close in, to close on (someone)</li></ol>
valla	<i>verb</i><br><ol><li>to shut in</li></ol>
vatsha	<i>verb</i><br><ol><li>to put on a body extremity</li></ol>
vela	<i>verb</i><br><ol><li>to come, to originate [+locative = from]</li></ol>
velella	<i>verb</i><br><ol><li>to be in a good position/vantage point</li></ol>
vella	<i>verb</i><br><ol><li>to go and check something, to take a look at, to keep an eyeon someone/something</li></ol>
vetisa	<i>verb</i><br><ol><li>to present</li></ol>
visisisa	<i>verb</i><br><ol><li>to understand</li></ol>
viswa	<i>verb</i><br><ol><li>to suffer, to experience (pleasure, pain, happiness, sadness)</li></ol>
vubela	<i>verb</i><br><ol><li>to mix foody things</li></ol>
vuga	<i>verb</i><br><ol><li>to agree</li></ol>
vugela	<i>verb</i><br><ol><li>to allow</li></ol>
vugella	<i>verb</i><br><ol><li>to agree</li></ol>
vuka	<i>verb</i><br><ol><li>to wake up</li></ol>
vula	<i>noun</i><br><ol><li>to open</li></ol>
vuna	<i>verb</i><br><ol><li>to harvest</li></ol>
vusa	<i>verb</i><br><ol><li>to wake up</li></ol>
vusella	<i>verb</i><br><ol><li>to renew</li></ol>
vutshela	<i>verb</i><br><ol><li>to blow</li></ol>
vutshwa	<i>verb</i><br><ol><li>to become ripe, to become cooked</li></ol>
wa	<i>verb</i><br><ol><li>to fall</li></ol>
wena|wená	<i>pron</i><br><ol><li>you, thou, thee; second-person singular absolute pronoun.</li></ol>
wodza	<i>verb</i><br><ol><li>to be thin</li></ol>
woma	<i>verb</i><br><ol><li>to be dry</li></ol>
wona|woná	<i>pron</i><br><ol><li>he, she, him, her, it; class 3 absolute pronoun.</li><li>they, them; class 6 absolute pronoun.</li></ol>
wotela	<i>verb</i><br><ol><li>to become drowsy</li></ol>
wotlulla	<i>verb</i><br><ol><li>to stretch out</li></ol>
wotsha	<i>verb</i><br><ol><li>to bask in the sun</li></ol>
wîhlo|wîhló|bóyîhló	<i>noun</i><br><ol><li>your father</li></ol>
wîse|bóyîsé|wîsé	<i>noun</i><br><ol><li>his or her father</li></ol>
xhoma	<i>verb</i><br><ol><li>to hang</li></ol>
xolla	<i>verb</i><br><ol><li>to forgive</li></ol>
xotsha	<i>verb</i><br><ol><li>to banish, to drive away, to fire</li></ol>
ya	<i>verb</i><br><ol><li>to go to, towards [+locative]</li></ol>
yaba	<i>verb</i><br><ol><li>to share</li><li>to distribute</li></ol>
yadza	<i>verb</i><br><ol><li>to increase, to expand</li></ol>
yadzisa	<i>verb</i><br><ol><li>to enlarge</li></ol>
yadzuluka	<i>verb</i><br><ol><li>to become larger</li></ol>
yahlula	<i>verb</i><br><ol><li>to divide</li></ol>
yakga|iyakga|giyakga|liyakga|loyakga|legiyakga|leliyakga|lokuyakga|lesiyakga|layakga|kuyakga|bayakga|leyakga|labayakga|ayakga|buyakga|uyakga|letiyakga|tiyakga|lobuyakga|siyakga	<i>conj</i><br><ol><li>eight</li></ol>
yakha	<i>verb</i><br><ol><li>to build</li></ol>
yama	<i>verb</i><br><ol><li>to touch</li></ol>
yamukela	<i>verb</i><br><ol><li>to admit</li><li>to accept, to receive</li></ol>
yanela	<i>verb</i><br><ol><li>to be enough</li></ol>
yarula	<i>verb</i><br><ol><li>to divide</li></ol>
yati	<i>verb</i><br><ol><li>to know</li></ol>
yeba	<i>verb</i><br><ol><li>to steal</li></ol>
yebha	<i>verb</i><br><ol><li>to dig</li></ol>
yedza	<i>verb</i><br><ol><li>to make a journey</li></ol>
yema	<i>verb</i><br><ol><li>to stop</li></ol>
yemula	<i>verb</i><br><ol><li>to conceive</li><li>to become pregnant</li></ol>
yena|yená	<i>pron</i><br><ol><li>he, she, him, her, it; class 1 absolute pronoun.</li></ol>
yeta	<i>verb</i><br><ol><li>to do</li><li>to make</li></ol>
yetakala	<i>verb</i><br><ol><li>to happen</li></ol>
yetella	<i>verb</i><br><ol><li>to blame someone</li></ol>
yhala	<i>verb</i><br><ol><li>to refuse</li></ol>
yisa	<i>verb</i><br><ol><li>to lead (sheep, country)</li></ol>
yona|yoná	<i>pron</i><br><ol><li>they, them; class 4 absolute pronoun.</li><li>he, she, him, her, it; class 9 absolute pronoun.</li></ol>
