ܐ ܟ ܠ|ʾ k l	<i>root</i><br><ol><li>forming words pertaining to eating</li></ol>
ܥܠ|ܥܲܠܹܗ|ܥܲܠܗܘܿܢ|ܥܲܠܘܼܟ݂|ܥܲܠܵܗ̇|ܥܲܠܵܘܟ݂ܘܿܢ|ܥܲܠ|ܥܲܠܵܟ݂ܝ|ܥܲܠܝܼ|ʿal|ܥܲܠܲܢ	<i>prep</i><br><ol><li>on, upon</li><li>to, towards</li><li>against</li><li>about, concerning</li></ol>
ܥܠܘܠܐ|ʿālolē|ܥܵܠܘܿܠܲܢ̈|ܥܵܠܘܿܠܲܢ|ܥܵܠܘܿܠܲܝ̈|ܥܵܠܘܿܠ̈ܘܿܗ̇|ʿālolan|ʿālolāwḵon|ܥܵܠܘܿܠܘܼ̈ܗܝ|ܥܵܠܘܿܠܹ̈ܐ|ܥܵܠܘܿܠܵܟ݂ܝ̈|ܥܵܠܘܿܠܵܘ̈ܟ݂ܘܿܢ|ʿālolāḵ|ʿāloloh|ܥܵܠܘܿܠܵܟ݂ܝ|ܥܵܠܘܿܠܘܿܗ̇|ܥܵܠܘܿܠܗ̈ܘܿܢ|ܥܵܠܘܿܠܘܼܟ݂|ܥܵܠܘܿܠܝܼ̈|ܥܵܠܘܿܠ|ܥܵܠܘܿܠܗܘܿܢ|ʿālolhon|ܥܵܠܘܿܠܹܗ|ܥܵܠܘܿܠܘܼ̈ܟ݂|ʿālol|ʿālolay|ʿāloluḵ|ܥܵܠܘܿܠܵܘܟ݂ܘܿܢ|ܥܵܠܘܿܠܵܐ|ܥܵܠܘܿܠܝܼ|ʿālolā|ʿālolēh|ʿālolī|ʿāloluh	<i>noun</i><br><ol><li>street (road in a village or town usually with sidewalks, pavements and buildings)</li></ol>
ܥܠܝܡܐ|ܥܠܲܝܡܘܿܗ̇|ʿlaymhon|ܥܠܲܝ̈ܡܲܝ|ܥܠܲܝ̈ܡܵܘܟ݂ܘܿܢ|ʿlaymay|ܥܠܲܝܡܵܐ|ʿlaymēh|ʿlaymāḵ|ܥܠܲܝ̈ܡܘܼܟ݂|ʿlaymī|ʿlaymā|ʿlayma|ܥܠܲܝܡܹܗ|ܥܠܲܝܡ|ܥܠܲܝܡܬܵܐ|ܥܠܲܝ̈ܡܵܬܹܐ|ܥܠܲܝ̈ܡܲܢ|ʿlaymāwḵon|ʿlaym|ܥܠܲܝ̈ܡܵܟ݂ܝ|ʿlaymē|ܥܠܲܝܡܵܟ݂ܝ|ʿlaymwh|ܥܠܲܝ̈ܡܘܗܝ|ܥܠܲܝܡܲܢ|ܥܠܲܝ̈ܡܝܼ|ܥܠܲܝ̈ܡܘܿܗ̇|ܥܠܲܝܡܘܼܟ݂|ʿlayman|ܥܠܲܝ̈ܡܹܐ|ʿlaymuḵ|ܥܠܲܝ̈ܡܗܘܿܢ|ʿlaymoh|ܥܠܲܝܡܗܘܿܢ|ܥܠܲܝܡܵܘܟ݂ܘܿܢ	<i>adj</i><br><ol><li>young, youthful, juvenile</li></ol><br><i>noun</i><br><ol><li>boy, lad, adolescent, young man</li><li>(in the plural, collectively) the young, youth</li></ol>
ܥܡ|ܥܲܡ|ܥܲܡܗܘܿܢ|ܥܲܡܵܗ̇|ܥܲܡܘܼܟ݂|ܥܲܡܹܗ|ʿam|ܥܲܡܵܟ݂ܝ|ܥܲܡܝܼ|ܥܲܡܵܘܟ݂ܘܿܢ|ܥܲܡܲܢ	<i>prep</i><br><ol><li>with, together with, alongside</li><li>(after verbs of fighting, etc.) with, against</li><li>(of an action) towards, for</li></ol>
ܥܡܐ|ܥܲܡܲܝ̈|ʿamuḵ|ʿammāwḵon|ܥܲܡܝܼ̈|ܥܲܡܘܼܟ݂|ʿamhon|ܥܲܡܡܹ̈ܐ|ʿammī|ܥܲܡܲܢ̈|ʿamoh|ʿammēh|ܥܲܡܡܲܢ̈|ܥܲܡܘܿܗ̇|ʿamuh|ʿammhon|ܥܲܡܵܟ݂ܝ|ܥܲܡܵܘ̈ܟ݂ܘܿܢ|ʿammā|ܥܲܡܵܐ|ܥܲܡܡܵܟ݂ܝ̈|ܥܲܡܡ̈ܘܿܗ̇|ܥܲܡ|ʿammay|ܥܲܡܡܝܼ̈|ܥܲܡܡܵܘ̈ܟ݂ܘܿܢ|ʿammē|ʿam|ܥܲܡܡܘܼ̈ܟ݂|ܥܲܡܵܟ݂ܝ̈|ܥܲܡܘܼ̈ܟ݂|ʿamman|ܥܲܡܡܹ̈ܗ|ܥܲܡܝܼ|ʿammuḵ|ܥܲܡܬܵܐ|ܥܲܡܲܢ|ܥܲܡܹܗ|ʿammāḵ|ܥܲܡܗܘܿܢ|ܥܲܡܘܼ̈ܗܝ|ʿammoh|ܥܵܡܹ̈ܐ|ܥܲܡ̈ܘܿܗ̇|ʿamī|ܥܲܡܡܗ̈ܘܿܢ|ܥܲܡܹ̈ܐ|ܥܲܡܡܲܝ̈|ܥܲܡܗ̈ܘܿܢ|ܥܲܡܵܘܟ݂ܘܿܢ	<i>noun</i><br><ol><li>people, nation</li><li>folk</li><li>paternal blood uncle (brother of one's father)</li></ol>
ܥܡܢܘܐܝܠ|ܥܲܡܵܢܘܼܐܹܝܠ|ʿammānuʾēl	<i>name</i><br><ol><li>(biblical) Immanuel (Biblical figure whose birth is foretold, regarded by Christians as the Christ).</li></ol>
ܥܡܪ|ܥܵܡܹܪ|ܥܡܝܼܪܝܼ|ܥܡܝܼܪܵܘܟ݂ܘܿܢ|ܥܵܡܪܵܐ|ʿmorun|ʿāmēr|ܥܵܡܪܵܢ|ܥܵܡܪܵܬ|ܥܡܝܼܪܵܗ̇|ܥܵܡܪܹܬ|ܥܵܡܪܹܢ|ʿāmrīton|ʿāmrā|ʿāmrī|ܥܡܘܿܪܝ|ʿāmrān|ܥܡܝܼܪܘܼܟ݂|ܥܡܵܪܵܐ|ܥܵܡܪܝܼ|ܥܡܘܿܪ|ʿmīrāwḵon|ʿmīrēh|ܥܡܝܼܪܵܐ|ܥܡܝܼܪܲܢ|ܥܡܝܼܪܗܘܿܢ|ܥܵܡܪܲܚ|ܥܡܝܼܪܹܗ|ʿmīruḵ|ʿmīran|ʿmīrī|ܥܵܡܪܝܼܬܘܿܢ|ʿāmraḥ|ʿmor|ʿāmrāt|ʿmīrhon|ʿāmrēn|ʿmīrāḵ|ܥܡܘܿܪܘܼܢ|ܥܡܝܼܪܵܟ݂ܝ|ʿāmrēt|ʿmīrāh	<i>verb</i><br><ol><li>to dwell, inhabit</li><li>to live, reside</li></ol>
ܥܡܬܐ|ܥܲܡܬܵܟ݂ܝ|ܥܲܡܵܬܗ̈ܘܿܢ|ܥܲܡܵܬܵܟ݂ܝ̈|ʿamtan|ʿamtāwḵon|ʿammātē|ܥܲܡܬܘܼܟ݂|ʿamtī|ܥܲܡܵܬܘܼ̈ܟ݂|ʿammātāḵ|ʿamtāḵ|ܥܲܡܵܬܹ̈ܐ|ʿammātuḵ|ܥܲܡܵܬ̈|ʿamtēh|ʿammātan|ܥܲܡܵܐ|ʿammātēh|ʿammāthon|ܥܲܡ|ʿammātoh|ʿamt|ܥܲܡܵܬܹ̈ܗ|ܥܲܡܬܹܗ|ܥܲܡܵܬܵܘ̈ܟ݂ܘܿܢ|ܥܲܡܬܗܘܿܢ|ʿamtā|ʿam|ܥܲܡܵܬܝܼ̈|ܥܲܡܵܬ̈ܘܿܗ̇|ʿamtuḵ|ܕܵܕ݂ܵܐ|ܥܲܡܬܵܐ|ܥܲܡܵܬܲܢ̈|ʿammātī|ܥܲܡܬܵܘܟ݂ܘܿܢ|ܥܲܡܬܘܿܗ̇|ܥܲܡܬ|ܥܲܡܬܲܢ|ʿammāt|ʿammātāwḵon|ʿamtoh|ʿamthon|ܥܲܡܬܝܼ	<i>noun</i><br><ol><li>paternal blood aunt (sister of one's father)</li></ol>
ܥܢܒܐ|ܥܲܢܒ݂ܵܐ|ܥܲܢܒ݂ܹ̈ܐ|ʿānwa	<i>noun</i><br><ol><li>grapes: a berry (typically green, purple, or black) growing in clusters on a grapevine, eaten as fruit and used in making wine.</li></ol>
ܥܣܝܪܝܐ|ܥܣܝܼܪܵܝܵܐ|ܥܣܝܼܪ̈ܵܝܹܐ|ʿsīrāyā|ܥܣܝܼܪܵܝܬܵܐ	<i>adj</i><br><ol><li>tenth (10th)</li></ol>
ܥܣܩܘܬ ܕܡܟܐ|ʿasqwāt dmāḵāḵ|ܥܲܣܩܘܵܬ̈ ܕܡܵܟ݂ܗܘܿܢ|ʿasqwāt dmāḵā|ʿasqwāt dmāḵan|ʿasqwāt dmāḵēh|ܥܲܣܩܘܼܬ ܕܡܵܟ݂ܘܿܗ̇|ʿasqwāt dmāḵoh|ܥܲܣܩܘܼܬ ܕܡܵܟ݂ܵܟ݂ܝ|ʿasqut dmāḵan|ܥܲܣܩܘܼܬ ܕܡܵܟ݂ܵܘܟ݂ܘܿܢ|ܥܲܣܩܘܵܬ̈ ܕܡܵܟ݂ܵܘܟ݂ܘܿܢ|ܥܲܣܩܘܵܬ̈ ܕܡܵܟ݂ܵܟ݂ܝ|ܥܲܣܩܘܵܬ̈ ܕܡܵܟ݂ܲܢ|ʿasqut dmāḵāḵ|ܥܲܣܩܘܼܬ ܕܡܵܟ݂ܘܼܟ݂|ʿasqut dmāḵoh|ܥܲܣܩܘܼܬ ܕܡܵܟ݂ܗܘܿܢ|ʿasqut dmāḵī|ܥܲܣܩܘܵܬ̈ ܕܡܵܟ݂ܹܗ|ܥܲܣܩܘܵܬ̈ ܕܡܵܟ݂ܘܼܟ݂|ܥܲܣܩܘܼܬ ܕܡܵܟ݂ܹܗ|ܥܲܣܩܘܵܬ̈ ܕܡܵܟ݂ܵܐ|ʿasqwāt dmāḵuḵ|ܥܲܣܩܘܼܬ ܕܡܵܟ݂ܝܼ|ʿasqut dmāḵēh|ʿasqwāt dmāḵī|ʿasqwāt dmāḵhon|ܥܲܣܩܘܵܬ̈ ܕܡܵܟ݂ܘܿܗ̇|ܥܲܣܩܘܼܬ ܕܡܵܟ݂ܲܢ|ʿasqut dmāḵāwḵon|ʿasqwāt dmāḵāwḵon|ʿasqut dmāḵā|ܥܲܣܩܘܵܬ̈ ܕܡܵܟ݂ܝܼ|ܥܲܣܩܘܼܬ ܕܡܵܟ݂ܵܐ|ʿasqut dmāḵhon|ʿasqut dmāḵuḵ	<i>noun</i><br><ol><li>(medicine) insomnia (sleeping disorder known for unrest and inability to sleep)</li></ol>
ܥܣܪܐ|ܥܸܣܪܵܐ|ʿisrā|ܥܸܣܲܪ	<i>num</i><br><ol><li>ten (10)</li></ol>
ܥܣܪܝ|ʿisrī|ܥܸܣܪܝܼ	<i>num</i><br><ol><li>twenty (20)</li></ol>
ܥܣܪܝ ܘܐܪܒܥܐ|ܥܸܣܪܝܼ ܘܐܲܪܒܥܵܐ|ʿisrī w-arbʿā|ܥܸܣܪܝܼ ܘܐܲܪܒܲܥ	<i>num</i><br><ol><li>twenty-four (24)</li></ol>
ܥܣܪܝ ܘܐܫܬܐ|ʿisrī w-ištā|ܥܸܣܪܝܼ ܘܐܸܫܬܵܐ|ܥܸܣܪܝܼ ܘܐܸܫܸܬ	<i>num</i><br><ol><li>twenty-six (26)</li></ol>
ܥܣܪܝ ܘܚܕ|ܥܸܣܪܝܼ ܘܚܕܵܐ|ܥܸܣܪܝܼ ܘܚܲܕ݇|ʿisrī w-ḥa	<i>num</i><br><ol><li>twenty-one (21)</li></ol>
ܥܣܪܝ ܘܚܡܫܐ|ܥܸܣܪܝܼ ܘܚܲܡܸܫ|ʿisrī w-ḥamšā|ܥܸܣܪܝܼ ܘܚܲܡܫܵܐ	<i>num</i><br><ol><li>twenty-five (25)</li></ol>
ܥܣܪܝ ܘܫܒܥܐ|ܥܸܣܪܝܼ ܘܫܲܒ݂ܥܵܐ|ʿisrī w-šaḇʿā|ܥܸܣܪܝܼ ܘܫܒ݂ܲܥ	<i>num</i><br><ol><li>twenty-seven (27)</li></ol>
ܥܣܪܝ ܘܬܠܬܐ|ʿisrī w-tlātā|ܥܸܣܪܝܼ ܘܬܠܵܬ|ܥܸܣܪܝܼ ܘܬܠܵܬܵܐ	<i>num</i><br><ol><li>twenty-three (23)</li></ol>
ܥܣܪܝ ܘܬܡܢܝܐ|ܥܸܣܪܝܼ ܘܬܡܵܢܹܐ|ܥܸܣܪܝܼ ܘܬܡܵܢܝܵܐ|ʿisrī w-tmānyā	<i>num</i><br><ol><li>twenty-eight (28)</li></ol>
ܥܣܪܝ ܘܬܪܝ|ʿisrī w-trēy|ܥܸܣܪܝܼ ܘܬܪܹܝ|ܥܸܣܪܝܼ ܘܬܲܪܬܹܝܢ	<i>num</i><br><ol><li>twenty-two (22)</li></ol>
ܥܣܪܝ ܘܬܫܥܐ|ܥܸܣܪܝܼ ܘܬܸܫܥܵܐ|ܥܸܣܪܝܼ ܘܬܸܫܲܥ|ʿisrī w-tišʿā	<i>num</i><br><ol><li>twenty-nine (29)</li></ol>
ܥܣܪܬܐ|ʿsartī|ܥܣܲܪܬܗܘܿܢ|ܥܣܲܪ̈ܵܬܝܼ|ʿsartan|ʿsarrātē|ܥܣܲܪܬܵܘܟ݂ܘܿܢ|ܥܣܲܪ̈ܵܬܲܢ|ʿsarrātuḵ|ʿsarrātī|ܥܣܲܪܲܬ|ʿsarrātoh|ܥܣܲܪ̈ܵܬܵܘܟ݂ܘܿܢ|ܥܣܲܪ̈ܵܬܘܿܗ̇|ʿsarrāthon|ʿsartāwḵon|ܥܣܲܪܬܘܿܗ̇|ʿsarrātāḵ|ʿsarrāt|ܥܣܲܪܬܹܗ|ܥܣܲܪܬܲܢ|ʿsartā|ʿsartāḵ|ʿsārta|ʿsartēh|ʿsarrātan|ܥܣܲܪ̈ܵܬ|ܥܣܲܪ̈ܵܬܹܐ|ܥܣܲܪ̈ܵܬܗܘܿܢ|ܥܣܲܪܬܘܼܟ݂|ܥܣܲܪ̈ܵܬܵܟ݂ܝ|ܥܣܲܪܬܵܐ|ܥܣܲܪ̈ܝܵܬܹܐ|ʿsarrat|ʿsartuḵ|ܥܣܲܪ̈ܵܬܘܼܟ݂|ʿsarrātāwḵon|ʿsartoh|ܥܣܲܪܬܝܼ|ʿsarrātuh|ʿsarthon|ܥܣܲܪܬܵܟ݂ܝ|ܥܣܲܪ̈ܵܬܘܼܗܝ	<i>noun</i><br><ol><li>decade: A period of 10 years.</li></ol>
ܥܨܪܐ|ʿaṣrēh|ܥܲܨܪ̈ܗܘܿܢ|ʿaṣrī|ܥܲܨܪ̈ܘܿܗ̇|ʿaṣrāḵ|ʿaṣrhon|ܥܲܨܪ̈ܵܟ݂ܝ|ܥܲܨܪܵܟ݂ܝ|ʿaṣrwh|ܥܲܨܪ|ܥܲܨܖܹ̈ܐ|ܥܲܨܪܹܗ|ʿaṣr|ܥܲܨܪܲܢ|ܥܲܨܪܘܼܟ݂|ܥܲܨܪ̈ܵܘܟ݂ܘܿܢ|ʿaṣrē|ܥܲܨܪܘܿܗ̇|ܥܲܨܪ̈ܝܼ|ܥܲܨܪܵܐ|ʿaṣroh|ܥܲܨܪ̈ܲܝ|ʿaṣray|ʿaṣrā|ʿaṣrāwḵon|ʿaṣran|ʿaṣruḵ|ܥܲܨܪܵܘܟ݂ܘܿܢ|ܥܲܨܪ̈ܘܗܝ|ܥܲܨܪܗܘܿܢ|ܥܲܨܪ̈ܘܼܟ݂|ʿāṣra|ܥܲܨܪܹ̈ܐ|ܥܲܨܪ̈ܲܢ	<i>noun</i><br><ol><li>juice, sap: the liquid obtained from fruit or vegetables.</li><li>extraction</li></ol>
ܥܩܘܒܪܐ|ʿaqubran|ʿaqubrāwḵon|ʿaqubroh|ʿaqubrhon|ܥܲܩܘܼܒܪܵܐ|ܥܲܩܘܼܒܪ̈ܵܟ݂ܝ|ʿaqubrī|ܥܲܩܘܼܒܪܵܘܟ݂ܘܿܢ|ܥܲܩܘܼܒܪܬܵܐ|ܥܲܩܘܼܒܪܘܼܟ݂|ܥܲܩܘܼܒܪܵܟ݂ܝ|ʿaqubruḵ|ܥܲܩܘܼܒܪ̈ܘܗܝ|ʿaqubr|ܥܲܩܘܼܒܪ̈ܗܘܿܢ|ܥܲܩܘܼܒܪ̈ܲܝ|ܥܲܩܘܼܒܪ|ʿaqubray|ܥܲܩܘܼܒܪܗܘܿܢ|ܥܲܩܘܼܒܪ̈ܘܿܗ̇|ʿaqubrē|ܥܲܩܘܼܒܪܲܢ|ܥܲܩܘܼܒܪ̈ܝܼ|ʿaqubrāḵ|ܥܲܩܘܼܒܪܹ̈ܐ|ʿaqubrēh|ܥܲܩܘܼܒܪ̈ܵܘܟ݂ܘܿܢ|ܥܲܩܘܼܒܪ̈ܲܢ|ܥܲܩܘܼܒܪܹܗ|ʿaqubrā|ܥܲܩܘܼܒܪܘܿܗ̇|ʿaqubrwh|ܥܲܩܘܼܒܪ̈ܘܼܟ݂	<i>noun</i><br><ol><li>mouse, rat, jerboa (animal)</li><li>computer mouse</li></ol>
ܥܩܪܒܐ|ʿaqqirḇan|ʿaqqirḇwh|ܥܲܩܸܪ̈ܒ݂ܘܿܗ̇|ܥܲܩܸܪ̈ܒ݂ܘܼܟ݂|ʿaqqirḇ|ʿaqqirḇhon|ܥܲܩܸܪ̈ܒ݂ܵܘܟ݂ܘܿܢ|ܥܲܩܸܪܒ݂|ܥܲܩܸܪܒ݂ܵܘܟ݂ܘܿܢ|ʿaqqirḇāwḵon|ʿaqqirḇēh|ܥܲܩܸܪ̈ܒ݂ܘܗܝ|ܥܲܩܸܪ̈ܒ݂ܗܘܿܢ|ʿaqqirḇī|ʿaqqirḇē|ܥܲܩܸܪܒ݂ܲܢ|ܥܲܩܸܪ̈ܒ݂ܹܐ|ܥܲܩܸܪ̈ܒ݂ܝܼ|ʿAqirwa|ʿaqqirḇoh|ʿaqqirḇā|ܥܲܩܸܪܒ݂ܵܐ|ܥܲܩܸܪ̈ܒ݂ܵܟ݂ܝ|ܥܲܩܸܪܒ݂ܘܿܗ̇|ܥܲܩܸܪ̈ܒ݂ܲܢ|ܥܲܩܸܪܒ݂ܘܼܟ݂|ܥܲܩܸܪܒ݂ܗܘܿܢ|ʿaqirwa|ܥܲܩܸܪ̈ܒ݂ܲܝ|ܥܲܩܸܪܒ݂ܹܗ|ʿaqqirḇāḵ|ʿaqqirḇuḵ|ʿaqqirḇay|ܥܲܩܸܪܒ݂ܵܟ݂ܝ	<i>noun</i><br><ol><li>scorpion: a terrestrial arachnid with pincers similar to those of a lobster and a poisonous sting at the end of its jointed tail.</li></ol><br><i>name</i><br><ol><li>(astrology, astronomy) Scorpio (constellation and zodiac sign)</li></ol>
ܥܪܐ|ܥܪܹܐ ܠܵܟ݂ܝ|ʿārēn|ܥܪܝܼ|ܥܪܹܐ ܠܵܗ̇|ʿāryāt|ܥܵܪܹܝܢ|ʿrē lāh|ܥܪܹܐ ܠܵܘܟ݂ܘܿܢ|ܥܵܪܝܵܬܝ|ʿrē lāwḵon|ʿārī|ʿāryā|ʿrēmun|ܥܪܹܐ ܠܲܢ|ܥܪܹܐ ܠܹܗ|ܥܪܵܝܵܐ|ʿrē lāḵ|ʿārēt|ʿrē luḵ|ܥܸܪܝܵܐ|ܥܵܪܹܝܬܘܿܢ|ܥܪܹܐ ܠܗܘܿܢ|ʿārēton|ܥܵܪܹܝܬ|ʿārē|ʿare|ʿāraḥ|ܥܪܹܐ|ܥܵܪܝܵܐ|ܥܵܪܝܼ|ʿrē lhon|ܥܪܹܐ ܠܝܼ|ʿrē lī|ܥܵܪܲܚ|ʿrē lan|ʿrī|ܥܪܹܝܡܘܼܢ|ܥܵܪܝܵܢ|ʿāryān|ܥܪܹܐ ܠܘܼܟ݂|ʿrē|ܥܵܪܹܐ|ʿrē lēh	<i>verb</i><br><ol><li>to rain</li></ol>
ܥܪܒܐ|ʿirbē|ʿirbā|ܥܸܪ̈ܒܝܼ|ܥܸܪ̈ܒܹܐ|ʿirb|ʿirbwh|ܥܪܵܒ݂ܵܐ|ʿrāḇoh|ܥܪܵܒ݂ܹܗ|ʿirbēh|ʿrāḇē|ܥܸܪ̈ܒܵܟ݂ܝ|ʿrāḇī|ܥܪ̈ܵܒ݂ܘܼܟ݂|ʿirbhon|ܥܪ̈ܵܒ݂ܗܘܿܢ|ܥܪ̈ܵܒ݂ܘܗܝ|ܥܪܵܒ݂|ܥܪ̈ܵܒ݂ܵܘܟ݂ܘܿܢ|ܥܪ̈ܵܒ݂ܲܝ|ʿrāḇwh|ʿrāḇhon|ܥܪܵܒ݂ܗܘܿܢ|ܥܸܪ̈ܒܘܿܗ̇|ʿrāḇay|ܥܸܪܒܵܟ݂ܝ|ܥܸܪܒܵܐ|ʿirbāwḵon|ʿrāḇāwḵon|ܥܸܪܒ|ʿrāḇuḵ|ʿrāḇāḵ|ܥܪܵܒ݂ܲܢ|ܥܸܪ̈ܒܘܼܟ݂|ʿrāḇ|ܥܪ̈ܵܒ݂ܹܐ|ܥܸܪܒܹܗ|ܥܸܪ̈ܒܲܢ|ܥܪ̈ܵܒ݂ܝܼ|ܥܪܵܒ݂ܵܘܟ݂ܘܿܢ|ܥܸܪ̈ܒܗܘܿܢ|ܥܪܵܒ݂ܵܟ݂ܝ|ʿrāḇā|ܥܸܪܒܘܼܟ݂|ʿirbay|ܥܸܪ̈ܒܲܝ|ʿirboh|ܥܸܪܒܵܘܟ݂ܘܿܢ|ʿrāḇan|ܥܸܪ̈ܒܵܘܟ݂ܘܿܢ|ܢܸܩܝܵܐ|ܥܸܪܒܘܿܗ̇|ܥܪ̈ܵܒ݂ܵܟ݂ܝ|ܥܸܪܒܲܢ|ܥܸܪܒܗܘܿܢ|ܥܪ̈ܵܒ݂ܲܢ|ܥܪ̈ܵܒ݂ܘܿܗ̇|ʿirbuḵ|ܥܸܪ̈ܒܘܗܝ|ܥܪܵܒ݂ܘܼܟ݂|ʿirbī|ܥܪܵܒ݂ܘܿܗ̇|ʿirbāḵ|ʿirban|ʿrāḇēh	<i>noun</i><br><ol><li>sheep, ram</li><li>sunset; sundown; dusk</li><li>eve</li></ol>
ܥܪܒܝܐ|ܥܲܪܒܵܝܬܵܐ|ʿarabiya|ʿarbāyā|ܥܵܪܵܒܝܼܵܐ|ܥܲܪ̈ܒܵܝܹܐ|ܥܲܪܒܵܝܵܐ	<i>name</i><br><ol><li>Arabia: A peninsula between the Red Sea and the Persian Gulf</li></ol><br><i>noun</i><br><ol><li>Arab</li><li>Arabian</li></ol><br><i>adj</i><br><ol><li>arabian</li><li>arab</li></ol>
ܥܪܘܒܬܐ|ܥܪ̈ܘܼܒ݂ܵܬܹܐ|ܥܪܘܼܒ݂ܬܵܐ|ʿrub̲tā	<i>name</i><br><ol><li>Friday (the sixth day of the week following Thursday]] and proceeding [[Saturday)</li></ol><br><i>noun</i><br><ol><li>eve, day of preparation</li><li>Friday</li></ol>
ܥܪܘܒܬܐ ܕܚܫܐ|ʿruwta d-ḳāša|ܥܪܘܼܒ݂ܬܵܐ ܕܚܲܫܵܐ	<i>name</i><br><ol><li>Good Friday</li></ol>
ܥܫܬܪ|ܥܸܫܬܵܪ|ʿištar	<i>name</i><br><ol><li>(astronomy) Venus: The second planet in our solar system; represented by ♀.</li><li>(Mesopotamian mythology) Ishtar, Astarte, Ashtoreth: An ancient Mesopotamian goddess associated with love, beauty, sex and fertility. Corresponding to the Roman goddess Venus and the Greek goddess Aphrodite.</li><li>A common given name among Assyrian people</li></ol>
ܥܬܝܩܐ|ܥܲܬܝܼܩܹ̈ܐ|ʿatīqā|ܥܲܬܝܼܩܵܐ|ܥܲܬܝܼܩܬܵܐ	<i>adj</i><br><ol><li>old, antique</li><li>ancient, archaic</li></ol>
ܥܬܩ|ܥܵܬܩܝܼܬܘܿܢ|ܥܬܝܼܩ ܠܵܘܟ݂ܘܿܢ|ʿātqēn|ܥܬܝܼܩ ܠܗܘܿܢ|ʿtoq|ʿtīq lāh|ʿātqī|ʿtīq lī|ܥܬܝܼܩ ܠܲܢ|ʿtīq luḵ|ܥܵܬܩܵܢ|ܥܬܝܼܩ ܠܝܼ|ܥܬܝܼܩ ܠܹܗ|ܥܬܘܿܩ|ܥܵܬܩܵܐ|ܥܬܝܼܩ ܠܵܗ̇|ܥܬܝܼܩ ܠܵܟ݂ܝ|ܥܬܝܼܩ ܠܘܼܟ݂|ܥܬܵܩܵܐ|ܥܵܬܩܹܬ|ʿtīq lan|ʿtoqun|ʿātqaḥ|ʿtīq lēh|ʿtīq lāwḵon|ܥܬܘܿܩܝ|ܥܵܬܩܲܚ|ʿātqā|ʿtīq lhon|ʿātqāt|ʿātqān|ʿtīq lāḵ|ܥܬܘܿܩܘܼܢ|ܥܬܝܼܩܵܐ|ʿātēq|ܥܵܬܩܹܢ|ܥܵܬܹܩ|ʿātqēt|ʿātqīton|ܥܵܬܩܝܼ|ܥܵܬܩܵܬܝ	<i>verb</i><br><ol><li>to age</li><li>to grow old</li><li>to be old</li><li>to ferment</li></ol>
ܥܬܫܐ|ܥܸܬܫܵܐ|itša	<i>num</i><br><ol><li>nine (9)</li></ol>
ܦ ܪ ܚ|p r ḥ	<i>root</i><br><ol><li>forming words pertaining to flying (traveling through the air by one's own power)</li><li>forming words pertaining to wasting</li></ol>
ܦ ܪ ܣ|p r s	<i>root</i><br><ol><li>forming words pertaining to spreading</li><li>forming words pertaining to dividing</li></ol>
ܦ̮ܘܫܝܐ|ܦ̮ܘܼܫܝܼܬܵܐ|ܦ̮ܘܼܫܝܼܵܐ|fušiya|ܦ̮ܘܼܫܝܼܹ̈ܐ	<i>adj</i><br><ol><li>fuchsia, magenta</li></ol><br><i>noun</i><br><ol><li>fuchsia (flower)</li><li>fuchsia, magenta (colour)</li></ol>
ܦ̮ܠܣܛܝܢ|falasṭīn|ܦ̮ܵܠܵܣܛܝܼܢ	<i>name</i><br><ol><li>Palestine (a country in Asia; official name: State of Palestine)</li></ol>
ܦ̮ܪܒܠܐ|ܦ̮ܪ̈ܵܒ݂ܠܹܐ|ܦ̮ܪ̈ܵܒ݂ܠܘܿܗ̇|frawla|ܦ̮ܪ̈ܵܒ݂ܠܝܼ|ܦ̮ܪ̈ܵܒ݂ܠܵܘܟ݂ܘܿܢ|ܦ̮ܪܵܒ݂ܠܵܐ|frāḇlay|frāḇlī|ܦ̮ܪܵܒ݂ܠܗܘܿܢ|ܦ̮ܪܵܒ݂ܠܵܘܟ݂ܘܿܢ|ܦ̮ܪ̈ܵܒ݂ܠܵܟ݂ܝ|ܦ̮ܪܵܒ݂ܠܘܿܗ̇|frāḇlāwḵon|ܦ̮ܪ̈ܵܒ݂ܠܲܝ|ܦ̮ܪ̈ܵܒ݂ܠܘܗܝ|frāḇlā|frāḇlēh|frāḇlwh|frāḇluḵ|ܦ̮ܪ̈ܵܒ݂ܠܘܼܟ݂|frāḇloh|ܦ̮ܪܵܒ݂ܠܲܢ|frāḇlē|ܦ̮ܪܵܒ݂ܠܵܟ݂ܝ|frāḇl|ܦ̮ܪܵܒ݂ܠܹܗ|frāḇlan|ܦ̮ܪ̈ܵܒ݂ܠܗܘܿܢ|ܦ̮ܪܵܒ݂ܠ|ܦ̮ܪܵܒ݂ܠܘܼܟ݂|frāḇlāḵ|ܦ̮ܪ̈ܵܒ݂ܠܲܢ|frāḇlhon	<i>noun</i><br><ol><li>strawberry: a sweet soft red fruit with a seed-studded surface.</li></ol>
