Ahadi|Ahad	<i>name</i><br><ol><li>Sunday</li></ol>
sari|tosari|osari|isari|nosari|mosari|fosari|misari|yosari|nisari|ساري	<i>noun</i><br><ol><li>a shovel, digger, scoop</li><li>any piece of wood used to paddle</li><li>a paddle</li></ol><br><i>verb</i><br><ol><li>(auxiliary) to desire, wish, want; to intend</li><li>(auxiliary) indicates the near-future tense; will soon</li></ol>
sarita	<i>noun</i><br><ol><li>knitting needles made of bamboo</li></ol>
saro|fosaro|yosaro|mosaro|misaro|nisaro|nosaro|isaro|tosaro|osaro	<i>verb</i><br><ol><li>(stative) of the wedding couple, to eat together</li></ol>
sarosaro	<i>noun</i><br><ol><li>a sifter</li></ol>
saru	<i>noun</i><br><ol><li>the floor</li></ol>
sarusaru	<i>noun</i><br><ol><li>the ribs</li></ol>
sasa|tosasa|osasa|mosasa|isasa|misasa|fosasa|nosasa|yosasa|nisasa	<i>verb</i><br><ol><li>(intransitive) to creep, crawl</li></ol>
sasaranga	<i>noun</i><br><ol><li>a leg cramp</li></ol>
sasi|fosasi|nisasi|isasi|mosasi|osasi|tosasi|yosasi|misasi|nosasi	<i>verb</i><br><ol><li>(intransitve) to take oath</li></ol>
sasu|mosasu|tosasu|yosasu|nisasu|fosasu|osasu|isasu|misasu|nosasu	<i>verb</i><br><ol><li>(intransitive) to slide, glide</li></ol>
satanya	<i>noun</i><br><ol><li>a palace</li></ol>
sataru|seteru|satiru	<i>noun</i><br><ol><li>enemy</li><li>animosity</li></ol>
satenga	<i>noun</i><br><ol><li>(historical) a half Indonesian sen</li></ol>
sau|isau|fosau|yosau|tosau|osau|mosau|nosau|misau|nisau	<i>verb</i><br><ol><li>(transitive) to gnaw</li><li>(transitive) to bite</li></ol><br><i>noun</i><br><ol><li>(Islam) the suhur</li></ol>
sauba|ساؤبه	<i>noun</i><br><ol><li>a wooden box for holding betelnut, areca fruit, tobacco, etc.</li></ol>
sawang|isawang|nosawang|osawang|tosawang|nisawang|mosawang|yosawang|fosawang|misawang	<i>noun</i><br><ol><li>an illness variously characterized by convulsions, epilepsy, seizures</li></ol><br><i>verb</i><br><ol><li>(stative) to be confused</li></ol>
saya	<i>noun</i><br><ol><li>a flower</li></ol>
se|سي	<i>prep</i><br><ol><li>to</li><li>at, in</li><li>on</li><li>from</li><li>associative preposition: with</li><li>instrumental preposition: with, by, using</li></ol><br><i>conj</i><br><ol><li>and</li><li>forms compound numbers</li></ol>
seba|niseba|toseba|iseba|yoseba|miseba|moseba|foseba|oseba|noseba	<i>verb</i><br><ol><li>(stative) to be near</li></ol>
sedu|misedu|mosedu|osedu|nosedu|tosedu|fosedu|isedu|nisedu|yosedu	<i>verb</i><br><ol><li>(intransitive) to joke, jest</li></ol>
seho	<i>noun</i><br><ol><li>the areng palm (Arenga pinnata)</li></ol>
seiklas|toseiklas|oseiklas|foseiklas|noseiklas|miseiklas|iseiklas|niseiklas|moseiklas|yoseiklas	<i>verb</i><br><ol><li>(stative) to be sincere</li></ol>
selo|noselo|iselo|oselo|foselo|toselo|moselo|miselo|niselo|yoselo	<i>verb</i><br><ol><li>(transitive) to slice or cut right through</li></ol>
sema|misema|tosema|mosema|yosema|nosema|isema|osema|fosema|nisema	<i>verb</i><br><ol><li>(impersonal) to exist</li><li>(intransitive) to exist</li><li>(transitive) to have, own</li></ol>
sena	<i>noun</i><br><ol><li>dough</li></ol>
seng	<i>noun</i><br><ol><li>an Indonesian sen</li><li>a metal sheet</li></ol>
sepa|osepa|isepa|tosepa|misepa|mosepa|yosepa|fosepa|nisepa|nosepa	<i>verb</i><br><ol><li>(transitive) to kick</li></ol>
setang|misetang|nosetang|isetang|tosetang|osetang|nisetang|yosetang|mosetang|fosetang	<i>verb</i><br><ol><li>(stative) to be angry</li></ol>
sewa|misewa|mosewa|isewa|osewa|nisewa|tosewa|yosewa|fosewa|nosewa	<i>verb</i><br><ol><li>(transitive) to lease</li></ol>
si	<i>adv</i><br><ol><li>first, firstly</li></ol>
sia|tosia|yosia|osia|fosia|nisia|nosia|mosia|misia|isia	<i>verb</i><br><ol><li>(transitive) to draw water (from a well, etc.)</li><li>(transitive) to drag</li></ol>
siafu|mosiafu|misiafu|nisiafu|osiafu|tosiafu|isiafu|nosiafu|fosiafu|yosiafu	<i>noun</i><br><ol><li>the plant Dioscorea esculenta var. tiliifolia</li></ol><br><i>verb</i><br><ol><li>(stative) to be soft</li></ol>
sianaro|misianaro|nosianaro|isianaro|yosianaro|osianaro|mosianaro|nisianaro|fosianaro|tosianaro	<i>verb</i><br><ol><li>(transitive) to drag forcefully</li></ol>
siasia	<i>noun</i><br><ol><li>a bucket</li></ol>
siba	<i>noun</i><br><ol><li>a kind of bird, some kind of small green cockatoo</li></ol>
sibinyafo|yosibinyafo|nosibinyafo|isibinyafo|osibinyafo|mosibinyafo|misibinyafo|fosibinyafo|tosibinyafo|nisibinyafo	<i>verb</i><br><ol><li>(transitive) to address someone</li></ol>
sibuk|mosibuk|misibuk|isibuk|fosibuk|tosibuk|nosibuk|yosibuk|nisibuk|osibuk	<i>verb</i><br><ol><li>(stative) to be busy</li></ol>
sibusibu	<i>noun</i><br><ol><li>the queen sago (Cycas rumphii)</li></ol>
side|foside|miside|iside|oside|toside|nisidi|fosidi|yoside|isidi|moside|yosidi|noside|niside|osidi|misidi|tosidi|sidi|nosidi|mosidi	<i>noun</i><br><ol><li>a sail</li></ol><br><i>verb</i><br><ol><li>(intransitive) to sail</li></ol>
sidika|nosidika|yosidika|nisidika|misidika|osidika|mosidika|fosidika|isidika|tosidika	<i>verb</i><br><ol><li>(transitive) to leave (to depart from; to end one's connection or affiliation with)</li><li>(transitive) to abandon, to desert (to cease to support or look after someone)</li></ol>
sido|سيدو|sidu	<i>noun</i><br><ol><li>a torch (often bamboo filled with damar)</li></ol>
sifo|tosifo|mosifo|fosifo|osifo|isifo|nosifo|yosifo|nisifo|misifo	<i>verb</i><br><ol><li>(transitive) to club, to strike with a club</li></ol>
sigi|سيݢي	<i>noun</i><br><ol><li>mosque</li><li>the Sumatran pine (Pinus merkusii)</li></ol>
siham|yosiham|mosiham|fosiham|isiham|osiham|misiham|nosiham|tosiham|nisiham	<i>verb</i><br><ol><li>(stative) to be jealous</li></ol>
sihisihi|nosihisihi|mosihisihi|nisihisihi|tosihisihi|isihisihi|misihisihi|fosihisihi|osihisihi|yosihisihi	<i>verb</i><br><ol><li>(intransitive) to walk along the beach</li></ol>
siho	<i>noun</i><br><ol><li>a tree core</li></ol>
sikilwak|سيکيلواک	<i>noun</i><br><ol><li>sentry, palace guard</li></ol>
sikola|iskolar|skola	<i>noun</i><br><ol><li>school</li></ol>
sikuda	<i>noun</i><br><ol><li>the sweetlip emperor (Lethrinus miniatus)</li></ol>
silagi|yosilagi|mosilagi|isilagi|misilagi|osilagi|nosilagi|tosilagi|nisilagi|fosilagi	<i>verb</i><br><ol><li>(intransitive) to stand</li></ol>
silamo|yosilamo|misilamo|fosilamo|osilamo|mosilamo|isilamo|nisilamo|tosilamo|nosilamo	<i>verb</i><br><ol><li>(transitive) to enlarge, to make big</li></ol>
silet	<i>noun</i><br><ol><li>razor blade</li></ol>
siliba|osiliba|mosiliba|nosiliba|tosiliba|yosiliba|nisiliba|fosiliba|isiliba|misiliba	<i>verb</i><br><ol><li>(stative) to be lazy</li></ol>
simamo	<i>noun</i><br><ol><li>bishop wood (Bischofia javanica)</li></ol>
sinanga|mosinanga|fosinanga|osinanga|yosinanga|isinanga|nosinanga|tosinanga|misinanga|nisinanga	<i>verb</i><br><ol><li>(transitive) to fry</li></ol>
singoro	<i>noun</i><br><ol><li>the two-spot red snapper (Lutjanus bohar)</li></ol>
sinole	<i>noun</i><br><ol><li>roasted sagomeal</li></ol>
sinsara|nosinsara|yosinsara|osinsara|nisinsara|tosinsara|mosinsara|misinsara|isinsara|fosinsara	<i>verb</i><br><ol><li>(transitive) to torture</li><li>(stative) to be difficult</li></ol>
sio	<i>intj</i><br><ol><li>alas!</li></ol>
sio kado	<i>intj</i><br><ol><li>poor thing!</li></ol>
sirasira	<i>noun</i><br><ol><li>beginning</li></ol>
sirato|nosirato|tosirato|isirato|mosirato|fosirato|nisirato|yosirato|osirato|misirato|سيراتو	<i>verb</i><br><ol><li>(transitive) to finish, to bring to an end</li><li>(transitive) to use up</li></ol>
sirete	<i>noun</i><br><ol><li>the self</li></ol>
siru|nisiru|fosiru|osiru|mosiru|nosiru|yosiru|isiru|tosiru|misiru	<i>verb</i><br><ol><li>(intransitive) to jump</li><li>to winnow rice</li></ol>
sisi	<i>noun</i><br><ol><li>mosquito</li></ol>
sita	<i>noun</i><br><ol><li>a door or window crossbar</li></ol>
sitingki	<i>noun</i><br><ol><li>the kwini (Mangifera odorata)</li></ol>
siu|osiu|misiu|tosiu|isiu|fosiu|yosiu|mosiu|nisiu|nosiu	<i>verb</i><br><ol><li>(transitive) to slice</li></ol>
siusiu	<i>noun</i><br><ol><li>a coconut scraper, coconut grater</li></ol>
soa	<i>noun</i><br><ol><li>the space between two things</li><li>village</li></ol>
soanyie	<i>noun</i><br><ol><li>the field in front of a palace</li></ol>
soasoa	<i>noun</i><br><ol><li>the lizard Hydrosaurus amboinensis</li></ol>
sobat|سوبت	<i>noun</i><br><ol><li>friend</li><li>companion</li></ol>
sodidi	<i>noun</i><br><ol><li>an earthquake</li></ol>
sodihi|nosodihi|fosodihi|nisodihi|tosodihi|osodihi|isodihi|misodihi|yosodihi|mosodihi	<i>verb</i><br><ol><li>(transitive) to slaughter</li></ol>
soe|nosoe|isoe|tosoe|nisoe|yosoe|osoe|misoe|fosoe|mosoe	<i>verb</i><br><ol><li>(stative) to be unlucky</li></ol>
sofi|mosofi|osofi|isofi|nosofi|tosofi|yosofi|fosofi|nisofi|misofi	<i>verb</i><br><ol><li>(transitive) to swear, to take an oath</li></ol>
sofo|nosofo|nisofo|fosofo|isofo|tosofo|osofo|misofo|mosofo|yosofo	<i>noun</i><br><ol><li>fruit</li></ol><br><i>verb</i><br><ol><li>(intransitive) to bear fruit</li></ol>
sofu|سوفو|sofi	<i>noun</i><br><ol><li>dried skins of the bird of paradise</li><li>a crest, tuft, plume</li></ol>
sofutu|sifutu	<i>adv</i><br><ol><li>at night</li><li>in the evening</li></ol>
sogili	<i>noun</i><br><ol><li>the Asian swamp eel (Monopterus albus)</li></ol>
sogo	<i>noun</i><br><ol><li>pubic hair</li></ol>
soha|yosoha|nosoha|osoha|mosoha|fosoha|isoha|nisoha|tosoha|misoha	<i>verb</i><br><ol><li>(stative) to be hungry</li></ol>
sohi|nosohi|misohi|fosohi|yosohi|tosohi|nisohi|osohi|mosohi|isohi	<i>verb</i><br><ol><li>(stative) to be clear, transparent</li></ol>
soho|سوهو	<i>noun</i><br><ol><li>pig</li></ol>
soki	<i>noun</i><br><ol><li>the large-leafed orange mangrove (Bruguiera gymnorhiza)</li></ol>
soloba|nisoloba|osoloba|fosoloba|tosoloba|nosoloba|misoloba|yosoloba|isoloba|mosoloba	<i>verb</i><br><ol><li>(stative) to be brackish</li></ol>
solodadu	<i>noun</i><br><ol><li>soldier</li></ol>
sololo|misololo|isololo|yosololo|nosololo|osololo|fosololo|mosololo|tosololo|nisololo	<i>verb</i><br><ol><li>(stative, of the genitals) to be exposed</li></ol>
som|yosom|isom|nosom|fosom|tosom|osom|nisom|misom|mosom	<i>verb</i><br><ol><li>(stative) to be murky, turbid</li></ol>
soma	<i>noun</i><br><ol><li>dragnet, fishnet</li></ol>
sompo|fosompo|nosompo|mosompo|yosompo|osompo|misompo|isompo|nisompo|tosompo	<i>verb</i><br><ol><li>(transitive) to carry on one's shoulders</li></ol>
sompong|tosompong|fosompong|nosompong|yosompong|isompong|nisompong|osompong|mosompong|misompong	<i>verb</i><br><ol><li>(transitive) Alternative form of sompo (“carry on one's shoulders”)</li></ol>
sonanga|سناڠه	<i>noun</i><br><ol><li>a side</li><li>a part, portion</li><li>a half</li></ol>
sone|yosone|tosone|nisone|osone|nosone|fosone|isone|mosone|misone	<i>verb</i><br><ol><li>(stative) to be dead</li><li>(intransitive) to die</li></ol>
songara|tosongara|fosongara|nosongara|osongara|mosongara|isongara|yosongara|nisongara|misongara	<i>verb</i><br><ol><li>(transitive) to roast</li></ol>
sonoto|nisonoto|osonoto|mosonoto|isonoto|misonoto|tosonoto|fosonoto|yosonoto|nosonoto	<i>verb</i><br><ol><li>(transitive) to chisel</li></ol>
sonyiha	<i>noun</i><br><ol><li>sappan, sappanwood (Biancaea sappan)</li></ol>
sonyinga|nosonyinga|mosonyinga|fosonyinga|nisonyinga|isonyinga|yosonyinga|misonyinga|osonyinga|tosonyinga	<i>verb</i><br><ol><li>(transitive) to remember, to keep in mind (to recall from one's memory)</li><li>(transitive) to ponder, to think about, to care about (to wonder, to be deeply concerned about)</li><li>(transitive) to miss (to feel the absence of someone or something)</li><li>(transitive) to love (to care deeply about, to be dedicated to)</li></ol>
sopa	<i>noun</i><br><ol><li>a sarong</li></ol>
sopi	<i>noun</i><br><ol><li>alcohol, liquor</li></ol>
sorangi|sorang	<i>noun</i><br><ol><li>snot</li></ol>
sore|tosore|misore|osore|yosore|nosore|fosore|nisore|mosore|isore	<i>verb</i><br><ol><li>(intransitive) to sneeze</li><li>(intransitive) to crow (as a rooster)</li></ol>
soro|osoro|isoro|tosoro|fosoro|nosoro|misoro|yosoro|nisoro|mosoro	<i>verb</i><br><ol><li>(intransitive) to fly</li><li>(transitive) to deny</li></ol>
soropa|misoropa|yosoropa|tosoropa|nisoropa|mosoropa|osoropa|isoropa|fosoropa|nosoropa	<i>verb</i><br><ol><li>(stative) to be very dirty</li></ol>
soru|yosoru|tosoru|nosoru|nisoru|osoru|fosoru|mosoru|isoru|misoru	<i>verb</i><br><ol><li>(intransitive) to go down, descend</li></ol>
sosadu	<i>noun</i><br><ol><li>the tool storage (box, etc.) on a boat</li></ol>
sosaha|سساه	<i>noun</i><br><ol><li>a platter, tray</li><li>(specifically) a salver</li></ol>
sosala	<i>noun</i><br><ol><li>prison</li></ol>
sosara	<i>noun</i><br><ol><li>a naturally occurring segment or portion of a fruit (as opposed to a cut or slice)</li><li>a twin</li></ol>
sose|misose|isose|fosose|mosose|yosose|tosose|osose|nisose|nosose	<i>verb</i><br><ol><li>(transitive) to widen</li><li>(intransitive) to bloom</li></ol>
soseba|سسيب	<i>noun</i><br><ol><li>the Sultan's retinue; those who carry his sword, stick, sauba, and spittoon</li></ol>
sosere|ososere|mososere|yososere|misosere|fososere|nososere|tososere|isosere|nisosere	<i>verb</i><br><ol><li>(transitive) to taunt</li></ol>
sosifo	<i>noun</i><br><ol><li>a hammer</li></ol>
sosira ake	<i>noun</i><br><ol><li>(medicine) ascites, edema, dropsy</li></ol>
soso|ososo|tososo|mososo|isoso|yososo|fososo|misoso|nisoso|nososo	<i>verb</i><br><ol><li>to wash one's rear</li></ol>
sosolo	<i>noun</i><br><ol><li>a creek</li></ol>
sosoma	<i>noun</i><br><ol><li>the tree Ficus ampelos</li></ol>
sosone|isosone|nisosone|misosone|yososone|mososone|fososone|tososone|ososone|nososone	<i>verb</i><br><ol><li>(transitive) to kill</li><li>(transitive) to extinguish</li></ol>
sosonita	<i>adv</i><br><ol><li>daily</li></ol>
sosonoto	<i>noun</i><br><ol><li>a chisel</li></ol>
sosoro|yososoro|ososoro|tososoro|misosoro|fososoro|nisosoro|mososoro|nososoro|isosoro	<i>verb</i><br><ol><li>(intransitive) to commit adultery</li><li>(transitive) to itch</li></ol><br><i>noun</i><br><ol><li>the itchy plant Laportea interrupta</li><li>jellyfish of the genus Siphonophorae</li></ol>
sosoro gai	<i>noun</i><br><ol><li>any of a number of hairy, stinging, or itchy caterpillars</li></ol>
sosoru	<i>noun</i><br><ol><li>the west</li></ol>
sosua	<i>noun</i><br><ol><li>(weaving) the reed of loom</li></ol>
sosudo	<i>noun</i><br><ol><li>a messenger</li></ol>
sosugo	<i>noun</i><br><ol><li>breath</li></ol>
sosuko|سسوکو	<i>noun</i><br><ol><li>the naval shipworm (Teredo navalis)</li></ol>
sou	<i>noun</i><br><ol><li>medicine</li></ol>
sousou	<i>noun</i><br><ol><li>a doctor, healer</li></ol>
souyu	<i>noun</i><br><ol><li>the moths Ebodina simplex or Ebodina circensis</li></ol>
sowange	<i>adv</i><br><ol><li>today</li></ol>
soweko|سوويکو	<i>noun</i><br><ol><li>a heron</li></ol>
sowohi|nosowohi|yosowohi|nisowohi|isowohi|fosowohi|osowohi|mosowohi|tosowohi|misowohi	<i>noun</i><br><ol><li>a herder</li></ol><br><i>verb</i><br><ol><li>(transitive) to herd</li></ol>
spiong	<i>noun</i><br><ol><li>a spy</li></ol>
spit	<i>noun</i><br><ol><li>speedboat, motorboat</li></ol>
stager	<i>noun</i><br><ol><li>a belt</li></ol>
stambul	<i>noun</i><br><ol><li>the komedi stambul</li></ol>
sua|fosua|nosua|tosua|nisua|mosua|osua|misua|yosua|isua	<i>verb</i><br><ol><li>(transitive) to comb hair</li></ol>
suak|misuak|fosuak|osuak|isuak|yosuak|mosuak|nisuak|tosuak|nosuak	<i>verb</i><br><ol><li>(stative) to be sickly and weak</li></ol>
suasua|susua	<i>noun</i><br><ol><li>a hair comb</li></ol>
suba|tosuba|fosuba|nosuba|mosuba|yosuba|nisuba|misuba|osuba|isuba	<i>verb</i><br><ol><li>(transitive) to pay homage, to praise</li><li>(transitive) to worship</li></ol>
subasuba	<i>noun</i><br><ol><li>the praying mantis</li></ol>
subu	<i>noun</i><br><ol><li>thread</li><li>wick</li></ol>
sudo|fosudo|yosudo|tosudo|osudo|mosudo|nosudo|misudo|isudo|nisudo	<i>verb</i><br><ol><li>(transitive) to ask, to order</li></ol>
sufinga	<i>noun</i><br><ol><li>the tree Albizia retusa</li></ol>
sugo|tosugo|fosugo|nosugo|isugo|yosugo|misugo|osugo|nisugo|mosugo	<i>verb</i><br><ol><li>(intransitive) to breathe</li></ol>
sui|mosui|osui|misui|isui|tosui|fosui|nisui|yosui|nosui	<i>verb</i><br><ol><li>(transitive) to suck</li><li>(transitive) to smoke (cigarettes, etc.)</li></ol>
suka|yosuka|fosuka|osuka|tosuka|misuka|mosuka|nosuka|nisuka|isuka	<i>verb</i><br><ol><li>(transitive) to split</li><li>(transitive) to crack</li><li>(transitive) to break</li><li>(transitive) to like</li></ol><br><i>noun</i><br><ol><li>a like, something that is liked</li></ol>
sukare|misukare|nisukare|isukare|nosukare|mosukare|osukare|yosukare|tosukare|fosukare	<i>verb</i><br><ol><li>(transitive) to inspect</li></ol>
suku|sukur	<i>noun</i><br><ol><li>a quarter real (the coin)</li><li>thanks, gratitude</li></ol>
sulasi	<i>noun</i><br><ol><li>basil (Ocimum basilicum)</li></ol>
sule	<i>noun</i><br><ol><li>a big plate</li></ol>
sulesule	<i>noun</i><br><ol><li>the coxcomb</li></ol>
suling	<i>noun</i><br><ol><li>the suling flute</li></ol>
sume|tosume|isume|fosume|osume|mosume|misume|nisume|yosume|nosume	<i>verb</i><br><ol><li>(intransitive) to blow one's nose</li></ol>
sumesume|yosumesume|fosumesume|misumesume|osumesume|isumesume|tosumesume|nisumesume|mosumesume|nosumesume	<i>verb</i><br><ol><li>(intransitive) to sob</li></ol>
sumu	<i>noun</i><br><ol><li>a well</li></ol>
suna|isuna|mosuna|nisuna|yosuna|tosuna|osuna|fosuna|nosuna|misuna	<i>noun</i><br><ol><li>circumcision</li></ol><br><i>verb</i><br><ol><li>(transitive) to circumcise</li></ol>
sungi|yosung|isungi|nosungi|nisung|mosung|nisungi|tosungi|misungi|nosung|isung|tosung|fosung|yosungi|osung|misung|fosungi|sung|osungi|mosungi	<i>verb</i><br><ol><li>(stative) to be new</li></ol>
suo	<i>noun</i><br><ol><li>the obtuse barracuda (Sphyraena obtusata)</li></ol>
supi|sumpi	<i>noun</i><br><ol><li>a blowpipe, blowgun, sumpit</li></ol>
supu|mosupu|yosupu|isupu|fosupu|nosupu|misupu|nisupu|tosupu|osupu	<i>verb</i><br><ol><li>(intransitive) to go out, exit</li></ol>
suramo	<i>noun</i><br><ol><li>fog</li></ol>
surat	<i>noun</i><br><ol><li>a letter (written message)</li></ol>
suro	<i>noun</i><br><ol><li>a wedge</li></ol>
surosuro	<i>noun</i><br><ol><li>addition, supplement</li></ol>
surugogo|fosorogogo|osorogogo|misurugogo|tosurugogo|mosurugogo|osurugogo|sorogogo|tosorogogo|isurugogo|yosurugogo|fosurugogo|misorogogo|nisurugogo|mosorogogo|nosurugogo|nisorogogo|yosorogogo|nosorogogo|isorogogo	<i>verb</i><br><ol><li>(intransitive) to swallow the wrong way</li><li>(intransitive) to choke</li></ol>
surumpeta	<i>noun</i><br><ol><li>the trumpetfishes (family Aulostomidae)</li><li>the flutemouth (family Fistulariidae)</li></ol>
susa|mosusa|nisusa|nosusa|misusa|osusa|tosusa|isusa|yosusa|fosusa	<i>verb</i><br><ol><li>(stative) to be difficult</li></ol>
susai	<i>noun</i><br><ol><li>mustard (Brassica juncea)</li></ol>
susun	<i>noun</i><br><ol><li>a stitch, stitches</li></ol>
susuramo	<i>noun</i><br><ol><li>a kind of cloud</li></ol>
sutara	<i>noun</i><br><ol><li>silk</li></ol>
suwisa|mosuwisa|nosuwisa|fosuwisa|osuwisa|nisuwisa|yosuwisa|tosuwisa|isuwisa|سويس|misuwisa	<i>noun</i><br><ol><li>the gendang, kendhang</li></ol><br><i>verb</i><br><ol><li>(intransitive) to play the gendang, kendhang</li></ol>
taadim|itaadim|otaadim|totaadim|nitaadim|notaadim|motaadim|fotaadim|yotaadim|تعظيم|mitaadim	<i>noun</i><br><ol><li>homage, respect</li><li>tribute</li></ol><br><i>verb</i><br><ol><li>(transitive) to honor, revere</li><li>(intransitive) to show respect</li></ol>
tabadiku|تابديکو	<i>noun</i><br><ol><li>bamboo</li></ol>
tabako|تباکو	<i>noun</i><br><ol><li>tobacco</li></ol>
tabalai|notabalai|nitabalai|motabalai|itabalai|totabalai|fotabalai|mitabalai|yotabalai|otabalai	<i>verb</i><br><ol><li>(stative) to be messy, untidy</li></ol>
tabea|notabea|totabea|motabea|itabea|تبيىٰ|mitabea|nitabea|otabea|yotabea|fotabea	<i>intj</i><br><ol><li>excuse me, pardon</li></ol><br><i>noun</i><br><ol><li>a greeting, an act of greeting</li></ol><br><i>verb</i><br><ol><li>(transitive) to greet</li></ol>
tabi|fotabi|otabi|itabi|mitabi|motabi|nitabi|notabi|totabi|yotabi	<i>verb</i><br><ol><li>(transitive) to bring together</li></ol>
tabisasu|تبيساسو	<i>noun</i><br><ol><li>a kind of orchid; its leaves have been used for plaiting and weaving (baskets, hats, etc.)</li></ol>
tabo|itabo|totabo|notabo|mitabo|nitabo|yotabo|motabo|fotabo|otabo	<i>verb</i><br><ol><li>(intransitive) to catch water</li></ol>
tabu|notabu|itabu|yotabu|fotabu|otabu|totabu|motabu|nitabu|mitabu|تابو	<i>verb</i><br><ol><li>(transitive) to shoot, fire</li></ol>
tada|mitada|nitada|totada|otada|fotada|yotada|itada|motada|notada	<i>verb</i><br><ol><li>to hack wood</li></ol>
tadarus	<i>noun</i><br><ol><li>the act of reciting the Quran together, usually in a mosque during Ramadan</li></ol>
tadu|nitadu|notadu|yotadu|motadu|totadu|mitadu|otadu|fotadu|itadu	<i>noun</i><br><ol><li>a horn (of an animal, etc.)</li><li>the clown coris (Coris aygula)</li><li>a shadow</li></ol><br><i>verb</i><br><ol><li>(transitive) to shade, to shadow, to cast a shadow by covering</li></ol>
tafi|itafi|totafi|motafi|nitafi|mitafi|otafi|fotafi|notafi|yotafi	<i>verb</i><br><ol><li>(transitive) to filter</li></ol>
tafu	<i>noun</i><br><ol><li>brother-in-law</li></ol>
taga|تاݢه|itaga|nitaga|totaga|fotaga|motaga|yotaga|mitaga|notaga|otaga	<i>verb</i><br><ol><li>(intransitive) to strike</li><li>(intransitive) to wash ashore, to wash up</li><li>(intransitive) to flow down</li></ol>
tagalinga	<i>noun</i><br><ol><li>kangaroo grass (Themeda triandra)</li></ol>
tagalngana|تݢلڠان	<i>noun</i><br><ol><li>kangaroo grass (Themeda triandra)</li></ol>
tagalolo|تاݢلولو	<i>noun</i><br><ol><li>Ficus septica</li></ol>
tagetage|تاݢي تاݢي	<i>noun</i><br><ol><li>Java grass (Cyperus rotundus)</li></ol>
tagi|itagi|mitagi|otagi|totagi|nitagi|yotagi|motagi|fotagi|notagi	<i>verb</i><br><ol><li>(intransitive) to walk</li><li>(intransitive) to go</li></ol>
tago|notago|mitago|itago|totago|otago|yotago|nitago|fotago|motago	<i>verb</i><br><ol><li>(intransitive) to debate</li></ol>
tahi|mitahi|itahi|yotahi|totahi|nitahi|fotahi|otahi|motahi|notahi	<i>verb</i><br><ol><li>(transitive) to pour out</li></ol>
taho|itaho|totaho|motaho|fotaho|otaho|nitaho|yotaho|notaho|mitaho	<i>verb</i><br><ol><li>(transitive) to winnow</li></ol>
tahu	<i>noun</i><br><ol><li>tofu</li></ol>
tahun|taong|تاهن	<i>noun</i><br><ol><li>a year</li></ol>
tai|nitai|motai|itai|yotai|notai|mitai|totai|otai|fotai	<i>noun</i><br><ol><li>the fish Lutjanus lemniscatus</li></ol><br><i>verb</i><br><ol><li>(transitive) to stare at</li></ol>
taja|mitaja|yotaja|motaja|otaja|itaja|nitaja|notaja|fotaja|totaja	<i>verb</i><br><ol><li>(transitive) to chew</li></ol>
taji|yotaji|otaji|motaji|totaji|mitaji|fotaji|itaji|notaji|nitaji	<i>verb</i><br><ol><li>(transitive) to stick into, to pierce, stab</li></ol>
takome	<i>noun</i><br><ol><li>the noni, Morinda citrifolia</li></ol>
takua	<i>noun</i><br><ol><li>(Islam) taqwa</li><li>piety</li></ol>
talabu|otalabu|totalabu|nitalabu|fotalabu|mitalabu|motalabu|italabu|yotalabu|notalabu	<i>verb</i><br><ol><li>(transitive) to be nagging</li></ol>
talaga	<i>noun</i><br><ol><li>a lake</li></ol>
talaki|nitalaki|totalaki|yotalaki|motalaki|italaki|fotalaki|mitalaki|otalaki|notalaki	<i>noun</i><br><ol><li>a divorce</li></ol><br><i>verb</i><br><ol><li>to divorce</li></ol>
talalu	<i>adv</i><br><ol><li>too</li></ol>
talam	<i>noun</i><br><ol><li>tray</li></ol>
talat|fotalat|italat|yotalat|motalat|otalat|notalat|totalat|mitalat|nitalat	<i>verb</i><br><ol><li>(stative) to be late (not arriving until after an expected time)</li></ol>
tale|motale|notale|mitale|nitale|totale|otale|itale|fotale|yotale	<i>verb</i><br><ol><li>to carry weight</li></ol>
talibagu	<i>noun</i><br><ol><li>a cursed object</li></ol>
tamako	<i>noun</i><br><ol><li>an axe</li></ol>
tamate|تماتي	<i>noun</i><br><ol><li>tomato</li></ol>
tambaga|تمباݢ	<i>noun</i><br><ol><li>copper</li></ol>
tambaru	<i>noun</i><br><ol><li>a feast day</li></ol>
tamelo	<i>noun</i><br><ol><li>mung bean (Vigna radiata)</li><li>Short for gulegule tamelo.</li><li>a kind of millet</li></ol>
tamo	<i>noun</i><br><ol><li>an earthen pot</li></ol>
tana|otana|itana|totana|motana|notana|yotana|mitana|fotana|nitana	<i>verb</i><br><ol><li>(transitive) to present</li></ol>
tango|notango|itango|mitango|motango|yotango|totango|nitango|fotango|otango	<i>verb</i><br><ol><li>(intransitive) to lie down</li></ol>
tanu|totanu|mitanu|notanu|motanu|yotanu|otanu|fotanu|itanu|nitanu	<i>verb</i><br><ol><li>(transitive) to cover</li></ol>
tapa|fotapa|itapa|notapa|yotapa|nitapa|totapa|motapa|otapa|mitapa	<i>verb</i><br><ol><li>(transitive) to patch something</li></ol>
tapak	<i>noun</i><br><ol><li>a road</li></ol>
