13.	<i>adj</i><br><ol><li>13th</li></ol>
undangonga|undangongan|undangongurnar|undangonguna|undangongunum|undangonganna|undangongur|undangongunnar|undangongum|undangonguni|undangongu	<i>noun</i><br><ol><li>(nautical) downwind sailing</li></ol>
undangongumaður|undangongumansins|undangongumanna|undangongumanninum|undangongumanni|undangongumenninir|undangongumaðurin|undangongumenninar|undangongumonnunum|undangongumannin|undangongumenn|undangongumannanna|undangongumonnum|undangongumans|undangongumann	<i>noun</i><br><ol><li>protagonist, pioneer, spearhead, campaigner</li></ol>
undantak|undantakanna|undantøkunum|undantøk|undantaks|undantaka|undantaksins|undantakið|undantaki|undantøkum|undantakinum|undantøkini	<i>noun</i><br><ol><li>exception</li></ol>
undirflokkur|undirfloks|undirflokkanna|undirflokka|undirflokkurin|undirflokkar|undirflokkarnir|undirflokkarnar|undirflokkum|undirfloksins|undirflokk|undirflokkinum|undirflokkin|undirflokkunum|undirflokki	<i>noun</i><br><ol><li>(biology, taxonomy) subclass (subclassis)</li></ol>
undirfylki|undirfylkini|undirfylkjum|undirfylkisins|undirfylkis|undirfylkir|undirfylkja|undirfylkjanna|undirfylkinum|undirfylkjunum|undirfylkið	<i>noun</i><br><ol><li>(biology, taxonomy) subphylum</li></ol>
undirhópur|undirhóps|undirhópsins|undirhópanna|undirhóp|undirhópunum|undirhópi|undirhópa|undirhópum|undirhóparnir|undirhóparnar|undirhópar|undirhópinum|undirhópin|undirhópurin	<i>noun</i><br><ol><li>(biology, taxonomy) suborder (subordo)</li></ol>
undirslag|undirsløgini|undirslagsins|undirsløgunum|undirslagið|undirsløgum|undirslaga|undirslaginum|undirslaganna|undirslagi|undirslags|undirsløg|undirslagnum	<i>noun</i><br><ol><li>(biology, taxonomy) subspecies</li></ol>
undirslekt|undirslektini|undirslektunum|undirslektin|undirslekta|undirslektir|undirslektina|undirslektar|undirslektirnar|undirslektanna|undirslektum|undirslektarinnar	<i>noun</i><br><ol><li>(biology, taxonomy) subgenus</li></ol>
undirslektbólkur|undirslektbólk|undirslektbólka|undirslektbólkarnir|undirslektbólkar|undirslektbólkunum|undirslektbólkin|undirslektbólki|undirslektbólkurin|undirslektbólkarnar|undirslektbólkum|undirslektbólkanna|undirslektbólks|undirslektbólksins|undirslektbólkinum	<i>noun</i><br><ol><li>(biology, taxonomy) subtribe (subtribus)</li></ol>
undirtøka|undirtøkur|undirtøkuna|undirtøkunnar|undirtøkan|undirtøkurnar|undirtøkunum|undirtøkum|undirtøkanna|undirtøkuni|undirtøku	<i>noun</i><br><ol><li>agreement, consent, assent, approval, support</li></ol>
undirætt|undirættum|undirættirnar|undirættina|undirættini|undirættunum|undirætta|undirættin|undirættanna|undirættar|undirættir|undirættarinnar	<i>noun</i><br><ol><li>(biology, taxonomy) subfamily (subfamilia)</li></ol>
undrast	<i>verb</i><br><ol><li>to wonder</li></ol>
undur|undrini|undri|undrið|undursins|undra|undranna|undrunum|undurs|undrinum|undrum	<i>noun</i><br><ol><li>wonder</li></ol>
ungar	<i>adj</i><br><ol><li>young, indefinite strong genitive singular feminine form of ungur</li><li>young, indefinite strong nominative plural feminine form of ungur</li><li>young, indefinite strong accusative plural feminine form of ungur</li><li>young, indefinite strong accusative plural masculine of ungur</li></ol>
ungari|ungaranum|ungaran|ungarar|ungarum|ungararnar|ungaranna|ungararnir|ungara|ungarunum|ungarin|ungarans	<i>noun</i><br><ol><li>a Hungarian person</li></ol>
ungarskt|ungarsk|ungarskastur|ungarsks|ungarska|ungarskari|ungarskan|ungarskar|ungarskir|ungarska/ ungarskra|ungarskum|ungarskar/ ungarskrar|ungarskur	<i>noun</i><br><ol><li>Hungarian (language)</li></ol>
ungarskur|ungarsk|ungarskastur|ungarskt|ungarsks|ungarska|ungarskari|ungarskan|ungarskar|ungarskir|ungarska/ ungarskra|ungarskum|ungarskar/ ungarskrar	<i>adj</i><br><ol><li>Hungarian</li></ol>
ungi|ungar|unganna|ungunum|ungan|ungin|ungans|unga|unganum|ungum|ungarnar|ungarnir	<i>noun</i><br><ol><li>fledgling, pup</li></ol>
ungur|ungar|ungs|ungan|yngru|unga|ungum|ungari|ungt|ungir|yngri|yngstur|yngra|ung	<i>adj</i><br><ol><li>young</li></ol>
ungverskur|ungverskari|ungverskir|ungverskar/ ungverskrar|ungverskan|ungverskt|ungversk|ungversks|ungverskastur|ungverskar|ungverska/ ungverskra|ungverska|ungverskum	<i>adj</i><br><ol><li>Hungarian</li></ol>
universitet|universitetum|universitetið|universitets|universitetini|universiteti|universiteta|universitetanna|universitetinum|universitetsins|universitetunum	<i>noun</i><br><ol><li>university (institution of higher education)</li></ol>
unna|unnir|unna!|unt|unnandi|unnið!|unn!|unti|unnaður|unnað|untu|unnaðu|untur|unni|unnar|unnaði	<i>verb</i><br><ol><li>to grant, allow (someone else a benefit, without begrudging this)</li></ol>
unnusta|unnustu|unnustum|unnustan|unnustuna|unnustanna|unnustunum|unnustunnar|unnusturnar|unnustur|unnustuni	<i>noun</i><br><ol><li>(poetic) fiancée, girlfriend</li></ol>
unnusti|unnustu|unnustum|unnustan|unnustar|unnustans|unnustin|unnustuna|unnustarnar|unnustanna|unnusturnar|unnusta|unnustarnir|unnustunnar|unnustuni|unnustunum|unnustur|unnustanum	<i>noun</i><br><ol><li>(poetic) fiancé, boyfriend</li></ol>
upp	<i>adv</i><br><ol><li>up</li></ol>
uppaftur	<i>adv</i><br><ol><li>once again</li></ol>
uppdatera	<i>verb</i><br><ol><li>to update</li></ol>
uppgáva|uppgávu|uppgávuni|uppgávanna|uppgávur|uppgávum|uppgávurnar|uppgávunum|uppgávunnar|uppgávuna|uppgávan	<i>noun</i><br><ol><li>task</li></ol>
upphædd|upphæddanna|upphæddirnar|upphæddar|upphædda|upphæddini|upphæddunum|upphæddir|upphæddin|upphæddarinnar|upphæddina|upphæddum	<i>noun</i><br><ol><li>amount, sum, total</li></ol>
uppi	<i>adv</i><br><ol><li>up, above, on top, overhead, upstairs</li><li>(past) over, used up</li></ol>
upplatin|upplatnar|upplatið|upplatnum|upplatnir|upplatins|upplatna|upplatnari|upplatnan	<i>adj</i><br><ol><li>opened</li></ol>
upplýsing|upplýsingini|upplýsingunum|upplýsinganna|upplýsingin|upplýsingina|upplýsingum|upplýsingar|upplýsinga|upplýsingarinnar|upplýsingarnar	<i>noun</i><br><ol><li>information</li><li>enlightenment</li></ol>
upprunafrøði|upprunafrøðini|upprunafrøðin|upprunafrøðinnar|upprunafrøðina	<i>noun</i><br><ol><li>etymology</li></ol>
uppruni|upprunum|uppruna|upprunans|upprunanna|upprunan|upprunar|upprunanum|upprunin|upprunarnir|upprununum|upprunarnar	<i>noun</i><br><ol><li>ancestry, derivation, origin</li></ol>
uppsjóvarfiskur|uppsjóvarfisksins|uppsjóvarfiski|uppsjóvarfiskarnar|uppsjóvarfiskarnir|uppsjóvarfiskunum|uppsjóvarfisk|uppsjóvarfisks|uppsjóvarfiskanna|uppsjóvarfiskinum|uppsjóvarfiskurin|uppsjóvarfiskar|uppsjóvarfiskum|uppsjóvarfiskin|uppsjóvarfiska	<i>noun</i><br><ol><li>pelagic fish</li></ol>
uppskot|uppskotunum|uppskotanna|uppskots|uppskotini|uppskotum|uppskotsins|uppskotið|uppskoti|uppskotinum|uppskota	<i>noun</i><br><ol><li>proposal, suggestion</li></ol>
uppí	<i>adv</i><br><ol><li>into, onto</li></ol>
uppøstur|uppøsts|uppøstar|uppøstan|uppøstum|uppøsta|uppøstir|uppøstari|uppøstt|uppøst	<i>adj</i><br><ol><li>excited</li></ol>
ur|urs|ura|urinum|ursins|urum|urini|uri|urið|uranna|urunum	<i>noun</i><br><ol><li>watch, timepiece</li></ol>
uran|uransins|uraninum|uranið|urans|urani	<i>noun</i><br><ol><li>uranium</li></ol>
urga|urgan|urgu|urguna|urgunnar|urgurnar|urguni|urgur|urgum|urgunum|urganna	<i>noun</i><br><ol><li>organ (musical instrument)</li><li>(derogatory) organ (publication controlled by some organization)</li></ol>
urt|urtini|urtunum|urtum|urtarinnar|urtir|urtanna|urta|urtirnar|urtar|urtina|urt|urtin	<i>noun</i><br><ol><li>wort, herb, haulm</li><li>wort, first brew of malt, when making beer</li><li>egg deposition, the eggs, a bird lays</li></ol>
urð|urða|urðunum|urðarinnar|urðarnar|urðar|urðanna|urðina|urðini|urðin|urðum	<i>noun</i><br><ol><li>a pile of fallen rocks at the foot of a cliff</li></ol>
uttan	<i>adv</i><br><ol><li>from outside, inwards</li><li>outside</li></ol><br><i>prep</i><br><ol><li>outside (genitive)</li><li>except, without (accusative)</li></ol><br><i>conj</i><br><ol><li>unless</li></ol>
uttan fyri	<i>prep</i><br><ol><li>outside of</li></ol>
uttanhýsis	<i>adv</i><br><ol><li>outdoors, outside</li><li>externally, external</li></ol>
uttanríkisráð|uttanríkisráðini|uttanríkisráðsins|uttanríkisráðs|uttanríkisráðum|uttanríkisráði|uttanríkisráðið|uttanríkisráðunum|uttanríkisráðnum|uttanríkisráðanna|uttanríkisráða	<i>noun</i><br><ol><li>foreign ministry, Foreign Office, State Department</li></ol>
v|V	<i>character</i><br><ol><li>The twenty-fifth letter of the Faroese alphabet, called ve and written in the Latin script.</li></ol>
vaff|vaffum|vøffini|vøffum|vøff|vaffini|vaffið|vafsins|vaffa|vaffanna|vaffi|vaffinum|vaffunum|vafs|vøffunum	<i>noun</i><br><ol><li>(archaic) vee (the letter V)</li></ol>
vagnur|vagnarnar|vagnin|vagn|vagns|vagnarnir|vagnanna|vagni|vagninum|vagnurin|vagnsins|vagnum|vagna|vagnunum|vagnar	<i>noun</i><br><ol><li>wagon, trolley</li></ol>
vakja|vaki|vaktu|vaktur|vakir|vak!|vakti|vakt|vakið!|vakjandi	<i>verb</i><br><ol><li>to be awake</li></ol>
vakna|vaknar|vaknað|vaknaði|vaknið!|vakna!|vaknandi|vakni|vaknaður|vaknaðu	<i>verb</i><br><ol><li>to wake up</li></ol>
vaksa|vaksið|vaks|veksur|vuksu|veks|vaksi|voksið|vaks!|vaksið!|vaksandi|vaksin|vóks	<i>verb</i><br><ol><li>to grow</li></ol>
vakt|vakta|vaktarinnar|vaktin|vaktini|vaktanna|vaktir|vaktunum|vaktina|vaktirnar|vaktum|vaktar	<i>noun</i><br><ol><li>guard</li><li>watch</li></ol>
vakur|vakurt|vøkrum|vakrar|vakrastur|vakrir|vakri|vakurs|vakra|vøkur|vakran|vøkru|vakrari	<i>adj</i><br><ol><li>beautiful, wonderful</li></ol>
val|valini|valið|valanna|vali|valinum|valum|valsins|vals|valunum|vala	<i>noun</i><br><ol><li>choice</li><li>(politics) election</li><li>quality</li></ol>
valborgarmessa|valborgarmessuni|valborgarmessunnar|valborgarmessan|valborgarmessu|valborgarmessuna	<i>noun</i><br><ol><li>the feast day of St. Walpurga (May 1)</li></ol>
vald|valdinum|valdsins|valdið|valdi|valds	<i>noun</i><br><ol><li>power, authority</li></ol>
valdmikil|valdmiklan|valdmiklir|valdmiklari|valdmiklar|valdmikið|valdmikils|valdmiklum|valdmikla	<i>adj</i><br><ol><li>mighty, powerful</li></ol>
valdur|valdurin|vald|valdari|valt|valdinum|valdin|valdum|valdan|valda valdra|valdi|valdsins|valdir|valdanna|valdar/ valdrar|valdarnir|valdunum|valds|valda|valdið|valdarnar|valdar	<i>noun</i><br><ol><li>(mathematics) factor</li></ol><br><i>adj</i><br><ol><li>chosen</li><li>elected</li></ol>
valevni|valevnunum|valevninum|valevnini|valevnið|valevna|valevnisins|valevnir|valevnnum|valevnanna|valevnis|valevnum	<i>noun</i><br><ol><li>candidate</li></ol>
valkyrja|valkyrjum|valkyrjunnar|valkyrjur|valkyrjan|valkyrjurnar|valkyrjunum|valkyrjanna|valkyrjuna|valkyrju|valkyrjuni	<i>noun</i><br><ol><li>Valkyrie</li></ol>
valnøt|valnøtum|valnøtir|valnøtirnar|valnøtina|valnøtarinnar|valnøtanna|valnøtini|valnøta|valnøtin|valnøtar|valnøtunum	<i>noun</i><br><ol><li>walnut</li></ol>
valseta|valsetuna|valsetu|valsetanna|valseturnar|valsetunum|valsetuni|valsetunnar|valsetur|valsetum|valsetan	<i>noun</i><br><ol><li>legislative period</li></ol>
valur|valini|valin|valir|valurin|valanna|valið|valirnar|vølunum|vali|valirnir|valinum|valum|valsins|vals|val|valunum|vølum|vala	<i>noun</i><br><ol><li>(historical) battlefield</li></ol>
vanahugsan|vanahugsanini|vanahugsanum|vanahugsanin|vanahugsanunum|vanahugsanir|vanahugsanarinnar|vanahugsananna|vanahugsanar|vanahugsana|vanahugsanina|vanahugsanirnar	<i>noun</i><br><ol><li>habitual way of thinking, habitual thinking, entrenched thinking</li></ol>
vandi|vandanna|vandin|vandarnir|vandanum|vandum|vanda|vandunum|vandans|vandarnar|vandar|vandan	<i>noun</i><br><ol><li>danger</li></ol>
vanligur|vanligir|vanligan|vanligs|vanligari|vanliga|vanlig|vanligar|vanligum|vanligt	<i>adj</i><br><ol><li>ordinary</li></ol>
vanligur froskur	<i>noun</i><br><ol><li>common frog, European common brown frog (a frog of the species Rana temporaria)</li></ol>
vanlukka|vanlukku|vanlukkuna|vanlukkum|vanlukkunnar|vanlukkuni|vanlukkanna|vanlukkunum|vanlukkan|vanlukkurnar|vanlukkur	<i>noun</i><br><ol><li>accident, disaster</li></ol>
vanta|vantaðu|vantið!|vantað|vantaði|vantar|vanta!|vantaður|vantandi|vanti	<i>verb</i><br><ol><li>to lack</li><li>to want, need (be without, fall short)</li></ol>
vara|vera|var|eri|ver!|ert|varir|eru|vardi|vóru|verið!|varið!|vari|veru|var!|er|vardur|vart|verandi|vardu|verið|varandi	<i>verb</i><br><ol><li>to take, last, require (about time)</li></ol>
vart|vera|er|var|eru|ert|vóru|verið!|vart|verandi|eri|veru|verið|ver!	<i>verb</i><br><ol><li>you were, second-person past of vera</li></ol>
varði|vørðunum|varðan|varðunum|varðin|varðans|varða|varðar|varðanum|varðanna|vørðum|varðum|varðarnar|varðarnir	<i>noun</i><br><ol><li>cairn, a mound of stones used as a landmark and sign post</li></ol>
varðveita|varðveiti|varðveitið!|varðveittur|varðveitt|varðveitandi|varðveittu|varðveit!|varðveitir|varðveitti	<i>verb</i><br><ol><li>to protect, to shield, to preserve, to keep, to maintain</li></ol>
varúlvur|varúlvarnir|varúlvarnar|varúlvum|varúlvin|varúlva|varúlvi|varúlvsins|varúlvinum|varúlvanna|varúlvar|varúlvs|varúlvurin|varúlvunum|varúlv	<i>noun</i><br><ol><li>werewolf</li></ol>
vaska|vaskaður|vaskar|vaska!|vaskaði|vaski|vaskaðu|vaskandi|vaskið!|vaskað	<i>verb</i><br><ol><li>to wash</li></ol>
vaskarí|vaskaría|vaskaríi|vaskaríið|vaskaríini|vaskaríunum|vaskaríinum|vaskarísins|vaskaríanna|vaskaríum|vaskarínum|vaskarís	<i>noun</i><br><ol><li>laundry</li></ol>
vatn|vatnið|vatnsins|vøtnini|vatnanna|vatni|vatninum|vatna|vøtn|vatns|vøtnum|vøtnunum	<i>noun</i><br><ol><li>(uncountable) water (H₂O)</li><li>(nautical) sea</li><li>body fluid</li><li>lake</li></ol>
vatnaoknagras|vatnaoknagrøsunum|vatnaoknagrasa|vatnaoknagrøsini|vatnaoknagrøs|vatnaoknagrasanna|vatnaoknagrasins|vatnaoknagrasi|vatnaoknagrøsum|vatnaoknagrasinum|vatnaoknagrasið	<i>noun</i><br><ol><li>(botany) lake quillwort</li></ol>
vatndropi|vatndropunum|vatndropar|vatndropanum|vatndropan|vatndropans|vatndroparnir|vatndroparnar|vatndropum|vatndropanna|vatndropin|vatndropa	<i>noun</i><br><ol><li>waterdrop</li></ol>
vatnræsi|vatnræsum|vatnræsunum|vatnræsir|vatnræsis|vatnræsinum|vatnræsisins|vatnræsnum|vatnræsa|vatnræsini|vatnræsið|vatnræsanna	<i>noun</i><br><ol><li>small spring or brook (watercourse)</li><li>ureter, urethra</li></ol>
vavv|vavs|vøvv	<i>noun</i><br><ol><li>(archaic) name of the letter v, compare ve.</li></ol>
vaða|vaðið!|vóðst|vóðu|vaðandi|vað!|vaði|vaðið|veður|vóð|vaðin	<i>verb</i><br><ol><li>to wade</li></ol>
vaðmal|vaðmalinum|vaðmalsins|vaðmalið|vaðmali|vaðmals	<i>noun</i><br><ol><li>homespun</li></ol>
ve|ves|veum|veunum|vei|veanna|veinum|vea|veið|vesins|veini	<i>noun</i><br><ol><li>The name of the Latin-script letter V.</li></ol>
vegamót|vegamótinum|vegamóts|vegamóti|vegamótunum|vegamótini|vegamótsins|vegamótið|vegamóta|vegamótum|vegamótanna	<i>noun</i><br><ol><li>crossroads, intersection, junction</li></ol>
veggjakrutl|veggjakrutli|veggjakrutlið|veggjakrutlinum|veggjakrutls|veggjakrutlsins	<i>noun</i><br><ol><li>graffiti</li></ol>
veggur|veggirnar|veggir|veggurin|veggjar|veggirnir|veggjanna|vegginum|veggjunum|veggjarins|veggin|vegg|veggjum|veggi|veggja	<i>noun</i><br><ol><li>house wall</li><li>interior wall</li><li>(rare) steep cliff</li></ol>
vegna	<i>prep</i><br><ol><li>because of, due to, for the sake of, on account of</li></ol>
vegur|veginum|veg|vegirnar|vegunum|vegarins|veganna|vegi|vegirnir|vegnum|vegum|vega|vegir|vegar|vegin|vegurin	<i>noun</i><br><ol><li>way, road</li><li>distance</li><li>movement towards a goal, direction</li><li>possibility</li></ol>
veikur|veik|veiks|veikum|veikan|veikir|veikastur|veikt|veika|veikar|veikari	<i>adj</i><br><ol><li>weak</li><li>(grammar) weak</li></ol>
veit|veitar|veitunum|veitin|veitarinnar|veitum|veitanna|veita|veitirnar|veitir|veitini|veitina	<i>noun</i><br><ol><li>ditch, culvert</li><li>canal, fairway</li></ol>
veitsla|veitsluna|veitslur|veitslanna|veitslu|veitslum|veitslan|veitslurnar|veitsluni|veitslunum|veitslunnar	<i>noun</i><br><ol><li>party, celebration</li><li>(kvæði) merit, gift, help</li></ol>
veittra|veittrið!|veittrar|veittraðu|veittrað|veittraður|veittraði|veittra!|veittri|veittrandi	<i>verb</i><br><ol><li>to wave</li></ol>
veiða|veiðunum|veiðandi|veitt|veiddu|veiðunnar|veiðu|veið!|veiðurnar|veiðan|veiðuni|veiðanna|veiði|veiðir|veiddi|veiðuna|veiddur|veiður|veiðum|veiðið!	<i>noun</i><br><ol><li>(uncountable) hunting</li><li>(countable) yield from hunting</li></ol><br><i>verb</i><br><ol><li>to hunt</li></ol>
vekja|vekjið!|vakdur|vekið!|veki|vaktu|vakdu|vakdi|vekir|vaktur|vekji|vekjandi|vakti|vakt|vek!|vekur	<i>verb</i><br><ol><li>(transitive) to waken</li></ol>
veksla|veksli|vekslandi|vekslað|vekslaður|vekslið!|vekslaðu|veksla!|vekslaði|vekslar	<i>verb</i><br><ol><li>to change</li></ol>
vekt|vektini|vektanna|vektar|vektirnar|vektum|vekta|vektunum|vektir|vektarinnar|vektin|vektina	<i>noun</i><br><ol><li>weight</li></ol>
vel|velið|velum|velinum|velunum|velanna|velsins|vela|velini|veli|vels	<i>noun</i><br><ol><li>tail (of a bird)</li></ol>
velja|veljið!|veljandi|valt|vel!|velur|valdu|velji|valdur|valdi	<i>verb</i><br><ol><li>to choose</li><li>to elect</li></ol>
vellingur|vellingin|vellingurin|vellings|velling|vellingsins|vellingi|vellinginum	<i>noun</i><br><ol><li>gruel</li></ol>
venda|vendandi|vendið!|vendur|vent|vend!|vendi|vendir|vendu	<i>verb</i><br><ol><li>to turn</li></ol>
venja|venur|venjandi|vandi|vandu|vandur|venjið!|ven!|venji|vant	<i>verb</i><br><ol><li>to exercise</li><li>to train</li></ol>
venjari|venjarum|venjarunum|venjararnir|venjaranna|venjaran|venjarans|venjarin|venjaranum|venjara|venjararnar|venjarar	<i>noun</i><br><ol><li>coach</li></ol>
venjing|venjingini|venjinga|venjingarinnar|venjingin|venjingina|venjingum|venjinganna|venjingarnar|venjingar|venjingunum	<i>noun</i><br><ol><li>exercise</li><li>(sports) training</li></ol>
venjingardystur|venjingardystirnir|venjingardysts|venjingardystunum|venjingardystirnar|venjingardystir|venjingardysti|venjingardysturin|venjingardystin|venjingardystum|venjingardystinum|venjingardystsins|venjingardystanna|venjingardysta|venjingardyst	<i>noun</i><br><ol><li>(sports) training match</li></ol>
ver|vera|var|veruna|veranna|eri|ver!|ert|versins|verinum|eru|veri|verini|vóru|verunnar|verurnar|verið!|verunum|veruni|veru|verum|er|verur|vart|vers|verandi|veran|verið	<i>noun</i><br><ol><li>a cover made of cloth (e.g. a pillow case or duvet cover)</li></ol><br><i>verb</i><br><ol><li>be singular imperative of vera</li></ol>
vera|vera|var|veruna|veranna|eri|ver!|ert|eru|vóru|verunnar|verið!|verurnar|verunum|veruni|veru|verum|er|verur|vart|verandi|veran|verið	<i>verb</i><br><ol><li>(transitive, intransitive, takes nominative adjectives or nouns) to be</li></ol><br><i>noun</i><br><ol><li>being</li></ol>
verja|vera|var|eri|ver!|ert|verj!|verjið!|verjir|verji|verjandi|eru|vardi|vóru|verið!|veru|er|vardur|vart|verandi|vardu|verið	<i>verb</i><br><ol><li>to defend</li><li>to protect</li></ol>
verji|verjanum|verjar|verjarnar|verjin|verjunum|verjarnir|verja|verjum|verjans|verjanna|verjan	<i>noun</i><br><ol><li>(sports) defender</li><li>(law) defensor</li><li>(law) guardian (responsible for a minor in loco parentis)</li></ol>
verk|verkið|verkini|verkum|verkanna|verkinum|verks|verka|verksins|verkunum|verki	<i>noun</i><br><ol><li>work</li><li>works, product</li><li>power plant</li><li>e.g. clockwork</li><li>(administration) service, system</li></ol>
verkstaður|verkstaðnum|verkstaðinum|verkstaðir|verkstaðunum|verkstaðirnar|verkstaðarins|verkstaða|verkstaðin|verkstaðirnir|verkstaðanna|verkstøðum|verkstaði|verkstaðum|verkstaðurin|verkstøðunum|verkstað|verkstaðar	<i>noun</i><br><ol><li>garage, workshop, factory</li></ol>
verkur|verkurin|verkirnar|verkjunum|verksins|verkið|verkini|verkum|verkir|verkin|verk|verkjanna|verkinum|verks|verkanna|verki|verkjum|verkja|verkirnir|verka|verkunum	<i>noun</i><br><ol><li>pain</li></ol>
verkætlan|verkætlanar|verkætlanina|verkætlana|verkætlanarinnar|verkætlanirnar|verkætlananna|verkætlanir|verkætlanum|verkætlanunum|verkætlanini|verkætlanin	<i>noun</i><br><ol><li>routing, work schedule</li><li>project</li></ol>
verma|vermdi|vermir|vermdur|vermt|vermdu|verm!|vermandi|vermið!|vermi	<i>verb</i><br><ol><li>to warm, to warm up</li><li>to breed</li><li>to delight</li></ol>
verpa|verpi|verpur|varpst|verpandi|vorpin|verpið!|verp!|vorpið|varp|vurpu	<i>verb</i><br><ol><li>to lay (eggs)</li><li>(transitive, intransitive, with accusative) to lay (an egg)</li></ol>
verst	<i>adv</i><br><ol><li>worst, superlative degree of illa</li></ol>
verstur|versts|verstir|verstan|verstar/ verstrar|verst|verstum|verstar|versta|verstari|versta/ verstra	<i>adj</i><br><ol><li>worst, superlative degree of ringur, superlative degree of óndur, superlative degree of illur, superlative degree of vándur</li></ol>
vertur|vertir|vertirnir|vertum|vertin|verturin|vertunum|vert|verts|vertsins|verta|vertanna|verti|vertirnar|vertinum	<i>noun</i><br><ol><li>host</li></ol>
veruleiki|veruleikarnar|veruleikanna|veruleikan|veruleikanum|veruleikans|veruleikar|veruleikum|veruleikin|veruleikunum|veruleika|veruleikarnir	<i>noun</i><br><ol><li>reality</li></ol>
veruliga	<i>adv</i><br><ol><li>actually, really</li></ol>
veruligur|veruligt|veruligir|verulig|veruligar|veruligan|veruligs|veruligari|veruligum|veruliga	<i>adj</i><br><ol><li>real</li></ol>
verð|verðir|verðunum|verðanna|verðinum|verðið|verði|verðina|verðum|verðarinnar|verðs|verðirnar|verð|verðsins|verðar|verðin|verðini|verða	<i>noun</i><br><ol><li>world</li><li>price, value</li></ol>
verða|vórðu|vorðin|verðið!|verður|verði|vorðið|verð|varð|verðandi|verð!	<i>verb</i><br><ol><li>to become</li><li>to be</li></ol>
verða verandi	<i>verb</i><br><ol><li>to stay</li></ol>
verður|verðir|verðunum|verðarins|verðinum|verðanna|verði|verðina|vert|verðirnir|verðurin|verð|verðirnar|verðum|verðarinnar|verðar|verðin|verðini|verða	<i>noun</i><br><ol><li>ration, portion</li></ol><br><i>adj</i><br><ol><li>valuable; obsolete form of verdur.</li></ol>
verøld|verøldina|veraldarinnar|verøldir|verøldirnar|veraldanna|veralda|verøldin|verøldunum|verøldini|verøldum|veraldar	<i>noun</i><br><ol><li>the world</li></ol>
vesi|vesanna|vesis|vesunum|vesa|vesinum|vesnum|vesini|vesið|vesum|vesisins|vesir	<i>noun</i><br><ol><li>WC, toilet, bathroom</li></ol>
vestfall|vestfals|vestfalli|vestfallið|vestfalsins|vestfallinum	<i>noun</i><br><ol><li>tidal current, which runs in a westerly direction in the Faroese fjords</li></ol>
vestur|vestrinum|vestast|vestunum|vestur|vestsins|vestari|vestinum|vesti|vestarnar|vestarnir|vestri|vestursins|vesturs|vests|vestanna|vestrið|vestar|vestin|vesturin|vest|vesta|vestum	<i>noun</i><br><ol><li>west</li><li>vest, waistcoat</li></ol><br><i>adv</i><br><ol><li>west, westward</li></ol>
vetrarblóma|vetrarblóman|vetrarblómuna|vetrarblómuni|vetrarblómunnar|vetrarblómur|vetrarblómunum|vetrarblómanna|vetrarblómurnar|vetrarblómum|vetrarblómu	<i>noun</i><br><ol><li>Purple saxifrage (Saxifraga oppositifolia)</li></ol>
vetrarbreyt|vetrarbreytina|vetrarbreytin|vetrarbreytar|vetrarbreytini|vetrarbreytarinnar	<i>noun</i><br><ol><li>(usually definite) the Milky Way (galaxy)</li></ol>
vetrarnátt|vetrarnáttina|vetrarnæturnar|vetrarnáttum|vetrarnáttar|vetrarnáttarinnar|vetrarnátta|vetrarnáttanna|vetrarnátturnar|vetrarnætur|vetrarnáttunum|vetrarnáttini|vetrarnáttin	<i>noun</i><br><ol><li>winter night</li><li>time around October 14th</li></ol>
vetrartíð|vetrartíðini|vetrartíðin|vetrartíða|vetrartíðar|vetrartíðanna|vetrartíðum|vetrartíðina|vetrartíðunum|vetrartíðirnar|vetrartíðarinnar|vetrartíðir	<i>noun</i><br><ol><li>wintertime</li></ol>
vetur|vetrarnir|vetrinum|vetri|vetrunum|vetrarnar|vetrarins|vetra|vetranna|veturin|vetrar|vetrum	<i>noun</i><br><ol><li>winter</li></ol>
veva|vevið!|vav|vev!|vovið|vóvu|vevur|vavst|vevi|vevandi|vovin	<i>verb</i><br><ol><li>to weave</li></ol>
vevur|vev|vevurin|vevsins|vevum|vevir|vevinum|vevirnar|veva|vevi|vevs|vevunum|vevanna|vevin|vevirnir	<i>noun</i><br><ol><li>web, fabric being woven</li><li>loom</li></ol>
veðrakjøt|veðrakjøtið|veðrakjøts|veðrakjøtsins|veðrakjøti|veðrakjøtinum	<i>noun</i><br><ol><li>mutton from the ram or wether</li></ol>
veðrur|veðri|veðrirnir|veðr|veðrum|veðra|veðrir|veðranna|veðrirnar|veðrarins|veðrunum|veðrinum|veðrurin|veðrar|veðrin	<i>noun</i><br><ol><li>ram, wether</li><li>Aries (astronomy, astrology)</li></ol>
veður|veðrarnir|veðranna|vóðst|vegrar|vóðu|veðurs|vaði|veðrinum|vaðið|vaðið!|vaða|veður|veðrunum|veðrum|veðra|veðrir|veðursins|vóð|veðri|veðurin|veðrarnar|veðrið|vaðandi|vað!|veðrar|vaðin	<i>noun</i><br><ol><li>(rare) ram, wether</li><li>one of several (normally four) spikes at the ends of a hiking pole (fjallstavur)</li><li>weather</li></ol><br><i>verb</i><br><ol><li>you, he, she, it wades, second/third-person singular present of vaða</li></ol>
