.	<i>punct</i><br><ol><li>Used to mark ordinal numbers, pronounced -garren.</li></ol>
musker|muskerren|muskerrarekin|muskerrarenganako|muskerrek|muskerraz|muskerri|muskerrenganako|muskerrengatik|muskerrari|muskerrak|muskerrekin|muskerrarenganantz|muskerrik|muskerrengan|muskertzat|muskerrarenganaino|muskerrei|muskerrengandik|muskerrenganaino|muskerrarengana|muskerrarengatik|muskerrengana|muskerra|muskerrenganantz|muskerrez|muskerrarengan|muskerrentzat|muskerrarentzat|muskerrarengandik|muskerraren	<i>noun</i><br><ol><li>lizard</li></ol>
musu	<i>noun</i><br><ol><li>kiss</li><li>face, countenance</li><li>snout</li></ol>
mutil|mutilengana|mutilekin|mutilarengana|mutilenganaino|mutilarenganaino|mutilenganako|mutilek|mutilaz|mutilaren|mutilen|mutilengandik|mutilak|mutilarentzat|mutilenganantz|mutilarengan|mutilez|mutiltzat|mutilengan|mutilentzat|mutilari|mutila|mutilarenganantz|mutilarenganako|mutilarengandik|mutilarengatik|mutilik|mutilengatik|mutili|mutilei|mutilarekin	<i>noun</i><br><ol><li>boy, young man</li><li>guy, lad</li><li>apprentice, artisan</li><li>(archaic, derogatory) servant, slave</li></ol>
mutu	<i>adj</i><br><ol><li>dumb</li><li>mute</li></ol>
mutur	<i>noun</i><br><ol><li>snout</li><li>end</li><li>nose</li></ol>
n|N	<i>character</i><br><ol><li>The fourteenth letter of the Basque alphabet, called ene and written in the Latin script.</li></ol>
naba	<i>noun</i><br><ol><li>valley</li></ol>
nabil	<i>verb</i><br><ol><li>First-person singular (ni) present indicative form of ibili.</li></ol>
nabilen	<i>verb</i><br><ol><li>First-person singular (ni) present subjunctive form of ibili.</li></ol>
nabilke	<i>verb</i><br><ol><li>First-person singular (ni) present potential form of ibili.</li></ol>
nadin	<i>verb</i><br><ol><li>First-person singular (ni) present subjunctive form of izan.</li></ol>
nago	<i>verb</i><br><ol><li>First-person singular (ni) present indicative form of egon.</li></ol>
nagoen	<i>verb</i><br><ol><li>First-person singular (ni) present subjunctive form of egon.</li></ol>
nagoke	<i>verb</i><br><ol><li>First-person singular (ni) present potential form of egon.</li></ol>
nagusi|nagusirengatik|nagusiarengana|nagusiaz|nagusiaren|nagusitara|nagusitarako|nagusirik|nagusirengandik|nagusiko|nagusiak|nagusietan|nagusien|nagusirenganaino|nagusiarengatik|nagusiz|nagusirentzat|nagusiarenganaino|nagusietatik|nagusitan|nagusirako|nagusiri|nagusirengan|nagusienganako|nagusitarantz|nagusiengatik|nagusietaraino|nagusiarekin|nagusiarengan|nagusiari|nagusiez|nagusirekin|nagusiegi|nagusitzat|nagusiengana|nagusienganantz|nagusietara|nagusiarengandik|nagusiei|nagusirengana|nagusiekin|nagusiarentzat|nagusitatik|nagusiarenganantz|nagusirenganantz|nagusietarantz|nagusirantz|nagusiengan|nagusirenganako|nagusia|nagusiarenganako|nagusitako|nagusiengandik|nagusienganaino|nagusietako|nagusiraino|nagusiek|nagusientzat|nagusitaraino|nagusietarako|nagusitik|nagusiago|nagusik|nagusian|nagusiren|nagusira	<i>adj</i><br><ol><li>main, principal</li><li>older, elder</li><li>adult</li></ol><br><i>noun</i><br><ol><li>(as a title) boss, chief, specially of a house</li></ol>
nahi|nahiekin|nahiei|nahiz|nahietarantz|nahitzat|nahietarako|nahiengatik|nahirentzat|nahirako|nahien|nahirantz|nahietaraino|nahiren|nahiek|nahitara|nahiarengatik|nahirekin|nahietan|nahiarentzat|nahitatik|nahiak|nahitaraino|nahiraino|nahirik|nahitik|nahiaz|nahirengatik|nahientzat|nahia|nahian|nahiarekin|nahik|nahietako|nahitarako|nahietatik|nahietara|nahitan|nahiez|nahiaren|nahiari|nahira|nahitarantz|nahiko|nahiri|nahitako	<i>noun</i><br><ol><li>will, wish</li><li>liking, fondness</li></ol>
nahi izan|nahi izango|nahi izate|nahi izaten	<i>verb</i><br><ol><li>to want</li></ol>
naiteke	<i>verb</i><br><ol><li>First-person singular (ni) present potential form of izan.</li></ol>
naiz	<i>verb</i><br><ol><li>First-person singular (ni) present indicative form of izan.</li></ol>
naizateke	<i>verb</i><br><ol><li>First-person singular (ni) present potential form of izan.</li></ol>
nakar	<i>verb</i><br><ol><li>Third-person singular (hark), taking first-person singular (ni) as direct object, present indicative form of ekarri.</li></ol>
nakie	<i>verb</i><br><ol><li>First-person singular (ni), taking third-person plural (haiei) as indirect object, present indicative form of ekin.</li></ol>
nano|nanoetan|nanoarengandik|nanoaren|nanorenganako|nanoa|nanoenganaino|nanoetarako|nanora|nanoarenganako|nanoengandik|nanoen|nanorekin|nanorengatik|nanoarengana|nanoez|nanoengana|nanorenganantz|nanoko|nanotatik|nanoetako|nanotzat|nanotik|nanoak|nanok|nanotaraino|nanorentzat|nanorengana|nanoentzat|nanoaz|nanoarenganantz|nanotarantz|nanoan|nanorako|nanoek|nanoei|nanoetaraino|nanoago|nanoetara|nanorengan|nanotara|nanotako|nanorantz|nanotan|nanotarako|nanoekin|nanoegi|nanoarengan|nanoarenganaino|nanoarentzat|nanoraino|nanoetarantz|nanorik|nanoengan|nanoetatik|nanoenganantz|nanorengandik|nanoz|nanori|nanoengatik|nanoarekin|nanorenganaino|nanoenganako|nanoari|nanoren|nanoarengatik	<i>adj</i><br><ol><li>dwarf, miniature, minuscule</li></ol><br><i>noun</i><br><ol><li>(animate) dwarf, midget</li><li>(inanimate, astronomy) dwarf star</li></ol>
nare|nareen|nareegi|nareago	<i>adj</i><br><ol><li>calm</li></ol>
narkotrafiko|narkotrafikorentzat|narkotrafikotzat|narkotrafikoetarantz|narkotrafikoekin|narkotrafikotatik|narkotrafikotaraino|narkotrafikoarekin|narkotrafikorantz|narkotrafikoei|narkotrafikoengatik|narkotrafikok|narkotrafikoetako|narkotrafikora|narkotrafikoraino|narkotrafikoez|narkotrafikoak|narkotrafikotarako|narkotrafikoari|narkotrafikotara|narkotrafikoan|narkotrafikoarengatik|narkotrafikoek|narkotrafikoetarako|narkotrafikoetatik|narkotrafikoren|narkotrafikotik|narkotrafikoetara|narkotrafikori|narkotrafikoaren|narkotrafikotarantz|narkotrafikorekin|narkotrafikoa|narkotrafikoko|narkotrafikorako|narkotrafikoetaraino|narkotrafikoz|narkotrafikoarentzat|narkotrafikoetan|narkotrafikoentzat|narkotrafikotako|narkotrafikorik|narkotrafikotan|narkotrafikoaz|narkotrafikorengatik|narkotrafikoen	<i>noun</i><br><ol><li>illegal drug trade</li></ol>
nasa|nasarantz|nasekin|nasek|nasaraino|nasatarako|nasetako|nasatzat|nasetan|nasatarantz|nasari|nasetarantz|nasetarako|nasez|nasarentzat|nasatatik|nasatik|nasen|nasarako|nasaz|nasarekin|nasarengatik|nasei|nasara|nasatan|nasataraino|nasaren|nasetara|nasan|nasetatik|nasentzat|nasak|nasako|nasatako|nasengatik|nasarik|nasatara|nasetaraino	<i>noun</i><br><ol><li>(nautical) dock</li><li>(rail transport) platform</li></ol>
nasai	<i>adj</i><br><ol><li>ample</li></ol>
naski	<i>adv</i><br><ol><li>maybe</li></ol>
nator	<i>verb</i><br><ol><li>First-person singular (ni) present indicative form of etorri.</li></ol>
natorke	<i>verb</i><br><ol><li>First-person singular (ni) present potential form of etorri.</li></ol>
natorkio	<i>verb</i><br><ol><li>First-person singular (ni), taking third-person singular (hari) as indirect object, present indicative form of etorri.</li></ol>
natorkioke	<i>verb</i><br><ol><li>First-person singular (ni), taking third-person singular (hari) as indirect object, present potential form of etorri.</li></ol>
natorkion	<i>verb</i><br><ol><li>First-person singular (ni), taking third-person singular (hari) as indirect object, present imperative form of etorri.</li></ol>
natorren	<i>verb</i><br><ol><li>First-person singular (ni) present subjunctive form of etorri.</li></ol>
natxekie	<i>verb</i><br><ol><li>First-person singular (ni), taking third-person plural (haiei) as indirect object, present indicative form of atxeki.</li></ol>
natxekik	<i>verb</i><br><ol><li>First-person singular (ni), taking informal second-person singular masculine (hiri) as indirect object, present indicative form of atxeki.</li></ol>
natxekin	<i>verb</i><br><ol><li>First-person singular (ni), taking informal second-person singular feminine (hiri) as indirect object, present indicative form of atxeki.</li></ol>
natxekio	<i>verb</i><br><ol><li>First-person singular (ni), taking third-person singular (hari) as indirect object, present indicative form of atxeki.</li></ol>
natxekizu	<i>verb</i><br><ol><li>First-person singular (ni), taking second-person singular (zuri) as indirect object, present indicative form of atxeki.</li></ol>
natxekizue	<i>verb</i><br><ol><li>First-person singular (ni), taking second-person plural (zuei) as indirect object, present indicative form of atxeki.</li></ol>
natza	<i>verb</i><br><ol><li>First-person singular (ni) present indicative form of etzan.</li></ol>
nau	<i>verb</i><br><ol><li>Third-person singular (hark), taking first-person singular (ni) as direct object, present indicative form of izan.</li></ol>
nauk	<i>verb</i><br><ol><li>Informal second-person singular masculine (hik), taking first-person singular (ni) as direct object, present indicative form of izan.</li></ol>
nauka	<i>verb</i><br><ol><li>Third-person singular (hark), taking first-person singular (ni) as direct object, present indicative form of eduki.</li></ol>
naun	<i>verb</i><br><ol><li>Informal second-person singular feminine (hik), taking first-person singular (ni) as direct object, present indicative form of izan.</li></ol>
naute	<i>verb</i><br><ol><li>Third-person plural (haiek), taking first-person singular (ni) as direct object, present indicative form of izan.</li></ol>
nauzu	<i>verb</i><br><ol><li>Second-person singular (zuk), taking first-person singular (ni) as direct object, present indicative form of izan.</li></ol>
nauzue	<i>verb</i><br><ol><li>Second-person plural (zuek), taking first-person singular (ni) as direct object, present indicative form of izan.</li></ol>
nazagu	<i>verb</i><br><ol><li>Third-person singular (hark), taking first-person singular (ni) as direct object, present indicative form of ezagutu.</li></ol>
nazaguk	<i>verb</i><br><ol><li>Informal second-person singular masculine (hik), taking first-person singular (ni) as direct object, present indicative form of ezagutu.</li></ol>
nazagun	<i>verb</i><br><ol><li>Informal second-person singular feminine (hik), taking first-person singular (ni) as direct object, present indicative form of ezagutu.</li></ol>
nazagute	<i>verb</i><br><ol><li>Third-person plural (haiek), taking first-person singular (ni) as direct object, present indicative form of ezagutu.</li></ol>
nazaguzu	<i>verb</i><br><ol><li>Second-person singular (zuk), taking first-person singular (ni) as direct object, present indicative form of ezagutu.</li></ol>
nazaguzue	<i>verb</i><br><ol><li>Second-person plural (zuek), taking first-person singular (ni) as direct object, present indicative form of ezagutu.</li></ol>
nazak	<i>verb</i><br><ol><li>Informal second-person singular masculine (hik), taking first-person singular (ni) as direct object, present imperative form of izan.</li></ol>
nazan	<i>verb</i><br><ol><li>Informal second-person singular feminine (hik), taking first-person singular (ni) as direct object, present imperative form of izan.</li><li>Third-person singular (hark), taking first-person singular (ni) as direct object, present subjunctive form of izan.</li></ol>
nazaten	<i>verb</i><br><ol><li>Third-person plural (haiek), taking first-person singular (ni) as direct object, present subjunctive form of izan.</li></ol>
nazazu	<i>verb</i><br><ol><li>Second-person singular (zuk), taking first-person singular (ni) as direct object, present imperative form of izan.</li></ol>
nazazue	<i>verb</i><br><ol><li>Second-person plural (zuek), taking first-person singular (ni) as direct object, present imperative form of izan.</li></ol>
nazioarteko	<i>adj</i><br><ol><li>international</li></ol>
nazkatu|nazkatzen|nazkatuko|nazkatze|nazka	<i>verb</i><br><ol><li>to disgust, repulse, repel</li><li>to annoy</li><li>to be disgusted</li></ol>
neba|nebarengana|nebengan|nebengandik|nebaren|nebari|nebarenganako|nebenganantz|nebenganaino|nebatzat|nebengana|nebez|nebentzat|nebek|nebaz|nebengatik|neben|nebak|nebarenganaino|nebarenganantz|nebekin|nebarengandik|nebei|nebenganako|nebarengan|nebarentzat|nebarik|nebarengatik|nebarekin	<i>noun</i><br><ol><li>(Biscayan) brother of a female</li></ol>
nederlandera|nederlanderarekin|nederlanderarik|nederlanderarengatik|nederlanderaren|nederlanderaz|nederlanderarentzat|nederlanderak|nederlanderatzat|nederlanderan|nederlanderari	<i>noun</i><br><ol><li>The Dutch language</li></ol>
negar	<i>noun</i><br><ol><li>weeping</li></ol>
negien	<i>verb</i><br><ol><li>First-person singular (nik), taking third-person singular (hura) as direct object, past indicative form of egin.</li></ol>
negike	<i>verb</i><br><ol><li>First-person singular (nik), taking third-person singular (hura) as direct object, future consequential indicative form of egin.</li></ol>
negitzake	<i>verb</i><br><ol><li>First-person singular (nik), taking third-person plural (haiek) as direct object, future consequential indicative form of egin.</li></ol>
negitzan	<i>verb</i><br><ol><li>First-person singular (nik), taking third-person plural (haiek) as direct object, past indicative form of egin.</li></ol>
negu|negutan|negutara|negurako|neguraino|negutarako|negutarantz|negurekin|neguetara|neguaren|neguetatik|neguz|neguaz|neguetarantz|neguk|negutaraino|neguek|negura|neguarentzat|neguekin|neguetarako|neguri|neguren|negurantz|negurik|neguen|neguarekin|negutik|neguei|neguez|neguarengatik|negutako|neguari|neguetako|negurengatik|neguko|negutatik|negua|neguetan|negurentzat|neguentzat|neguak|negutzat|neguan|neguetaraino|neguengatik	<i>noun</i><br><ol><li>winter</li></ol>
neguil|neguilekin|neguiletan|neguilek|neguilerantz|neguilez|neguilak|neguiletara|neguilen|neguilarengatik|neguilarentzat|neguila|neguilarekin|neguileko|neguileraino|neguiletarantz|neguilik|neguiltzat|neguiletatik|neguilean|neguilari|neguilera|neguiletik|neguiletaraino|neguilaz|neguilaren|neguilerako|neguiletako|neguilentzat|neguiletarako|neguili|neguilengatik|neguilei	<i>noun</i><br><ol><li>(rare) December</li></ol>
neizar	<i>noun</i><br><ol><li>star</li></ol>
nekatu|neka|nekatuko|nekatze|nekatzen	<i>verb</i><br><ol><li>to tire, exhaust, bore</li><li>to get tired, bored</li></ol>
nekatuta	<i>adj</i><br><ol><li>tired</li></ol>
nekazari|nekazarirenganako|nekazariengandik|nekazarienganaino|nekazariarentzat|nekazariari|nekazarien|nekazaririk|nekazariz|nekazarik|nekazariek|nekazariarekin|nekazarirentzat|nekazariarenganaino|nekazariarengan|nekazariarenganantz|nekazarirengan|nekazariaren|nekazarirengandik|nekazariengana|nekazariarengana|nekazarirenganantz|nekazariren|nekazariekin|nekazarirengatik|nekazariez|nekazarienganantz|nekazariri|nekazarientzat|nekazarienganako|nekazariarengatik|nekazaritzat|nekazarirengana|nekazaria|nekazariengatik|nekazariak|nekazarirekin|nekazariaz|nekazariengan|nekazarirenganaino|nekazariei|nekazariarengandik|nekazariarenganako	<i>noun</i><br><ol><li>agriculturist</li></ol>
nekazaritza	<i>noun</i><br><ol><li>agriculture</li></ol>
nekien	<i>verb</i><br><ol><li>First-person singular (nik), taking third-person singular (hura) as direct object, past indicative form of jakin.</li></ol>
nekike	<i>verb</i><br><ol><li>First-person singular (nik), taking third-person singular (hura) as direct object, future consequential indicative form of jakin.</li></ol>
nekizke	<i>verb</i><br><ol><li>First-person singular (nik), taking third-person plural (haiek) as direct object, future consequential indicative form of jakin.</li></ol>
nekizkien	<i>verb</i><br><ol><li>First-person singular (nik), taking third-person plural (haiek) as direct object, past indicative form of jakin.</li></ol>
nekusan	<i>verb</i><br><ol><li>First-person singular (nik), taking third-person singular (hura) as direct object, past indicative form of ikusi.</li></ol>
nekusazke	<i>verb</i><br><ol><li>First-person singular (nik), taking third-person plural (haiek) as direct object, future consequential indicative form of ikusi.</li></ol>
nekuske	<i>verb</i><br><ol><li>First-person singular (nik), taking third-person singular (hura) as direct object, future consequential indicative form of ikusi.</li></ol>
nekuskien	<i>verb</i><br><ol><li>First-person singular (nik), taking third-person plural (haiek) as direct object, past indicative form of ikusi.</li></ol>
nenbilen	<i>verb</i><br><ol><li>First-person singular (ni) past indicative form of ibili.</li><li>First-person singular (ni) past subjunctive form of ibili.</li></ol>
nenbilke	<i>verb</i><br><ol><li>First-person singular (ni) future consequential indicative form of ibili.</li><li>First-person singular (ni) future potential form of ibili.</li></ol>
nenbilkeen	<i>verb</i><br><ol><li>First-person singular (ni) past consequential indicative form of ibili.</li><li>First-person singular (ni) past potential form of ibili.</li></ol>
nendin	<i>verb</i><br><ol><li>First-person singular (ni) past subjunctive form of izan.</li></ol>
nengoen	<i>verb</i><br><ol><li>First-person singular (ni) past indicative form of egon.</li><li>First-person singular (ni) past subjunctive form of egon.</li></ol>
nengoke	<i>verb</i><br><ol><li>First-person singular (ni) future consequential indicative form of egon.</li><li>First-person singular (ni) future potential form of egon.</li></ol>
nengokeen	<i>verb</i><br><ol><li>First-person singular (ni) past consequential indicative form of egon.</li><li>First-person singular (ni) past potential form of egon.</li></ol>
nenkien	<i>verb</i><br><ol><li>First-person singular (ni), taking third-person plural (haiei) as indirect object, past indicative form of edin.</li><li>First-person singular (ni), taking third-person plural (haiei) as indirect object, past indicative form of ekin.</li></ol>
nenkion	<i>verb</i><br><ol><li>First-person singular (ni), taking third-person singular (hari) as indirect object, past indicative form of edin.</li><li>First-person singular (ni), taking third-person singular (hari) as indirect object, past indicative form of ekin.</li></ol>
nentorke	<i>verb</i><br><ol><li>First-person singular (ni) future consequential indicative form of etorri.</li><li>First-person singular (ni) future potential form of etorri.</li></ol>
nentorkeen	<i>verb</i><br><ol><li>First-person singular (ni) past consequential indicative form of etorri.</li><li>First-person singular (ni) past potential form of etorri.</li></ol>
nentorkioke	<i>verb</i><br><ol><li>First-person singular (ni), taking third-person singular (hari) as indirect object, hypothetic potential form of etorri.</li></ol>
nentorkiokeen	<i>verb</i><br><ol><li>First-person singular (ni), taking third-person singular (hari) as indirect object, past potential form of etorri.</li></ol>
nentorkion	<i>verb</i><br><ol><li>First-person singular (ni), taking third-person singular (hari) as indirect object, past indicative form of etorri.</li></ol>
nentorren	<i>verb</i><br><ol><li>First-person singular (ni) past indicative form of etorri.</li><li>First-person singular (ni) past subjunctive form of etorri.</li></ol>
nentxekiake	<i>verb</i><br><ol><li>First-person singular (ni), taking informal second-person singular masculine (hiri) as indirect object, hypothetic potential form of atxeki.</li></ol>
nentxekian	<i>verb</i><br><ol><li>First-person singular (ni), taking informal second-person singular masculine (hiri) as indirect object, past indicative form of atxeki.</li></ol>
nentxekieke	<i>verb</i><br><ol><li>First-person singular (ni), taking third-person plural (haiei) as indirect object, hypothetic potential form of atxeki.</li></ol>
nentxekien	<i>verb</i><br><ol><li>First-person singular (ni), taking third-person plural (haiei) as indirect object, past indicative form of atxeki.</li></ol>
nentxekinake	<i>verb</i><br><ol><li>First-person singular (ni), taking informal second-person singular feminine (hiri) as indirect object, hypothetic potential form of atxeki.</li></ol>
nentxekinan	<i>verb</i><br><ol><li>First-person singular (ni), taking informal second-person singular feminine (hiri) as indirect object, past indicative form of atxeki.</li></ol>
nentxekioke	<i>verb</i><br><ol><li>First-person singular (ni), taking third-person singular (hari) as indirect object, hypothetic potential form of atxeki.</li></ol>
nentxekion	<i>verb</i><br><ol><li>First-person singular (ni), taking third-person singular (hari) as indirect object, past indicative form of atxeki.</li></ol>
nentxekizueke	<i>verb</i><br><ol><li>First-person singular (ni), taking second-person plural (zuei) as indirect object, hypothetic potential form of atxeki.</li></ol>
nentxekizuen	<i>verb</i><br><ol><li>First-person singular (ni), taking second-person plural (zuei) as indirect object, past indicative form of atxeki.</li></ol>
nentxekizuke	<i>verb</i><br><ol><li>First-person singular (ni), taking second-person singular (zuri) as indirect object, hypothetic potential form of atxeki.</li></ol>
nentxekizun	<i>verb</i><br><ol><li>First-person singular (ni), taking second-person singular (zuri) as indirect object, past indicative form of atxeki.</li></ol>
nentzake	<i>verb</i><br><ol><li>First-person singular (ni) future consequential indicative form of etzan.</li></ol>
nentzan	<i>verb</i><br><ol><li>First-person singular (ni) past indicative form of etzan.</li></ol>
nentzuen	<i>verb</i><br><ol><li>First-person singular (nik), taking third-person singular (hura) as direct object, past indicative form of entzun.</li></ol>
nentzuke	<i>verb</i><br><ol><li>First-person singular (nik), taking third-person singular (hura) as direct object, future consequential indicative form of entzun.</li></ol>
nentzuzke	<i>verb</i><br><ol><li>First-person singular (nik), taking third-person plural (haiek) as direct object, future consequential indicative form of entzun.</li></ol>
nentzuzkien	<i>verb</i><br><ol><li>First-person singular (nik), taking third-person plural (haiek) as direct object, past indicative form of entzun.</li></ol>
nenufar|nenufarrarekin|nenufarrerantz|nenufarrek|nenufarretara|nenufarrez|nenufarraz|nenufarrentzat|nenufarrengatik|nenufarretatik|nenufarrak|nenufarrerako|nenufarrarengatik|nenufarretan|nenufarreraino|nenufarri|nenufarretako|nenufarrik|nenufarrari|nenufarrera|nenufarraren|nenufarretik|nenufarreko|nenufarrekin|nenufarretaraino|nenufarrei|nenufarren|nenufartzat|nenufarrean|nenufarretarantz|nenufarretarako|nenufarra|nenufarrarentzat	<i>noun</i><br><ol><li>water lily</li></ol>
neologismo|neologismoak|neologismoan|neologismoentzat|neologismoek|neologismok|neologismorekin|neologismoz|neologismoez|neologismorengatik|neologismotzat|neologismoari|neologismoarekin|neologismotaraino|neologismoaren|neologismoren|neologismorako|neologismoei|neologismoko|neologismotara|neologismoetatik|neologismoa|neologismoetarantz|neologismotarako|neologismoetaraino|neologismorik|neologismoekin|neologismoetara|neologismoarentzat|neologismoetan|neologismora|neologismoarengatik|neologismoen|neologismoaz|neologismotik|neologismotatik|neologismoengatik|neologismotarantz|neologismotan|neologismoetako|neologismorentzat|neologismori|neologismoraino|neologismorantz|neologismoetarako|neologismotako	<i>noun</i><br><ol><li>(linguistics) neologism</li></ol>
neon|neonean|neontzat|neonetaraino|neonerako|neonaren|neonera|neonei|neonarengatik|neon|neonetatik|neonak|neoneko|neonentzat|neoneraino|neonik|neoni|neonetara|neonen|neonengatik|neonetarantz|neonerantz|neonarekin|neonetako|neonetik|neonekin|neona|neonari|neonetarako|neonek|neonaz|neonarentzat|neonez|neonan|neonetan	<i>noun</i><br><ol><li>neon</li><li>neon sign</li></ol>
nerakuske	<i>verb</i><br><ol><li>First-person singular (nik), taking third-person singular (hura) as direct object, future consequential indicative form of erakutsi.</li></ol>
nerakuskien	<i>verb</i><br><ol><li>First-person singular (nik), taking third-person plural (haiek) as direct object, past indicative form of erakutsi.</li></ol>
nerakutsan	<i>verb</i><br><ol><li>First-person singular (nik), taking third-person singular (hura) as direct object, past indicative form of erakutsi.</li></ol>
nerakutsazke	<i>verb</i><br><ol><li>First-person singular (nik), taking third-person plural (haiek) as direct object, future consequential indicative form of erakutsi.</li></ol>
neroake	<i>verb</i><br><ol><li>First-person singular (nik), taking third-person singular (hura) as direct object, future consequential indicative form of eroan.</li></ol>
neroan	<i>verb</i><br><ol><li>First-person singular (nik), taking third-person singular (hura) as direct object, past indicative form of eroan.</li></ol>
neroatzan	<i>verb</i><br><ol><li>First-person singular (nik), taking third-person plural (haiek) as direct object, past indicative form of eroan.</li></ol>
neroazke	<i>verb</i><br><ol><li>First-person singular (nik), taking third-person plural (haiek) as direct object, future consequential indicative form of eroan.</li></ol>
neska|neskarekin|neskarengana|neskei|neskarengatik|neskengandik|neskez|neskarik|neskenganako|neskarentzat|neskarenganako|neskengan|neskak|neskari|neskarengan|nesken|neskenganantz|neskarenganaino|neskatzat|neskengatik|neskekin|neskentzat|neskaz|neskek|neskenganaino|neskarenganantz|neskarengandik|neskaren|neskengana	<i>noun</i><br><ol><li>girl</li><li>maid</li></ol>
neskatila|neskatilengandik|neskatilentzat|neskatilarengana|neskatilekin|neskatilak|neskatilaren|neskatilarenganantz|neskatilenganako|neskatilarentzat|neskatilarengatik|neskatilari|neskatilarenganako|neskatilarenganaino|neskatilez|neskatilaz|neskatilenganantz|neskatilengatik|neskatilarekin|neskatilenganaino|neskatilengan|neskatilarengandik|neskatilarengan|neskatilatzat|neskatilen|neskatilei|neskatilarik|neskatilengana|neskatilek	<i>noun</i><br><ol><li>girl, young woman</li></ol>
neskenegun|neskenegunari|neskenegunez|neskeneguneraino|neskenegunik|neskeneguni|neskenegunetarantz|neskenegunerako|neskenegunean|neskenegunarentzat|neskenegunetako|neskeneguna|neskenegunentzat|neskenegunak|neskeneguntzat|neskenegunetik|neskenegunekin|neskenegunengatik|neskenegunarekin|neskenegunaz|neskenegunek|neskenegunetarako|neskenegunarengatik|neskenegunetatik|neskeneguneko|neskenegunetaraino|neskenegunaren|neskenegunerantz|neskenegunei|neskenegunera|neskenegunetara|neskenegunen|neskenegunetan	<i>noun</i><br><ol><li>Saturday</li></ol>
neu|nire baitarat|hitaz|heuregan|geuganaino|neuregatik|neuretzat|zeuen baitako|geureganantz|ene baitatik|heuregandik|neurekin|zeureganako|heutaz|nire|nigatik|neure|guregatik|zuenganik|geuk|neugan|heugandik|heure baitarat|zuenganako|ni|zeugandik|neuregana|heuganik|zuen baitara|nireganaino|zuganako|guganako|gu baitara|gureganako|zeuen|neuregaino|heurekin|gu baitaraino|gure baitaraino|zeurekin|zeureganaino|guregandik|geugan|hirekin|gugana|guregana|gure baitara|zuengatik|hiretako|zure baitaraino|nireganat|geure|heuretako|niregan|zeuengandik|zuretzat|zuregandik|nire baitako|zu|zure baitatik|neu|zuengana|enez|zure baitara|heugatik|hiregana|zeuenganako|nire baitaraino|zuen baitarik|heureganantz|zuek|zu baitara|zuekin|zureganik|zeuekin|eneganat|zurekin|guganat|zugatik|zutan|gutan|geuregan|zuetan|gureganantz|gureganik|geutaz|zeuri|hitan|zuregana|zeuetaz|guganik|hiregandik|zeuregana|heuretzat|gu baitatik|geu|zeureganik|eneen|ene baitan|hire baitara|enetzat|zuentzat|neugandik|nitan|zugandik|hire baitarik|neuganantz|hire|zure|geugana|nire baitara|geuregandik|zeuganik|zu baitaraino|heuri|zeuretzat|hireganantz|geuretako|niregandik|zuenganat|zeuganaino|nitaz|hireganat|heure baitaraino|zeure baitako|zuen baitan|enea|zuen baitatik|zeuek|eneganaino|higatik|gure baitan|zuregatik|geureganik|gure baitatik|neuretako|zeuendako|higanaino|hiregan|gure baitako|gureganat|enekin|zuganat|zureganat|zure baitarik|heureganaino|zu baitarik|heureganik|zeureganantz|heureganako|nirekin|hire baitarat|gu baitarat|geuganik|geure baitako|heuganaino|ene baitarik|zure baitako|zuengandik|heure baitan|heuregana|higanako|zeuenganaino|geuganantz|zeuk|zeutaz|nire baitan|ene baitarat|eneganantz|neuri|guganaino|niretzat|zuen baitako|heure baitatik|hiregatik|hire baitako|zeuregan|nireganantz|neutaz|guretzat|neuganik|gure baitarik|nire baitatik|zuretako|zure baitan|gu baitako|enegatik|geureganako|zeu|heure baitarik|gure baitarat|ene baitako|eneganako|niretako|gureganaino|gu baitarik|gurekin|hire baitan|hire baitaraino|zureganaino|guretako|ene|gure|nireganako|zuk|niri|nireganik|heuganantz|zuganaino|enek|hik|gugandik|higanik|nik|heuk|geurekin|heuregatik|geuretzat|geugandik|hireganik|nigan|zuendako|higanantz|heu|hireganako|eneganik|neuk|gutaz|neugatik|guregan|geuri|neureganako|higan|hire baitatik|hi|zuen baitaraino|zuen baitarat|guri|geuganako|zeuregandik|eneren|ene baitara|zeure|zeugan|zeuengana|geureganaino|zuen|nire baitarik|zeuenganantz|eneri|zuengan|enegandik|zureganako|zu baitatik|gu|zuetaz|zeuei|guganantz|zeugana|geuregana|hireganaino|zuenganantz|enegan|enetako|zu baitarat|zuenganaino|niganantz|zureganantz|niganako|zugana|zuganik|zeuganantz|zutaz|heure baitako|heure baitara|gugatik|zeuenganik|hiri|higandik|neure baitako|niregatik|enegana|zeuengan|zu baitako|heugana|guk|zugan|gugan|zeuganako|zeuretako|hiretzat|heure|zuri|zuei|zuregan|zuganantz|zeuentzat|niregana|zure baitarat|heuganako	<i>pron</i><br><ol><li>(emphatic) First-person singular personal pronoun; I</li></ol>
