'eee	<i>particle</i><br><ol><li>yes</li></ol>
siicha	<i>verb</i><br><ol><li>(transitive) to rip, tear, break</li></ol>
so'kwa	<i>noun</i><br><ol><li>tamarillo, Solanum betaceum</li><li>cocona, Solanum sessiliflorum</li></ol>
sooka	<i>verb</i><br><ol><li>(Ye'kwana dialect, transitive) to pierce, to puncture</li><li>(Ye'kwana dialect, transitive) to sew</li></ol>
sooma	<i>verb</i><br><ol><li>(transitive) to save, keep, reserve</li></ol>
soosoowi	<i>noun</i><br><ol><li>the moriche oriole, Icterus cayanensis chrysocephalus</li></ol>
sotto	<i>noun</i><br><ol><li>person, human</li><li>Maquiritari speaker, Ye'kwana, Maquiritari</li><li>twenty</li></ol>
ssedeje	<i>adv</i><br><ol><li>(De'kwana dialect) being dry</li></ol>
ssoto	<i>noun</i><br><ol><li>person, human</li><li>Maquiritari speaker, Ye'kwana, Maquiritari</li><li>twenty</li></ol>
sudukuji	<i>noun</i><br><ol><li>a kind of small catfish with small spines running the length of its body</li></ol>
suku	<i>adv</i><br><ol><li>while sitting, while seated</li></ol><br><i>noun</i><br><ol><li>urine</li></ol>
sukuji	<i>noun</i><br><ol><li>spear</li></ol>
sunuji	<i>noun</i><br><ol><li>small gourd (typically either of the Cucurbitaceae family or the calabash Crescentia cujete)</li></ol>
sunwa	<i>noun</i><br><ol><li>wasp</li><li>wasp nest</li></ol>
susu	<i>noun</i><br><ol><li>breast milk</li><li>breast with milk</li></ol>
susu yaichuumadü	<i>noun</i><br><ol><li>chant performed before a baby’s first breastfeeding to eliminate the ritual pollution (amoi) present in the milk</li></ol>
sömajö	<i>noun</i><br><ol><li>territory temporarily closed off to hunting to allow animal populations to recover</li></ol>
sü'na	<i>noun</i><br><ol><li>dog</li></ol>
ta'jujuñe	<i>adv</i><br><ol><li>being wide, broad</li></ol>
ta'keene	<i>adv</i><br><ol><li>(Ye'kwana dialect) being white-skinned</li></ol>
ta'kwañe	<i>adv</i><br><ol><li>being happy</li></ol>
ta'ne	<i>adv</i><br><ol><li>being hot or warm (high in termperature)</li></ol>
ta'wane	<i>adv</i><br><ol><li>(De'kwana dialect) being bright</li></ol>
tadaaa	<i>noun</i><br><ol><li>(of e.g. falling gourds) clonking</li></ol>
tadade	<i>noun</i><br><ol><li>yuca grater</li></ol>
tadademö	<i>noun</i><br><ol><li>the South American bushmaster, Lachesis muta</li><li>Hemprichi's coral snake, Micrurus hemprichii</li></ol>
tadawaaju	<i>noun</i><br><ol><li>work</li></ol>
tadaya	<i>noun</i><br><ol><li>a kind of blue-grey heron</li></ol>
tadonñe	<i>adv</i><br><ol><li>being healthy, well</li></ol>
taduije	<i>adv</i><br><ol><li>while lacking meat</li></ol>
tadwa	<i>noun</i><br><ol><li>board, plank</li></ol>
tai	<i>postp</i><br><ol><li>through, by; indicates motion by way of a non-aquatic object of class 2</li></ol>
taka	<i>postp</i><br><ol><li>at, in, on, to; indicates a specific location or goal at a non-aquatic object of class 2</li></ol>
tamedö	<i>adv</i><br><ol><li>all, every</li></ol>
tamjö'ne	<i>adv</i><br><ol><li>being fast, quick, rapid</li></ol>
tamu|kooko	<i>noun</i><br><ol><li>grandfather</li></ol>
tamönñe	<i>adv</i><br><ol><li>being heavy</li></ol>
tawa'ta	<i>verb</i><br><ol><li>(De'kwana dialect, intransitive, patientive) to float</li></ol>
tawadu	<i>noun</i><br><ol><li>the nacunda nighthawk, Chordeiles nacunda</li><li>the ladder-tailed nightjar, Hydropsalis climacocerca</li></ol>
tawaje	<i>adv</i><br><ol><li>being light, of low weight</li><li>being light, frivolous</li></ol>
tawane	<i>adv</i><br><ol><li>(Ye'kwana dialect) being bright</li></ol>
tawata	<i>verb</i><br><ol><li>(Ye'kwana dialect, intransitive, patientive) to float</li></ol>
tawe'de	<i>verb</i><br><ol><li>to be short</li><li>to be weak</li></ol>
tawede	<i>verb</i><br><ol><li>to be short</li><li>to be weak</li></ol>
tawö	<i>postp</i><br><ol><li>at, in, on; indicates a generic location at a non-aquatic object of class 2</li></ol>
to'sede	<i>noun</i><br><ol><li>the grey-cowled wood rail, Aramides cajanea</li></ol>
tonodo	<i>noun</i><br><ol><li>bird</li></ol>
tooni	<i>num</i><br><ol><li>one</li></ol>
tu'de	<i>noun</i><br><ol><li>enemy</li></ol>
tudi	<i>noun</i><br><ol><li>open-backed rectangular carrying basket or backpack woven by men</li></ol>
tuju'juude	<i>adv</i><br><ol><li>being blunt, dull</li></ol>
tujumoto	<i>noun</i><br><ol><li>community</li></ol>
tujumö|tujumoto	<i>adv</i><br><ol><li>being together, united, side by side</li></ol>
tukui	<i>noun</i><br><ol><li>the sparkling violetear, Colibri coruscans</li><li>hummingbird in general</li><li>the Mexican vine snake, Oxybelis aeneus</li></ol>
tuna	<i>noun</i><br><ol><li>water</li><li>river, watercourse</li></ol>
tuna awono ökato	<i>noun</i><br><ol><li>reflection seen in the water</li><li>one of the several doubles or spirits (ökato) possessed by each person, namely the one said to reside in the water, to be malevolent, to serve as an extension of the water goddess Wiyu, and to return to the water at death</li></ol>
tunkemjünü	<i>noun</i><br><ol><li>orphan</li></ol>
tununu	<i>noun</i><br><ol><li>the genip tree, Genipa americana or Genipa spruceana</li><li>a transparent sticky oil or resin extracted from the genip tree, used as a black bodypaint when mixed with soot from the cassava grills (jütadi)</li></ol>
tutune	<i>adv</i><br><ol><li>being bitter or acidic</li></ol>
tö'ju	<i>noun</i><br><ol><li>(De'kwana dialect) stone, rock</li></ol>
tö'ke'ne	<i>adv</i><br><ol><li>(De'kwana dialect) being white-skinned</li></ol>
töinshi'jo	<i>noun</i><br><ol><li>(De'kwana dialect) cough</li></ol>
töju	<i>noun</i><br><ol><li>(Ye'kwana dialect) stone, rock</li></ol>
tönsi'jo	<i>noun</i><br><ol><li>(Ye'kwana dialect) cough</li></ol>
töötü	<i>particle</i><br><ol><li>completely</li></ol><br><i>verb</i><br><ol><li>(transitive) to name, call (something)</li></ol>
tü'tajö'nö	<i>noun</i><br><ol><li>thought</li></ol>
tü'tajötü|tü'tajö'nö	<i>verb</i><br><ol><li>(intransitive, patientive) to think</li></ol>
tüdütojo	<i>noun</i><br><ol><li>tool</li></ol>
tüje	<i>adv</i><br><ol><li>being dark</li></ol>
tükincha	<i>adv</i><br><ol><li>being tired</li></ol>
tünwanno|^Y üwü|ewü|nña|küwü|^Y ömödö|amödö|tüwü|tünwanno|önwanno|künwanno	<i>pron</i><br><ol><li>the third-person plural pronoun; they, them.</li></ol>
tüsochaamü	<i>noun</i><br><ol><li>match (for lighting fires)</li></ol>
tüss	<i>noun</i><br><ol><li>(of something big) falling, booming, crashing down</li></ol>
tüwansu'de	<i>adv</i><br><ol><li>being soft and smooth</li></ol>
tüwü|^Y üwü|ewü|nña|küwü|^Y ömödö|amödö|tüwü|tünwanno|önwanno|künwanno	<i>pron</i><br><ol><li>the third-person singular pronoun; he, she, it, him, her.</li></ol><br><i>det</i><br><ol><li>functions as a definite article for a following proper noun</li></ol>
u'me	<i>verb</i><br><ol><li>(transitive) to shake or shake off</li></ol>
ude	<i>verb</i><br><ol><li>(transitive) to blow on or stoke (a fire)</li></ol>
udinñü	<i>noun</i><br><ol><li>(Ye'kwana dialect) fire, flame</li></ol>
udumoi	<i>noun</i><br><ol><li>(Ye'kwana dialect) stomach, viscera</li></ol>
udunoi	<i>noun</i><br><ol><li>(De'kwana dialect) stomach, viscera</li></ol>
uji	<i>verb</i><br><ol><li>(transitive) to seek, to look for</li></ol>
uju	<i>noun</i><br><ol><li>foot</li></ol>
ujudu	<i>noun</i><br><ol><li>headwaters</li><li>top, summit, peak</li></ol>
ukwa	<i>verb</i><br><ol><li>(transitive) to burn (something) with fire</li></ol>
ummicha	<i>verb</i><br><ol><li>(transitive) to let go, to release</li></ol>
umönidi	<i>noun</i><br><ol><li>the mussurana snake, Clelia clelia</li></ol>
unke'ka	<i>verb</i><br><ol><li>(transitive) to extinguish, to put out</li></ol>
unwaa|ñöödö|mö'kü|^Y ñö'dö|kanno|mööyö|möönü|eesemjo|^Y möñö|mödö|^Y nñanno|yöötö|möötö|^Y e'dö|unwaa|sadö|iyö|möntö|mökkü|maadö|mönsemjo|mö'dö|^Y mönö|aneeseja|ñanno|makkamo|mönse|inña|ma'kamo|edö|eese|^Y iiyö|eetö	<i>adv</i><br><ol><li>there (in another division or unit of land, more distant than mönse)</li></ol>
utu	<i>verb</i><br><ol><li>(transitive) to give</li></ol>
uu	<i>noun</i><br><ol><li>cassava bread</li></ol>
uumama	<i>verb</i><br><ol><li>(transitive) to shake</li></ol>
wa'shadi|wasadi	<i>noun</i><br><ol><li>the South American tapir, Tapirus terrestris</li></ol>
wa'to	<i>noun</i><br><ol><li>firewood</li><li>match (for lighting fires)</li><li>fire, flame</li></ol>
waadi ño'jüdü	<i>noun</i><br><ol><li>the southern tamandua or collared anteater, Tamandua tetradactyla</li></ol>
wadaijai	<i>noun</i><br><ol><li>the chestnut woodpecker, Celeus elegans</li><li>the curve-billed scythebill, Campylorhamphus procurvoides</li></ol>
wadaña	<i>noun</i><br><ol><li>purple yam, Dioscorea alata</li></ol>
wade'data	<i>noun</i><br><ol><li>laziness</li></ol>
wadedata	<i>noun</i><br><ol><li>Hoffmann's two-toed sloth, Choloepus hoffmanni</li></ol>
wadeku	<i>noun</i><br><ol><li>(Ye'kwana dialect) cotton, Gossypium barbadense</li></ol>
wadekuu	<i>noun</i><br><ol><li>(De'kwana dialect) cotton, Gossypium barbadense</li></ol>
wadichu	<i>noun</i><br><ol><li>catfish</li></ol>
wadishidi	<i>noun</i><br><ol><li>the white-bellied spider monkey, Ateles belzebuth</li><li>a zoomorphic basket design representing this monkey seen from the side on all fours, distinguished from yadakadu by the fact that its tail curls up rather than down</li></ol>
wadiwadi	<i>noun</i><br><ol><li>handheld fan twilled out of Ischnosiphon cane strips and used as a firefan and spatula</li></ol>
wadiyejedu	<i>noun</i><br><ol><li>plantain (Musa × paradisiaca)</li></ol>
wadödö	<i>postp</i><br><ol><li>toward, up to (an object or person)</li></ol>
wai	<i>noun</i><br><ol><li>(in aichudi and ödemi chants) Synonym of jüwai (“shaman”)</li></ol>
waiñe	<i>noun</i><br><ol><li>male cousin</li></ol>
waiñö'nö	<i>noun</i><br><ol><li>great-grandmother (of a woman)</li><li>(in relation to a woman) father’s sister, paternal aunt</li><li>(in relation to a woman) mother’s brother’s wife</li></ol>
waiñüjü	<i>noun</i><br><ol><li>male cross-cousin (of a man)</li><li>term of address for a brother-in-law (of a man)</li></ol>
waja	<i>noun</i><br><ol><li>a flat circular basket used as a serving tray and plate</li></ol>
wakawaka	<i>noun</i><br><ol><li>the collared titi, Callicebus torquatus</li></ol>
wamedi	<i>noun</i><br><ol><li>chicken, Gallus gallus domesticus</li></ol>
wanadi	<i>noun</i><br><ol><li>the lineated woodpecker, Dryocopus lineatus</li><li>the crimson-crested woodpecker, Campephilus melanoleucos</li></ol>
wanatu	<i>noun</i><br><ol><li>the spangled cotinga, Cotinga cayana</li></ol>
wannö	<i>noun</i><br><ol><li>(De'kwana dialect) bee</li><li>(De'kwana dialect) honey</li></ol>
wanö	<i>noun</i><br><ol><li>(Ye'kwana dialect) bee</li><li>(Ye'kwana dialect) honey</li></ol>
washo	<i>noun</i><br><ol><li>the three-striped night monkey, Aotus trivirgatus</li></ol>
watajaiñe	<i>noun</i><br><ol><li>wrestling match</li></ol>
wauj	<i>noun</i><br><ol><li>(of water and hair) fwooshing, sweeping down</li></ol>
wawonö	<i>noun</i><br><ol><li>swelling</li></ol>
wayamu	<i>noun</i><br><ol><li>the yellow-footed tortoise, Chelonoidis denticulatus</li><li>the red-footed tortoise, Chelonoidis carbonarius</li></ol>
wayana	<i>noun</i><br><ol><li>squash, Cucurbita maxima or Cucurbita moschata</li></ol>
wayaniki	<i>noun</i><br><ol><li>the pale-throated sloth, Bradypus tridactylus</li></ol>
wedama	<i>noun</i><br><ol><li>the white-winged swallow, Tachycineta albiventer</li><li>the black-collared swallow, Atticora melanoleuca</li></ol>
wedenchö	<i>noun</i><br><ol><li>(Ye'kwana dialect) smoke</li></ol>
wedenmü	<i>verb</i><br><ol><li>(intransitive, agentive, of objects) to smoke, to fume</li></ol>
wedennö	<i>noun</i><br><ol><li>wood ashes</li></ol>
wedesede	<i>noun</i><br><ol><li>fly (insect)</li></ol>
weena'ta	<i>verb</i><br><ol><li>(intransitive, patientive) to vomit</li></ol>
weichakono	<i>noun</i><br><ol><li>friend, companion</li><li>brother, bro</li></ol>
weichü	<i>noun</i><br><ol><li>life</li><li>health</li><li>way of living, way of being</li><li>living person or people</li><li>lifetime, time of (someone)</li></ol>
weijüdü	<i>noun</i><br><ol><li>former life</li><li>former lifetime, time of (someone)</li></ol>
wejannö	<i>noun</i><br><ol><li>(usually of a place or group of living things) fecundity, fertility, growth</li><li>the ability to produce life, fecundity, generative power</li><li>(Maquiritari mythology) fecundity concretized in the form of a primordial egg (often the egg of a great tinamou), the source of life</li></ol>
wejumma	<i>noun</i><br><ol><li>any ceremonial chant (aichudi) used to call or attract people to a place or person, for example to promote the growth of a village or to call the double/spirit (ökato) of a sick person back from death</li></ol>
wemöiiya	<i>verb</i><br><ol><li>to wrap or wind</li></ol>
wemüka	<i>postp</i><br><ol><li>inside the stomach of</li></ol>
wensu'dö	<i>verb</i><br><ol><li>(transitive) to fill</li><li>(transitive) to impregnate</li></ol>
wensu'ta	<i>verb</i><br><ol><li>(intransitive, patientive) to fill up, to become full</li><li>(intransitive, patientive) to be(come) sated, to be(come) full with food</li></ol>
wensude	<i>adv</i><br><ol><li>being pregnant</li></ol>
wensuku	<i>noun</i><br><ol><li>belly, stomach</li><li>pregnancy</li></ol>
wentumje	<i>adv</i><br><ol><li>being sad, sorrowful</li><li>being poor</li></ol>
wenwaaka	<i>postp</i><br><ol><li>in the entrails of</li></ol>
wenñö	<i>noun</i><br><ol><li>life</li><li>living person or people</li></ol>
wesankwa	<i>noun</i><br><ol><li>any ceremonial chant (aichudi) used to dispel or drive away people from a place or person, for example to stunt the growth of a village</li></ol>
wetuje	<i>adv</i><br><ol><li>being sleepy, tired</li></ol>
weyu|wedu	<i>noun</i><br><ol><li>rays of the sun, sunbeams</li><li>summer, the dry season (roughly February to April), the start of the annual cycle and season of clearing and planting gardens, hunting and fishing, and the start of new construction</li><li>year</li></ol>
wi'wiyu	<i>noun</i><br><ol><li>the black-bellied whistling duck, Dendrocygna autumnalis</li></ol>
widi	<i>noun</i><br><ol><li>a kind of coral snake</li></ol>
widiki	<i>noun</i><br><ol><li>small quartz crystal which is attributed shamanic power and kept in a shaman’s maraca after his initiation</li></ol>
widinchö	<i>noun</i><br><ol><li>(De'kwana dialect) smoke</li></ol>
wisha	<i>noun</i><br><ol><li>the bearded saki, Chiropotes sp.</li></ol>
wishu	<i>noun</i><br><ol><li>the annatto or achiote shrub, Bixa orellana, from which a red dye used for bodypaint is harvested</li><li>annatto, the dye or bodypaint obtained from this shrub</li></ol>
wiyu|weyu	<i>noun</i><br><ol><li>a malevolent water spirit of fecundity that can take the form of an anaconda, a person, etc., and causes floods and kidnaps people as a creation of the water goddess Wiyu</li></ol>
wiñüi	<i>verb</i><br><ol><li>to tie, to fasten</li></ol>
wo|yawo	<i>noun</i><br><ol><li>great-grandfather</li><li>father-in-law (of a woman)</li><li>mother’s brother, maternal uncle</li><li>father’s sister’s husband</li></ol>
wo'jüdü	<i>noun</i><br><ol><li>mother-in-law (of a man or woman)</li><li>great-grandmother (of a man)</li><li>(in relation to a man) father’s sister, paternal aunt</li><li>(in relation to a man) mother’s brother’s wife</li></ol>
wo'mo	<i>noun</i><br><ol><li>collar, necklace</li></ol>
wodi	<i>noun</i><br><ol><li>woman, female human being</li><li>female cross-cousin (of a man)</li></ol>
wodi'chö	<i>noun</i><br><ol><li>girl</li></ol>
woi	<i>noun</i><br><ol><li>a kind of wild elephant ear plant (genus Xanthosoma), considered the most potent of all magical herbs (maada) as a defense against supernatural threats</li></ol>
wokkiya	<i>noun</i><br><ol><li>Spix's guan, Penelope jacquacu</li></ol>
wokü	<i>noun</i><br><ol><li>manioc gruel or mush</li></ol>
womjiiyu	<i>noun</i><br><ol><li>light bulb</li></ol>
womü	<i>noun</i><br><ol><li>clothing, garments, dress</li></ol>
woowanomatojo	<i>noun</i><br><ol><li>school</li></ol>
wotuja|wotujadü	<i>verb</i><br><ol><li>(transitive) to advise</li></ol>
wotujadü	<i>noun</i><br><ol><li>advice</li></ol>
wö'tö	<i>noun</i><br><ol><li>harbor, port</li></ol>
wönetü|wönetünö	<i>verb</i><br><ol><li>(intransitive, patientive) to dream</li></ol>
wönwanö	<i>noun</i><br><ol><li>dance</li><li>festival, celebration, especially the audaajö edemi'jüdü</li></ol>
wönö	<i>noun</i><br><ol><li>war, battle</li></ol>
wötunnö	<i>noun</i><br><ol><li>the mythology and stories of the Maquiritari; the Maquiritari oral tradition</li><li>story, history, tale, myth</li></ol>
wüdüwüdü	<i>noun</i><br><ol><li>the eastern lowland olingo, Bassaricyon alleni</li></ol>
wüwa	<i>noun</i><br><ol><li>(Ye'kwana dialect) hourglass-shaped carrying basket woven by women</li></ol>
wüüwa	<i>noun</i><br><ol><li>(De'kwana dialect) hourglass-shaped carrying basket woven by women</li></ol>
wüüwü	<i>noun</i><br><ol><li>axe</li></ol>
ya'ka	<i>verb</i><br><ol><li>(De'kwana dialect) Alternative form of yaka (“to clear (growth) in slash-and-burn agriculture”)</li></ol>
ya'ko	<i>noun</i><br><ol><li>female cousin</li></ol>
ya'kwa|ya'ka	<i>verb</i><br><ol><li>(transitive) to burn (something) with something hot, not necessarily fire</li></ol>
yaakö	<i>noun</i><br><ol><li>the bullet ant, Paraponera clavata</li></ol>
yaatojötü	<i>verb</i><br><ol><li>to divide, to part</li></ol>
yaawö	<i>particle</i><br><ol><li>Then, so, and so; used in the explanation of events to indicate a transition from one to the next.</li><li>Focalizes an element of a sentence by isolating it after the particle.</li></ol>
yaaya|yaaya'kö	<i>noun</i><br><ol><li>older sibling; older sister or older brother</li><li>older parallel cousin</li><li>older same-generation relative in general</li></ol>
yada	<i>noun</i><br><ol><li>finger</li><li>frame, framework, armature</li></ol>
yadakadu	<i>noun</i><br><ol><li>the wedge-capped capuchin monkey, Cebus olivaceus</li><li>the tufted capuchin monkey, Sapajus apella</li><li>a zoomorphic basket design representing this monkey seen from the side on all fours, distinguished from wadishidi by the fact that its tail curls down rather than up</li><li>spider</li></ol>
yadaki	<i>noun</i><br><ol><li>caxiri, an alcoholic drink made from fermented bitter cassava</li></ol>
yadanawi	<i>noun</i><br><ol><li>A non-indigenous person, Creole, sometimes in particular a benevolent Spanish-speaking settler in contrast with the malevolent jañudu.</li></ol>
yadiwe	<i>noun</i><br><ol><li>spectacled caiman (Caiman crocodilus)</li></ol>
yaicha	<i>noun</i><br><ol><li>spear</li></ol>
yaichuma	<i>verb</i><br><ol><li>to blow on</li><li>to blow away</li><li>to bless</li></ol>
yaichuuma	<i>verb</i><br><ol><li>to blow on</li><li>to blow away</li><li>to bless</li></ol>
yaji	<i>noun</i><br><ol><li>the agami or grey-winged trumpeter, Psophia crepitans</li></ol>
yaka	<i>verb</i><br><ol><li>to assart, to clear (trees and plants) from a field or garden in slash-and-burn agriculture</li></ol>
yamüdu	<i>noun</i><br><ol><li>toddler, child of about one to three years old</li></ol>
yaninajö	<i>noun</i><br><ol><li>child of about four to six or seven years old</li></ol>
yanne'tö	<i>verb</i><br><ol><li>(transitive) to suspend, to hang</li></ol>
yantadü	<i>noun</i><br><ol><li>(Ye'kwana dialect) island</li></ol>
yantai	<i>adv</i><br><ol><li>some, any, a few</li></ol>
yanwa	<i>noun</i><br><ol><li>(Ye'kwana dialect) Alternative form of yanwaa (“man”)</li></ol>
yanwa'kö	<i>noun</i><br><ol><li>(Ye'kwana dialect) boy</li></ol>
yanwaa	<i>noun</i><br><ol><li>(Ye'kwana dialect) male human being, man</li><li>(Ye'kwana dialect) male cross-cousin (of a woman)</li></ol>
yanwadü	<i>noun</i><br><ol><li>(Ye'kwana dialect) valley</li></ol>
yatamedawö	<i>noun</i><br><ol><li>the end of the year, roughly November to January, when large festivals and gatherings are held</li></ol>
yatu	<i>verb</i><br><ol><li>(Ye'kwana dialect, intransitive, patientive) to burn</li></ol>
yauja	<i>noun</i><br><ol><li>the butterfly peacock bass, Cichla ocellaris</li></ol>
yawade	<i>noun</i><br><ol><li>(Ye'kwana dialect) the common opossum, Didelphis marsupialis</li></ol>
ye	<i>noun</i><br><ol><li>(Ye'kwana dialect) Alternative form of iye (“wood, tree”)</li></ol>
ye'deküi	<i>noun</i><br><ol><li>bar (of wood, etc.)</li></ol>
ye'jaka	<i>verb</i><br><ol><li>(transitive) to deflesh, to remove meat from bones</li></ol>
ye'jö	<i>noun</i><br><ol><li>bone</li></ol>
ye'kwana	<i>noun</i><br><ol><li>(Ye'kwana dialect) a Ye'kwana, a Maquiritari, a speaker of Maquiritari or member of a Maquiritari-speaking tribe</li></ol>
yedukadü	<i>noun</i><br><ol><li>waterfall</li></ol>
yedü	<i>noun</i><br><ol><li>(Ye'kwana dialect) tooth</li></ol>
yeichüdöje	<i>adv</i><br><ol><li>always, forever</li></ol>
yo	<i>verb</i><br><ol><li>(transitive) to leave (someone) without a portion from the hunt</li></ol>
yowanomani	<i>noun</i><br><ol><li>(De'kwana dialect) teacher</li></ol>
yujudunña	<i>adv</i><br><ol><li>in the homeland of the Maquiritari, the region stretching from the right bank of the upper Orinoco River to the lower reaches of the Ventuari and Caura Rivers</li></ol>
yukuni	<i>noun</i><br><ol><li>(Ye'kwana dialect) the yapok or water opossum, Chironectes minimus</li></ol>
yuuku	<i>noun</i><br><ol><li>a kind of venomous ant</li></ol>
yö'jöje	<i>adv</i><br><ol><li>also, too</li><li>either</li><li>afterwards, then, next</li></ol>
yööjünka	<i>particle</i><br><ol><li>Used in reaction to another clause to request confirmation: Is it true? Really?</li></ol>
yöötö|ñöödö|mö'kü|^Y ñö'dö|kanno|mööyö|möönü|eesemjo|^Y möñö|mödö|^Y nñanno|yöötö|möötö|^Y e'dö|unwaa|sadö|iyö|möntö|mökkü|maadö|mönsemjo|mö'dö|^Y mönö|aneeseja|ñanno|makkamo|mönse|inña|ma'kamo|edö|eese|^Y iiyö|eetö	<i>adv</i><br><ol><li>there (at the place already mentioned)</li><li>then (at the time already mentioned)</li></ol>
yüwüdü	<i>noun</i><br><ol><li>the capybara, Hydrochoerus hydrochaeris</li></ol>
ñanno|ñöödö|mö'kü|^Y ñö'dö|kanno|mööyö|möönü|eesemjo|^Y möñö|mödö|^Y nñanno|yöötö|möötö|^Y e'dö|unwaa|sadö|iyö|möntö|mökkü|maadö|mönsemjo|mö'dö|^Y mönö|aneeseja|ñanno|makkamo|mönse|inña|ma'kamo|edö|eese|^Y iiyö|eetö	<i>pron</i><br><ol><li>(Ye'kwana dialect) The animate plural invisible demonstrative pronoun; those (that I can’t see).</li></ol>
ñayudi	<i>noun</i><br><ol><li>(Ye'kwana dialect) the giant otter, Pteronura brasiliensis</li></ol>
ñeene	<i>adv</i><br><ol><li>(Ye'kwana dialect) truly, really</li></ol>
ñö'dö|ñöödö|mö'kü|^Y ñö'dö|kanno|mööyö|möönü|eesemjo|^Y möñö|mödö|^Y nñanno|yöötö|möötö|^Y e'dö|unwaa|sadö|iyö|möntö|mökkü|maadö|mönsemjo|mö'dö|^Y mönö|aneeseja|ñanno|makkamo|mönse|inña|ma'kamo|edö|eese|^Y iiyö|eetö	<i>pron</i><br><ol><li>(De'kwana dialect) The animate singular distal demonstrative pronoun; that.</li></ol>
ñöödö|ñöödö|mö'kü|^Y ñö'dö|kanno|mööyö|möönü|eesemjo|^Y möñö|mödö|^Y nñanno|yöötö|möötö|^Y e'dö|unwaa|sadö|iyö|möntö|mökkü|maadö|mönsemjo|mö'dö|^Y mönö|aneeseja|ñanno|makkamo|mönse|inña|ma'kamo|edö|eese|^Y iiyö|eetö	<i>pron</i><br><ol><li>(Ye'kwana dialect) The animate singular invisible demonstrative pronoun; that (that I can’t see).</li></ol>
ö'daku	<i>verb</i><br><ol><li>(intransitive, agentive) Alternative form of o'doku (“to get drunk”)</li></ol>
ö'dü	<i>verb</i><br><ol><li>to happen, to occur</li><li>to arrive, to get (to)</li><li>to speak</li><li>to get married</li><li>Allows a subordinated borrowed verb suffixed with -je to function as an intransitive predicate.</li></ol>
ö'dümö	<i>noun</i><br><ol><li>father-in-law (of a man or woman)</li><li>(in relation to a man) mother’s brother, maternal uncle</li><li>(in relation to a man) father’s sister’s husband</li></ol>
ö'ji	<i>noun</i><br><ol><li>lip, lips</li><li>edge, rim, lip, border</li><li>water’s edge, shore</li></ol>
ö'jö	<i>verb</i><br><ol><li>(intransitive) to wake up</li></ol>
ö'ka	<i>verb</i><br><ol><li>(intransitive, agentive) To finish, to end.</li></ol>
ö'kwa|ökku	<i>verb</i><br><ol><li>(transitive) to chew</li><li>(transitive) to eat (starch)</li></ol>
ö'mu	<i>noun</i><br><ol><li>elbow</li><li>knee</li></ol>
ö'sa	<i>noun</i><br><ol><li>the circular outer area of a village roundhouse (öttö), divided into rooms or compartments that each house an individual extended family</li><li>room of a building</li><li>(in modern, more dispersed villages) house, home, or the collection of houses surrounding the öttö</li></ol>
ö'waasa	<i>adv</i><br><ol><li>(interrogative) how many, how much</li></ol>
ö'waasa'kö|ö'washa'kö	<i>adv</i><br><ol><li>(interrogative) how many, how much</li></ol>
ö'wattö	<i>noun</i><br><ol><li>hammock</li></ol>
ödajö	<i>noun</i><br><ol><li>master, ruler, chief</li><li>possessor</li><li>Synonym of adai (“primeval progenitor and culture hero of an animal species”)</li></ol>
öddaajö	<i>noun</i><br><ol><li>(Ye'kwana dialect) conuco, large slash-and-burn garden planted in two concentric circles</li></ol>
ödeja	<i>noun</i><br><ol><li>manioc, cassava, yuca, Manihot esculenta</li><li>any derivative of yuca</li><li>food</li></ol>
ödemi	<i>noun</i><br><ol><li>long (2–3 days) communal ceremonial chant performed at major events and festivals to purify involved objects of ritual pollution/taboo (amoi)</li><li>song, chant (in general)</li></ol>
ödemi edajö|ödemi edamo	<i>noun</i><br><ol><li>(De'kwana dialect) a master storyteller, singer, and ritual specialist in the Maquiritari tradition, one who has been instructed in all traditional chants by a previous ödemi edajö</li></ol>
ödemi eyajö|ödemi eyamo	<i>noun</i><br><ol><li>(Ye'kwana dialect) a master storyteller, singer, and ritual specialist in the Maquiritari tradition, one who has been instructed in all traditional chants by a previous ödemi eyajö</li></ol>
ödinñö	<i>noun</i><br><ol><li>pot, jar</li></ol>
ödüwö	<i>noun</i><br><ol><li>the grey-fronted dove, Leptotila rufaxilla</li></ol>
öichö	<i>adv</i><br><ol><li>(interrogative) where? (asking about location or destination of movement; chiefly in copular constructions, and more readily used as a single query than össha)</li></ol>
öichödö	<i>adv</i><br><ol><li>more or less</li></ol>
öichökö	<i>adv</i><br><ol><li>(Ye'kwana dialect, interrogative) where? (asking about midpoint of movement)</li></ol>
öichönnawö	<i>adv</i><br><ol><li>(interrogative) when?</li></ol>
öisha|össha	<i>adv</i><br><ol><li>(interrogative) where? (asking about location or destination of movement; also used in predicates without a copula and with finite verbs without an auxiliary copula, unlike öichö)</li></ol>
öishanno|össhanno	<i>adv</i><br><ol><li>(interrogative) where? whence? (asking about source of movement)</li></ol>
öishöno	<i>adv</i><br><ol><li>(De'kwana dialect, interrogative) which?</li></ol>
öiyaato	<i>noun</i><br><ol><li>co-wife or (rarely) co-husband</li></ol>
öiye	<i>noun</i><br><ol><li>brother-in-law (of a man)</li></ol>
öji	<i>noun</i><br><ol><li>medicine, remedy</li></ol>
öjowa	<i>noun</i><br><ol><li>the margay, Leopardus wiedii</li></ol>
