Aaden	<i>noun</i><br><ol><li>harvest</li></ol>
ferleze|häived|ferläst|hieden|ferlezen|ferlúus|ferleezden|ferleezdest|ferlezet|ferläs|hied|ferleest|häbe|tou häben|hiest|ferleezde|tou ferlezen|hääst|ferlees|ferluzen|hääbe|ferleezd|häbet|heeuwed|ferleze|ferlúust|häd|hääb	<i>verb</i><br><ol><li>(transitive) to read out</li><li>(transitive) to free</li></ol>
ferseeke	<i>verb</i><br><ol><li>to renounce; forsake</li><li>to refuse; deny</li><li>to fail</li></ol>
ferskiene|ferskíenen|bääst|häived|bän|tou ferskienen|ween|ferskient|hieden|tou wezen|waas|wezen|is|sunt|wäs|ferskíent|ferskeen|weze|hied|ferkien|häbe|wieren|tou häben|ferskinst|ferskeenst|wezet|hiest|weese|hääst|ferskint|hääbe|häbet|ferskenen|heeuwed|wierst|ferskíenst|weden|häd|hääb	<i>verb</i><br><ol><li>(intransitive) to appear, to show up</li></ol>
ferstounde|ferstoanst|blieuwet ferstounden|häived|hieden|tou ferstounde|ferstuden|blieuw ferstounden|hied|häbe|ferstude|tou häben|hiest|hääst|hääbe|fersteen|ferstuust|häbet|heeuwed|ferstuud|ferstoant|häd|hääb	<i>verb</i><br><ol><li>(transitive) to understand</li></ol>
fielicht	<i>adv</i><br><ol><li>perhaps</li></ol>
fiende	<i>verb</i><br><ol><li>to find</li></ol>
fieuw	<i>num</i><br><ol><li>five</li></ol>
fille|filst|fil|häived|filden|hieden|filde|filt|fillet|hied|tou fillen|häbe|tou häben|hiest|hääst|fildest|hääbe|fild|häbet|heeuwed|häd|hääb	<i>verb</i><br><ol><li>(transitive) to skin</li><li>(transitive) to deceive</li></ol>
fiskje|tou fiskjen|häived|hieden|fiskest|fiskede|fisked|fisket|fiskedest|hied|häbe|fiskjet|tou häben|fiskeden|hiest|hääst|fisk|hääbe|häbet|heeuwed|häd|hääb	<i>verb</i><br><ol><li>(intransitive) to fish</li><li>(transitive, + uut) to get out (of water)</li></ol>
fjauer	<i>num</i><br><ol><li>four</li></ol>
fjautich	<i>num</i><br><ol><li>forty</li></ol>
fjautien	<i>num</i><br><ol><li>fourteen</li></ol>
fjuntelk|früntelk	<i>adj</i><br><ol><li>friendly</li></ol>
fljoge|fljugst|bääst|häived|bän|ween|fljoog|hieden|tou wezen|fljogend|waas|wezen|is|fljug|sunt|wäs|tou fljogen|fljogen|weze|hied|häbe|wieren|tou häben|wezet|hiest|weese|fljoget|hääst|fljugt|fljooge|hääbe|häbet|heeuwed|wierst|weden|fljogest|häd|hääb	<i>verb</i><br><ol><li>(intransitive) to fly</li><li>(transitive) to fly (an aircraft)</li><li>(intransitive) to fly (in an aircraft)</li></ol>
floitje|floited|häived|floitjet|tou floitjen|floiteden|hieden|floit|floitedest|hied|häbe|tou häben|hiest|hääst|floitest|floitet|hääbe|floitede|häbet|heeuwed|häd|hääb	<i>verb</i><br><ol><li>(intransitive) to whistle</li></ol>
fluchtich|flächtich	<i>adj</i><br><ol><li>fleeting</li><li>volatile</li></ol>
foanerch	<i>adj</i><br><ol><li>boggy</li></ol>
foarbie	<i>prep</i><br><ol><li>beyond; by; past; behind</li></ol>
foare|bääst|häived|bän|ween|hieden|tou wezen|fúurst|waas|wezen|is|sunt|wäs|fúren|weze|foart|foaren|hied|häbe|wieren|tou häben|wezet|hiest|weese|hääst|hääbe|foarst|häbet|heeuwed|wierst|fúur|tou foaren|weden|häd|hääb	<i>verb</i><br><ol><li>(intransitive) to travel</li></ol>
foarich	<i>adj</i><br><ol><li>previous; past; former</li></ol>
foarsichtich	<i>adj</i><br><ol><li>cautious; careful; wary</li></ol>
fon|hierfon|deerfon|wierfon	<i>prep</i><br><ol><li>of</li><li>from</li></ol>
fooldje	<i>verb</i><br><ol><li>to fold</li></ol>
freezje|häived|frezest|freze|frezet|hieden|hied|freezjet|frezeden|häbe|tou häben|frezed|hiest|frezedest|hääst|hääbe|frezede|häbet|heeuwed|häd|tou freezjen|hääb	<i>verb</i><br><ol><li>(transitive) to fear</li><li>(reflexive) to be afraid</li></ol>
frisk	<i>adj</i><br><ol><li>fresh</li></ol>
frjoze	<i>verb</i><br><ol><li>to freeze</li></ol>
froamd	<i>adj</i><br><ol><li>foreign; alien</li><li>strange; unfamiliar; outlandish</li></ol>
fräi	<i>adj</i><br><ol><li>free</li></ol>
fräigje|fräiged|häived|hieden|fräigjet|hied|häbe|tou fräigjen|fräigede|tou häben|fräigeden|hiest|fräig|hääst|hääbe|fräiget|häbet|heeuwed|fräigest|häd|fräigedest|hääb	<i>verb</i><br><ol><li>(transitive) to ask</li></ol>
fräisk|fräiske	<i>adj</i><br><ol><li>Frisian</li></ol>
fuchtich	<i>adj</i><br><ol><li>moist; damp; wet</li><li>undaunted; bold; brave; courageous</li><li>frenzied; berserk</li><li>fierce; angry; wrathful; furious; wild</li></ol>
ful|fulle|fulst|fuller	<i>adj</i><br><ol><li>full</li></ol>
fulle Moune|fulle Mounen	<i>noun</i><br><ol><li>full moon</li></ol>
fächtje	<i>verb</i><br><ol><li>To fight</li><li>(swordfighting) To fence</li></ol>
fäile|fäil|fäilden|fäilt|häived|hieden|tou fäilen|fäilde|fäild|fäilst|hied|häbe|tou häben|hiest|fäilet|hääst|hääbe|fäildest|häbet|heeuwed|häd|hääb	<i>verb</i><br><ol><li>(transitive) to feel</li></ol>
fäl	<i>adj</i><br><ol><li>rough; crude</li><li>violent; fierce</li><li>loud; rowdy</li></ol>
fääst|fääste|fäästest|fäster	<i>adj</i><br><ol><li>healthy</li><li>firm, secure</li></ol>
fúul|maast|ful|moor	<i>det</i><br><ol><li>many, much, a lot of</li></ol><br><i>pron</i><br><ol><li>much, a lot</li></ol>
füüftich	<i>num</i><br><ol><li>fifty</li></ol>
füüftien	<i>num</i><br><ol><li>fifteen</li></ol>
gau	<i>adv</i><br><ol><li>quickly; swiftly</li><li>soon; at once</li></ol>
gefoarelk	<i>adj</i><br><ol><li>dangerous; perilous</li></ol>
gemeen	<i>adj</i><br><ol><li>common</li><li>vulgar; mean</li></ol>
genouch	<i>adj</i><br><ol><li>enough</li></ol>
geskjo|bääst|häived|bän|ween|hieden|tou wezen|waas|wezen|is|sunt|wäs|weze|geskegen|hied|tou geskjoon|häbe|wieren|tou häben|wezet|hiest|geskjugt|weese|hääst|hääbe|geskäin|häbet|geskaag|heeuwed|wierst|weden|häd|hääb	<i>verb</i><br><ol><li>(intransitive) to happen</li></ol>
giftich	<i>adj</i><br><ol><li>poisonous, toxic</li></ol>
gjuchtfäidig|gjuchtfäidigst|gjuchtfäidige|gjuchtfäidiger	<i>adj</i><br><ol><li>fair, just, righteous</li></ol>
gliek	<i>adj</i><br><ol><li>like; same; equal; alike</li></ol>
gliekeful	<i>adj</i><br><ol><li>Exactly the same; identical</li></ol>
gliekfals	<i>adv</i><br><ol><li>In like manner; likewise</li></ol>
gliekje	<i>verb</i><br><ol><li>To resemble, be alike.</li></ol>
glääd	<i>adj</i><br><ol><li>smooth</li></ol>
goar	<i>adj</i><br><ol><li>true, correct</li><li>(of food) ready, well-cooked</li><li>(of people) mature, sensible</li></ol><br><i>adv</i><br><ol><li>very</li><li>(with a negative) ... at all</li></ol>
goud|beeter|bääst|bääste	<i>adj</i><br><ol><li>good</li></ol>
gouden Dai	<i>intj</i><br><ol><li>good day, hello</li></ol>
gouden Mäiden	<i>intj</i><br><ol><li>good morning</li></ol>
goudwillich	<i>adj</i><br><ol><li>willing</li><li>benevolent; gracious</li></ol>
gratlíerje|tou gratlíerjen|häived|gratlíeredest|hieden|hied|grätlierje|häbe|tou häben|gratlíerede|gratlíerjet|hiest|gratlíer|hääst|gratlíered|hääbe|gratlíereden|gratlíerest|häbet|heeuwed|gratlíeret|häd|hääb	<i>verb</i><br><ol><li>(transitive) to congratulate</li></ol>
greeuwe|häived|grouf|greeuwen|grouven|hieden|gräfst|grúven|hied|häbe|tou häben|greeuw|hiest|groufst|tou greeuwen|hääst|hääbe|gräft|greeuwet|gruufst|häbet|heeuwed|häd|hääb|gruuf	<i>verb</i><br><ol><li>(transitive) to dig</li></ol>
griepe	<i>verb</i><br><ol><li>to seize, to grip</li></ol>
gries|griest|grieze|griezer	<i>adj</i><br><ol><li>grey</li></ol>
groot|grote|gratter|grootst	<i>adj</i><br><ol><li>big, large</li><li>adult, grown-up</li></ol>
grote Äi	<i>name</i><br><ol><li>Leda (a river in Lower Saxony, Germany)</li></ol>
gräin|gräinst|gräiner|gräine	<i>adj</i><br><ol><li>green</li></ol>
gunge|bääst|häived|bän|ween|hieden|tou wezen|gene|waas|wezen|is|sunt|wäs|gungt|weze|hied|häbe|tou gungen|wieren|tou häben|wezet|geen|hiest|weese|hääst|hääbe|geenst|gunget|häbet|heeuwed|wierst|gungst|weden|häd|hääb	<i>verb</i><br><ol><li>(intransitive) to go</li></ol>
gäistich	<i>adj</i><br><ol><li>spiritual</li><li>Of or relating to the mind; intellectual</li></ol>
gäärsich	<i>adj</i><br><ol><li>Covered with, or abounding in grass; grassy.</li></ol>
güüchelje	<i>verb</i><br><ol><li>to giggle</li></ol>
haalje|haalden|haaljet|häived|hieden|tou haaljen|haaldest|hied|häbe|haalde|tou häben|haald|hiest|hääst|haal|haalst|hääbe|häbet|heeuwed|häd|haalt|hääb	<i>verb</i><br><ol><li>Skäddel and Strukelje form of hoalje</li></ol>
hatelk|hatelker|haatelke|hatelke|haatelkst|haatelk|hatelkst|haatelker	<i>adj</i><br><ol><li>warm, friendly, affectionate</li></ol>
helig|heliger|helige|heligst	<i>adj</i><br><ol><li>holy</li></ol>
here|häived|hieden|tou heren|heret|heer|hied|heerden|heere|häbe|heerd|tou häben|heerde|heert|hiest|heerdest|hääst|heerst|hääbe|häbet|heeuwed|häd|hääb	<i>verb</i><br><ol><li>(transitive) to hear</li><li>(intransitive) to obey</li><li>(intransitive) to belong to</li></ol>
hete|häived|hieden|tou heten|hiet|heten|hietst|hetet|hat|hied|häbe|tou häben|hieten|hiest|hääst|hääbe|häbet|heeuwed|hatst|häd|hääb	<i>verb</i><br><ol><li>(intransitive) to be called</li><li>(intransitive) to sound; to read</li><li>(transitive) to ask; to order</li></ol>
hie|er|him	<i>pron</i><br><ol><li>he</li></ol>
hier	<i>adv</i><br><ol><li>here</li></ol>
hiere|hierens	<i>det</i><br><ol><li>her</li><li>their</li></ol>
hierens|hiere	<i>pron</i><br><ol><li>hers</li><li>theirs</li></ol>
hierich	<i>adj</i><br><ol><li>hairy</li></ol>
hoalje|hoalst|hoalden|häived|hieden|hoal|tou hoaljen|hoalde|hied|hoaldest|häbe|tou häben|hiest|hääst|hääbe|hoalt|hoald|häbet|heeuwed|häd|hoaljet|hääb	<i>verb</i><br><ol><li>(Romelse, transitive) to fetch</li><li>(Romelse, transitive) to catch up to</li><li>(Romelse, transitive, music) to reach (a note)</li></ol>
hoastich	<i>adj</i><br><ol><li>hasty</li></ol>
hoatje|hoatede|häived|tou hoatjen|hieden|hoatet|hied|häbe|hoatjet|tou häben|hiest|hoat|hääst|hoatedest|hääbe|hoated|hoateden|hoatest|häbet|heeuwed|häd|hääb	<i>verb</i><br><ol><li>to hate</li></ol>
hol|holst|holler|holle	<i>adj</i><br><ol><li>hollow</li></ol>
holloundsk|holloundske	<i>adj</i><br><ol><li>Dutch</li></ol>
holten|holtenen	<i>adj</i><br><ol><li>wooden</li><li>stiff, rigid</li></ol>
hondelje|häived|hieden|hondeld|hondeldest|hied|häbe|tou häben|hondelden|hondeljet|hiest|hääst|hääbe|hondel|tou hondeljen|häbet|heeuwed|hondelde|hondelst|hondelt|häd|hääb	<i>verb</i><br><ol><li>(intransitive) to trade</li><li>(intransitive) to behave</li></ol>
hongje	<i>verb</i><br><ol><li>To hang</li></ol>
hoog|hoogst|hoge|hagst|hooch|hager	<i>adj</i><br><ol><li>high</li><li>difficult</li></ol>
hoolde	<i>verb</i><br><ol><li>to hold</li></ol>
hoolf	<i>adj</i><br><ol><li>half</li></ol>
hoolfwais|hoolichwais	<i>adv</i><br><ol><li>halfway; halfways</li></ol>
hoonich	<i>adj</i><br><ol><li>lusty; randy; horny</li></ol>
hoopje|hopedest|häived|hopet|hieden|hoped|hoopjet|hopeden|hoopje|hied|häbe|tou häben|tou hoopjen|hiest|hääst|hoop|hääbe|hopede|häbet|heeuwed|hopest|häd|hääb	<i>verb</i><br><ol><li>(intransitive) to hope</li><li>(intransitive, + ap) to wait (on)</li><li>(intransitive, + fon) to expect (from)</li><li>(transitive) to heap; to pile up</li></ol>
hundert|hunnert|hunderd	<i>num</i><br><ol><li>hundred</li></ol>
häbe|tou häben|häived|häbet|hiest|heeuwed|hieden|hied|hääst|häd|hääb|hääbe	<i>verb</i><br><ol><li>(transitive) to have</li><li>(auxiliary) Used to form the perfect tense of the active voice of most verbs, together with a past participle.</li></ol>
hälpe	<i>verb</i><br><ol><li>to help</li></ol>
hälploos	<i>adj</i><br><ol><li>helpless</li></ol>
häägje|häived|hägest|häged|hieden|häägjet|hägeden|hägede|hääg|hied|häbe|hägedest|tou häben|hiest|tou häägjen|hääst|hääbe|häget|häbet|heeuwed|häd|hääb	<i>verb</i><br><ol><li>(transitive) to cherish</li></ol>
häägje un fläägje	<i>verb</i><br><ol><li>(transitive) to care for deeply</li></ol>
iek|mie	<i>pron</i><br><ol><li>I</li></ol>
iek häbe die ljoof|iek häbe die ljo	<i>phrase</i><br><ol><li>I love you</li></ol>
ielje	<i>verb</i><br><ol><li>to hurry; rush</li></ol>
ien	<i>adv</i><br><ol><li>(of motion, chiefly in compounds) in, inside</li></ol>
iete|itst|it|häived|hieden|tou íeten|eten|íete|etest|hied|häbe|eet|tou häben|ietet|hiest|hääst|tou ieten|hääbe|häbet|íeten|heeuwed|íetet|häd|hääb	<i>verb</i><br><ol><li>(transitive) to eat</li><li>(intransitive) to eat</li></ol>
in|wierin|deerin|hierin	<i>prep</i><br><ol><li>in, inside</li><li>in, into</li></ol>
in Stik moakje	<i>verb</i><br><ol><li>(transitive) to set on fire</li></ol>
jaanje	<i>verb</i><br><ol><li>to yawn</li></ol>
je	<i>particle</i><br><ol><li>Used to intensify a statement to express it is a known fact; obviously, of course</li></ol>
jee	<i>particle</i><br><ol><li>yes</li></ol>
jeel|jele|jeelst|jeler	<i>adj</i><br><ol><li>yellow</li></ol>
jie|jou	<i>pron</i><br><ol><li>ye, you</li></ol>
jierelk	<i>adj</i><br><ol><li>yearly; annual</li></ol>
jierelks	<i>adv</i><br><ol><li>yearly; annually</li></ol>
jo|hier|ze	<i>pron</i><br><ol><li>they</li></ol>
joote	<i>verb</i><br><ol><li>to pour</li></ol>
jou|jouens	<i>det</i><br><ol><li>your</li></ol><br><i>pron</i><br><ol><li>yourselves</li></ol>
jouens|jou	<i>pron</i><br><ol><li>yours</li></ol>
ju|de|hier|ze|dju	<i>pron</i><br><ol><li>she</li></ol>
juns	<i>det</i><br><ol><li>that, those</li></ol>
juukje	<i>verb</i><br><ol><li>to itch</li></ol>
jä	<i>intj</i><br><ol><li>Used to introduce a statement that may be contrary to expectations; OK; well</li></ol>
jäärsene	<i>adv</i><br><ol><li>yesterday</li></ol>
kanne	<i>verb</i><br><ol><li>to know</li></ol>
kjoze|häived|koost|hieden|kjozet|kozen|hied|kjust|häbe|kjus|tou häben|hiest|hääst|hääbe|tou kjoze|kädden|häbet|heeuwed|koos|häd|hääb	<i>verb</i><br><ol><li>to choose</li></ol>
kloor	<i>adj</i><br><ol><li>clear</li><li>ready</li></ol>
konne|konnen|häived|kuden|hieden|hied|häbe|kude|tou häben|kuud|hiest|hääst|hääbe|koast|tou konnen|kuust|kon|häbet|heeuwed|häd|hääb	<i>verb</i><br><ol><li>(auxiliary) to be able to</li></ol>
koold|kooldste|koolde|kaller	<i>adj</i><br><ol><li>cold</li></ol>
koopje|häived|kopede|hieden|koopjet|koped|hied|koop|häbe|tou häben|hiest|kopest|hääst|hääbe|kopet|tou koopjen|häbet|heeuwed|kopedest|kopeden|häd|hääb	<i>verb</i><br><ol><li>(transitive) to buy</li></ol>
krie|kro|krju|krät|krän	<i>det</i><br><ol><li>that</li></ol>
kriege|häived|krigt|hieden|kreeg|kreegst|kregen|hied|tou kriegen|häbe|tou häben|hiest|krieget|hääst|kríegen|hääbe|krig|krigst|kriegen|häbet|heeuwed|häd|hääb	<i>verb</i><br><ol><li>(transitive) to get, receive</li></ol>
kriete	<i>verb</i><br><ol><li>to scream, cry, shout</li><li>to cry, weep, whine</li></ol>
kroakje	<i>verb</i><br><ol><li>To crash; crack; creak</li></ol>
kroank	<i>adj</i><br><ol><li>weak; sick; ill</li></ol>
krusse|krut|krussen	<i>det</i><br><ol><li>this, these</li></ol>
kudderje|häived|kudderdest|hieden|kuddert|hied|kudderd|kudder|häbe|tou häben|hiest|tou kudderjen|hääst|kudderden|kudderjet|hääbe|kudderde|kudderst|häbet|heeuwed|häd|hääb	<i>verb</i><br><ol><li>(intransitive) to court</li><li>(intransitive) to make love</li><li>(intransitive) to perform a courtship display</li></ol>
kume|bääst|kuume|häived|bän|ween|kumet|hieden|tou wezen|waas|wezen|is|sunt|wäs|kumst|kumen|kemen|weze|hied|kumt|häbe|wieren|tou häben|koom|wezet|hiest|weese|hääst|hääbe|kum|häbet|heeuwed|wierst|tou kumen|keemst|weden|häd|hääb	<i>verb</i><br><ol><li>(intransitive) to come</li></ol>
kuut|kute|kuutste|kuter	<i>adj</i><br><ol><li>short</li><li>torn</li><li>broken</li></ol>
kwede|häived|hieden|kweden|kwäd|kwieden|hied|häbe|tou häben|kwääst|kweede|hiest|tou kweden|hääst|hääbe|kwedet|häbet|heeuwed|kwädst|kwaad|häd|kwiest|kwädt|hääb	<i>verb</i><br><ol><li>(transitive) to say</li></ol>
kwik	<i>adj</i><br><ol><li>perk; nimble</li></ol>
kwood	<i>adj</i><br><ol><li>bad</li></ol>
käärwje	<i>verb</i><br><ol><li>To carve.</li><li>To notch.</li></ol>
köil	<i>adj</i><br><ol><li>cool</li></ol>
köilich	<i>adj</i><br><ol><li>cool</li></ol>
köin	<i>adj</i><br><ol><li>brave; daring</li></ol>
laachje|häived|hieden|laachjet|hied|lachedest|lached|häbe|tou häben|lachet|hiest|lacheden|laach|hääst|hääbe|lachede|tou laachjen|häbet|lachest|heeuwed|häd|hääb	<i>verb</i><br><ol><li>(intransitive) to laugh</li></ol>
leet	<i>adj</i><br><ol><li>late</li></ol>
leeter	<i>adv</i><br><ol><li>later</li></ol>
leeuwe|tou leeuwen|leeuwdest|häived|hieden|leeuwst|leeuwet|hied|leeuwd|leeuwden|häbe|leeuwde|tou häben|hiest|leeuw|hääst|hääbe|leeuwt|häbet|heeuwed|häd|hääb	<i>verb</i><br><ol><li>(transitive) to believe</li></ol>
legerje|häived|hieden|legerst|legerjet|hied|legerdest|legerd|häbe|tou häben|legert|hiest|tou legerjen|hääst|leger|hääbe|häbet|heeuwed|legerden|häd|legerde|hääb	<i>verb</i><br><ol><li>(transitive) to store</li></ol>
leze|häived|hieden|läs|lezet|leezd|lees|leezden|hied|lúust|häbe|tou häben|hiest|lúus|hääst|läst|lezen|hääbe|luzen|tou lezen|leezdest|leest|häbet|heeuwed|leezde|leze|häd|hääb	<i>verb</i><br><ol><li>(transitive) to read</li><li>(intransitive) to read</li><li>(transitive) to loose; to remove</li><li>(intransitive) to loosen; to come loose</li></ol>
liekje	<i>verb</i><br><ol><li>to be similar to; resemble; equal.</li></ol>
litje|litste|litjeste|littik|litjer|litjet	<i>adj</i><br><ol><li>small, little</li></ol>
ljoacht	<i>adj</i><br><ol><li>Not dark; light; bright</li><li>(of a colour) pale</li></ol>
ljoof|ljoofst|ljauer|ljouwe|ljoost|ljo|ljove|ljoo	<i>adj</i><br><ol><li>dear, sweet</li></ol>
ljoof häbe|ljo häbe	<i>verb</i><br><ol><li>(transitive) to love</li></ol>
ljooge	<i>verb</i><br><ol><li>to lie (tell a falsehood)</li></ol>
loang|langer|loange|loangst	<i>adj</i><br><ol><li>long</li></ol>
loangsoam	<i>adj</i><br><ol><li>slow</li></ol><br><i>adv</i><br><ol><li>slowly</li></ol>
loos|lozer|loze|loost	<i>adj</i><br><ol><li>empty</li><li>loose</li><li>free, liberated</li></ol>
lope|loop|bääst|häived|bän|ween|tou lopen|hieden|tou wezen|lapst|ronst|waas|wezen|liepen|is|lopet|sunt|wäs|lopt|lapt|weze|hied|liep|häbe|wieren|tou häben|wezet|lopst|liepst|hiest|loope|weese|hääst|lepen|ronnen|hääbe|häbet|heeuwed|wierst|weden|häd|ron|hääb	<i>verb</i><br><ol><li>(intransitive) to run</li><li>(intransitive) to flow</li><li>(intransitive) to sprout</li><li>(intransitive, + mäd) to interact (with)</li></ol>
lusterje|lusterd|häived|lustert|hieden|tou lusterjen|lusterden|lusterst|luster|hied|häbe|lusterdest|tou häben|hiest|lusterde|hääst|hääbe|häbet|heeuwed|lusterjet|häd|hääb	<i>verb</i><br><ol><li>(intransitive) to listen closely</li></ol>
luud	<i>adj</i><br><ol><li>loud</li></ol>
luuke	<i>verb</i><br><ol><li>to pull</li></ol>
luukwoarm	<i>adj</i><br><ol><li>lukewarm</li></ol>
läich	<i>adj</i><br><ol><li>low</li></ol>
läid	<i>adj</i><br><ol><li>uncomfortable; unpleasant</li></ol>
läkker|läkkere	<i>adj</i><br><ol><li>delicious, tasty</li></ol>
lääse	<i>verb</i><br><ol><li>to lie; to be situated</li><li>to lay</li></ol>
líenje|häived|hieden|líenst|hied|häbe|líendest|tou häben|líent|hiest|líenden|hääst|hääbe|tou líenjen|líen|heeuwed|häbet|líenjet|líend|häd|líende|hääb	<i>verb</i><br><ol><li>(reflexive, + an) to lean (on)</li><li>(intransitive, of trees) to lean (to be close to falling)</li></ol>
líeuwje|häived|tou líeuwjen|hieden|hied|líeuwest|häbe|líeuwede|tou häben|líeuweden|hiest|líeuwet|líeuwjet|líeuw|hääst|líeuwed|hääbe|häbet|heeuwed|líeuwedest|lieuwje|häd|hääb	<i>verb</i><br><ol><li>(intransitive) to live</li></ol>
lúuvje|lúveden|häived|lúvede|lúvedest|hieden|lúuv|hied|häbe|tou häben|tou lúuvjen|hiest|hääst|lúuvjet|hääbe|lúvest|lúved|häbet|heeuwed|häd|hääb|lúvet	<i>verb</i><br><ol><li>(transitive) to love</li></ol>
machtich	<i>adj</i><br><ol><li>mighty</li></ol>
machtloos	<i>adj</i><br><ol><li>powerless; mightless</li></ol>
man	<i>conj</i><br><ol><li>but</li></ol><br><i>adv</i><br><ol><li>but, just</li></ol><br><i>pron</i><br><ol><li>one, they</li></ol>
meelk	<i>adj</i><br><ol><li>Giving milk; milch</li></ol>
mie	<i>pron</i><br><ol><li>myself</li></ol>
mild	<i>adj</i><br><ol><li>mild; gentle</li></ol>
min|minnen|mien	<i>det</i><br><ol><li>my, mine</li></ol>
minje|häived|hieden|mint|mind|min|mindest|hied|minjet|häbe|tou häben|hiest|hääst|hääbe|tou minjen|minden|häbet|heeuwed|minde|häd|minst|hääb	<i>verb</i><br><ol><li>(transitive) to love</li></ol>
minnen|mienen|min	<i>pron</i><br><ol><li>mine</li></ol>
misbruke|häived|hieden|misbruuk|misbruukst|misbruket|hied|häbe|tou häben|hiest|misbruukte|hääst|misbruukt|misbruuktest|hääbe|tou misbruken|misbruuke|häbet|heeuwed|misbruukten|häd|hääb	<i>verb</i><br><ol><li>(transitive) to misuse</li></ol>
misferstounde|blieuwet ferstounden|misferstude|häived|misferstoanst|hieden|misferstoant|misferstuust|misferstuden|misferstuud|hied|häbe|tou häben|hiest|hääst|blieuw misferstounden|hääbe|fersteen|häbet|heeuwed|tou misferstounde|häd|hääb	<i>verb</i><br><ol><li>to misunderstand</li></ol>
mishondelje	<i>verb</i><br><ol><li>To mishandle; mistreat; abuse</li></ol>
miskje	<i>verb</i><br><ol><li>to mix</li></ol>
mjo|häived|hieden|mjooët|hied|mäinst|mäinden|häbe|mäindest|tou häben|hiest|mäint|hääst|hääbe|häbet|heeuwed|tou mjo|mäind|häd|hääb|mäinde	<i>verb</i><br><ol><li>(transitive) to mow</li></ol>
moakje|moakest|häived|hieden|tou moakjen|hied|häbe|tou häben|moakedest|hiest|moakeden|hääst|moakjet|hääbe|häbet|heeuwed|moaket|moaked|moakede|häd|moak|hääb	<i>verb</i><br><ol><li>(transitive) to make</li><li>(transitive) to repair</li><li>(transitive) to prepare</li><li>(transitive) to preach</li><li>(transitive) to make; earn</li><li>(transitive, + dät) to make sure (that)</li></ol>
moanskelk|moanskelkst|moanskelke|moanskelker	<i>adj</i><br><ol><li>humane</li></ol>
moin|moin!	<i>intj</i><br><ol><li>hi! hello!</li></ol>
monk	<i>prep</i><br><ol><li>among</li></ol>
monken	<i>prep</i><br><ol><li>among</li></ol>
moud	<i>adj</i><br><ol><li>tired; weary; exhausted</li></ol>
moute|moaste|häived|hieden|mouten|moastest|hied|häbe|tou häben|moasten|hiest|tou mouten|hääst|mout|hääbe|häbet|heeuwed|moast|häd|hääb	<i>verb</i><br><ol><li>(auxiliary) to have to; to must</li></ol>
munter	<i>adj</i><br><ol><li>awake; sharp; alert</li><li>lively; sprightly</li></ol>
muugelk	<i>adj</i><br><ol><li>possible; potential</li></ol>
mäd|wiermäd|deermäd|hiermäd	<i>prep</i><br><ol><li>with</li><li>with, using</li><li>(of time) in</li></ol>
mäiden	<i>adv</i><br><ol><li>tomorrow</li></ol>
mölk|mölke	<i>adj</i><br><ol><li>giving milk</li></ol>
múurje|múurden|múurd|häived|hieden|múurjet|hied|múur|tou múurjen|häbe|muurje|tou häben|múurde|hiest|múurst|hääst|hääbe|häbet|heeuwed|múurt|häd|múurdest|hääb	<i>verb</i><br><ol><li>(intransitive) to lay bricks</li></ol>
naan|neen	<i>det</i><br><ol><li>no, none</li></ol>
naargends	<i>adv</i><br><ol><li>nowhere</li></ol>
naist	<i>adj</i><br><ol><li>next</li></ol><br><i>prep</i><br><ol><li>beside; in addition to</li></ol>
namme|nam|häived|namden|namdest|nammet|hieden|namst|tou nammen|namt|hied|häbe|tou häben|hiest|hääst|hääbe|namde|namd|häbet|heeuwed|häd|hääb	<i>verb</i><br><ol><li>(transitive) to name; to call</li></ol>
nit	<i>adv</i><br><ol><li>not</li></ol>
njuugentien	<i>num</i><br><ol><li>nineteen</li></ol>
njúgen|njuugen	<i>num</i><br><ol><li>nine</li></ol>
noa	<i>particle</i><br><ol><li>no</li></ol>
noakend	<i>adj</i><br><ol><li>naked</li></ol>
noar	<i>adj</i><br><ol><li>narrow</li><li>miserable; awful</li><li>bad-looking</li></ol>
noch	<i>adv</i><br><ol><li>still, yet</li></ol>
nooit	<i>adv</i><br><ol><li>never</li></ol>
normoal	<i>adj</i><br><ol><li>normal</li></ol>
nu	<i>intj</i><br><ol><li>well</li></ol>
näi	<i>adj</i><br><ol><li>new</li></ol>
níeme|níemen|häived|hieden|nim|tou níemen|noomst|nimt|hied|häbe|tou häben|hiest|hääst|noom|hääbe|nomen|númen|níemet|häbet|heeuwed|nimst|häd|hääb	<i>verb</i><br><ol><li>(transitive) to take</li><li>(transitive) to marry</li></ol>
oaber	<i>conj</i><br><ol><li>but</li></ol>
oachte	<i>num</i><br><ol><li>(Romelse) eight</li></ol>
oafte	<i>adv</i><br><ol><li>oft; often</li></ol>
oafters	<i>adv</i><br><ol><li>occasionally; once in a while; quite often</li></ol>
oain	<i>adj</i><br><ol><li>own</li></ol>
ongelje|ongelst|häived|hieden|ongelt|ongelde|hied|häbe|tou häben|ongelden|hiest|tou ongeljen|hääst|hääbe|ongel|häbet|heeuwed|ongeldest|ongeljet|häd|ongeld|hääb	<i>verb</i><br><ol><li>to angle, fish</li></ol>
oold	<i>adj</i><br><ol><li>old</li></ol>
ooldful	<i>adj</i><br><ol><li>precocious</li></ol>
