Abril|Abríl	<i>name</i><br><ol><li>April</li></ol>
putay|putáy	<i>noun</i><br><ol><li>(anatomy) vagina</li></ol>
puti	<i>adj</i><br><ol><li>(color) white</li></ol><br><i>noun</i><br><ol><li>(color) white</li><li>(chemistry) lime</li></ol>
putik|pútik	<i>noun</i><br><ol><li>(Naga) lie; fib; falsehood</li></ol>
putikan	<i>verb</i><br><ol><li>(Naga) to lie; to fib; to deceive</li></ol>
putikon|putikón	<i>noun</i><br><ol><li>(Naga) liar; deceiver; fibber</li></ol>
puto	<i>noun</i><br><ol><li>white rice cake</li></ol>
putol|putól	<i>adj</i><br><ol><li>cut; severed</li></ol>
putolon	<i>verb</i><br><ol><li>to cut; to sever</li></ol>
putos|putós	<i>noun</i><br><ol><li>topknot; hair bun</li></ol>
putyukan	<i>noun</i><br><ol><li>honey bee</li></ol>
puwersa	<i>noun</i><br><ol><li>force; power</li><li>persuasion; compulsion; persistence</li><li>(by extension) strength</li></ol>
puwersado	<i>adj</i><br><ol><li>forceful; persuasive; compulsive; persistent</li></ol>
puwersahon	<i>verb</i><br><ol><li>to force; to persuade; to compel</li></ol>
puwerta|pwerta	<i>noun</i><br><ol><li>door</li></ol>
puwertahan	<i>noun</i><br><ol><li>doorway</li></ol>
puwesto	<i>adj</i><br><ol><li>ready; prepared</li></ol><br><i>noun</i><br><ol><li>preparation</li><li>place; location</li></ol>
raba-raba|rabaraba|rabá-rabá	<i>noun</i><br><ol><li>conflagration</li></ol>
rabag|rabág	<i>noun</i><br><ol><li>a throw; a fling; a hurl</li></ol>
rabas	<i>verb</i><br><ol><li>to scamper</li></ol>
rabasero	<i>noun</i><br><ol><li>a wanderer</li></ol>
rabnot	<i>noun</i><br><ol><li>a grab by the hair or a man's beard</li></ol>
rabot|rabót	<i>noun</i><br><ol><li>tripe, stomach lining of animal for food</li></ol>
rabrab	<i>noun</i><br><ol><li>a rip, a tear</li></ol>
rabsing	<i>noun</i><br><ol><li>a forceful grab</li></ol>
radyo	<i>noun</i><br><ol><li>radio</li></ol>
ragana|ragànâ	<i>adj</i><br><ol><li>choppy, discontinuous, intermittent</li></ol>
ragap	<i>adj</i><br><ol><li>reckless; rash; audacious</li><li>negligent</li></ol>
ragkot|ragkót	<i>noun</i><br><ol><li>roughness; coarseness</li></ol>
ragnaw|ragnáw	<i>noun</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) rinse (for the body, clothes etc.)</li></ol>
rahay	<i>noun</i><br><ol><li>good</li><li>healing; recovery</li></ol>
ranga	<i>adj</i><br><ol><li>comforting</li></ol><br><i>noun</i><br><ol><li>relief, solace</li><li>consoling</li><li>comfort</li></ol>
ranggas	<i>noun</i><br><ol><li>road; trail; path; way through a thicket</li></ol>
rani|raní	<i>verb</i><br><ol><li>to go near; to get close; to be adjacent</li></ol>
raot|ràot	<i>adj</i><br><ol><li>destroyed; damaged; razed</li></ol>
raoton|ràuton|raotón|rauton	<i>verb</i><br><ol><li>to destroy; damage; raze</li></ol>
rapak|rapák	<i>adj</i><br><ol><li>devastated; dilapidated; run down</li><li>destroyed</li></ol>
rapan-dapan|rapándapán|rapandapan|rapán-dapán	<i>noun</i><br><ol><li>(Tabaco–Legazpi–Sorsogon, anatomy) sole, bottom of the foot</li></ol>
rapas	<i>verb</i><br><ol><li>(rare) to beat; to batter; to strike or to hit with a paddle or any wooden piece</li></ol>
rapsak	<i>noun</i><br><ol><li>Words or an Register in Bicol Languages where spoken or pronounced only if the speaker is angry or speaks loudly to the person he is talking to.</li><li>Bicol language Anger Register.</li></ol>
rara	<i>noun</i><br><ol><li>toxin</li></ol>
rarom	<i>noun</i><br><ol><li>depth</li></ol>
rasok|rasók	<i>noun</i><br><ol><li>peg</li></ol>
rason|rasón	<i>noun</i><br><ol><li>reason; excuse</li><li>cause</li><li>explanation</li></ol>
raway	<i>noun</i><br><ol><li>swear word</li></ol>
rawis	<i>noun</i><br><ol><li>peninsula</li></ol>
rawit-dawit|rawít-dáwit	<i>noun</i><br><ol><li>poem</li></ol>
rawraw	<i>noun</i><br><ol><li>waste</li><li>wastefulness</li><li>wasting; squandering</li><li>flightiness; restlessness</li><li>ridicule; mockery; derision</li></ol>
ray	<i>noun</i><br><ol><li>Clipping of rahay.</li></ol>
raya|rayâ|ráya	<i>noun</i><br><ol><li>stripe</li><li>row</li><li>trauma (emotional wound)</li></ol>
rayo|rayô	<i>verb</i><br><ol><li>to go far; remote; distant</li></ol>
regalo	<i>noun</i><br><ol><li>a gift; a present</li></ol>
regalohan|regaluhan	<i>verb</i><br><ol><li>to give a gift</li></ol>
rehiyon	<i>noun</i><br><ol><li>region</li></ol>
reklamo	<i>noun</i><br><ol><li>complaint</li></ol>
rekuwerdo	<i>noun</i><br><ol><li>remembrance; recollection; memento;</li><li>souvenir</li></ol>
remate	<i>adj</i><br><ol><li>dead</li></ol>
rematehon	<i>verb</i><br><ol><li>to kill; to slay; to assassinate</li></ol>
repolyo	<i>noun</i><br><ol><li>cabbage (Brassica oleracea var. capitata)</li></ol>
reporma	<i>noun</i><br><ol><li>reform</li></ol>
residensiya|residénsiya|residénsya|residensya	<i>noun</i><br><ol><li>residence; abode; dwelling; habitat</li></ol>
retrato	<i>noun</i><br><ol><li>a photograph; a picture made using a camera</li><li>a portrait</li></ol><br><i>verb</i><br><ol><li>to take a photograph</li><li>to have one's photograph's taken</li></ol>
reyna	<i>noun</i><br><ol><li>queen</li></ol>
ribay	<i>noun</i><br><ol><li>exchange; substitution</li><li>manner of changing, replacing</li><li>act of changing (for clothes)</li></ol>
ribayan	<i>verb</i><br><ol><li>to exchange; to substitute</li><li>to change; to replace</li><li>to change (for clothes)</li></ol>
ribo	<i>num</i><br><ol><li>thousand</li></ol>
ribok|ribók	<i>noun</i><br><ol><li>noise</li></ol>
ribong	<i>adj</i><br><ol><li>confused; perplexed; confounded</li><li>dizzy; light-headed</li><li>(informal) crazy; insane</li></ol>
rigmat|rigmát	<i>noun</i><br><ol><li>alertness; wariness</li><li>consciousness</li><li>attention</li></ol>
rihaw	<i>verb</i><br><ol><li>to remember</li></ol>
rikas|rikás	<i>adj</i><br><ol><li>(Naga) fast; quick</li></ol>
rikas-usipon	<i>noun</i><br><ol><li>short story</li></ol>
rikasan	<i>verb</i><br><ol><li>(Naga) to rush someone; to hurry up on someone</li></ol>
rikason|rikáson	<i>adj</i><br><ol><li>(Naga) intensified form of rikas</li></ol><br><i>verb</i><br><ol><li>(Naga) to speed up; to make something fast</li></ol>
rimuranon	<i>noun</i><br><ol><li>Philippine cobra, Naja philippinensis</li></ol>
ringgaw|ringgáw	<i>noun</i><br><ol><li>ridicule; scorn</li><li>(Tabaco–Legazpi–Sorsogon) misbehavior; mischief; act of playing with things forbidden</li></ol>
ringgawan	<i>verb</i><br><ol><li>to ridicule; to scorn; to scoff; to mock</li></ol>
ringis	<i>noun</i><br><ol><li>violence; cruelty</li></ol>
ripa	<i>noun</i><br><ol><li>a raffle; a drawing, often held as a fundraiser, in which tickets or chances are sold to win a prize</li></ol><br><i>verb</i><br><ol><li>to raffle; to award something by means of a raffle or random drawing</li></ol>
riparo	<i>verb</i><br><ol><li>to watch over; to look after</li><li>to notice</li></ol>
risa	<i>verb</i><br><ol><li>to notice; to discern; to detect; to perceive</li></ol>
roborobo|roboróbo	<i>noun</i><br><ol><li>stampede</li></ol>
rogaring|rugaring	<i>adj</i><br><ol><li>owned</li></ol>
rona|ronâ	<i>noun</i><br><ol><li>place</li><li>region, locality</li></ol>
rugi|rugî	<i>noun</i><br><ol><li>doughiness; softness (of food due to overcooking)</li></ol>
rukyaw|rukyáw	<i>noun</i><br><ol><li>homage; praise; tribute</li></ol>
rumarom	<i>noun</i><br><ol><li>thunder cloud</li></ol>
rumbay	<i>noun</i><br><ol><li>(archaic) file</li><li>(archaic) archive</li></ol>
runa|runâ	<i>noun</i><br><ol><li>locality; place; region</li></ol>
runot	<i>adj</i><br><ol><li>smashed; mashed; crushed; reduced to small particles</li></ol>
sa aga|sa-aga|saaga	<i>adv</i><br><ol><li>tomorrow</li></ol>
sab-it|sab-ít	<i>verb</i><br><ol><li>(Partido, Sorsogon) to hang up something on a hook</li></ol>
sabang	<i>noun</i><br><ol><li>delta, a landform at the mouth of a river where it empties into a body of water</li></ol>
sabaw|sabáw	<i>noun</i><br><ol><li>soup; broth</li></ol>
sabay	<i>verb</i><br><ol><li>to go with; to go together with</li><li>to coincide; to do something at the same time; to do something together with</li></ol>
sabi	<i>noun</i><br><ol><li>something said; statement</li><li>mention</li></ol><br><i>verb</i><br><ol><li>to say</li></ol>
sabit|sàbit	<i>verb</i><br><ol><li>to hang up something on a hook</li></ol>
sablay	<i>noun</i><br><ol><li>hanging of clothes</li></ol>
sablayan	<i>noun</i><br><ol><li>clothesline</li></ol>
sabo|sabó	<i>noun</i><br><ol><li>suds, lather, foam</li></ol>
sabon|sabón	<i>noun</i><br><ol><li>soap</li></ol>
sabot|sabót	<i>noun</i><br><ol><li>understanding; comprehension</li></ol>
saboton	<i>verb</i><br><ol><li>to understand; to comprehend</li></ol>
sabunot	<i>noun</i><br><ol><li>a grab by the hair or a man's beard</li></ol>
sabwag|sibwag	<i>verb</i><br><ol><li>to broadcast or scatter seeds</li><li>to blanket with seeds</li></ol>
sadan|sàdan	<i>noun</i><br><ol><li>(Naga) market</li></ol>
sadang|sadáng	<i>adj</i><br><ol><li>(rare) little; small; wee</li><li>(rare) low (for the volume)</li></ol>
saday|sadáy	<i>adj</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) small</li><li>(Tabaco–Legazpi–Sorsogon) low (for the volume)</li></ol>
sadiri	<i>noun</i><br><ol><li>self</li></ol><br><i>adj</i><br><ol><li>owned</li></ol>
sadit|sadít	<i>adj</i><br><ol><li>(Naga) small</li><li>(Naga) low (for the volume)</li></ol>
sagid|sàgid	<i>noun</i><br><ol><li>sideswipe; accidental brush off</li></ol>
sagkod	<i>conj</i><br><ol><li>(formal) until</li><li>(Partido) and</li></ol><br><i>prep</i><br><ol><li>(formal) until</li></ol>
sagop|sagóp	<i>noun</i><br><ol><li>dam</li></ol>
sagwan|sagwán	<i>noun</i><br><ol><li>oar; paddle</li></ol>
sagwanon	<i>verb</i><br><ol><li>to propel with an oar; to row; to paddle</li></ol>
sahog|sahóg	<i>noun</i><br><ol><li>fish or meat added to vegetables as a seasoning</li></ol>
saimo	<i>pron</i><br><ol><li>yours (possesive, in the singular)</li></ol><br><i>det</i><br><ol><li>your (possessive, in the singular)</li></ol>
sain|sàin	<i>adv</i><br><ol><li>(interrogative, directive) where</li></ol>
sain ka nakaistar	<i>phrase</i><br><ol><li>where do you live</li></ol>
sainda	<i>pron</i><br><ol><li>theirs</li></ol>
saindo	<i>pron</i><br><ol><li>yours (possessive, in the plural)</li></ol><br><i>det</i><br><ol><li>your (possessive, in the plural)</li></ol>
saisay	<i>pron</i><br><ol><li>(dated) who</li></ol>
saiya	<i>det</i><br><ol><li>his; her</li></ol><br><i>pron</i><br><ol><li>his; her; hers</li></ol>
saka|saká!|saká	<i>conj</i><br><ol><li>(Naga) and</li></ol><br><i>intj</i><br><ol><li>(Naga) so what</li></ol>
sakal|sakál	<i>noun</i><br><ol><li>yoke</li></ol>
sakang|sakáng	<i>adj</i><br><ol><li>bow-legged</li></ol>
sakat|sakát	<i>noun</i><br><ol><li>a climb</li></ol>
sakay	<i>noun</i><br><ol><li>boat ride</li><li>fluvial procession</li><li>ride; embarkation</li></ol>
sakbod	<i>noun</i><br><ol><li>veil</li></ol>
sakdo	<i>noun</i><br><ol><li>fetching of water</li></ol>
sakit	<i>noun</i><br><ol><li>(Naga) manner of making something difficult, hard, complicated</li><li>manner of suffering, bearing hardship</li></ol>
saklit|saklít	<i>noun</i><br><ol><li>basket serving as a stand for clay pots</li></ol><br><i>adj</i><br><ol><li>(slang) greedy</li><li>(slang) selfish</li></ol>
saklot|saklót	<i>noun</i><br><ol><li>prey</li></ol><br><i>verb</i><br><ol><li>(of birds) to snatch prey</li></ol>
sako|sakô	<i>pron</i><br><ol><li>mine</li></ol><br><i>det</i><br><ol><li>my</li></ol>
sakripisiyo|sakripisyo	<i>noun</i><br><ol><li>sacrifice</li></ol>
sakrot	<i>noun</i><br><ol><li>acridness; tartness in taste (especially of unripe fruit)</li></ol>
saksak	<i>verb</i><br><ol><li>to stab</li><li>to plug (an electrical appliance)</li></ol>
saksi	<i>noun</i><br><ol><li>(formal, law) witness</li></ol><br><i>verb</i><br><ol><li>(formal, law) to be a witness</li></ol>
sakuya|sakuyà	<i>pron</i><br><ol><li>(literary, formal) mine</li></ol><br><i>det</i><br><ol><li>(literary, formal) my</li></ol>
sala|salà|salâ	<i>adj</i><br><ol><li>wrong; incorrect; mistaken</li></ol><br><i>noun</i><br><ol><li>fault; error; mistake; blunder</li></ol>
salabay	<i>noun</i><br><ol><li>a man-of-war; a Portuguese man-of-war</li><li>(by extension) a jellyfish</li></ol>
saladang|saladáng	<i>noun</i><br><ol><li>trellis</li></ol>
salag|salág	<i>noun</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) nest (bird-built structure)</li></ol>
salakat	<i>noun</i><br><ol><li>looting; plunder</li></ol>
salakay	<i>noun</i><br><ol><li>attack; assail</li><li>assault</li></ol>
salamat	<i>phrase</i><br><ol><li>Short for salamat na marhay.</li></ol>
salamat na marhay	<i>phrase</i><br><ol><li>thank you very much</li></ol>
salampati	<i>noun</i><br><ol><li>dove, pigeon</li></ol>
salang|saláng	<i>noun</i><br><ol><li>(anatomy) jaw; jawbone</li></ol>
salangi|salangì	<i>noun</i><br><ol><li>winding road</li></ol>
salapid	<i>noun</i><br><ol><li>strip of braided hair; plait of hair worn hanging from the back of the head</li></ol>
salbabida	<i>noun</i><br><ol><li>life preserver; life jacket</li></ol>
salbahe	<i>adj</i><br><ol><li>naughty</li><li>bad</li><li>nasty</li></ol>
saldang|saldáng	<i>noun</i><br><ol><li>(Naga, astronomy) sun</li></ol>
saldok	<i>noun</i><br><ol><li>fetching of water</li></ol>
salida	<i>noun</i><br><ol><li>manner of replacing, changing</li></ol>
salidahan	<i>verb</i><br><ol><li>to replace; to change</li></ol>
salihoy	<i>noun</i><br><ol><li>sash</li></ol>
salimbad|salimbád	<i>noun</i><br><ol><li>glance</li></ol>
salimbagat	<i>noun</i><br><ol><li>Philippine eagle</li></ol>
salingoy	<i>noun</i><br><ol><li>act of looking behind</li></ol>
salming|salmíng	<i>noun</i><br><ol><li>eyeglasses; spectacles</li><li>window glass</li><li>mirror</li></ol>
salog|salóg|sálog	<i>noun</i><br><ol><li>river</li><li>floor</li></ol>
salon	<i>noun</i><br><ol><li>(obsolete) a ballroom; a large room used for dancing and banquets</li><li>(obsolete) a cabaret</li><li>a beauty salon</li></ol>
salsal	<i>noun</i><br><ol><li>(vulgar) masturbation</li></ol>
salud|salúd	<i>noun</i><br><ol><li>health</li></ol>
salugsog|salugsóg	<i>noun</i><br><ol><li>splinter</li></ol>
salukong	<i>noun</i><br><ol><li>frontliner</li></ol>
samagtak|samagták	<i>noun</i><br><ol><li>(angry register) money</li></ol>
samail|samáil	<i>noun</i><br><ol><li>(anatomy, angry register) foot</li></ol>
samba	<i>noun</i><br><ol><li>worship</li></ol>
sambay	<i>noun</i><br><ol><li>mistress, concubine</li></ol>
sambit	<i>noun</i><br><ol><li>mention; citation</li></ol>
sambot|sambót	<i>noun</i><br><ol><li>debt</li></ol>
samhod|samhód	<i>noun</i><br><ol><li>broom (usually made of tiger grass)</li></ol>
samingkil|samingkíl	<i>noun</i><br><ol><li>(anatomy, angry register) foot</li></ol>
samo|samò	<i>pron</i><br><ol><li>(possessive, exclusive) 1st person exclusive oblique pronoun: ours</li></ol><br><i>det</i><br><ol><li>(exclusive) 1st person exclusive possessive pronoun: our</li></ol>
sampaguita	<i>noun</i><br><ol><li>the Arabian jasmine (Jasminum sambac)</li></ol>
sampulo|sampulò	<i>num</i><br><ol><li>ten</li></ol>
samsam	<i>verb</i><br><ol><li>to accumulate wealth (illegally)</li><li>to grab money, land, property</li></ol><br><i>noun</i><br><ol><li>belly pork</li></ol>
samuya|samuyà	<i>pron</i><br><ol><li>(possessive, exclusive) 1st person exclusive oblique pronoun: ours</li></ol><br><i>det</i><br><ol><li>(exclusive) 1st person exclusive possessive pronoun: our</li></ol>
sana|saná	<i>adv</i><br><ol><li>just; only; merely</li></ol>
sando	<i>noun</i><br><ol><li>sleeveless undershirt</li></ol>
sanga|sangá	<i>noun</i><br><ol><li>branch (of a plant)</li><li>branch; tributary (of a river, road, etc.)</li></ol>
sangat|sàngat	<i>noun</i><br><ol><li>act of climbing on top of something</li><li>(law) act of filing a case</li><li>act of laying or placing on top of something</li></ol>
sangaw|sangáw|sungáw|sungaw	<i>noun</i><br><ol><li>cold sore; fever blister</li><li>vapor</li><li>spout</li></ol>
sanggot|sanggót	<i>noun</i><br><ol><li>scythe</li></ol>
sangkay	<i>noun</i><br><ol><li>ride; embarkation</li></ol>
sanglag|sanlag	<i>noun</i><br><ol><li>dry roasting of seeds, nuts or grains</li></ol>
sangli|sanglî	<i>noun</i><br><ol><li>(Naga) act of changing, replacing</li><li>(Partido, Tabaco–Legazpi–Sorsogon) act of dressing, getting dressed</li></ol>
sanglian|sanglìan	<i>verb</i><br><ol><li>(Naga) to change; to replace</li><li>(Partido, Tabaco–Legazpi–Sorsogon) to dress; to get dressed</li></ol>
sango	<i>noun</i><br><ol><li>odor; smell; whiff</li></ol>
sangohan	<i>verb</i><br><ol><li>to smell; to sniff any odor</li></ol>
sanipa	<i>noun</i><br><ol><li>board which runs along the edge of a roof</li></ol>
sanop	<i>adj</i><br><ol><li>flooded</li></ol>
santigwar	<i>verb</i><br><ol><li>to be healed by a faith healer</li></ol>
santik|santík	<i>noun</i><br><ol><li>flintstone</li><li>clicking or clinking sound (such as that made when two bottles or stones are hit together)</li></ol>
santol	<i>noun</i><br><ol><li>santol, (Sandoricum koetjape)</li></ol>
saod|sàod	<i>noun</i><br><ol><li>(formal) market</li></ol>
saodan|saudán|saudan|saodán	<i>noun</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) market</li></ol>
sapa|sapâ|sapà	<i>noun</i><br><ol><li>a stream</li><li>munch</li></ol>
sapak|sapák	<i>noun</i><br><ol><li>spank</li><li>slap</li></ol>
sapal	<i>noun</i><br><ol><li>grated coconut meat that has been extracted of the coconut milk</li><li>smegma; prepuce</li></ol>
saparilya	<i>noun</i><br><ol><li>a crown cap</li></ol>
saparo	<i>noun</i><br><ol><li>jewelry box</li></ol>
sapatos	<i>noun</i><br><ol><li>shoe</li></ol>
sapiro	<i>noun</i><br><ol><li>sapphire</li></ol>
sapna|sapnâ	<i>noun</i><br><ol><li>boiling or steaming of rice</li></ol>
sarama	<i>adj</i><br><ol><li>even; level</li></ol>
sarasa|saràsâ	<i>noun</i><br><ol><li>bamboo stick</li></ol>
sarawayon	<i>adj</i><br><ol><li>Insistent on doing something prohibited.</li></ol><br><i>noun</i><br><ol><li>Someone who insists on doing something prohibited.</li></ol>
saray	<i>verb</i><br><ol><li>to keep; to store; to put away</li></ol>
sarig|sárig	<i>noun</i><br><ol><li>firmness, securement, sturdiness, steadiness</li></ol>
saringbal	<i>noun</i><br><ol><li>rattan bed</li></ol>
saro|sarô	<i>num</i><br><ol><li>one</li></ol>
sarumsom	<i>noun</i><br><ol><li>pleurisy</li></ol>
saruro|sarurò	<i>noun</i><br><ol><li>aqueduct; canal</li></ol>
sarwal	<i>noun</i><br><ol><li>shorts (clothing)</li></ol>
sastre	<i>noun</i><br><ol><li>tailor</li></ol>
sato|satô	<i>pron</i><br><ol><li>ours</li><li>our</li></ol>
satuya|satuyà	<i>pron</i><br><ol><li>ours</li><li>our</li></ol>
sawa|sawá|sawà	<i>noun</i><br><ol><li>python; boa constrictor</li></ol><br><i>adj</i><br><ol><li>bored; fed up; sick and tired</li></ol>
sawali|sawalì	<i>noun</i><br><ol><li>woven, split bamboo strips used for walling</li></ol>
saway	<i>noun</i><br><ol><li>appeasement; act of pacifying; resolving a conflict by breaking up a fight</li></ol>
sawi|sawî	<i>adj</i><br><ol><li>brokenhearted; inconsolable</li><li>forsaken; forlorn</li></ol>
sawod|sâwod	<i>noun</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) manner of pronouncing, enunciating; articulating</li></ol>
sawodon	<i>verb</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) to pronounce; to enunciate; to articulate</li></ol>
sayang|sayang!	<i>noun</i><br><ol><li>pity; shame</li><li>waste</li></ol><br><i>intj</i><br><ol><li>what a pity; what a shame; what a waste</li></ol>
sayap	<i>noun</i><br><ol><li>halo of light which forms around the sun, moon, candles, etc.</li><li>hat used in the ricefields</li></ol>
sayaw|sayáw	<i>noun</i><br><ol><li>(formal, Daet, Partido, Sorsogon) dance</li></ol>
sayawon	<i>verb</i><br><ol><li>(formal, Daet, Partido, Sorsogon) to dance</li></ol>
sayod	<i>noun</i><br><ol><li>(Naga) manner of pronouncing, enunciating; articulating</li></ol>
sayodon	<i>verb</i><br><ol><li>(Naga) to pronounce; to enunciate; to articulate</li></ol>
sayote	<i>noun</i><br><ol><li>chayote</li></ol>
saysay	<i>verb</i><br><ol><li>to narrate</li></ol>
saysayan	<i>noun</i><br><ol><li>(formal) history</li><li>(formal) narrative</li></ol>
sayuma	<i>noun</i><br><ol><li>refusal; declination; rejection; spurn; manner of turning down</li></ol>
sebolyas|sibulyas	<i>noun</i><br><ol><li>onion</li></ol>
seguro	<i>adv</i><br><ol><li>maybe</li><li>(rare) sure</li></ol>
selos	<i>noun</i><br><ol><li>jealousy; envy</li></ol>
selyo	<i>noun</i><br><ol><li>stamp; seal</li></ol>
semanal	<i>adv</i><br><ol><li>weekly</li></ol>
sementeryo	<i>noun</i><br><ol><li>cemetery; graveyard</li></ol>
semilya	<i>noun</i><br><ol><li>seed</li></ol>
sentido	<i>noun</i><br><ol><li>(anatomy) temple</li><li>(uncommon) sense</li></ol>
sentido komun|sentido komún	<i>noun</i><br><ol><li>common sense</li></ol>
sentigrado	<i>noun</i><br><ol><li>Celsius; centigrade</li></ol>
sentimental	<i>adj</i><br><ol><li>sentimental</li></ol>
sentimiyento|sentimyento	<i>noun</i><br><ol><li>sentiment</li></ol>
sepilyo	<i>noun</i><br><ol><li>toothbrush</li></ol>
seradura	<i>noun</i><br><ol><li>lock; padlock</li></ol>
serbesa	<i>noun</i><br><ol><li>a beer</li></ol>
sesenta|sisenta	<i>num</i><br><ol><li>sixty</li></ol>
setenta	<i>num</i><br><ol><li>seventy</li></ol>
si|sina	<i>article</i><br><ol><li>direct marker placed before names or terms of address of people</li><li>direct marker placed before an adjective used to refer to a person with those distinct characteristics</li></ol>
si isay|sisay|si irisay|siriisay|sirisay|siisay|sísay	<i>pron</i><br><ol><li>(formal, interrogative, subjective) who</li></ol>
siba|sibà	<i>verb</i><br><ol><li>to eat like an animal</li><li>(angry register) to eat; to consume</li></ol>
sibang|síbang	<i>noun</i><br><ol><li>A Filipino cultural syndrome where a visit from a stranger is believed to cause fever and convulsions in a child.</li></ol>
siblat|siblát	<i>noun</i><br><ol><li>bedbug</li></ol>
sibot|sibót	<i>noun</i><br><ol><li>hurrying; rush</li></ol>
sibubog	<i>noun</i><br><ol><li>the mackerel scad (Decapterus macarellus)</li></ol>
sidsid	<i>noun</i><br><ol><li>a drag (by the feet)</li></ol>
sidsidon	<i>verb</i><br><ol><li>to drag (by the feet)</li></ol>
sigarilyo	<i>noun</i><br><ol><li>cigarette</li></ol>
sighid	<i>noun</i><br><ol><li>broom, made of coconut midribs (domestic utensil)</li></ol>
sigkat	<i>noun</i><br><ol><li>agility; limberness; litheness</li></ol>
sigop	<i>noun</i><br><ol><li>sip</li></ol>
sigpit|sigpít	<i>noun</i><br><ol><li>clip; pincer</li><li>tongs</li></ol>
sigtok|sigtók	<i>noun</i><br><ol><li>(angry register) fish</li></ol>
sikadsikad	<i>noun</i><br><ol><li>pedicab</li></ol>
sikat	<i>adj</i><br><ol><li>renowned; famous</li></ol>
siki|sikí	<i>noun</i><br><ol><li>(anatomy, angry register) foot</li><li>(archaic) foot of cattle, cow, goat, or sheep</li></ol>
sikmol	<i>adj</i><br><ol><li>disgusted</li></ol>
siknit|siknik	<i>noun</i><br><ol><li>(angry register) a woman; a female human</li></ol>
siko|sikò	<i>noun</i><br><ol><li>(anatomy) elbow</li><li>swerve; veer; turn</li></ol>
siko-siko|sikò-sikò	<i>noun</i><br><ol><li>zigzag</li></ol>
silabong	<i>noun</i><br><ol><li>trap; snare</li></ol>
silag|silág	<i>adj</i><br><ol><li>transparent; see-through; opaque</li></ol>
silahis	<i>adj</i><br><ol><li>(derogatory, offensive) bisexual</li></ol><br><i>noun</i><br><ol><li>(derogatory, offensive) a bisexual</li></ol>
silak|siak|sìlak|sìak	<i>noun</i><br><ol><li>split; cleft</li><li>act of cleaving</li><li>cleavage</li></ol>
silaw	<i>noun</i><br><ol><li>flashing light</li></ol>
sili	<i>noun</i><br><ol><li>(Naga) chili pepper</li></ol>
silopono	<i>noun</i><br><ol><li>xylophone</li></ol>
silya	<i>noun</i><br><ol><li>(furniture, uncommon) chair</li></ol>
silyak|silyák|siyák|siyak	<i>noun</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) angry shout or yell</li></ol>
silyakan	<i>verb</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) to shout or yell in anger;</li></ol>
simba	<i>noun</i><br><ol><li>act of going to church, attending church services</li></ol>
simbag|simbág	<i>noun</i><br><ol><li>reply, response</li><li>answer</li><li>solution (to a problem)</li></ol>
simbahan	<i>noun</i><br><ol><li>church</li></ol>
simo|sìmo	<i>pron</i><br><ol><li>(personal, literary, poetic) yours</li></ol>
simpil	<i>adj</i><br><ol><li>irritated (for the wound)</li><li>irksome, irked</li></ol>
sinangkaka	<i>noun</i><br><ol><li>missionary position</li></ol>
sinanglag|sinanglág|sinanlag	<i>noun</i><br><ol><li>fried rice</li></ol>
sinapna|sinapnâ	<i>noun</i><br><ol><li>cooked rice</li></ol>
sinarom	<i>noun</i><br><ol><li>(literary) dusk; nightfall; sunset</li></ol>
sinda|sindá	<i>pron</i><br><ol><li>they</li></ol>
singit	<i>noun</i><br><ol><li>a tree fork</li></ol>
singit-singit	<i>noun</i><br><ol><li>(anatomy) crotch</li></ol>
singkil|singkíl	<i>noun</i><br><ol><li>(anatomy, angry register) foot</li></ol>
singpot|singpót	<i>adj</i><br><ol><li>narrow</li></ol>
singsing	<i>noun</i><br><ol><li>ring</li></ol>
singsingan	<i>noun</i><br><ol><li>(anatomy) ring finger</li></ol>
sinok|sìnok	<i>noun</i><br><ol><li>hiccough/hiccup</li></ol>
sinsel|sinsél	<i>noun</i><br><ol><li>chisel (for metal)</li></ol>
sinturon|sinturón	<i>noun</i><br><ol><li>belt (for clothes)</li></ol>
sipa	<i>noun</i><br><ol><li>kick</li></ol>
sipilyo	<i>noun</i><br><ol><li>toothbrush</li></ol><br><i>verb</i><br><ol><li>to brush one's teeth</li></ol>
sipit|sipít	<i>noun</i><br><ol><li>tongs; forceps; pincer</li><li>pin</li></ol>
sipon|sîpon	<i>noun</i><br><ol><li>(pathology) common cold</li><li>wet nasal mucus</li></ol>
sipres|siprés	<i>noun</i><br><ol><li>cypress</li></ol>
sira|sirâ	<i>noun</i><br><ol><li>fish</li></ol>
siraan	<i>noun</i><br><ol><li>fish market</li></ol>
siram|sirám	<i>noun</i><br><ol><li>deliciousness</li></ol>
sirang	<i>noun</i><br><ol><li>ray of sunshine</li><li>dawn; daybreak; sunrise</li></ol>
sirangan	<i>noun</i><br><ol><li>east</li></ol>
