'-d-š	<i>root</i><br><ol><li>Related to newness.</li></ol>
nadānum|𒋫𒀜𒁲𒈾|𒋫𒀜𒁲𒉌|𒀉𒋫𒀜𒉡|𒀉𒁲𒈾|𒀀𒈾𒀜𒁲𒅔|niddin|𒀀𒀜𒋫𒁲𒅔|𒉌𒀉𒋫𒁲𒅔|addin|taddin|ittadnū|𒋫𒀜𒋫𒀜𒉌|taddinī|tanaddin|iddinā|ittadnā|𒀉𒋫𒁲𒅔|𒈾𒀜𒉡𒌝|idin|𒀉𒁲𒅔|𒋫𒈾𒀜𒁲𒅔|tanaddinā|ninaddin|attadin|𒀉𒁲𒉡|iddin|ittadin|inaddinū|𒋫𒀜𒋫𒁲𒅔|tattadnā|𒋫𒀜𒁲𒅔|𒄿𒈾𒀜𒁲𒈾|𒀉𒉌|𒄿𒁲𒅔|tattadin|liddinū|𒀉𒋫𒀜𒈾|𒇷𒀉𒁲𒈾|inaddinā|tanaddinī|liddin|idnī|idnā|𒄿𒈾𒀜𒁲𒅔|inaddin|nittadin|anaddin|𒇻𒌓𒁲𒅔|i niddin|nādinum|𒄿𒈾𒀜𒁲𒉡|𒇷𒀉𒁲𒉡|iddinū|𒀉𒈾|𒋫𒈾𒀜𒁲𒉌|tattadnī|𒈾𒁕𒉡𒌝|𒇷𒀉𒁲𒅔|𒄿𒉌𒀉𒁲𒅔|taddinā|liddinā|𒋫𒈾𒀜𒁲𒈾|luddin|𒀀𒀜𒁲𒅔|𒉌𒀉𒁲𒅔|𒉌𒈾𒀜𒁲𒅔|𒈾𒁲𒉡𒌝|nadnum|𒋫𒀜𒋫𒀜𒈾	<i>verb</i><br><ol><li>to give, grant</li><li>to hand over, deliver, transfer</li><li>to set, assign</li><li>to allow</li></ol>
nadītum|nadiātum	<i>noun</i><br><ol><li>a nadītum priestess, a woman dedicated to a god and not permitted to have children</li></ol>
nagbum|nagbū|nagab|Neo-Assyrian	<i>noun</i><br><ol><li>underground water</li><li>spring, fountain, source, headwaters (of a river)</li><li>totality, entirety, the whole</li><li>the totality of knowledge</li></ol>
napištum|𒈾𒁉𒅖𒋾𒅔|𒈾𒁉𒅖𒌈|𒈾𒁉𒅖𒁴|napištīn|napšat|𒈾𒁉𒅖𒋾|𒈾𒀊𒊭𒌈|napištam|napištān|𒈾𒀊𒊭𒁴|napišti|napištim|𒈾𒁉𒅖𒋫𒀭|napšātim|𒈾𒁉𒅖𒌓|napšātum|napišta	<i>noun</i><br><ol><li>throat</li><li>life, vigour, good health, livelihood</li><li>self, body, person, somebody</li><li>personnel</li></ol>
napāšum|𒋫𒀜𒋫𒁍𒍑|tanappuš|upuš|attapuš|𒋫𒈾𒀊𒁍𒅆|𒇷𒅁𒁍𒊭|lippušū|ittapšū|𒌋𒁍𒍑|tanappušī|𒉌𒅁𒁍𒍑|𒄿𒈾𒀊𒁍𒊭|𒋫𒀊𒁍𒅆|𒇻𒌒𒁍𒍑|𒄿𒈾𒀊𒁍𒍑|𒄿𒈾𒀊𒁍𒋗|𒀀𒈾𒀊𒁍𒍑|𒇷𒅁𒁍𒍑|tanappušā|𒀀𒀜𒋫𒁍𒍑|𒇷𒅁𒁍𒋗|𒀉𒋫𒀊𒊭|nippuš|𒅁𒁍𒋗|𒈾𒀊𒋗𒌝|ippušā|𒌒𒊭|inappušū|nāpišum|nittapuš|tattapšī|tappušā|𒅁𒁍𒍑|anappuš|𒉌𒀉𒋫𒁍𒍑|napšum|𒋫𒀊𒁍𒊭|𒈾𒁉𒋗𒌝|luppuš|𒅁𒁍𒊭|appuš|𒀉𒋫𒀊𒋗|lippuš|tappuš|𒋫𒀜𒋫𒀊𒅆|ippušū|ittapuš|𒌒𒅆|i nippuš|𒀀𒀊𒁍𒍑|ninappuš|upšā|𒄿𒉌𒅁𒁍𒍑|tattapšā|𒋫𒈾𒀊𒁍𒊭|lippušā|upšī|ittapšā|𒋫𒈾𒀊𒁍𒍑|inappuš|𒉌𒈾𒀊𒁍𒍑|𒋫𒀜𒋫𒀊𒊭|tattapuš|inappušā|𒈾𒉺𒋗𒌝|𒀉𒋫𒁍𒍑|tappušī|ippuš|𒋫𒀊𒁍𒍑	<i>verb</i><br><ol><li>to breathe (freely), to relax</li><li>to be wide, expand, be abundant</li></ol>
narkabtum|𒈾𒅈𒅗𒀊𒌓|𒈾𒅈𒅗𒀊𒋾|𒈾𒅈𒅗𒁀𒌈|𒈾𒅈𒅗𒀊𒋫𒀭|narkabti|𒈾𒅈𒅗𒁀𒁴|narkabātim|narkabtam|narkabtān|narkabtim|narkabtīn|𒈾𒅈𒅗𒀊𒁴|𒈾𒅈𒅗𒀊𒌈|narkabātum|𒈾𒅈𒅗𒀊𒋾𒅔	<i>noun</i><br><ol><li>chariot (for war, hung, ceremony)</li><li>(astronomy) Auriga</li></ol>
narûm|narû	<i>noun</i><br><ol><li>(Old Assyrian, Old Babylonian) stela (for publicising inscriptions, decrees, etc.)</li><li>(Middle Babylonian, Neo-Babylonian) boundary stone</li></ol>
nasāḫum|ittasaḫ|inassaḫ|issuḫ|usuḫ	<i>verb</i><br><ol><li>to tear out, pull out, uproot, dig up</li><li>to remove, take away, exterminate, wipe out, clear out, pull off, eradicate</li><li>to reject, expel, deport, transfer, remove, evacuate</li><li>to withdraw (money)</li><li>to raise (taxes)</li><li>(Old Babylonian, mathematics) to subtract</li><li>to set out, depart</li><li>to pass, elapse (time)</li></ol>
nazāqum|Mari|ittaziq|izziq|iziq|inazziq	<i>verb</i><br><ol><li>to worry, be upset, have worries</li><li>be vexed, be annoyed</li><li>to creak, squeak, hiss</li></ol>
našru|na-aš₂-ru|𒈾𒀾𒊒	<i>noun</i><br><ol><li>(lexical, hapax) eagle</li></ol>
našûm|inašši|išši|ittaši|iši	<i>verb</i><br><ol><li>to lift up, raise</li><li>to carry, bear, support</li><li>to transport, deliver</li><li>to take, accept, receive</li></ol>
nigûtum|nigâtum	<i>noun</i><br><ol><li>joyful music, merry-making, musical celebration</li></ol>
niākum|𒈾𒄿𒆪𒌝|𒇷𒉌𒅅|𒇻𒉌𒅅|tanīk|inīkū|𒀉𒋾𒅗|tattīkī|linīkū|𒇷𒉌𒅗|ittīkā|ninīk|ninīak|𒄿𒉌𒀝|ittīk|tanīkī|𒇷𒉌𒆪|lunīk|𒋫𒉌𒅅|𒉌𒆠|linīk|𒀉𒋾𒆪|inikkū|linīkā|𒋫𒀜𒋾𒆠|nīkī|𒉌𒀉𒋾𒅅|ittīkū|𒉌𒅗|𒉌𒉌𒀝|tattīkā|𒋫𒉌𒅅𒅗|tattīk|𒄿𒉌𒅅𒅗|anīk|nīkā|nīkum|𒋫𒉌𒅅𒆠|𒄿𒉌𒅗|tanīkā|𒋫𒀜𒋾𒅅|𒀀𒉌𒅅|𒀀𒀜𒋾𒅅|tanīak|i ninīk|𒋫𒀜𒋾𒅗|𒉌𒀀𒆪𒌝|inīak|attīk|nittīk|𒄿𒉌𒆪|inikkā|inīkā|𒄿𒉌𒉌𒅅|nīk|𒉌𒉌𒅅|inīk|𒄿𒉌𒅅𒆪|𒄿𒉌𒅅|nāikum|𒋫𒉌𒆠|𒋫𒉌𒀝|anīak|𒉌𒅅|tanikkī|𒀉𒋾𒅅|𒀀𒉌𒀝|𒋫𒉌𒅗|tanikkā|𒉌𒆪𒌝	<i>verb</i><br><ol><li>to have sex with, fornicate with</li></ol>
nišum|nišū	<i>noun</i><br><ol><li>(in the plural) mankind, people, human beings</li><li>(in the plural) population, inhabitants, subjects (of a king)</li><li>(in the plural) servants, serfs, retainers (belonging to an estate, palace, household, person, etc.)</li><li>(in the plural) family, clan, members of a family</li></ol>
nâḫum|inâḫ|ittūḫ|nūḫ|inūḫ	<i>verb</i><br><ol><li>to rest, take a rest</li><li>(stative) to be at rest, slow, still, peaceful, pacified</li></ol>
nāgirum|nāgirū	<i>noun</i><br><ol><li>town crier, herald</li><li>(Assyria, Elam) a high official</li></ol>
nārum|nāri|nār|nārātum	<i>noun</i><br><ol><li>river, canal</li><li>River, River-god (a river personified or deified)</li><li>vein, duct of the liver</li><li>strip</li><li>musician</li></ol>
nēšum|nēšū	<i>noun</i><br><ol><li>lion</li><li>(astronomy) Leo (constellation)</li></ol>
nīnu	<i>pron</i><br><ol><li>we (first-person plural personal pronoun, nominative case)</li></ol>
nīšum|nīši|nīš	<i>noun</i><br><ol><li>(in oaths) life</li></ol>
nūnum|nūnū	<i>noun</i><br><ol><li>fish</li><li>(astronomy) Piscis Austrinus</li></ol>
nūrum	<i>noun</i><br><ol><li>light</li><li>fire, lamp</li></ol>
pagrum|pagar|pagrū	<i>noun</i><br><ol><li>body</li><li>trunk, torso</li><li>self, person (often used as a reflexive pronoun)</li><li>corpse, carcass</li></ol>
parzillum	<i>noun</i><br><ol><li>iron</li><li>(with determinative 𒎎 (na₄)) a kind of stone or bead, "iron stone"</li></ol>
parāsum|𒁍𒊒𒊻|𒅁𒋫𒅈𒊓|𒉺𒊑𒋢𒌝|𒋫𒀊𒊒𒊻|𒉺𒅈𒋢𒌝|purus|𒇷𒅁𒊒𒋢|iparrasū|pursī|𒇷𒅁𒊒𒊓|iptarsū|taparrasā|aptaras|𒉺𒊏𒋢𒌝|liprus|𒁍𒌨𒊓|𒋫𒉺𒅈𒊏𒊓|taprus|i niprus|iprusū|𒄿𒉺𒅈𒊏𒊓|𒇻𒌒𒊒𒊻|liprusū|𒉌𒉺𒅈𒊏𒊍|taptarsā|pārisum|𒅁𒊒𒊻|𒀀𒀊𒊒𒊻|𒉌𒅁𒋫𒊏𒊍|iptaras|𒋫𒀊𒋫𒅈𒋛|liprusā|luprus|aprus|iparras|parsum|taprusī|𒄿𒉌𒅁𒊒𒊻|taprusā|𒅁𒊒𒋢|taparras|taparrasī|𒅁𒋫𒊏𒊍|iprusā|taptarsī|niptaras|𒁍𒌨𒋛|𒇷𒅁𒊒𒊻|𒄿𒉺𒅈𒊏𒋢|𒋫𒉺𒅈𒊏𒊍|pursā|𒀀𒉺𒅈𒊏𒊍|𒋫𒀊𒋫𒅈𒊓|𒅁𒊒𒊓|iptarsā|taptaras|niparras|𒀀𒀊𒋫𒊏𒊍|iprus|iparrasā|𒄿𒉺𒅈𒊏𒊍|𒅁𒋫𒅈𒋢|aparras|𒋫𒀊𒋫𒊏𒊍|𒋫𒉺𒅈𒊏𒋛|𒉌𒅁𒊒𒊻|niprus|𒋫𒀊𒊒𒊓|𒋫𒀊𒊒𒋛	<i>verb</i><br><ol><li>to divide, separate, select</li><li>to decide (a legal case)</li><li>to keep away, exclude (enemies, daemons, etc. from land, temples, etc.)</li><li>to stop, block, cut off</li></ol>
paššūrum|paššūrū	<i>noun</i><br><ol><li>dining tray, table</li><li>offering table</li><li>serving portion</li></ol>
petûm|𒁁𒋼|liptû|ipteā|i nipte|ipettû|𒅁𒌅|𒇻𒌒𒋼|𒂊𒅁𒋼𒋼|𒉌𒅁𒋼𒋼|tepetteā|ipteteā|lupte|tepte|𒉌𒅁𒋼|𒅁𒋼|niptete|epette|𒅁𒋼𒋼|nipte|peteā|𒋼𒁁𒀉𒋼𒀀|𒋼𒅁𒋼𒋼|𒋼𒅁𒋼𒋼𒀀|ipetteā|iptetû|teptî|tepteteā|𒇷𒅁𒌅|𒋼𒅁𒋼|eptete|pētûm|𒁁𒋾|ipette|𒄿𒉌𒅁𒋼|𒅁𒋼𒋼𒀀|tepteā|𒋼𒅁𒋼𒀀|tepette|𒄿𒁁𒀉𒋼|nipette|𒉌𒁁𒀉𒋼|𒁁𒋼𒀀|𒇷𒅁𒋼𒀀|𒁁𒌈|𒋼𒁁𒀉𒋾|iptû|𒂊𒅁𒋼|epte|petî|𒋼𒅁𒋼𒋾|ipte|𒄿𒁁𒀉𒋼𒀀|𒋼𒁁𒀉𒋼|𒋼𒅁𒋾|𒅁𒋼𒀀|petītum|𒅁𒋼𒌅|𒇷𒅁𒋼|pete|lipte|lipteā|teptetî|teptete|iptete|tepettî|𒂊𒁁𒀉𒋼|𒄿𒁁𒀉𒌅	<i>verb</i><br><ol><li>(transitive) to open</li></ol><br><i>adj</i><br><ol><li>open</li><li>remote, far-off</li></ol>
purussûm|purussû	<i>noun</i><br><ol><li>legal decision, resolution, verdict, case</li><li>prediction, prognosis</li></ol>
pûm|pâtum|pī	<i>noun</i><br><ol><li>mouth</li><li>word(s), utterance, speech, command</li><li>mind, mood, opinion</li></ol>
pān šattim	<i>noun</i><br><ol><li>spring</li></ol>
pānum|pānū|pān|pāni	<i>noun</i><br><ol><li>front, front part</li><li>surface</li><li>looks, appearance</li><li>past, past time</li><li>wish, choice, intention, plan, purpose, concern, consideration, opinion</li><li>(mathematics) reciprocal</li><li>(in the plural) face, visage</li><li>(in the plural) dignity, prestige</li><li>a pānu (a large measuring basket)</li><li>(measure of capacity, Babylonian) bushel (a dry capacity measure, equal to 60 qûm in Old Babylonian and 36 qûm in Neo-Babylonian, i.e. 1/5 of a kurrum (“kor”))</li></ol>
pīrum|Neo-Assyrian|pīrātum|pīrū|Assyrian	<i>noun</i><br><ol><li>elephant</li></ol>
pītu	<i>noun</i><br><ol><li>Non-mimated form of pītum</li></ol>
pītum|pītū|pīt|Neo-Assyrian|pīti	<i>noun</i><br><ol><li>opening, aperture, breach, break</li><li>opening ceremony</li><li>clasp (of a necklace)</li></ol>
pūrum|pūrū	<i>noun</i><br><ol><li>shallow bowl, platter</li></ol>
pūtum|pūt|pūti|pâtum|pūtātu	<i>noun</i><br><ol><li>forehead, front, brow</li><li>facade</li><li>(with ina) opposite, in front of</li></ol>
q-b-r	<i>root</i><br><ol><li>Related to burying.</li></ol>
qabrum|𒂵𒁀𒅈|𒂵𒀊𒊑𒅎|𒂵𒀊𒊒𒌝|qabram|qabrī|𒂵𒀊𒊑|qabar|qabrim|𒂵𒀊𒊏𒀭|𒂵𒀊𒊑𒅔|qabrān|qabrīn|qabrū|𒂵𒀊𒊒|𒂵𒀊𒊏𒄠	<i>noun</i><br><ol><li>grave, tomb</li></ol>
qabûm|niqtabi|taqabbî|taqabbiā|niqabbi|aqtabi|niqbi|aqbi|𒀀𒀝𒋫𒁉|taqabbi|𒄿𒉌𒅅𒁉|iqbiā|iqtabiā|𒉌𒅅𒋫𒁉|𒋫𒂵𒀊𒁉𒀀|𒇷𒅅𒁉𒀀|aqabbi|𒀀𒂵𒀊𒁉|taqbi|liqbi|𒅅𒋫𒁉𒀀|𒀀𒀝𒁉|𒄿𒂵𒀊𒁉|taqbiā|iqabbiā|𒅅𒋫𒁉|iqbi|qibi|qābûm|𒉌𒂵𒀊𒁉|iqabbû|𒂵𒁍𒌝|𒆠𒁉𒀀|𒋫𒀝𒁉𒀀|taqbî|iqtabû|𒋫𒀝𒋫𒁉|qibî|taqtabi|𒉌𒅅𒁉|liqbiā|taqtabî|i niqbi|𒋫𒂵𒀊𒁉|𒅅𒁉𒀀|iqabbi|𒇷𒅅𒁉|iqbû|𒅅𒋫𒁍|liqbû|taqtabiā|qibiā|𒋫𒀝𒁉|𒋫𒀝𒋫𒁉𒀀|𒅅𒁉|luqbi|iqtabi|𒅅𒁍|𒇻𒊌𒁉|𒆠𒁉|𒇷𒅅𒁍|𒄿𒂵𒀊𒁉𒀀|𒄿𒂵𒀊𒁍	<i>verb</i><br><ol><li>to say, tell, speak, report, recite, pronounce, utter, declare</li><li>to enumerate, list (to say in a written document)</li><li>to make a statement, a deposition, to declare publicly, in court.</li><li>to give an order, decree</li><li>to name, call</li></ol>
qadûm|qadû	<i>noun</i><br><ol><li>owl</li></ol>
qanûm|qanû|qanâtum	<i>noun</i><br><ol><li>(botany) reed, cane</li><li>(weapon) arrow</li><li>(music) pipe</li><li>(tool) measuring reed</li><li>a unit of length equal to 6 cubits</li></ol>
qaqqadum|qaqqadātum	<i>noun</i><br><ol><li>head</li><li>person, self</li><li>leading person</li><li>upper part, top</li><li>(finance) capital, principal (amount)</li></ol>
qaqqarum|qaqqarātum|qaqqarū	<i>noun</i><br><ol><li>(opposed to sky and sea) the earth</li><li>the underworld</li><li>ground as a surface</li><li>terrain, territory</li><li>(buildings) plot of ground</li><li>(measurements) stretch/extent of land</li><li>(astronomy) district of constellation</li><li>(boat, brazier, etc.) base, floor</li><li>(extispicy) a part of the liver</li><li>a blank space on cuneiform tablets</li></ol>
qarnum|qaran|qarnātum|qarnān	<i>noun</i><br><ol><li>(animal) horn</li><li>(vessel) horn (a drinking vessel made of horn)</li><li>(human) power</li><li>(garment) fringe</li><li>(botany) shoot (of a plant or tree)</li></ol>
qaštum|𒂵𒀸𒋾𒅔|𒂵𒀸𒋫𒀭|𒂵𒀸𒌈|𒂵𒀸𒁴|qašātim|qaštīn|𒂵𒊭𒌈|𒂵𒊭𒀜|𒂵𒊭𒁴|qašātum|qaštim|𒂵𒀸𒌓|qašat|qaštān|qaštam	<i>noun</i><br><ol><li>(weaponry) bow</li><li>(design, mathematics) bow (geometrical figure)</li></ol>
qebērum|teqtebrā|𒆥𒁁𒊒𒌝|Neo-Assyrian|iqebbir|eqebbir|teqtebrī|niqebbir|𒋼𒅅𒋼𒁉𒅕|teqbirā|iqtebrū|Assyrian|𒆠𒁉𒅕|𒅅𒋼𒅁𒊏|niqbir|𒉌𒅅𒋼𒁉𒅕|iqtebrā|teqebbirī|liqbirā|teqebbirā|𒆥𒁉𒊒𒌝|iqbir|𒋼𒆥𒅁𒁉𒊏|𒋼𒅅𒁉𒅕|𒋼𒅅𒁉𒊑|𒆠𒅁𒊏|𒆥𒅁𒊒𒌝|𒅅𒁉𒅕|i niqbir|𒄿𒆥𒅁𒁉𒊏|eqtebir|qibir|𒂊𒆥𒅁𒁉𒅕|liqbirū|teqebbir|teqbirī|iqbirū|𒇷𒅅𒁉𒊒|𒇻𒊌𒁉𒅕|iqbirā|𒆠𒅁𒊑|𒂊𒅅𒋼𒁉𒅕|qibrī|𒄿𒆥𒅁𒁉𒊒|iqebbirū|liqbir|qēbirum|luqbir|qebrum|iqtebir|𒉌𒆥𒅁𒁉𒅕|𒉌𒅅𒁉𒅕|𒋼𒅅𒋼𒅁𒊏|qibrā|𒅅𒋼𒅁𒊒|iqebbirā|teqbir|𒅅𒁉𒊒|𒋼𒆥𒅁𒁉𒊑|𒂊𒅅𒁉𒅕|𒄿𒉌𒅅𒁉𒅕|𒋼𒅅𒋼𒅁𒊑|𒅅𒁉𒊏|teqtebir|niqtebir|𒋼𒅅𒁉𒊏|eqbir|𒋼𒆥𒅁𒁉𒅕|𒇷𒅅𒁉𒊏|𒄿𒆥𒅁𒁉𒅕|𒇷𒅅𒁉𒅕|𒅅𒋼𒁉𒅕	<i>verb</i><br><ol><li>to bury</li><li>to roll up in clothes or reed mat (in preparation for burial)</li></ol>
qerûm	<i>verb</i><br><ol><li>to invite</li><li>to take away, take along, lead away</li></ol>
qimmatum|𒆠𒅎𒈠𒁴|qimmatān|𒆠𒅎𒈠𒋫𒀭|𒆠𒅎𒈠𒌓|qimmātim|Assyrian|qimmatim|qimmatam|qimmātum|𒆠𒅎𒈠𒀜|𒆠𒅎𒈠𒋾𒅔|qimmatīn|qimmat|𒆠𒅎𒈠𒌈	<i>noun</i><br><ol><li>hair (of the head), tuft, plume</li><li>crown, top (of a tree or plant)</li><li>decorative element of a building, column or other architectural element</li><li>part of the disk of the moon</li></ol>
qištum|𒆠𒅖𒋫𒀭|𒆠𒊭𒁴|qištam|𒆠𒅖𒌓|qišti|qištim|𒆠𒅖𒁴|𒆠𒅖𒋾𒅔|qišātum|𒆠𒅖𒌈|qištān|𒆠𒊭𒌈|𒆠𒅖𒋾|qištīn|qišātim	<i>noun</i><br><ol><li>forest, grove</li></ol>
qātum|qātātum|qātān	<i>noun</i><br><ol><li>hand</li><li>care, charge, responsibility</li><li>paw</li><li>(in the plural) guarantee, security, pledge</li></ol>
rapāšum	<i>verb</i><br><ol><li>to be or become wide, broad, large, to increase, to expand</li></ol>
rubûm|rubû	<i>noun</i><br><ol><li>prince</li><li>(Old Assyrian) king, ruler</li><li>nobleman, important/influential person</li></ol>
rubātum|rubâtum	<i>noun</i><br><ol><li>princess</li></ol>
rē'ûm|rē'û	<i>noun</i><br><ol><li>shepherd, herdsman</li><li>(transferred) shepherd, protector (of humanity, of the land, etc.)</li></ol>
rēštum|rēšētum|rēšet|rēšti	<i>noun</i><br><ol><li>beginning</li><li>(Old Babylonian) first instalment of a rent</li><li>top part, upper part, peak (of a mountain)</li><li>prime quality (of oil)</li></ol>
rēšum|rēšū	<i>noun</i><br><ol><li>head</li><li>servant, slave</li><li>top, summit</li><li>beginning</li><li>first installment, original amount, capital assets</li><li>first rank</li><li>first quality</li></ol>
samānat|free form samānûm|samāne|free form samāntum	<i>num</i><br><ol><li>eight, 8</li></ol>
santakkum|santakkū	<i>noun</i><br><ol><li>(geometry) triangle</li><li>cuneiform wedge</li><li>one</li></ol>
sebet|sebe|free form sebûm|free form sebettum	<i>num</i><br><ol><li>seven, 7</li></ol>
simmiltum|simmiltān|𒋛𒅎𒈪𒆷𒌈|𒋛𒅎𒈪𒅋𒋫𒀭|simmiltim|simmilti|𒋛𒅎𒈪𒅋𒋾𒅔|𒋛𒅎𒈪𒅋𒋾|𒋛𒅎𒈪𒅋𒌈|𒋛𒅎𒈪𒅋𒁴|𒋛𒅎𒈪𒅋𒌓|simmiltīn|simmilātim|𒋛𒅎𒈪𒆷𒁴|simmilātum|simmiltam	<i>noun</i><br><ol><li>ladder, stair</li></ol>
sinništum|𒋛𒅔𒉌𒅖𒁴|𒋛𒅔𒉌𒅖𒋫𒀭|sinništi|𒋛𒅔𒉌𒊭𒁴|sinništim|sinništa|𒋛𒅔𒉌𒊭𒌈|sinništān|𒋛𒅔𒉌𒅖𒌈|state sinniš|sinništīn|sinnišātim|sinnišātum|𒋛𒅔𒉌𒅖𒌓|sinništam|𒋛𒅔𒉌𒅖𒋾|𒋛𒅔𒉌𒅖𒋾𒅔	<i>noun</i><br><ol><li>female</li><li>woman</li></ol>
siāqum|𒋫𒋛𒂵|asīq|𒄿𒉌𒋛𒅅|𒋫𒋛𒅅𒂵|𒋫𒋛𒅅|𒄿𒋛𒅅𒂵|𒄿𒋛𒆪|isīqā|nissīq|𒄿𒋛𒀝|𒋛𒂵|lusīq|𒉌𒋛𒀝|sāiqum|tassīq|𒇻𒋛𒅅|𒄿𒋛𒂵|𒄿𒋛𒅅|issīq|𒇷𒋛𒅅|𒄿𒋛𒅅𒆪|𒋫𒋛𒀝|asīaq|𒉌𒋛𒅅|tassīqī|𒋛𒆪𒌝|sīqā|lisīqū|isiqqū|issīqā|𒋫𒊍𒋛𒆠|tasiqqā|𒄑𒋛𒅅|assīq|𒄑𒋛𒆪|nisīq|issīqū|isīaq|𒀀𒋛𒀝|isīq|𒋛𒅅|tassīqā|𒋛𒀀𒆪𒌝|𒉌𒄑𒋛𒅅|nisīaq|𒋫𒊍𒋛𒅅|isīqū|isiqqā|lisīq|tasīq|𒋫𒊍𒋛𒂵|𒋫𒋛𒅅𒆠|sīq|𒇷𒋛𒆪|tasiqqī|tasīaq|𒇷𒋛𒂵|𒀀𒋛𒅅|lisīqā|𒄑𒋛𒂵|𒊓𒄿𒆪𒌝|𒋛𒆠|sīqī|tasīqā|tasīqī|sīqum|i nisīq|𒋫𒋛𒆠|𒀀𒊍𒋛𒅅	<i>verb</i><br><ol><li>to be(come) narrow</li></ol>
sāsum|sāsū	<i>noun</i><br><ol><li>moth</li><li>(Ras Sharma, Standard Babylonian) a type of stone</li></ol>
sīsûm|sīsû	<i>noun</i><br><ol><li>horse</li><li>(astronomy) the name of a constellation.</li></ol>
sīḫum	<i>noun</i><br><ol><li>an uncertain kind of tree and its resin, possibly wormwood (Artemisia judaica)</li></ol>
sūqum|sūq|sūqānū|sūqātum|sūqi	<i>noun</i><br><ol><li>street</li></ol>
tamkārum|tamkārū	<i>noun</i><br><ol><li>merchant, trader, moneylender</li></ol>
targumannum	<i>noun</i><br><ol><li>interpreter, dragoman</li></ol>
tarlugallum|tarlugallū|Neo-Assyrian	<i>noun</i><br><ol><li>hen, rooster</li><li>(astronomy, with determinative 𒀯) the name of a star or constellation</li></ol>
tinūrum|tinūrū|Neo-Assyrian|Assyrian	<i>noun</i><br><ol><li>oven, kiln, tannour</li><li>(astronomy) an undetermined star or constellation</li></ol>
tittum|color:#888888|𒋾𒀉𒋫𒀭|style="background-color:#fdfdfd|tīnātim|𒋾𒀉𒌓|𒋾𒀉𒁴|tittam|𒋾𒈾𒁴|tīnātum|tittān|𒋾𒈾𒌈|tittīn|𒋾𒀉𒌈|tittim|𒋾𒀉𒋾𒅔	<i>noun</i><br><ol><li>fig tree</li><li>fig</li></ol>
tišīt|𒋾𒊺𒀉|free form tišītum|ti-še-et|free form tišûm|tiše	<i>num</i><br><ol><li>nine, 9</li></ol>
tīlum|tīlū	<i>noun</i><br><ol><li>mound, heap, tell</li></ol>
u	<i>conj</i><br><ol><li>and</li><li>moreover, likewise, also, too</li></ol>
ugārum|ugārû|ugārātum	<i>noun</i><br><ol><li>(communally controlled) arable land, meadow</li></ol>
ul|𒌑𒌌|u₂-ul	<i>particle</i><br><ol><li>(negation) not (in main clauses)</li></ol>
ulla	<i>particle</i><br><ol><li>no</li></ol>
ullu	<i>particle</i><br><ol><li>Standard Babylonian and Neo-Babylonian form of ulla</li></ol>
ullûm|ullûtum|ullītum|ulliātum	<i>adj</i><br><ol><li>that, those</li><li>yonder, far away, over there, distant</li><li>former, previous</li></ol>
ummum|umma|ummi|ummu|ummātum	<i>noun</i><br><ol><li>mother</li><li>initial investment, capital</li></ol>
urram|Boghazkeui|Mari|Emar	<i>adv</i><br><ol><li>tomorrow</li><li>(Standard Babylonian) in the daytime</li></ol>
urrum|urrū	<i>noun</i><br><ol><li>day, daylight (opposed to night)</li><li>early morning</li><li>tomorrow, next day</li></ol>
urḫu	<i>noun</i><br><ol><li>Non-mimated form of urḫum</li></ol>
urḫum|urḫa|urḫū|urḫātum|uruḫ|urḫānu	<i>noun</i><br><ol><li>road, path, way</li></ol>
uznum|uzun|uznu|uznān|ummātum	<i>noun</i><br><ol><li>ear</li><li>attention</li><li>wisdom, understanding, intelligence</li><li>handle</li></ol>
waklum|waklūtum|wakil|waklū	<i>noun</i><br><ol><li>overseer, inspector, foreman</li></ol>
walādum|𒌅𒌌𒁲|𒌅𒌌𒁕|𒉿𒇷𒁺𒌝|𒇷𒁲|𒉿𒆷𒁺𒌝|tattaldī|lilid|𒉌𒀉𒋫𒆷𒀜|𒌌𒇷𒁕|nittalad|𒉿𒀠𒁺𒌝|tuldī|𒋫𒀜𒋫𒆷𒀜|uldā|𒋫𒀜𒋫𒀠𒁲|𒌅𒇷𒀉|𒇻𒇷𒀉|𒌌𒇷𒀉|𒀀𒀜𒋫𒆷𒀜|𒉡𒌌𒇷𒀉|𒌅𒌌𒇷𒁲|𒀉𒋫𒆷𒀜|tullid|𒌌𒁕|tullidā|𒌅𒌌𒇷𒀉|tuldā|𒌅𒌌𒇷𒁕|𒇷𒇷𒀉|ullidā|lildā|nulid|ittaldū|uldū|lulid|lidī|𒌋𒇷𒀉|waldum|i nilid|𒇷𒀉|𒌌𒁺|lid|ullidū|ittalad|ulid|𒀉𒋫𒀠𒁕|𒌌𒇷𒁺|nullid|wālidum|𒉡𒇷𒀉|tattaldā|tulid|attalad|ullid|lidā|𒇷𒅋𒁺|𒋫𒀜𒋫𒀠𒁕|𒇷𒁕|ittaldā|lildū|tattalad|𒇷𒅋𒁕|𒄿𒉌𒇷𒀉|tullidī|𒀉𒋫𒀠𒁺	<i>verb</i><br><ol><li>to give birth</li><li>to produce, to create</li></ol>
