cakā́ra	<i>romanization</i><br><ol><li>Romanization of चकार</li></ol>
विनक्ति|विज्|vinakti	<i>verb</i><br><ol><li>to discern, discriminate, judge</li></ol>
विनति|विनतौ|विनतिम्|विनतीः|विनत्ये1|विनतये|विनत्यै2|विनतिषु|विनतेः|विनत्योः|विनते|विनत्या|विनत्याः2|विनती|विनतिभ्यः|विनत्याम्2|विनतीनाम्|i-stem|विनतिः|विनतिभ्याम्|विनतिभिः|vinati|विनतयः	<i>noun</i><br><ol><li>bowing, obeisance to</li><li>humility, modesty</li></ol>
विनय|vinaya	
विना|vínā	<i>postp</i><br><ol><li>without, except [+accusative instrumental ablative]</li></ol>
विनायक|vināyaka	<i>adj</i><br><ol><li>taking away, removing</li></ol><br><i>noun</i><br><ol><li>a leader, guide</li><li>(Hinduism) Remover of obstacles, Name of Ganesha</li></ol>
विनाश|vināśa	<i>noun</i><br><ol><li>utter loss, annihilation, perdition, destruction, decay, death, removal</li></ol>
विनिमय|विनिमयेभ्यः|vinimaya|विनिमयात्|a-stem|विनिमयाय|विनिमयः|विनिमयान्|विनिमयैः|विनिमयस्य|विनिमये|विनिमयेषु|विनिमयाः|विनिमयासः1|विनिमयानाम्|विनिमयेभिः1|विनिमययोः|विनिमयाभ्याम्|विनिमयम्|विनिमयौ|विनिमयेन	<i>noun</i><br><ol><li>exchange, barter</li><li>mutual engagement, reciprocity</li><li>a pledge, deposit, security</li><li>transmutation (of letters)</li></ol>
विनीत|विनीतस्य|विनीतायाम्|विनीताभ्याम्|a-stem|विनीतेभिः1|विनीतैः|विनीतान्|विनीतम्|विनीतौ|विनीताम्|विनीतानि|विनीता|विनीतासः1|विनीतासु|विनीते|विनीताः|विनीतात्|ā-stem|विनीतः|विनीतयोः|विनीतेषु|विनीताभ्यः|विनीताय|विनीतायै|विनीतेभ्यः|विनीतायाः|विनीतेन|विनीतया|विनीतानाम्|vinīta|विनीता1|विनीताभिः	<i>adj</i><br><ol><li>well-led</li><li>taken away, removed</li><li>stretched, extended</li><li>tamed, trained, educated, well-behaved, humble, modest</li><li>versed in, acquainted or familiar with</li><li>performed, accomplished</li><li>one who has subdued his passions</li><li>lovely, handsome</li><li>plain, neat (in dress)</li></ol><br><i>noun</i><br><ol><li>a merchant, trader</li><li>a trained horse</li></ol>
विन्ते|vintte|विद्|vinte|विन्त्ते	
विन्दति|vindáti|विद्	<i>verb</i><br><ol><li>to know, understand, find</li><li>to mind, observe</li></ol>
विन्द्|vind	<i>root</i><br><ol><li>to find</li><li>to get</li></ol>
विन्यास|vinyāsa	<i>noun</i><br><ol><li>(yoga) The transition between poses executed in succession, often timed with regular breathing.</li><li>a style of yoga based on a flow between sequential poses and coordinated breathing.</li></ol>
विपक्ष|विपक्षासु|विपक्षेषु|विपक्षे|विपक्षा|a-stem|विपक्षायै|विपक्षाम्|विपक्षेभ्यः|विपक्षाः|विपक्षम्|विपक्षायाम्|विपक्षाणाम्|विपक्षाणि|विपक्षाभिः|विपक्षात्|विपक्षैः|विपक्षौ|विपक्षाय|ā-stem|विपक्षाभ्याम्|विपक्षायाः|विपक्षया|विपक्षेण|vi-pakṣa|विपक्षः|विपक्षाभ्यः|विपक्षस्य|विपक्षयोः|विपक्षान्	<i>adj</i><br><ol><li>deprived of wings</li><li>counteracting</li></ol><br><i>noun</i><br><ol><li>"being on a different side", an opponent, adversary, enemy</li><li>disputant</li><li>female rival</li><li>the day of transition from one half of a lunar month to another</li><li>(grammar) an exception</li><li>(logic) a counter-statement, counter-instance, argument proving the contrary (e.g. "there cannot be fire in a lake, because there is no smoke there")</li></ol>
विपरिवर्तन|विपरिवर्तनाः|विपरिवर्तनम्|विपरिवर्तनाम्|a-stem|विपरिवर्तनयोः|विपरिवर्तना1|विपरिवर्तनात्|विपरिवर्तनायाः|विपरिवर्तनेन|विपरिवर्तनानाम्|विपरिवर्तने|विपरिवर्तनायै|विपरिवर्तनः|विपरिवर्तनाभ्याम्|विपरिवर्तनासु|विपरिवर्तनासः1|विपरिवर्तनानि|विपरिवर्तनाय|ā-stem|विपरिवर्तना|विपरिवर्तनया|viparivartana|विपरिवर्तनेभ्यः|विपरिवर्तनाभ्यः|विपरिवर्तनेभिः1|विपरिवर्तनैः|विपरिवर्तनौ|विपरिवर्तनान्|विपरिवर्तनेषु|विपरिवर्तनाभिः|विपरिवर्तनस्य|विपरिवर्तनायाम्	<i>adj</i><br><ol><li>causing to turn around</li><li>causing to return</li></ol><br><i>noun</i><br><ol><li>wallowing, rolling about</li><li>turning around</li><li>(computing) demodulation</li></ol>
विपरीत|viparīta	<i>adj</i><br><ol><li>reverse, backwards</li><li>contrary, against</li></ol>
विपुल|vipula	<i>adj</i><br><ol><li>large, extensive, wide, vast, broad, thick, long, deep</li><li>great, much, copious, abundant</li><li>numerous</li></ol>
विफल|विफलयोः|विफलाः|a-stem|विफलानाम्|विफलेन|विफलेभ्यः|विफलायाः|विफलासु|विफलाभ्याम्|विफलः|विफलेषु|विफलैः|विफलान्|विफलौ|विफला1|विफलाभ्यः|विफलम्|ā-stem|विफलया|विफलायाम्|विफलायै|विफला|विफलासः1|विफलात्|विफलानि|विफलस्य|विफलाय|विफलेभिः1|viphala|विफलाम्|विफले|विफलाभिः	<i>adj</i><br><ol><li>useless</li><li>ineffectual</li><li>fruitless</li><li>unsuccessful</li></ol>
विबोध|विबोधः|विबोधयोः|विबोधे|विबोधम्|ví-bodha|विबोधाय|विबोधेन|a-stem|विबोधात्|विबोधौ|विबोधेषु|विबोधान्|विबोधाः|विबोधेभ्यः|विबोधैः|विबोधानाम्|विबोधस्य|विबोधाभ्याम्	<i>noun</i><br><ol><li>inattention, absence of mind</li><li>awaking</li><li>perception, intelligence</li><li>(in dramatic language) the unfolding of the faculties in carrying out an object</li><li>name of a bird (a son of द्रोण (droṇa))</li></ol>
विभक्ति|विभक्ते|विभक्त्ये1|विभक्तिभ्याम्|विभक्तिः|विभक्तये|विभक्त्याम्2|विभक्ती|vibhakti|विभक्तीनाम्|विभक्तिभिः|विभक्त्यै2|विभक्त्योः|विभक्तीः|विभक्त्या|विभक्त्याः2|विभक्तेः|विभक्तिभ्यः|i-stem|विभक्तयः|विभक्तिम्|विभक्तिषु|विभक्तौ	<i>noun</i><br><ol><li>separation, partition</li><li>(grammar) declension of nouns, declensional suffixes (TS., Br., etc.)</li><li>distinction</li><li>modification</li><li>portion</li><li>share of inheritance</li><li>a certain division of a sāman (ŚāṅkhBr.)</li><li>a certain high number (Buddh.)</li></ol>
विभजन|विभजनयोः|विभजनैः|विभजनम्|विभजना1|vibhajana|विभजनेभिः1|विभजनाय|a-stem|विभजनेभ्यः|विभजनस्य|विभजनेषु|विभजनेन|विभजनानाम्|विभजनात्|विभजने|विभजनाभ्याम्|विभजनानि	<i>noun</i><br><ol><li>separation, distinction</li></ol>
विभव|vibhava	<i>adj</i><br><ol><li>powerful, rich</li></ol><br><i>noun</i><br><ol><li>being everywhere, omnipresence</li><li>development, evolution (with वैष्णवs ‘the evolution of the Supreme Being into secondary forms’)</li><li>power, might, greatness, exalted position, rank, dignity, majesty, dominion</li></ol><br><i>name</i><br><ol><li>name of the 2nd year in Jupiter's cycle of 60 years</li></ol>
विभाग|विभागैः|विभागौ|विभागेषु|विभागे|vibhāga|a-stem|विभागम्|विभागाय|विभागेभ्यः|विभागः|विभागात्|विभागानाम्|विभागाभ्याम्|विभागान्|विभागस्य|विभागेन|विभागयोः|विभागाः	<i>noun</i><br><ol><li>disjunction</li></ol>
विभाजन|विभाजनस्य|विभाजनाभ्याम्|विभाजनेभ्यः|विभाजनम्|विभाजनानि|विभाजनेभिः1|विभाजनाय|विभाजने|a-stem|विभाजना1|विभाजनेन|विभाजनैः|vibhājana|विभाजनयोः|विभाजनात्|विभाजनानाम्|विभाजनेषु	<i>noun</i><br><ol><li>(arithmetic) division, distribution</li><li>the act of causing to share or distribute, participation</li></ol>
विभीषण|vibhīṣaṇa	<i>adj</i><br><ol><li>terrifying, fearful, horrible.</li></ol><br><i>name</i><br><ol><li>(Hinduism) Name of a brother of Ravana (his other brothers were कुबेर [by a different mother] and कुम्भ-कर्ण ; both रावण and विभीषण are said to have propitiated ब्रह्मा by their penances, so that the god granted them both boons, and the boon chosen by विभीषण was that he should never, even in the greatest calamity, stoop to any mean action ; hence he is represented in the रामायण as endeavouring to counteract the malice of his brother रावण, in consequence of which he was so ill-treated by him that, leaving लङ्का, he joined राम, by whom, after the death of रावण, विभीषण was placed on the throne of लङ्का)</li></ol>
विभूति|विभूत्यै2|विभूत्योः|विभूतौ|विभूतिनोः|विभूते|विभूतेः|विभूतिम्|विभूत्ये1|विभूतिने|विभूतीनाम्|विभूतिभिः|विभूतिनि|विभूत्ये2|विभूतीन्|विभूतिनी|विभूत्या|विभूतिः|विभूतीः|विभूत्याम्|विभूतिभ्याम्|vibhūti|i-stem|विभूतये|विभूतीनि|विभूत्या1|विभूतिषु|विभूतिनः|विभूतयः|विभूतिभ्यः|विभूत्याम्2|विभूत्याः2|विभूत्यै|विभूती|विभूत्याः|विभूतिना|विभूत्यः2	<i>adj</i><br><ol><li>mighty, powerful</li><li>plentiful, abundant</li><li>pervading, penetrating</li></ol><br><i>noun</i><br><ol><li>greatness, glory, splendour</li><li>wealth, plenty, fortune</li><li>prosperity</li><li>ashes of cow-dung</li><li>holy ash</li></ol>
विमातृ|विमातृभिः|vimātṛ|विमातरम्|विमातरः|vimātā|ṛ-stem|विमातृषु|विमातॄः|विमाता|विमातरा1|विमातृभ्याम्|विमातरौ|विमातृभ्यः|विमात्रे|विमातुः|विमात्रोः|विमातॄणाम्|विमात्रा|विमातरि|विमातः	<i>noun</i><br><ol><li>a stepmother</li></ol>
विमान|विमानौ|विमान्याः|विमान्योः|विमानात्|विमानीभिः|विमानीनाम्|विमानायाः|a-stem|विमानाः|विमानीम्|विमानासु|विमानानि|विमानी|विमानीभ्यः|विमान्यः|विमानानाम्|विमानाभ्यः|विमानया|विमानस्य|विमानम्|विमानीभ्याम्|विमानाभ्याम्|विमान|विमान्यै|विमानेभ्यः|विमान्याम्|विमानैः|ā-stem|विमानाभिः|विमाने|विमानेषु|विमाना|विमानाय|ī-stem|विमान्यौ|विमानेन|विमानयोः|विमानीः|ví-māna|विमान्या|विमानः|विमानाम्|विमानीषु|विमानायाम्|विमानि|vímāna|विमानान्|विमानायै	<i>adj</i><br><ol><li>devoid of honour, disgraced (BhP.)</li><li>measuring out, traversing (RV., AV., MBh.)</li></ol><br><i>noun</i><br><ol><li>disrespect, dishonour</li><li>a car or chariot of the gods, any mythical self-moving aerial car (sometimes serving as a seat or throne, sometimes self-moving and carrying its occupant through the air; other descriptions make the vimāna more like a house or palace, and one kind is said to be 7 stories high; that of रावण (rāvaṇa) was called पुष्पक (puṣpaka); the नौविमान (nau-vi-māna) [Ragh. XVO, 68] is thought to resemble a ship) (MBh., (Kāv. etc.)</li><li>airplane, aircraft</li><li>any car or vehicle (especially a bier) (Rājat. VII, 446)</li><li>the palace of an emperor or supreme monarch (especially one with 7 stories) (MBh., Kāv. etc.)</li><li>a temple or shrine of a particular form (VarBṛS.)</li><li>a kind of tower (?) (R. V, 52, 8)</li><li>grove (Jātakam.)</li><li>ship, boat (L.)</li><li>horse (L.)</li><li>measure (RV.)</li><li>extension (RV.)</li><li>(medicine) the science of (right) measure or proportion (e.g. of the right relation between the humours of the body, of medicines and remedies etc.) (Car.)</li></ol>
वियाति|viyāti|विया	<i>verb</i><br><ol><li>to pass away</li></ol>
वियुत|वियुतासः1|वियुतैः|वियुता1|वियुतयोः|वियुतासु|वियुतः|a-stem|वियुतस्य|वियुतानि|वियुतेन|वियुताभिः|वियुताभ्यः|वियुताभ्याम्|वियुते|वियुताम्|वियुतायाः|वियुताः|वियुतायाम्|वियुतायै|ā-stem|वियुतौ|वियुतम्|वियुतेभिः1|वियुतात्|वियुतेभ्यः|वियुतान्|वियुतया|víyuta|वियुतानाम्|वियुताय|वियुता|वियुतेषु	<i>adj</i><br><ol><li>separated from; deprived of (in compounds or with the instrumental of the object)</li></ol>
विरा|विराम्|विरायाम्|विराभ्यः|virā|विरायै|विराः|विरे|ā-stem|विरयोः|विरया|विरासु|विराभिः|विराभ्याम्|विरायाः|विराणाम्	<i>noun</i><br><ol><li>wife, matron (whose husband and sons are still alive)</li><li>an intoxicating beverage</li><li>(botany) name of various plants and drugs (Flacourtia jangomas, Ipomoea cheirophylla, Gmelina arborea etc.)</li></ol>
विराज्|virāj	<i>adj</i><br><ol><li>ruler, chief, sovereign</li><li>eminent, splendid</li></ol><br><i>noun</i><br><ol><li>excellence, majesty, dignity</li><li>(poetry) a Vedic meter</li><li>epithet</li><li>warrior, kshatriya</li><li>body</li><li>progeny of Brahma which in turn produced Manu Svayambhuva. Mn.</li><li>king of birds</li></ol>
विराट|virāṭa	<i>adj</i><br><ol><li>huge, magnificent, causing awe</li></ol>
विराम|विरामाय|विरामयोः|विरामौ|विरामम्|विरामात्|विरामान्|विरामे|a-stem|विरामाभ्याम्|विरामेभ्यः|विरामेषु|विरामैः|विरामेन|virāma|विरामानाम्|विरामस्य|विरामाः|विरामः	<i>noun</i><br><ol><li>termination, stop</li></ol>
विरुद्ध|viruddha	<i>prep</i><br><ol><li>against</li></ol>
विरोचन|विरोचनेषु|विरोचनेभ्यः|विरोचनः|विरोचनैः|a-stem|विरोचनात्|विरोचनौ|विरोचनम्|विरोचनाः|विरोचनान्|विरोचनाभ्याम्|विरोचनयोः|विरोचनाय|विरोचनानाम्|विरोचनासः1|विरोचनस्य|विरोचने|virócana|विरोचनेभिः1|विरोचनेन	<i>noun</i><br><ol><li>the sun</li><li>the moon</li></ol><br><i>name</i><br><ol><li>(Vedic religion) name of an Asura</li></ol>
विरोधालंकार|विरोधालंकारासः1|विरोधालंकारेषु|a-stem|विरोधालंकाराः|विरोधालंकाराभ्याम्|विरोधालंकारेभ्यः|विरोधालंकारैः|विरोधालंकारौ|विरोधालंकारात्|विरोधालंकारेभिः1|विरोधालंकारस्य|विरोधालंकाराणाम्|विरोधालंकारेण|विरोधालंकारम्|virodhālaṃkāra|विरोधालंकारः|विरोधालंकारान्|विरोधालंकारे|विरोधालंकाराय|विरोधालंकारयोः	<i>noun</i><br><ol><li>(rhetoric) a figure of speech implying incongruity</li></ol>
विरोधिन्|virodhin	<i>adj</i><br><ol><li>opposing, hindering, preventing, obstructing, excluding, disturbing.</li></ol><br><i>name</i><br><ol><li>Name of the 25th year of Jupiter's cycle of 60 years</li></ol>
विलक्षण|विलक्षणानाम्|विलक्षणात्|विलक्षणाः|विलक्षणः|विलक्षणेषु|a-stem|विलक्षणाय|विलक्षणाभ्याम्|विलक्षणाम्|विलक्षणेन|विलक्षणयोः|विलक्षणम्|विलक्षणौ|विलक्षणस्य|विलक्षणासु|विलक्षणेभ्यः|vilakṣaṇa|विलक्षणेभिः1|विलक्षणायाम्|विलक्षणे|विलक्षणा1|विलक्षणासः1|विलक्षणान्|ā-stem|विलक्षणैः|विलक्षणाभिः|विलक्षणा|विलक्षणया|विलक्षणाभ्यः|विलक्षणानि|विलक्षणायै|विलक्षणायाः	<i>adj</i><br><ol><li>having different marks, varying in character, different, differing from</li><li>various, manifold</li><li>not admitting of exact definition</li></ol><br><i>noun</i><br><ol><li>any state or condition which is without distinctive mark or for which no cause can be assigned, vain or causeless state</li><li>the act of distinguishing, perceiving, seeing, observing</li></ol>
विवरण|विवरणाभ्याम्|विवरणे|विवरणेन|vivaraṇa|विवरणयोः|विवरणेषु|विवरणम्|विवरणस्य|विवरणाय|a-stem|विवरणा1|विवरणैः|विवरणात्|विवरणानाम्|विवरणानि|विवरणेभ्यः|विवरणेभिः1	<i>noun</i><br><ol><li>translation, interpretation, gloss, comment, specification</li><li>the act of uncovering, spreading out, opening, laying bare or open</li><li>explanation, exposition</li></ol>
विवर्धते|vivardhate|विवर्धयति|वृध्|vivardhayati|វិវធ៌យតិ	<i>verb</i><br><ol><li>to grow, to thrive, to prosper</li></ol>
विवादास्पद|विवादास्पदा|विवादास्पदाम्|विवादास्पदायै|a-stem|विवादास्पदम्|विवादास्पदस्य|विवादास्पदात्|विवादास्पदानि|विवादास्पदेभ्यः|विवादास्पदायाः|विवादास्पदयोः|विवादास्पदाभ्याम्|विवादास्पदायाम्|vivādāspada|विवादास्पदया|विवादास्पदासु|विवादास्पदाभिः|विवादास्पदैः|विवादास्पदेषु|विवादास्पदेन|ā-stem|विवादास्पदासः1|विवादास्पदाः|विवादास्पदाभ्यः|विवादास्पदाय|विवादास्पदे|विवादास्पदौ|विवादास्पदान्|विवादास्पदानाम्|विवादास्पदेभिः1|विवादास्पदा1|विवादास्पदः	<i>adj</i><br><ol><li>controversial; subject to controversy</li></ol>
विवाह|विवाहे|विवाहात्|a-stem|विवाहानि|विवाहाय|विवाहौ|विवाहेभ्यः|vi-vāhá|विवाहयोः|विवाहेषु|विवाह|विवाहेन|विवाहान्|विवाहस्य|विवाहाः|विवाहम्|विवाहैः|विवाहाभ्याम्|विवाहः|विवाहानाम्	<i>noun</i><br><ol><li>leading away (of the bride from her father's house), taking a wife, marriage with (+instrumental with or without सह (saha))</li><li>a particular kind of wind</li><li>vehicle (and "marriage")</li><li>a particularly high number</li></ol>
विवाहित	
विविक्षति|vivikṣati|विश्	<i>verb</i><br><ol><li>to wish to enter</li></ol>
विशति|viśáti|विशते|विश्येथाम्|विश्यामहै|वेक्ष्यन्ते|विश्येथे|विशस्व|विश्यध्वम्|अविशन्त|विशथ|अविश्यध्वम्|विश्यमान|विशेथाम्|विशमान|विशै|अविशतम्|विश्येयाताम्|विशतम्|विशाव|वेक्ष्यसे|विशेध्वम्|विशध्वे|अविशत|वेक्ष्यते|विशाम|विशन्ताम्|विश्यसे|विशेय|अविश्यत|विशताम्|वेक्ष्यावहे|विशेते|विशथः|विशावहे|वेष्टास्वः|वेक्ष्यावः|अविशामहि|विशेयम्|विशेत्|विशेव|विश्यन्ताम्|विशेयाथाम्|अविश्यन्त|विशसि|विशामि|अविशताम्|अविशे|विशेथाः|विश्यताम्|अविशध्वम्|विश्येते|विश्येरन्|or|अविश्यावहि|वेष्टास्थ|वेष्टारौ|विश्येध्वम्|विश्येवहि|विश्यन्ते|विशामहे|अविशः|विशतः|वेष्टास्मि|विशेमः|विश्यते|विश्यावहै|वेक्ष्यामः|विशेवहि|विशेः|अविशथाः|वेक्ष्यामि|विशसे|अविशेताम्|विश्यावहे|वेक्ष्यध्वे|विशेयुः|विश्यध्वे|विशावः|विश्येथाः|अविश्येथाम्|विश|विशेयाताम्|विशन्त्|वेक्ष्यन्ति|विशामहै|विश्|विशन्ति|वेक्ष्येते|वेक्ष्यसि|अविशावहि|विश्येताम्|विश्यस्व|वेक्ष्यामहे|अविशाव|अविशत्|अविश्ये|विशन्तु|विशानि|वेष्टास्थः|विश्ये|विशेथे|विशे|विश्यामहे|वेष्टा|अविशम्|वेक्ष्येथे|विशेतम्|विश्येयाथाम्|अविश्यामहि|वेक्ष्यथ|अविश्यथाः|विशत्|वेष्टासि|विशेताम्|विशावहै|विश्येमहि|विशन्ते|वेष्टास्मः|विशेमहि|अविशन्|वेक्ष्यथः|विशतु|अविशाम|विशामः|वेक्ष्यतः|अविशेथाम्|वेक्ष्यति|विश्येय|वेक्ष्ये|विशत|वेष्टारः|विश्यै|विश्येत|अविश्येताम्|विशध्वम्|विशेत|विशेरन्	<i>verb</i><br><ol><li>to enter</li></ol>
विशाखा|viśākhā	<i>noun</i><br><ol><li>(astronomy) the 14th (later 16th) lunar asterism (figured by a decorated arch and containing four or originally two stars under the regency of a dual divinity, इन्द्र and अग्नि ; it is probably to be connected with the quadrangle of stars ι, α, β, γ Librae ; » नक्षत्र)</li></ol>
विशाल|विशालासु|विशाल|विशाल्यौ|विशालैः|विशाली|विशालौ|a-stem|विशालयोः|विशालस्य|विशालानाम्|विशाल्याम्|विशालायाः|विशाल्यै|विशालीम्|विशालीभ्यः|विशाल्या|विशालाम्|viśālá|विशालीनाम्|विशालेभ्यः|विशालेभिः1|विशालाय|विशालाभ्यः|विशालः|विशालात्|विशालायाम्|विशालाभ्याम्|विशाला1|विशाल्याः|विशालम्|विशालेषु|विशालासः1|विशालीभिः|ā-stem|विशाले|विशालायै|विशालया|ī-stem|विशालेन|विशालाभिः|विशालीः|विशाला|विशालीषु|विशालाः|विशालीभ्याम्|विशाल्योः|विशालि|विशाल्यः|विशालान्|विशालानि	<i>adj</i><br><ol><li>spacious, extensive, broad, wide, large</li><li>great, important, powerful, mighty, illustrious, eminent</li><li>(at the end of a compound) abundant in, full of</li></ol><br><i>noun</i><br><ol><li>a kind of beast or bird or plant</li><li>a particular षडह (ṣaḍaha)</li><li>name of the father of तक्षक (takṣaka)</li><li>name of an Asura</li><li>name of a son of इक्ष्वाकु (ikṣvāku) (founder of the city विशाला (viśālā))</li><li>name of a son of तृणबिन्दु (tṛṇabindu)</li><li>name of a king of वैदिश (vaidiśa)</li><li>name of a mountain</li><li>name of a place of pilgrimage</li><li>(in the dual) (with विष्णोः (viṣṇoḥ)) name of two सामन् (sāman)</li></ol>
विशिष्|viśiṣ	<i>root</i><br><ol><li>to distinguish, make distinct or different, particularise, specify, define</li><li>to distinguish (from others), prefer to</li><li>to augment, enhance</li><li>to be pre-eminent, excel, be better than or best among</li><li>to distinguish, define, specify</li><li>to prefer</li><li>to enhance the worth or value of</li><li>to surpass, excel</li><li>to be of much account</li></ol>
विशेष|विशेषाभ्याम्|विशेषायाः|विशेषाम्|विशेषैः|विशेषाभ्यः|a-stem|विशेषासु|विशेषासः1|विशेषम्|विशेषेण|विशेषे|विशेषस्य|विशेषेभिः1|विशेषः|विशेषा1|विशेषौ|विशेषाय|विशेषाः|विशेषा|ā-stem|विशेषान्|विशेषाभिः|विशेषायाम्|विशेषात्|विशेषया|विशेषेषु|viśeṣa|विशेषायै|विशेषयोः|विशेषाणि|विशेषाणाम्|विशेषेभ्यः	<i>adj</i><br><ol><li>extraordinary, abundant</li></ol><br><i>noun</i><br><ol><li>distinction, difference (GṛŚrS., MBh., etc.)</li><li>characteristic difference, peculiarity, speciality (Mn., MBh., etc.)</li><li>distinction, excellence (Mn., MBh., etc.)</li><li>(grammar) a word which defines the meaning of another</li><li>(philosophy) individuality, essential difference (IW., etc.)</li><li>(medicine) turning point of illness, crisis (Suśr.)</li><li>(rhetoric) statement of difference, individualization (Kuval.)</li><li>sectarian mark, mark on the forehead (L.)</li><li>hypotenuse (Śulbas.)</li><li>the primary elements (MaitrUp.)</li><li>elemental earth (BhP.)</li><li>egg (BhP.)</li></ol>
विशेषज्ञ|विशेषज्ञम्|a-stem|विशेषज्ञात्|विशेषज्ञा1|विशेषज्ञान्|विशेषज्ञः|विशेषज्ञाभिः|विशेषज्ञाभ्याम्|विशेषज्ञाभ्यः|विशेषज्ञानाम्|विशेषज्ञैः|विशेषज्ञेन|विशेषज्ञासु|विशेषज्ञाः|विशेषज्ञाय|विशेषज्ञेषु|ā-stem|विशेषज्ञायाम्|विशेषज्ञानि|विशेषज्ञे|viśeṣajña|विशेषज्ञौ|विशेषज्ञेभिः1|विशेषज्ञा|विशेषज्ञया|विशेषज्ञेभ्यः|विशेषज्ञायाः|विशेषज्ञयोः|विशेषज्ञासः1|विशेषज्ञस्य|विशेषज्ञायै|विशेषज्ञाम्	<i>adj</i><br><ol><li>knowing various kinds</li></ol>
विशेषण|viśeṣaṇa|विशेषणेभ्यः|विशेषणेषु|विशेषणीः1|विशेषणम्|a-stem|विशेषणः|विशेषण्यः|विशेषणीभ्याम्|विशेषणेभिः1|विशेषणि|विशेषणस्य|विशेषणाभ्याम्|विशेषण्योः|विशेषण्याः|विशेषणीः|विशेषणीभ्यः|विशेषणयोः|विशेषण्या|विशेषणौ|विशेषणाः|विशेषणात्|विशेषणीम्|विशेषणीभिः|ī-stem|विशेषणा1|विशेषणान्|विशेषणीनाम्|विशेषणैः|विशेषणीषु|विशेषणानि|विशेषण्यौ|विशेषणे|विशेषणासः1|विशेषणेन|विशेषणी1|विशेषणी|विशेषणानाम्|विशेषण्यै|विशेषण्याम्|विशेषणाय	<i>adj</i><br><ol><li>distinguishing, discriminative, specifying, qualifying</li><li>distinctive (as a property)</li></ol><br><i>noun</i><br><ol><li>the act of distinguishing, distinction, discrimination, particularisation</li><li>a distinguishing mark or attribute; a difference</li><li>(grammar) a word which particularises or defines; an adjective</li><li>a species, kind</li><li>surpassing, excelling</li><li>(rhetoric) a figure of speech in which the excellence of a thing is implied by comparing it to some highly prized object</li></ol>
विश्|विवेश|विशे|विश्|विड्भिः|विशि|víṭ|víś|vivéśa|विशः|विशौ|विशम्|विड्भ्यः|विट्|विशाम्|विक्षु|विड्भ्याम्|विशोः|विशा	<i>noun</i><br><ol><li>settlement, house</li><li>community, people, tribe</li><li>wealth</li></ol>
विश्पति|विश्पतिः|विश्पते|विश्पतये|विश्पतेः|विश्पतौ|viś-páti|विश्पतिषु|विश्पत्यः2|विश्पतिना|विश्पती|विश्पतिम्|विश्पतिभ्याम्|विश्पतयः|विश्पतिभिः|विश्पतीन्|i-stem|विश्पतीनाम्|विश्पत्या1|विश्पत्योः|विश्पतिभ्यः|विश्पत्ये2	<i>noun</i><br><ol><li>the chief of a settlement or tribe, lord of the house or of the people (also applied to Agni and Indra) (RV., AV., TS.)</li><li>(in the plural) "kings" or, "head-merchants" (BhP.)</li></ol>
विश्व|विश्व|a-stem|विश्वेन|विश्वाय|विश्वः|विश्वाभ्याम्|विश्वे|विश्वानाम्|विश्वा1|विश्वम्|víśva|विश्वेभ्यः|विश्वेषु|विश्वान्|विश्वैः|विश्वेभिः1|विश्वस्य|विश्वात्|विश्वाः|विश्वौ|विश्वासः1|विश्वानि|विश्वयोः	<i>adj</i><br><ol><li>all, every, every one; whole, entire, universal</li><li>all-pervading or all-containing, omnipresent</li></ol><br><i>noun</i><br><ol><li>name of the number "thirteen"</li><li>(philosophy) the intellectual faculty or (accord. to some) the faculty which perceives individuality or the individual underlying the gross body (Vedanta)</li><li>name of a class of gods, Vishve, with or scil. devas, "all the gods collectively" or "the All-gods"</li><li>the earth</li><li>the whole world, universe (Atharvaveda etc.)</li><li>dry ginger</li><li>myrrh</li><li>Piper longum, Indian long pepper</li><li>Asparagus racemosus</li><li>name of one of the tongues of Agni, MârkP</li><li>a particular weight</li><li>name of a daughter of Daksha</li><li>name of a river (Bhagavata Purana)</li></ol>
विश्वकर्मन्|विश्वकर्मणा|विश्वकर्मा|विश्वकर्मणः|विश्वकर्म|विश्वकर्मणि|viśvakarmā|विश्वकर्मन्|विश्वकर्माणौ|viśvakarman|विश्वकर्मणोः|विश्वकर्मभिः|विश्वकर्मणी|विश्वकर्मभ्यः|विश्वकर्माणि|विश्वकर्मभ्याम्|an-stem|विश्वकर्माणम्|विश्वकर्माणः|विश्वकर्मणाम्|विश्वकर्माणा1|विश्वकर्मणे|विश्वकर्मसु	<i>name</i><br><ol><li>Vishvakarman, the architect of the heaven</li></ol><br><i>noun</i><br><ol><li>every action</li><li>name of one of the seven principal rays of the sun (supposed to supply heat to the planet Mercury)</li><li>name of sūrya</li><li>name of a muni</li></ol>
