(h)eakkë	<i>adv</i><br><ol><li>suddenly</li></ol>
vuoδōjē	<i>noun</i><br><ol><li>game, prey</li></ol>
vëckëtēk	<i>verb</i><br><ol><li>to scrape</li></ol>
vëcë|vëc̯ëm|vëcës̯ën|vëcëtē|vëc̯ëj|vëc̯ëjnë|vëc̯ëptāk̯ëk|vëc̯ën|vëc̯ëjnē|vëc̯ëjstē|vëcënē|vëc̯ëk|vëc̯ëjtē|vëc̯ësnē|vëc̯ëstē	<i>noun</i><br><ol><li>freshly fallen snow</li></ol>
vëcōtēk	<i>verb</i><br><ol><li>to scrape</li></ol>
vëjëtēk	<i>verb</i><br><ol><li>to cut, to slit</li></ol>
vëkë	<i>adj</i><br><ol><li>fast</li></ol>
vëkē	<i>noun</i><br><ol><li>fault</li></ol>
vëljē|vëljēnē|vël̯j̯ēstē|vël̯j̯ēk|vëljās̯ën|vël̯j̯ij|vël̯j̯ijnē|vël̯j̯ēsnē|vël̯j̯ijstē|vël̯j̯ēn|vël̯j̯ijtē|vël̯j̯ēptāk̯ëk|vël̯j̯ijnë|vël̯j̯ēm|vëljētē	<i>noun</i><br><ol><li>plenty</li></ol>
vëlvē|vël̯v̯ijstē|vël̯v̯ēm|vël̯v̯ēsnē|vëlvās̯ën|vël̯v̯ijtē|vëlvētē|vël̯v̯ijnē|vël̯v̯ijnë|vël̯v̯ēk|vël̯v̯ēstē|vëlvēnē|vël̯v̯ij|vël̯v̯ēn|vël̯v̯ēptāk̯ëk	<i>noun</i><br><ol><li>pack of wolves</li></ol>
vëlëk	
vëlē|vëlēs	<i>adj</i><br><ol><li>fast</li></ol>
vënës|vënës̯ëjtē|vënës̯ësnē|vën̯ës|vënës̯ëm|vënës̯ëstē|vënës̯ëk|vënës̯ëjnē|vënës̯ëjstē|vënës̯ën|vënës̯ëj|vën̯ës̯s̯ën|vënës̯ëptāk̯ëk|vën̯ësnē|vën̯ëstē|vënës̯ëjnë	<i>noun</i><br><ol><li>boat</li></ol>
vënëtēk	<i>verb</i><br><ol><li>to stretch, to become stretched</li></ol>
vërkë	<i>adv</i><br><ol><li>almost</li><li>fast</li></ol>
vërtētēk	<i>verb</i><br><ol><li>to bleed</li></ol>
vërë|vër̯ëj|vër̯ëm|vër̯ësnē|vër̯ëjstē|vërëtē|vërës̯ën|vër̯ëptāk̯ëk|vër̯ëstē|vër̯ëjnë|vër̯ëjnē|vër̯ëjtē|vërënē|vër̯ën|vër̯ëk	<i>noun</i><br><ol><li>blood</li></ol>
vërës	<i>adj</i><br><ol><li>fresh</li></ol>
vësmē|vës̯m̯ijnë|vës̯m̯ijtē|vësmās̯ën|vës̯m̯ēm|vës̯m̯ijnē|vësmēnē|vës̯m̯ēn|vës̯m̯ij|vës̯m̯ijstē|vës̯m̯ēstē|vës̯m̯ēptāk̯ëk|vës̯m̯ēsnē|vësmētē|vës̯m̯ēk	<i>noun</i><br><ol><li>fresh snow</li></ol>
vëvtëtēk	<i>verb</i><br><ol><li>to get stuck</li></ol>
vëŋkē	<i>noun</i><br><ol><li>hook for a pot</li></ol>
vëšē|vëš̯ēn|vëš̯ēk|vëš̯ijnē|vëš̯ēstē|vëšēnē|vëš̯ijtē|vëš̯ēm|vëš̯ēsnē|vëš̯ijstē|vëš̯ij|vëšās̯ën|vëš̯ijnë|vëšētē|vëš̯ēptāk̯ëk	<i>noun</i><br><ol><li>anger, hate</li><li>aggression</li></ol>
vëδë|vëδ̯ëk|vëδ̯ëj|vëδ̯ësnē|vëδës̯ën|vëδ̯ën|vëδëtē|vëδ̯ëjnë|vëδ̯ëm|vëδ̯ëstē|vëδ̯ëjstē|vëδ̯ëptāk̯ëk|vëδënē|vëδ̯ëjnē|vëδ̯ëjtē	<i>noun</i><br><ol><li>clearing, open place</li></ol>
vājmō|vāj̯m̯ōptāk̯ëk|vājmus̯ën|vāj̯m̯ōk|vāj̯m̯ōjstē|vāj̯m̯ōj|vāj̯m̯ōsnē|vāj̯m̯ōn|vāj̯m̯ōjnē|vāj̯m̯ujnë|vāj̯m̯ōm|vājmōnē|vāj̯m̯ōstē|vāj̯m̯ōjtē|vājmōtē	<i>noun</i><br><ol><li>heart</li><li>core</li></ol>
vājtëlëtēk	
vājtētēk	<i>verb</i><br><ol><li>to wish</li><li>to complain</li></ol>
vājvē|vājvēnē|vāj̯v̯ēk|vāj̯v̯ij|vāj̯v̯ēn|vāj̯v̯ēstē|vāj̯v̯ēm|vāj̯v̯ijtē|vāj̯v̯ijnē|vāj̯v̯ēsnē|vājvētē|vājvās̯ën|vāj̯v̯ijnë|vāj̯v̯ēptāk̯ëk|vāj̯v̯ijstē	<i>noun</i><br><ol><li>illness</li></ol>
vājës|vājës̯ësnē|vāj̯ëstē|vājës̯ëstē|vāj̯ës̯s̯ën|vāj̯ësnē|vāj̯ës|vājës̯ëj|vājës̯ëjnë|vājës̯ëjtē|vājës̯ëk|vājës̯ëm|vājës̯ëjstē|vājës̯ëptāk̯ëk|vājës̯ëjnē|vājës̯ën	<i>noun</i><br><ol><li>speech</li><li>saying</li></ol>
vāktë	<i>noun</i><br><ol><li>guard</li></ol>
vālkkā	<i>noun</i><br><ol><li>shoulder fat of a reindeer</li></ol>
vālmē	<i>noun</i><br><ol><li>harnessing point on a reindeer's neck</li></ol>
vāltētēk	<i>verb</i><br><ol><li>to take</li></ol>
vāncētēk	<i>verb</i><br><ol><li>to walk</li></ol>
vānē	<i>noun</i><br><ol><li>lack, shortage</li></ol>
vānēs	<i>adj</i><br><ol><li>minor</li></ol>
vāpsē	<i>noun</i><br><ol><li>edge of a mitten</li></ol>
vārjō|vār̯j̯ōm|vārjōnē|vār̯j̯ujnë|vārjus̯ën|vār̯j̯ōj|vār̯j̯ōptāk̯ëk|vār̯j̯ōn|vār̯j̯ōjnē|vār̯j̯ōjstē|vārjōtē|vār̯j̯ōstē|vār̯j̯ōk|vār̯j̯ōjtē|vār̯j̯ōsnē	<i>noun</i><br><ol><li>piece of clothing</li></ol>
vārtāšëtēk	
vārvō	<i>noun</i><br><ol><li>loop</li></ol>
vārë|vār̯ëm|vār̯ën|vārëtē|vār̯ëjtē|vār̯ëj|vār̯ëptāk̯ëk|vār̯ëk|vār̯ëjnē|vār̯ëjnë|vār̯ësnē|vārës̯ën|vārënē|vār̯ëstē|vār̯ëjstē	<i>noun</i><br><ol><li>danger</li></ol>
vārē|vār̯ēk|vār̯ijstē|vār̯ēm|vār̯ēn|vārās̯ën|vār̯ij|vār̯ijnē|vār̯ijtē|vār̯ēstē|vārēnē|vārētē|vār̯ēsnē|vār̯ēptāk̯ëk|vār̯ijnë	<i>noun</i><br><ol><li>mountain</li></ol>
vāstētētēk	<i>verb</i><br><ol><li>to answer</li></ol>
vāsētēk	<i>verb</i><br><ol><li>to pass, to pass by</li></ol>
vātētēk	<i>verb</i><br><ol><li>to vie for</li></ol>
vāvlē	<i>noun</i><br><ol><li>route, channel</li></ol>
vāčëm	<i>noun</i><br><ol><li>reindeer cow</li></ol>
ëcētēk	<i>verb</i><br><ol><li>to flood</li></ol>
ëkcāntë	<i>adj</i><br><ol><li>ninth</li></ol>
ëkcē	<i>num</i><br><ol><li>nine</li></ol>
ëktë	<i>num</i><br><ol><li>one</li></ol>
ëktësën	<i>adv</i><br><ol><li>once</li></ol>
ëkē|ëk̯ēptāk̯ëk|ëkēnē|ëk̯ēsnē|ëk̯ēk|ëk̯ēm|ëk̯ijnē|ëk̯ēstē|ëk̯ijstē|ëk̯ijnë|ëk̯ij|ëkētē|ëk̯ijtē|ëk̯ēn|ëkās̯ën	<i>noun</i><br><ol><li>age</li></ol>
ëlkē|ël̯k̯ijnë|ël̯k̯ēk|ël̯k̯ēn|ël̯k̯ijstē|ël̯k̯ijtē|ël̯k̯ij|ël̯k̯ēstē|ëlkēnē|ëlkētē|ël̯k̯ēptāk̯ëk|ëlkās̯ën|ël̯k̯ēm|ël̯k̯ēsnē|ël̯k̯ijnē	<i>noun</i><br><ol><li>boy</li></ol>
ëlmë	<i>adj</i><br><ol><li>evident, real</li></ol>
ëlmāj|ëlmāj̯ëjnē|ëlmāj̯ësnē|ëlmāj̯ëj|ël̯m̯āj|ël̯m̯ājnē|ëlmāj̯ëptāk̯ëk|ëlmāj̯ëjstē|ëlmāj̯ëk|ëlmāj̯ëjtē|ël̯m̯ājtē|ëlmāj̯ën|ëlmāj̯ëjnë|ël̯m̯āj̯s̯ën|ëlmāj̯ëm|ëlmāj̯ëstē	<i>noun</i><br><ol><li>man</li></ol>
ëlmē|ëlmās̯ën|ëlmētē|ël̯m̯ēn|ël̯m̯ēstē|ël̯m̯ij|ël̯m̯ijtē|ëlmēnē|ël̯m̯ijstē|ël̯m̯ijnë|ël̯m̯ēptāk̯ëk|ël̯m̯ēm|ël̯m̯ijnē|ël̯m̯ēk|ël̯m̯ēsnē	<i>noun</i><br><ol><li>sky</li></ol>
ëlmōttētēk	<i>verb</i><br><ol><li>to make known</li></ol>
ëlpës|ël̯p̯ës̯s̯ën|ëlpës̯ëj|ëlpës̯ësnē|ëlpës̯ëk|ëlpës̯ëjtē|ëlpës̯ën|ëlpës̯ëjstē|ël̯p̯ësnē|ëlpës̯ëm|ël̯p̯ëstē|ëlpës̯ëjnē|ëlpës̯ëptāk̯ëk|ël̯p̯ës|ëlpës̯ëjnë|ëlpës̯ëstē	<i>noun</i><br><ol><li>lynx</li></ol>
ëltës|ëltës̯ëjnē|ël̯t̯ëstē|ëltës̯ëk|ël̯t̯ësnē|ëltës̯ëptāk̯ëk|ëltës̯ëjstē|ëltës̯ën|ëltës̯ëj|ël̯t̯ës̯s̯ën|ëltës̯ëstē|ëltës̯ëm|ël̯t̯ës|ëltës̯ëjtē|ëltës̯ësnē|ëltës̯ëjnë	<i>noun</i><br><ol><li>tongue of a shoe</li></ol>
ëltē	<i>adv</i><br><ol><li>near, close</li></ol>
ëlë	<i>adv</i><br><ol><li>over</li><li>on</li></ol>
ëlëk	<i>adv</i><br><ol><li>on, onto</li></ol>
ëlëkē|ëlë	<i>adj</i><br><ol><li>high</li></ol>
ëlē	<i>noun</i><br><ol><li>west</li></ol>
ëlēkkē	<i>adj</i><br><ol><li>blue</li></ol>
ëlēs	
ëlńë|ël̯ń̯ëjnë|ël̯ń̯ëptāk̯ëk|ël̯ń̯ëjnē|ëlńënē|ël̯ń̯ëjtē|ël̯ń̯ën|ëlńës̯ën|ël̯ń̯ëj|ël̯ń̯ëk|ël̯ń̯ëm|ël̯ń̯ësnē|ël̯ń̯ëstē|ël̯ń̯ëjstē|ëlńëtē	<i>noun</i><br><ol><li>gum (flesh around the teeth)</li></ol>
ëmës	<i>adj</i><br><ol><li>strange</li><li>unknown</li></ol>
ëntētēk	<i>verb</i><br><ol><li>to give</li></ol>
ënētēk	<i>verb</i><br><ol><li>to use</li><li>to wear</li></ol>
ëprē|ëp̯r̯ēstē|ëp̯r̯ēk|ëprās̯ën|ëp̯r̯ijnë|ëprēnē|ëp̯r̯ēsnē|ëprētē|ëp̯r̯ijstē|ëp̯r̯ēptāk̯ëk|ëp̯r̯ēn|ëp̯r̯ijtē|ëp̯r̯ij|ëp̯r̯ijnē|ëp̯r̯ēm	<i>noun</i><br><ol><li>rain</li></ol>
ëpëkē|ëpëk̯ējnē|ëpëkās̯ën|ëpëk̯ēptāk̯ëk|ëpëk̯ēj|ëpëk̯ēm|ëpëk̯ēsnē|ëpëk̯ēn|ëpëkēnē|ëpëk̯ējstē|ëpëk̯ējtē|ëpëkētē|ëpëk̯ēk|ëpëk̯ējnë|ëpëk̯ēstē	<i>noun</i><br><ol><li>eagle owl</li></ol>
ëskē|ëskēnē|ës̯k̯ijnë|ës̯k̯ēn|ës̯k̯ēk|ës̯k̯ijstē|ës̯k̯ijtē|ës̯k̯ij|ëskētē|ës̯k̯ēptāk̯ëk|ës̯k̯ēsnē|ës̯k̯ēm|ës̯k̯ijnē|ëskās̯ën|ës̯k̯ēstē	<i>noun</i><br><ol><li>lap (upper legs)</li></ol>
ëstëtēk	<i>verb</i><br><ol><li>to be on time</li></ol>
ësē|ës̯ijnë|ësēnē|ës̯ēstē|ës̯ēn|ës̯ēsnē|ës̯ēk|ësētē|ësās̯ën|ës̯ijstē|ës̯ēptāk̯ëk|ës̯ij|ës̯ēm|ës̯ijtē|ës̯ijnē	<i>noun</i><br><ol><li>skin-side of a hide</li></ol>
ëvtë	<i>adv</i><br><ol><li>in front</li><li>fore-</li></ol>
ëvtëltē	<i>adv</i><br><ol><li>from the front</li></ol>
ëvtëlāńčën	<i>adv</i><br><ol><li>a little before, a little earlier</li></ol>
ëvtëlēn	<i>adv</i><br><ol><li>before, previously, earlier</li></ol>
ëvtāmëtēk	<i>verb</i><br><ol><li>to go forward, to advance, to progress</li></ol>
ëvē|ëvēnē|ëv̯ēptāk̯ëk|ëv̯ēstē|ëv̯ijstē|ëv̯ij|ëv̯ēn|ëv̯ēsnē|ëv̯ēm|ëv̯ēk|ëv̯ijnē|ëv̯ijnë|ëv̯ijtē|ëvās̯ën|ëvētē	<i>noun</i><br><ol><li>belt</li></ol>
ëvētēk	<i>verb</i><br><ol><li>to leak</li></ol>
ëčkës|ëč̯k̯ëstē|ëčkës̯ëj|ëčkës̯ëm|ëčkës̯ëjnē|ëčkës̯ësnē|ëčkës̯ëjstē|ëčkës̯ën|ëčkës̯ëstē|ëčkës̯ëjtē|ëč̯k̯ësnē|ëčkës̯ëk|ëčkës̯ëjnë|ëč̯k̯ës|ëčkës̯ëptāk̯ëk|ëč̯k̯ës̯s̯ën	<i>noun</i><br><ol><li>rough sheet of ice</li></ol>
ëčkëtēk	<i>verb</i><br><ol><li>to form aufeis</li></ol>
ëδëm|ëδ̯ëmnē|ëδ̯ëmtē|ëδëm̯ëjtē|ëδëm̯ëjnē|ëδëm̯ëk|ëδëm̯ën|ëδëm̯ëm|ëδëm̯ëjstē|ëδëm̯ëj|ëδ̯ëm|ëδëm̯ëjnë|ëδëm̯ëptāk̯ëk|ëδëm̯ësnē|ëδ̯ëm̯s̯ën|ëδëm̯ëstē	<i>noun</i><br><ol><li>bone marrow</li></ol>
ācē|āc̯ij|āc̯ēptāk̯ëk|āc̯ēn|āc̯ēk|āc̯ijnē|āc̯ijstē|āc̯ijnë|ācās̯ën|ācētē|āc̯ēstē|āc̯ēm|ācēnē|āc̯ēsnē|āc̯ijtē	<i>noun</i><br><ol><li>crotch</li></ol>
ājccëtēk	<i>verb</i><br><ol><li>to perceive, to feel</li></ol>
ājjā	<i>noun</i><br><ol><li>(Western) Alternative form of *ājjē</li></ol>
ājjē|ājjēnē|ājjās̯ën|āj̯j̯ijnë|ājjētē|āj̯j̯ijnē|āj̯j̯ēstē|āj̯j̯ēptāk̯ëk|āj̯j̯ij|āj̯j̯ēsnē|āj̯j̯ijtē|āj̯j̯ēn|āj̯j̯ēm|āj̯j̯ēk|āj̯j̯ijstē	<i>noun</i><br><ol><li>grandfather</li></ol>
ājkē|ājkās̯ën|ājkēnē|āj̯k̯ij|āj̯k̯ēk|ājkētē|āj̯k̯ēsnē|āj̯k̯ijstē|āj̯k̯ēm|āj̯k̯ēstē|āj̯k̯ijnē|āj̯k̯ēptāk̯ëk|āj̯k̯ēn|āj̯k̯ijnë|āj̯k̯ijtē	<i>noun</i><br><ol><li>time</li></ol>
ājlēs	<i>noun</i><br><ol><li>brain</li></ol>
ājmē|ājmās̯ën|āj̯m̯ēk|āj̯m̯ijnē|āj̯m̯ijnë|āj̯m̯ēstē|āj̯m̯ij|āj̯m̯ijstē|ājmēnē|āj̯m̯ēsnē|ājmētē|āj̯m̯ēm|āj̯m̯ijtē|āj̯m̯ēn|āj̯m̯ēptāk̯ëk	<i>noun</i><br><ol><li>needle</li></ol>
ājmō|āj̯m̯ōstē|āj̯m̯ōn|āj̯m̯ōj|ājmōnē|āj̯m̯ōjstē|ājmus̯ën|āj̯m̯ujnë|ājmōtē|āj̯m̯ōsnē|āj̯m̯ōk|āj̯m̯ōjtē|āj̯m̯ōjnē|āj̯m̯ōptāk̯ëk|āj̯m̯ōm	<i>noun</i><br><ol><li>weather</li></ol>
ājrō|āj̯r̯ōn|āj̯r̯ōjnē|āj̯r̯ōk|āj̯r̯ōm|āj̯r̯ōptāk̯ëk|āj̯r̯ujnë|ājrōnē|āj̯r̯ōsnē|āj̯r̯ōstē|āj̯r̯ōj|āj̯r̯ōjstē|ājrus̯ën|āj̯r̯ōjtē|ājrōtē	<i>noun</i><br><ol><li>oar</li></ol>
ājttē|āj̯t̯t̯ijtē|āj̯t̯t̯ēsnē|ājttās̯ën|āj̯t̯t̯ijnë|āj̯t̯t̯ēm|ājttēnē|āj̯t̯t̯ēn|āj̯t̯t̯ēptāk̯ëk|āj̯t̯t̯ijnē|āj̯t̯t̯ij|āj̯t̯t̯ijstē|āj̯t̯t̯ēk|ājttētē|āj̯t̯t̯ēstē	<i>noun</i><br><ol><li>storehouse</li></ol>
ājtëlës	<i>adj</i><br><ol><li>quiet</li><li>remote, isolated</li></ol>
ājānëtēk	<i>verb</i><br><ol><li>to be late</li></ol>
ājē|āj̯ēstē|āj̯ēn|ājēnē|ājētē|āj̯ēsnē|āj̯ijnë|āj̯ijtē|āj̯ijnē|āj̯ēptāk̯ëk|ājās̯ën|āj̯ēm|āj̯ij|āj̯ēk|āj̯ijstē	<i>noun</i><br><ol><li>delay</li><li>break</li></ol>
ājδō|āj̯δ̯ōptāk̯ëk|āj̯δ̯ōm|ājδōnē|āj̯δ̯ōstē|āj̯δ̯ōjtē|āj̯δ̯ujnë|āj̯δ̯ōj|āj̯δ̯ōjstē|āj̯δ̯ōk|āj̯δ̯ōn|āj̯δ̯ōsnē|ājδōtē|ājδus̯ën|āj̯δ̯ōjnē	<i>noun</i><br><ol><li>path in snow made by reindeer</li></ol>
ākkā	<i>noun</i><br><ol><li>(Western Samic) Alternative form of *ākkē</li></ol>
ākkē|āk̯k̯ēm|āk̯k̯ijstē|āk̯k̯ēn|ākkās̯ën|ākkēnē|āk̯k̯ēstē|āk̯k̯ijtē|āk̯k̯ij|āk̯k̯ijnē|āk̯k̯ēk|āk̯k̯ēptāk̯ëk|ākkētē|āk̯k̯ijnë|āk̯k̯ēsnē	<i>noun</i><br><ol><li>old woman</li></ol>
ākkō|āk̯k̯ōk|āk̯k̯ōptāk̯ëk|āk̯k̯ōsnē|āk̯k̯ōm|āk̯k̯ōn|āk̯k̯ōj|āk̯k̯ōjnē|ākkōtē|āk̯k̯ōjtē|āk̯k̯ōstē|āk̯k̯ōjstē|ākkōnē|ākkus̯ën|āk̯k̯ujnë	<i>noun</i><br><ol><li>grandmother</li></ol>
āktër|āk̯t̯ërtē|āk̯t̯ërnē|āktër̯ëj|āktër̯ëk|āktër̯ëjnë|āktër̯ëjtē|āktër̯ëstē|āktër̯ëm|āktër̯ëptāk̯ëk|āktër̯ëjnē|āktër̯ëjstē|āk̯t̯ër̯s̯ën|āk̯t̯ër|āktër̯ën|āktër̯ësnē	<i>noun</i><br><ol><li>storm, whirlwind</li></ol>
āktētēk	<i>verb</i><br><ol><li>to skin</li></ol>
ākŋō|āk̯ŋ̯ōjtē|āk̯ŋ̯ōjstē|ākŋōnē|āk̯ŋ̯ōjnē|āk̯ŋ̯ōm|āk̯ŋ̯ōk|ākŋus̯ën|āk̯ŋ̯ujnë|āk̯ŋ̯ōptāk̯ëk|āk̯ŋ̯ōj|ākŋōtē|āk̯ŋ̯ōsnē|āk̯ŋ̯ōn|āk̯ŋ̯ōstē	<i>noun</i><br><ol><li>fork</li></ol>
ākšōjō	<i>noun</i><br><ol><li>axe</li></ol>
ālkkējē|ālkkējēs	<i>adj</i><br><ol><li>easy</li></ol>
ālkkējēktē	<i>adv</i><br><ol><li>easily</li></ol>
ālkētēk	<i>verb</i><br><ol><li>to begin</li></ol>
āllëppē|āl̯l̯ëp̯p̯ēsnē|āl̯l̯ëppās̯ën|āl̯l̯ëp̯p̯ējnë|āl̯l̯ëp̯p̯ējstē|āl̯l̯ëp̯p̯ēptāk̯ëk|āl̯l̯ëppēnē|āl̯l̯ëp̯p̯ēm|āl̯l̯ëp̯p̯ēn|āl̯l̯ëppētē|āl̯l̯ëp̯p̯ēstē|āl̯l̯ëp̯p̯ēj|āl̯l̯ëp̯p̯ējnē|āl̯l̯ëp̯p̯ējtē|āl̯l̯ëp̯p̯ēk|āl̯l̯ëppē	<i>noun</i><br><ol><li>snow bunting, Plectrophenax nivalis</li></ol>
āltō|āl̯t̯ujnë|āl̯t̯ōk|āl̯t̯ōn|āl̯t̯ōjtē|āltōtē|āl̯t̯ōm|āl̯t̯ōj|āl̯t̯ōstē|āltōnē|āl̯t̯ōjnē|āl̯t̯ōptāk̯ëk|āl̯t̯ōjstē|āltus̯ën|āl̯t̯ōsnē	<i>noun</i><br><ol><li>(deer) doe</li></ol>
ālē	<i>noun</i><br><ol><li>cambium</li></ol>
ālōk	<i>adv</i><br><ol><li>always</li></ol>
ālōs|āl̯ōs|ālus̯ëjstē|āl̯us̯s̯ën|ālus̯ëm|ālus̯ëj|āl̯ōstē|ālus̯ësnē|ālus̯ëstē|ālus̯ëjnë|ālus̯ëjtē|ālus̯ëptāk̯ëk|āl̯ōsnē|ālus̯ën|ālus̯ëk|ālus̯ëjnē	<i>noun</i><br><ol><li>cambium</li></ol>
āmpōtēk	<i>verb</i><br><ol><li>to boil over</li></ol>
āmēlē|āmēl̯ējstē|āmēl̯ējnē|āmēlētē|āmēlēnē|āmēl̯ēptāk̯ëk|āmēl̯ēsnē|āmēl̯ēj|āmēlās̯ën|āmēl̯ēn|āmēl̯ēstē|āmēl̯ēk|āmēl̯ējnë|āmēl̯ējtē|āmēl̯ēm	<i>noun</i><br><ol><li>hornless or one-horned reindeer</li></ol>
āntëšëtēk	<i>verb</i><br><ol><li>to understand</li></ol>
ānōtēk	<i>verb</i><br><ol><li>to beg</li></ol>
āppē|āppētē|āp̯p̯ēsnē|āp̯p̯ēstē|āp̯p̯ijnē|āp̯p̯ēn|āppās̯ën|āp̯p̯ijstē|āp̯p̯ēk|āp̯p̯ēptāk̯ëk|āp̯p̯ēm|āp̯p̯ijnë|āppēnē|āp̯p̯ij|āp̯p̯ijtē	<i>noun</i><br><ol><li>strength, power</li></ol>
āpē|āp̯ijnē|āp̯ēstē|āp̯ēn|āpētē|āp̯ēm|āp̯ijtē|āp̯ēk|āp̯ijstē|āp̯ijnë|āp̯ij|āpās̯ën|āp̯ēsnē|āpēnē|āp̯ēptāk̯ëk	<i>noun</i><br><ol><li>sea</li><li>large bog</li></ol>
ārkë|ār̯k̯ëjtē|ārkës̯ën|ārkëtē|ār̯k̯ëj|ārkënē|ār̯k̯ëjnë|ār̯k̯ësnē|ār̯k̯ën|ār̯k̯ëjstē|ār̯k̯ëjnē|ār̯k̯ëk|ār̯k̯ëstē|ār̯k̯ëm|ār̯k̯ëptāk̯ëk	<i>noun</i><br><ol><li>weekday</li></ol>
ārkē|ārkēs	<i>adj</i><br><ol><li>shy</li></ol>
ārpē|ār̯p̯ijtē|ār̯p̯ēm|ār̯p̯ij|ārpās̯ën|ār̯p̯ēsnē|ār̯p̯ijnē|ār̯p̯ēk|ār̯p̯ēn|ārpētē|ār̯p̯ijstē|ār̯p̯ijnë|ārpēnē|ār̯p̯ēptāk̯ëk|ār̯p̯ēstē	<i>noun</i><br><ol><li>inheritance</li></ol>
ārtijē	<i>noun</i><br><ol><li>shoulder</li></ol>
ārvō|ār̯v̯ōptāk̯ëk|ār̯v̯ōm|ār̯v̯ōstē|ār̯v̯ōjtē|ār̯v̯ōjnē|ār̯v̯ōn|ār̯v̯ōj|ārvus̯ën|ārvōtē|ār̯v̯ōsnē|ār̯v̯ōk|ār̯v̯ōjstē|ārvōnē|ār̯v̯ujnë	<i>noun</i><br><ol><li>value</li></ol>
ārē|ār̯ēm|ār̯ijstē|ār̯ēptāk̯ëk|ār̯ēn|ār̯ijtē|ārēnē|ār̯ijnē|ār̯ij|ār̯ijnë|ār̯ēsnē|ār̯ēk|ārās̯ën|ār̯ēstē|ārētē	<i>noun</i><br><ol><li>skin-side of a hide</li></ol>
āsvës	<i>adj</i><br><ol><li>sweet, tasty</li></ol>
āsëtēk	<i>verb</i><br><ol><li>to live, to dwell</li></ol>
āvlē|āvlētē|āv̯l̯ijnē|āv̯l̯ēk|āvlēnē|āv̯l̯ēn|āv̯l̯ēsnē|āv̯l̯ijtē|āv̯l̯ēstē|āv̯l̯ēptāk̯ëk|āv̯l̯ijstē|āv̯l̯ēm|āv̯l̯ij|āv̯l̯ijnë|āvlās̯ën	<i>noun</i><br><ol><li>hook for hanging a cauldron over a fire</li></ol>
āvčë|āv̯č̯ëk|āvčënē|āv̯č̯ëstē|āv̯č̯ëjtē|āvčëtē|āv̯č̯ën|āvčës̯ën|āv̯č̯ëj|āv̯č̯ëjnē|āv̯č̯ëptāk̯ëk|āv̯č̯ëm|āv̯č̯ëjnë|āv̯č̯ësnē|āv̯č̯ëjstē	<i>noun</i><br><ol><li>bird cherry, Prunus padus</li></ol>
āvčē|āv̯č̯ij|āv̯č̯ijnē|āvčās̯ën|āv̯č̯ijnë|āv̯č̯ēptāk̯ëk|āv̯č̯ijstē|āv̯č̯ēstē|āv̯č̯ēm|āv̯č̯ēk|āv̯č̯ēsnē|āv̯č̯ijtē|āv̯č̯ēn|āvčēnē|āvčētē	
āččē|āč̯č̯ēn|āč̯č̯ijtē|āččās̯ën|āč̯č̯ēk|āč̯č̯ēstē|āč̯č̯ijnē|āč̯č̯ij|āččētē|āččēnē|āč̯č̯ēptāk̯ëk|āč̯č̯ijstē|āč̯č̯ēm|āč̯č̯ijnë|āč̯č̯ēsnē	<i>noun</i><br><ol><li>father</li></ol>
āńēs|āń̯ēstē|āńās̯ëm|āń̯ās̯s̯ën|āńās̯ëptāk̯ëk|āńās̯ën|āńās̯ëjstē|āńās̯ëjnē|āńās̯ëstē|āńās̯ëjnë|āńās̯ëk|āńās̯ëj|āńās̯ësnē|āń̯ēs|āń̯ēsnē|āńās̯ëjtē	<i>noun</i><br><ol><li>sinew in the front leg of a reindeer</li></ol>
āŋkēs|āŋkās̯ëk|āŋ̯k̯ēs|āŋ̯k̯ās̯s̯ën|āŋkās̯ëjnē|āŋkās̯ëjstē|āŋkās̯ëjtē|āŋ̯k̯ēsnē|āŋkās̯ëstē|āŋkās̯ën|āŋkās̯ëm|āŋkās̯ëptāk̯ëk|āŋkās̯ësnē|āŋkās̯ëjnë|āŋ̯k̯ēstē|āŋkās̯ëj	
āštētēk	<i>verb</i><br><ol><li>to threaten</li></ol>
āšō|āš̯ōjstē|āšus̯ën|āš̯ōk|āš̯ōsnē|āš̯ujnë|āš̯ōstē|āšōtē|āš̯ōjnē|āš̯ōptāk̯ëk|āš̯ōm|āš̯ōn|āš̯ōjtē|āšōnē|āš̯ōj	<i>noun</i><br><ol><li>embers</li></ol>
āššē|āš̯š̯ēm|āš̯š̯ēptāk̯ëk|āš̯š̯ēstē|āššētē|āš̯š̯ēk|āš̯š̯ijtē|āš̯š̯ij|āš̯š̯ēn|āš̯š̯ēsnē|āššās̯ën|āš̯š̯ijnë|āššēnē|āš̯š̯ijnē|āš̯š̯ijstē	<i>noun</i><br><ol><li>thing</li><li>matter, topic</li></ol>
čeacē|čeac̯ēm|čeac̯ijnë|čeac̯ijstē|čeacās̯ën|čeac̯ēk|čeacēnē|čeac̯ēsnē|čeac̯ēn|čeac̯ijnē|čeac̯ēstē|čeac̯ēptāk̯ëk|čeacētē|čeac̯ijtē|čeac̯ij	<i>noun</i><br><ol><li>paternal uncle</li></ol>
